RANK,MOVEMENT,PLAYER_ID,PLAYER,TOTAL 3 PUTTS > 25',TOTAL 3 PUTTS
1,0,25900,Lucas Glover,47,69
2,0,27770,Camilo Villegas,43,54
3,0,40026,Daniel Berger,42,52
3,0,33448,Justin Thomas,42,50
5,0,34563,Chesson Hadley,41,57
5,0,27933,John Merrick,41,46
5,0,29425,Andrew Svoboda,41,50
8,0,20229,Stewart Cink,40,49
8,0,27064,Jhonattan Vegas,40,44
10,0,28259,Sangmoon Bae,39,52
10,0,20104,Ken Duke,39,53
10,0,28500,Martin Flores,39,50
10,0,33667,Carlos Ortiz,39,45
10,0,32150,Michael Thompson,39,46
15,0,32334,Charlie Beljan,38,50
15,0,37273,Derek Ernst,38,47
15,0,27963,Chris Stroud,38,44
18,0,27936,Martin Laird,37,44
18,0,28486,Michael Putnam,37,48
18,0,29476,Kyle Reifers,37,49
18,0,27095,Nick Watney,37,57
22,0,23638,Brendon de Jonge,36,39
22,0,31202,William McGirt,36,47
22,0,24490,George McNeill,36,45
22,0,25818,Scott Piercy,36,50
22,0,28780,Nicholas Thompson,36,49
27,0,35545,Blayne Barber,35,38
27,0,12510,Chad Campbell,35,42
27,0,25686,Jason Dufner,35,40
27,0,24924,Bill Haas,35,40
27,0,31557,Jim Herman,35,44
27,0,27466,Spencer Levin,35,40
27,0,26289,Boo Weekley,35,40
27,0,21878,Mark Wilson,35,43
35,0,10885,Robert Allenby,34,35
35,0,20472,Alex Cejka,34,40
35,0,29535,Brice Garnett,34,38
38,0,29725,Tony Finau,33,45
38,0,21961,Charles Howell III,33,38
38,0,34174,John Huh,33,44
38,0,29926,Danny Lee,33,42
38,0,33413,Ben Martin,33,39
38,0,29518,Brendan Steele,33,42
44,0,29479,Scott Brown,32,44
44,0,28679,Fabián Gómez,32,42
44,0,20157,Retief Goosen,32,36
44,0,33399,Adam Hadwin,32,40
44,0,29420,Billy Horschel,32,40
44,0,30944,Jason Kokrak,32,41
44,0,30946,Alex Prugh,32,35
44,0,29221,Webb Simpson,32,42
44,0,06567,Vijay Singh,32,41
44,0,33418,Shawn Stefani,32,41
54,0,25364,Paul Casey,31,33
54,0,32366,Kevin Chappell,31,40
54,0,21753,Brian Davis,31,40
