RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,GIR PUTTS,GREENS HIT,BIRDIE CONVERSION
1,0,01329,Brad Faxon,1.704,1897,1113,3.50
2,0,08793,Tiger Woods,1.717,1672,974,3.61
3,0,01810,Phil Mickelson,1.726,1607,931,3.47
4,0,01042,Paul Azinger,1.733,1386,800,3.29
4,0,21209,Sergio Garcia,1.733,927,535,3.55
6,0,10585,Scott McCarron,1.735,1938,1117,3.38
7,0,01619,Skip Kendall,1.738,2363,1360,3.22
8,0,10423,Mike Weir,1.740,1973,1134,3.18
9,0,08931,Glen Day,1.742,1909,1096,3.18
9,0,12660,Jesper Parnevik,1.742,1324,760,3.38
9,0,06613,Tommy Tolles,1.742,1157,664,3.30
12,0,20094,Jonathan Kaye,1.743,2313,1327,3.30
13,0,19846,Brian Gay,1.744,2013,1154,2.99
13,0,06617,Brian Henninger,1.744,1840,1055,3.17
13,0,08993,Franklin Langham,1.744,1927,1105,3.19
16,0,02131,Mike Springer,1.745,1598,916,3.19
17,0,06090,Jim McGovern,1.747,1083,620,3.02
17,0,02010,Loren Roberts,1.747,1707,977,3.04
17,0,02104,Jeff Sluman,1.747,2282,1306,3.06
20,0,01024,Billy Andrade,1.748,1692,968,3.25
20,0,07457,Steve Flesch,1.748,2605,1490,3.20
20,0,01599,Steve Jones,1.748,1304,746,2.98
20,0,08375,Paul Stankowski,1.748,1549,886,3.36
24,0,06522,Ernie Els,1.749,1340,766,3.15
24,0,01706,Davis Love III,1.749,1912,1093,3.43
24,0,01968,Nick Price,1.749,1284,734,3.24
27,0,01418,Bill Glasson,1.750,2009,1148,2.94
27,0,23621,Rory Sabbatini,1.750,1650,943,3.43
27,0,02214,Kirk Triplett,1.750,2042,1167,3.12
30,0,01132,Mark Brooks,1.751,1726,986,2.95
30,0,09011,David Duval,1.751,1399,799,3.29
30,0,06643,Paul Goydos,1.751,1947,1112,3.08
30,0,08537,J.P. Hayes,1.751,1828,1044,3.02
30,0,01553,John Huston,1.751,1637,935,3.21
35,0,19881,Robert Damron,1.752,1826,1042,3.17
35,0,12823,Carlos Franco,1.752,1678,958,3.29
37,0,20098,Stuart Appleby,1.753,1592,908,3.11
37,0,06251,Chris DiMarco,1.753,2447,1396,3.01
39,0,20593,Greg Chalmers,1.754,1996,1138,3.22
39,0,01707,Steve Lowery,1.754,2235,1274,3.22
41,0,02239,Scott Verplank,1.755,2287,1303,3.04
41,0,10425,Jay Williamson,1.755,2110,1202,3.09
43,0,06809,Bob Burns,1.756,1828,1041,3.05
43,0,20229,Stewart Cink,1.756,1988,1132,2.98
45,0,01098,Jay Don Blake,1.757,1892,1077,3.09
45,0,10809,Jim Furyk,1.757,1957,1114,2.99
45,0,08075,Jerry Kelly,1.757,2346,1335,2.94
45,0,10860,Justin Leonard,1.757,1908,1086,2.96
49,0,06004,Stephen Ames,1.758,2041,1161,3.20
50,0,01823,Larry Mize,1.760,1408,800,2.95
50,0,01943,Chris Perry,1.760,2323,1320,2.89
52,0,01771,Blaine McCallister,1.761,2280,1295,2.94
53,0,01175,Jim Carter,1.762,1831,1039,2.96
53,0,02206,David Toms,1.762,2336,1326,3.11
55,0,01527,Scott Hoch,1.763,2272,1289,3.08
55,0,01887,Mark O'Meara,1.763,945,536,3.04
57,0,01941,Tom Pernice Jr.,1.764,1940,1100,3.05
57,0,02245,Grant Waite,1.764,1859,1054,3.19
59,0,23125,Brad Elder,1.766,2315,1311,2.97
59,0,01323,Brad Fabel,1.766,1711,969,2.98
59,0,01331,Rick Fehr,1.766,1429,809,2.90
59,0,06012,Greg Kraft,1.766,2289,1296,2.75
63,0,01161,Mark Calcavecchia,1.767,1930,1092,3.24
63,0,12388,Michael Clark II,1.767,1647,932,2.95
63,0,21949,Joe Ogilvie,1.767,1873,1060,3.01
66,0,01072,Chip Beck,1.768,921,521,2.99
66,0,11653,Paul Curry,1.768,1197,677,2.73
66,0,02133,Craig Stadler,1.768,1377,779,3.02
69,0,01320,Bob Estes,1.769,1173,663,2.97
69,0,01577,Lee Janzen,1.769,1902,1075,3.05
69,0,06140,Sean Murphy,1.769,2061,1165,2.78
69,0,06595,Kevin Sutherland,1.769,2050,1159,2.91
69,0,02223,Bob Tway,1.769,1911,1080,2.87
74,0,01203,Russ Cochran,1.770,1524,861,2.94
74,0,10201,Matt Gogel,1.770,1728,976,2.84
74,0,21007,Gabriel Hjertstedt,1.770,1690,955,3.10
74,0,11032,Frank Lickliter II,1.770,2211,1249,3.10
74,0,06527,Steve Stricker,1.770,1163,657,2.82
79,0,20043,Edward Fryatt,1.771,2014,1137,2.88
79,0,06088,Steve Gotsche,1.771,1852,1046,2.98
79,0,07749,Brett Quigley,1.771,1300,734,2.81
79,0,10649,Tom Scherrer,1.771,2143,1210,2.88
83,0,06431,Jean Van de Velde,1.772,1301,734,3.00
84,0,20127,Chris Riley,1.773,1941,1095,3.11
84,0,02170,Hal Sutton,1.773,1936,1092,3.06
86,0,01226,Fred Couples,1.774,1499,845,3.14
86,0,01282,Trevor Dodds,1.774,1712,965,2.84
86,0,07763,Doug Dunakey,1.774,1673,943,2.88
89,0,01157,Tom Byrum,1.775,1910,1076,2.91
90,0,01685,J.L. Lewis,1.776,2227,1254,3.03
90,0,12753,David Morland IV,1.776,1781,1003,2.91
90,0,01945,Kenny Perry,1.776,1746,983,3.09
90,0,07101,Dave Stockton Jr.,1.776,1785,1005,2.86
94,0,06036,Scott Dunlap,1.777,2306,1298,3.00
94,0,01378,David Frost,1.777,1139,641,2.79
94,0,01388,Robert Gamez,1.777,1660,934,2.89
97,0,10885,Robert Allenby,1.778,1938,1090,3.11
97,0,01723,Andrew Magee,1.778,1538,865,2.81
99,0,12645,Brent Geiberger,1.779,1617,909,3.00
99,0,06350,Bob May,1.779,1953,1098,2.90
99,0,01928,Corey Pavin,1.779,1341,754,2.96
99,0,06062,Charles Raulerson,1.779,1952,1097,3.07
99,0,06567,Vijay Singh,1.779,2003,1126,3.09
104,0,01185,Brandel Chamblee,1.780,1554,873,2.96
104,0,21805,Harrison Frazar,1.780,1479,831,2.98
104,0,01381,Fred Funk,1.780,2366,1329,2.84
107,0,01361,Dan Forsman,1.781,1888,1060,2.82
107,0,10117,Bob Heintz,1.781,1658,931,2.91
107,0,12782,Tim Herron,1.781,1972,1107,3.04
107,0,01926,Steve Pate,1.781,1845,1036,2.68
107,0,01996,Mike Reid,1.781,1564,878,2.59
112,0,01191,Barry Cheesman,1.783,1940,1088,3.06
112,0,20095,Carl Paulson,1.783,2234,1253,3.00
114,0,01549,Mike Hulbert,1.784,1552,870,2.54
115,0,06078,Esteban Toledo,1.785,2358,1321,2.63
116,0,20099,Doug Barron,1.786,1777,995,2.87
116,0,01457,Jay Haas,1.786,1563,875,2.80
116,0,06515,Shaun Micheel,1.786,1975,1106,2.92
116,0,01927,Dennis Paulson,1.786,1543,864,2.88
116,0,02257,Brian Watts,1.786,1874,1049,2.69
121,0,01040,Emlyn Aubrey,1.787,1294,724,2.65
121,0,01307,Joel Edwards,1.787,2202,1232,2.82
121,0,01938,David Peoples,1.787,2223,1244,2.92
124,0,06575,Dudley Hart,1.788,1582,885,2.87
124,0,02279,Mark Wiebe,1.788,1924,1076,2.82
126,0,01116,Michael Bradley,1.789,1503,840,2.77
126,0,20445,Casey Martin,1.789,1905,1065,2.77
126,0,01761,Len Mattiace,1.789,2243,1254,2.65
126,0,10213,Dicky Pride,1.789,1916,1071,2.71
126,0,02218,Ted Tryba,1.789,2090,1168,2.93
131,0,10569,Mike Brisky,1.791,1777,992,2.67
131,0,08545,Glen Hnatiuk,1.791,2054,1147,2.62
131,0,10457,Frank Nobilo,1.791,2045,1142,2.81
131,0,01920,Craig Parry,1.791,1402,783,2.80
135,0,02101,Joey Sindelar,1.792,1833,1023,2.79
135,0,11011,Mike Sposa,1.792,1529,853,2.71
135,0,06581,David Sutherland,1.792,2274,1269,2.96
135,0,07753,Kevin Wentworth,1.792,1559,870,3.03
139,0,06621,Joe Durant,1.793,2195,1224,2.81
139,0,01677,Tom Lehman,1.793,1474,822,2.74
141,0,12449,Ryan Howison,1.794,1593,888,2.62
141,0,12680,Shigeki Maruyama,1.794,1683,938,2.95
141,0,08045,Perry Moss,1.794,1159,646,2.66
141,0,02246,Duffy Waldorf,1.794,1681,937,2.89
145,0,24357,K.J. Choi,1.795,1928,1074,2.82
145,0,01374,Robin Freeman,1.795,2054,1144,2.82
147,0,01093,Ronnie Black,1.796,1681,936,2.76
147,0,01376,Bob Friend,1.796,1873,1043,2.77
147,0,02110,Jerry Smith,1.796,2148,1196,2.63
150,0,06315,Pete Jordan,1.797,2171,1208,2.85
150,0,08547,John Maginnes,1.797,2038,1134,2.67
150,0,22064,Craig Spence,1.797,1693,942,2.82
153,0,12652,Cameron Beckman,1.798,1753,975,2.90
153,0,23614,Rich Beem,1.798,1728,961,2.93
153,0,24356,Jason Buha,1.798,1746,971,2.89
153,0,19822,Bobby Cochran,1.798,1519,845,2.77
153,0,10963,Jimmy Green,1.798,1735,965,2.81
158,0,19824,Craig Barlow,1.799,2072,1152,2.91
158,0,01533,P.H. Horgan III,1.799,1340,745,2.58
158,0,01724,Jeff Maggert,1.799,1729,961,2.92
161,0,07867,Woody Austin,1.800,2172,1207,2.97
161,0,01249,John Daly,1.800,1388,771,3.11
161,0,01766,Billy Mayfair,1.800,1931,1073,2.68
161,0,08385,Omar Uresti,1.800,1948,1082,2.75
165,0,08535,Gary Nicklaus,1.801,1727,959,2.70
165,0,10912,Craig Perks,1.801,1704,946,2.78
167,0,06573,Brandt Jobe,1.802,1923,1067,2.91
167,0,01797,Rocco Mediate,1.802,1582,878,2.76
167,0,01905,Joe Ozaki,1.802,1081,600,2.63
170,0,06332,Neal Lancaster,1.803,2014,1117,2.75
171,0,01014,Fulton Allem,1.805,1585,878,2.54
171,0,01326,Nick Faldo,1.805,926,513,2.71
171,0,10962,Bradley Hughes,1.805,1971,1092,2.70
174,0,20029,Notah Begay III,1.807,1581,875,2.67
175,0,01139,Olin Browne,1.808,2208,1221,2.77
175,0,01219,John Cook,1.808,2009,1111,2.54
175,0,21593,Keith Nolan,1.808,1121,620,2.55
178,0,20574,Mathew Goggin,1.809,2008,1110,2.79
179,0,01569,Peter Jacobsen,1.810,1403,775,2.72
180,0,06014,Eric Booker,1.812,1729,954,2.67
181,0,01063,Ben Bates,1.813,2217,1223,2.70
182,0,07363,Craig Bowden,1.815,1076,593,2.51
182,0,20105,Jeff Gove,1.815,1770,975,2.67
184,0,01261,Jay Delsing,1.816,1920,1057,2.69
185,0,01489,Steve Hart,1.818,1320,726,2.53
185,0,22913,John Rollins,1.818,1511,831,2.70
187,0,01035,Tommy Armour III,1.825,1931,1058,2.67
188,0,01313,Steve Elkington,1.826,1220,668,2.68
189,0,23656,Jason Caron,1.827,1535,840,2.50
190,0,08243,Aaron Bengoechea,1.828,1497,819,2.67
191,0,06044,Scott Gump,1.831,2305,1259,2.27
192,0,01975,Tom Purtzer,1.836,1256,684,2.66
193,0,01142,Bart Bryant,1.837,1569,854,2.52
194,0,01510,Nolan Henke,1.839,1659,902,2.37
195,0,01408,Kelly Gibson,1.841,1883,1023,2.56
