RANK,MOVEMENT,PLAYER_ID,PLAYER,% MAKES BOGEY,BOGEYS,HOLES PLAYED
1,0,01320,Bob Estes,11.76,146,1242
2,0,01527,Scott Hoch,12.52,196,1566
3,0,10809,Jim Furyk,13.61,240,1764
4,0,01677,Tom Lehman,13.89,180,1296
5,0,12645,Brent Geiberger,13.92,233,1674
6,0,01748,Doug Martin,14.00,257,1836
7,0,01968,Nick Price,14.08,147,1044
8,0,01706,Davis Love III,14.14,229,1620
9,0,02214,Kirk Triplett,14.20,225,1584
10,0,01353,Bruce Fleisher,14.21,156,1098
11,0,01569,Peter Jacobsen,14.37,225,1566
12,0,10860,Justin Leonard,14.41,262,1818
13,0,01996,Mike Reid,14.47,211,1458
14,0,01219,John Cook,14.53,259,1782
15,0,01203,Russ Cochran,14.56,270,1854
16,0,01175,Jim Carter,14.68,259,1764
17,0,02223,Bob Tway,14.70,246,1674
18,0,01098,Jay Don Blake,14.77,242,1638
19,0,01024,Billy Andrade,14.80,269,1818
20,0,01619,Skip Kendall,14.81,272,1836
21,0,01331,Rick Fehr,14.90,185,1242
22,0,12660,Jesper Parnevik,14.92,188,1260
23,0,01577,Lee Janzen,14.98,267,1782
24,0,01926,Steve Pate,14.99,224,1494
25,0,08793,Tiger Woods,15.02,219,1458
26,0,06595,Kevin Sutherland,15.03,230,1530
27,0,01161,Mark Calcavecchia,15.06,263,1746
28,0,01891,David Ogrin,15.10,261,1728
29,0,01418,Bill Glasson,15.11,185,1224
30,0,01960,Don Pooley,15.12,196,1296
31,0,02133,Craig Stadler,15.14,188,1242
32,0,02146,Payne Stewart,15.26,239,1566
33,0,02010,Loren Roberts,15.31,226,1476
34,0,01306,David Edwards,15.32,193,1260
35,0,01457,Jay Haas,15.35,221,1440
36,0,01723,Andrew Magee,15.41,283,1836
37,0,07267,Allen Doyle,15.42,236,1530
37,0,01797,Rocco Mediate,15.42,222,1440
39,0,20229,Stewart Cink,15.43,275,1782
39,0,01707,Steve Lowery,15.43,275,1782
41,0,01157,Tom Byrum,15.48,273,1764
42,0,06617,Brian Henninger,15.66,217,1386
43,0,01876,Greg Norman,15.69,144,918
44,0,09011,David Duval,15.70,277,1764
45,0,01143,Brad Bryant,15.74,221,1404
46,0,07235,John Morse,15.76,261,1656
46,0,02104,Jeff Sluman,15.76,278,1764
48,0,06643,Paul Goydos,15.78,284,1800
49,0,01810,Phil Mickelson,15.79,216,1368
50,0,01381,Fred Funk,15.80,327,2070
51,0,01374,Robin Freeman,15.90,186,1170
52,0,01196,Brian Claar,15.91,169,1062
53,0,06581,David Sutherland,15.92,235,1476
54,0,01361,Dan Forsman,15.94,241,1512
55,0,01323,Brad Fabel,15.96,270,1692
