RANK,MOVEMENT,PLAYER_ID,PLAYER,%,# SAVES,# BUNKERS,TOTAL O/U PAR
1,0,24140,Sean O'Hair,62.42,93,149,+29.00
2,0,28089,Jason Day,62.26,66,106,+23.00
3,0,01810,Phil Mickelson,61.54,80,130,+29.00
4,0,27895,Jonas Blixt,61.29,95,155,+31.00
5,0,22371,Aaron Baddeley,61.07,91,149,+29.00
6,0,34262,Jon Curran,61.05,116,190,+64.00
7,0,30927,Brendon Todd,59.48,69,116,+40.00
8,0,34174,John Huh,59.44,85,143,+33.00
9,0,10885,Robert Allenby,59.15,42,71,+24.00
10,0,28132,Tyrone Van Aswegen,58.96,102,173,+51.00
11,0,23800,Bryce Molder,58.27,81,139,+37.00
12,0,32876,Martin Piller,58.23,46,79,+37.00
13,0,21209,Sergio Garcia,57.83,48,83,+14.00
13,0,20766,Padraig Harrington,57.83,48,83,+23.00
13,0,39975,Michael Kim,57.83,96,166,+50.00
16,0,02206,David Toms,57.47,50,87,+37.00
17,0,25274,Steven Bowditch,57.43,85,148,+58.00
18,0,30926,Chris Kirk,57.42,89,155,+51.00
19,0,20098,Stuart Appleby,57.27,63,110,+33.00
20,0,27649,Brandt Snedeker,57.14,80,140,+32.00
21,0,34098,Russell Henley,56.80,71,125,+32.00
21,0,29926,Danny Lee,56.80,96,169,+59.00
23,0,34360,Patrick Reed,56.71,93,164,+36.00
24,0,23541,Ben Crane,56.59,73,129,+35.00
25,0,10213,Dicky Pride,56.57,56,99,+28.00
26,0,29476,Kyle Reifers,56.50,100,177,+28.00
27,0,24357,K.J. Choi,56.25,81,144,+49.00
28,0,23983,Luke Donald,56.16,82,146,+34.00
29,0,25349,Tim Wilkinson,56.10,46,82,+23.00
30,0,29518,Brendan Steele,55.96,61,109,+24.00
31,0,22405,Justin Rose,55.46,66,119,+34.00
32,0,27747,Hiroshi Iwata,55.41,87,157,+60.00
33,0,35891,Cameron Smith,55.34,57,103,+46.00
34,0,12510,Chad Campbell,55.32,78,141,+38.00
34,0,26851,Marc Leishman,55.32,78,141,+38.00
36,0,27644,Brian Harman,55.26,105,190,+58.00
37,0,21731,Freddie Jacobson,55.00,77,140,+59.00
37,0,21878,Mark Wilson,55.00,44,80,+26.00
39,0,33399,Adam Hadwin,54.78,86,157,+43.00
40,0,34046,Jordan Spieth,54.70,64,117,+39.00
41,0,23108,Matt Kuchar,54.61,83,152,+46.00
42,0,28679,Fabián Gómez,54.55,78,143,+37.00
43,0,27129,Luke List,54.40,68,125,+40.00
44,0,31560,Brian Stuard,54.35,50,92,+34.00
45,0,20472,Alex Cejka,54.32,44,81,+16.00
46,0,06527,Steve Stricker,54.26,51,94,+33.00
47,0,27141,J.B. Holmes,53.91,69,128,+39.00
48,0,08075,Jerry Kelly,53.85,63,117,+47.00
49,0,26758,David Hearn,53.73,72,134,+52.00
50,0,36801,Mark Hubbard,53.72,101,188,+57.00
51,0,24024,Zach Johnson,53.68,73,136,+44.00
52,0,32640,Troy Merritt,53.44,70,131,+55.00
52,0,29221,Webb Simpson,53.44,70,131,+40.00
54,0,26476,Chez Reavie,53.24,74,139,+40.00
55,0,29745,Tyler Aldridge,53.21,58,109,+38.00
56,0,20157,Retief Goosen,53.19,50,94,+28.00
57,0,26329,Louis Oosthuizen,53.00,53,100,+28.00
58,0,32839,Hideki Matsuyama,52.99,62,117,+30.00
59,0,29289,S.Y. Noh,52.94,72,136,+53.00
60,0,46440,Smylie Kaufman,52.87,83,157,+51.00
61,0,34261,Scott Langley,52.73,58,110,+32.00
