RANK,MOVEMENT,PLAYER_ID,PLAYER,STATUS,PAR 5 AVG,TOTAL PAR
177,2,25632,Jimmy Walker,-39,4.74,7.40
180,2,28307,Matt Every,-38,4.74,7.20
180,2,27963,Chris Stroud,-38,4.75,7.75
182,3,26596,Ryan Moore,-37,4.74,7.20
182,3,27556,Ted Potter Jr.,-37,4.74,7.10
184,3,32139,Danny Willett,-35,4.73,6.40
185,3,33120,Mark Anderson,-34,4.77,7.50
185,3,48119,Ben Taylor,-34,4.76,7.10
187,3,21407,Arjun Atwal,-33,4.68,5.10
187,3,33413,Ben Martin,-33,4.73,6.00
187,3,34256,Andrew Putnam,-33,4.78,7.60
187,3,23623,Bo Van Pelt,-33,4.77,7.10
191,3,29974,Branden Grace,-32,4.74,6.20
192,6,40009,Dominic Bozzelli,-29,4.77,6.40
193,7,30911,Tommy Fleetwood,-25,4.78,5.70
