RANK,MOVEMENT,PLAYER_ID,PLAYER,%,SUCCESSES,ATTEMPTS,RTP-SUCCESSES,RTP-NOT GOING FOR THE GRN
1,0,34264,Hudson Swafford,33.60,42,125,-43,-6.00
2,0,33204,Shane Lowry,33.33,28,84,-32,-9.00
3,0,46970,Jon Rahm,32.08,51,159,-51,-5.00
4,0,39953,Chase Seiffert,31.58,18,57,-17,-9.00
5,0,28237,Rory McIlroy,31.47,45,143,-45,-2.00
6,0,46414,Aaron Rai,30.30,40,132,-41,-16.00
7,0,29420,Billy Horschel,30.19,32,106,-33,-12.00
8,0,45157,Cam Davis,30.16,57,189,-66,-2.00
9,0,46550,Brandon Hagy,30.06,49,163,-42,+1.00
10,0,48822,Sebastián Muñoz,29.70,49,165,-48,-1.00
11,0,31323,Gary Woodland,29.69,38,128,-44,+3.00
12,0,40098,Matt Fitzpatrick,29.63,32,108,-35,-1.00
13,0,54421,Garrick Higgo,28.87,28,97,-24,+9.00
14,0,27644,Brian Harman,28.68,37,129,-39,-11.00
14,0,30926,Chris Kirk,28.68,39,136,-49,-20.00
16,0,29974,Branden Grace,28.42,27,95,-26,-5.00
17,0,39546,Keith Mitchell,28.28,56,198,-52,-8.00
18,0,48887,Matt Wallace,28.21,33,117,-35,-6.00
19,0,46717,Viktor Hovland,28.19,42,149,-38,+1.00
20,0,57366,Cameron Young,27.91,48,172,-52,+5.00
21,0,39977,Max Homa,27.84,49,176,-53,-16.00
22,0,39997,Corey Conners,27.78,45,162,-45,-15.00
23,0,31646,Emiliano Grillo,27.71,46,166,-48,-10.00
24,0,45540,Jared Wolfe,27.59,32,116,-34,-2.00
25,0,25900,Lucas Glover,27.44,45,164,-41,-21.00
26,0,35450,Patrick Cantlay,27.40,40,146,-44,-10.00
27,0,47983,Chad Ramey,27.27,24,88,-24,-8.00
28,0,48081,Xander Schauffele,27.15,41,151,-42,-6.00
29,0,36326,David Lipsky,27.14,38,140,-39,-22.00
30,0,30927,Brendon Todd,27.00,27,100,-27,-32.00
31,0,36689,Brooks Koepka,26.96,31,115,-30,+3.00
32,0,31557,Jim Herman,26.79,15,56,-14,-13.00
33,0,28252,Seamus Power,26.76,38,142,-41,-12.00
34,0,35532,Tom Hoge,26.75,42,157,-38,-14.00
35,0,49771,J.T. Poston,26.74,46,172,-53,-3.00
36,0,33448,Justin Thomas,26.71,43,161,-50,-13.00
37,0,55708,Hayden Buckley,26.32,50,190,-55,+4.00
38,0,22056,Cameron Percy,26.23,16,61,-16,-10.00
39,0,33399,Adam Hadwin,26.17,39,149,-38,-30.00
40,0,23325,Vaughn Taylor,26.15,17,65,-16,-12.00
41,0,49298,Kramer Hickok,25.97,40,154,-43,-2.00
42,0,37212,Paul Barjon,25.90,43,166,-41,+7.00
42,0,36699,Patrick Rodgers,25.90,43,166,-47,+2.00
44,0,23320,Ryan Palmer,25.86,30,116,-32,+5.00
45,0,34076,Joel Dahmen,25.69,37,144,-34,-14.00
46,0,46442,Maverick McNealy,25.67,48,187,-55,-3.00
47,0,12716,Charley Hoffman,25.66,39,152,-35,-1.00
48,0,24502,Adam Scott,25.52,37,145,-42,-20.00
49,0,50095,Austin Smotherman,25.49,39,153,-38,E
50,0,33490,Bo Hoag,25.30,21,83,-21,-6.00
50,0,34046,Jordan Spieth,25.30,42,166,-45,-11.00
52,0,54628,Lee Hodges,25.27,47,186,-45,E
53,0,23621,Rory Sabbatini,25.26,24,95,-27,-14.00
54,0,46402,Talor Gooch,25.19,34,135,-38,-5.00
55,0,33419,Cameron Tringale,25.15,42,167,-49,-2.00
56,0,46601,Trey Mullinax,25.14,46,183,-54,+10.00
57,0,46435,Austin Cook,25.00,22,88,-21,-7.00
57,0,29725,Tony Finau,25.00,48,192,-45,-7.00
59,0,32150,Michael Thompson,24.82,35,141,-36,-16.00
60,0,29535,Brice Garnett,24.65,35,142,-34,+2.00
61,0,52372,Cameron Champ,24.64,34,138,-36,-4.00
62,0,32757,Patton Kizzire,24.51,50,204,-48,-2.00
63,0,32662,Michael Gligic,24.48,35,143,-41,-2.00
64,0,31420,Anirban Lahiri,24.39,30,123,-28,-8.00
65,0,36852,Jim Knous,24.32,18,74,-20,+4.00
66,0,29518,Brendan Steele,24.31,35,144,-31,-5.00
67,0,45609,Tyler Duncan,24.29,34,140,-39,-9.00
68,0,40006,Erik van Rooyen,24.24,24,99,-22,-15.00
69,0,36801,Mark Hubbard,24.19,30,124,-34,-11.00
70,0,51766,Wyndham Clark,24.06,45,187,-47,+3.00
71,0,32640,Troy Merritt,24.03,31,129,-36,-21.00
72,0,49964,Aaron Wise,23.91,44,184,-45,-10.00
73,0,45522,Christiaan Bezuidenhout,23.81,20,84,-24,-10.00
74,0,30944,Jason Kokrak,23.74,33,139,-37,-12.00
75,0,32448,James Hahn,23.72,37,156,-37,+2.00
75,0,32839,Hideki Matsuyama,23.72,37,156,-37,-9.00
77,0,52375,Doug Ghim,23.70,32,135,-31,-16.00
77,0,47483,Will Zalatoris,23.70,32,135,-32,-20.00
79,0,32102,Rickie Fowler,23.58,29,123,-30,-1.00
80,0,47504,Sam Burns,23.49,39,166,-39,-17.00
81,0,34098,Russell Henley,23.44,30,128,-33,-11.00
81,0,39971,Sungjae Im,23.44,45,192,-51,-13.00
83,0,27349,Alex Noren,23.42,26,111,-24,-18.00
83,0,27095,Nick Watney,23.42,26,111,-25,+2.00
85,0,48699,Callum Tarren,23.31,31,133,-36,-10.00
86,0,50525,Collin Morikawa,23.30,24,103,-26,-5.00
86,0,54783,Dylan Wu,23.30,24,103,-25,-4.00
88,0,29289,S.Y. Noh,23.26,20,86,-18,-7.00
89,0,33141,Keegan Bradley,23.24,33,142,-32,-16.00
90,0,24980,Scott Gutschewski,23.19,16,69,-18,-10.00
91,0,26851,Marc Leishman,23.18,35,151,-42,-14.00
