RANK,MOVEMENT,PLAYER_ID,PLAYER,BEST STREAK,CURRENT STREAK
1,0,19846,Brian Gay,353,11
2,0,33122,Russell Knox,254,0
3,0,27895,Jonas Blixt,248,4
3,0,20593,Greg Chalmers,248,39
5,0,27644,Brian Harman,242,4
6,0,30852,Ryo Ishikawa,239,3
7,0,22621,Ben Curtis,226,33
8,0,02206,David Toms,225,24
9,0,25632,Jimmy Walker,222,1
10,0,29221,Webb Simpson,220,61
11,0,23325,Vaughn Taylor,219,62
12,0,30944,Jason Kokrak,215,215
13,0,28500,Martin Flores,211,64
14,0,06034,Marco Dawson,210,3
14,0,22961,David Mathis,210,12
16,0,23800,Bryce Molder,207,85
17,0,06522,Ernie Els,205,21
17,0,24361,Pat Perez,205,3
19,0,01142,Bart Bryant,203,16
20,0,21753,Brian Davis,202,25
20,0,20160,Charlie Wi,202,27
22,0,10944,Thomas Bjørn,199,30
23,0,23353,J.J. Henry,196,10
24,0,24924,Bill Haas,195,0
25,0,23452,Nicolas Colsaerts,194,31
26,0,24138,Ian Poulter,193,12
26,0,26679,Kevin Stadler,193,39
28,0,26329,Louis Oosthuizen,192,2
28,0,28475,Jeff Overton,192,43
30,0,19825,Darren Clarke,191,60
31,0,01320,Bob Estes,190,6
31,0,25834,Daniel Summerhays,190,58
33,0,28089,Jason Day,188,2
34,0,21209,Sergio Garcia,187,2
34,0,31558,J.J. Killeen,187,38
36,0,10809,Jim Furyk,186,74
36,0,20691,Greg Owen,186,17
36,0,20396,Lee Westwood,186,2
39,0,22371,Aaron Baddeley,182,41
39,0,24140,Sean O'Hair,182,62
41,0,25818,Scott Piercy,181,30
42,0,30925,Dustin Johnson,180,92
43,0,27770,Camilo Villegas,176,6
44,0,23409,James Driscoll,173,41
45,0,21407,Arjun Atwal,171,20
46,0,30711,Colt Knost,170,48
46,0,29289,S.Y. Noh,170,105
48,0,10885,Robert Allenby,169,18
48,0,27214,Kevin Streelman,169,37
50,0,01473,Todd Hamilton,168,1
51,0,28307,Matt Every,167,34
52,0,23638,Brendon de Jonge,166,4
53,0,09011,David Duval,163,65
53,0,06527,Steve Stricker,163,21
55,0,20127,Chris Riley,162,26
56,0,06004,Stephen Ames,161,17
56,0,01810,Phil Mickelson,161,35
58,0,20098,Stuart Appleby,160,63
59,0,20070,Matt Bettencourt,158,76
59,0,27466,Spencer Levin,158,19
61,0,28259,Sangmoon Bae,157,2
61,0,27797,Derek Lamely,157,20
61,0,01941,Tom Pernice Jr.,157,68
64,0,26668,Marc Turnesa,156,66
65,0,33141,Keegan Bradley,155,39
65,0,23623,Bo Van Pelt,155,16
67,0,31323,Gary Woodland,154,2
68,0,24494,Erik Compton,153,0
69,0,01724,Jeff Maggert,152,10
70,0,26596,Ryan Moore,151,151
70,0,27349,Alex Noren,151,151
72,0,01249,John Daly,150,5
72,0,20104,Ken Duke,150,14
74,0,24083,Marcus Fraser,149,30
75,0,25572,Graeme McDowell,148,41
75,0,25396,Kevin Na,148,4
75,0,30927,Brendon Todd,148,52
78,0,26851,Marc Leishman,147,1
78,0,31202,William McGirt,147,73
78,0,27963,Chris Stroud,147,58
81,0,06573,Brandt Jobe,146,48
81,0,30926,Chris Kirk,146,3
81,0,20572,Rod Pampling,146,9
81,0,25892,Steve Wheatcroft,146,2
85,0,28258,K.T. Kim,145,49
86,0,30692,Scott Stallings,144,6
86,0,27095,Nick Watney,144,116
88,0,20645,John Senden,143,18
89,0,24024,Zach Johnson,142,99
89,0,02256,Tom Watson,142,10
91,0,34099,Harris English,141,76
91,0,30750,Tommy Gainey,141,2
91,0,27974,Sung Kang,141,9
94,0,11123,Chris Couch,140,10
94,0,24663,Y.E. Yang,140,26
96,0,28455,Will Claxton,139,3
96,0,01706,Davis Love III,139,20
98,0,06251,Chris DiMarco,138,2
98,0,32150,Michael Thompson,138,4
100,0,24507,Jason Bohn,137,80
100,0,24925,Jonathan Byrd,137,44
100,0,24357,K.J. Choi,137,11
100,0,22293,Heath Slocum,137,3
104,0,23983,Luke Donald,136,94
105,0,32698,Bobby Gates,135,4
105,0,20766,Padraig Harrington,135,24
107,0,21878,Mark Wilson,134,23
108,0,29222,Billy Hurley III,133,6
108,0,29478,Kevin Kisner,133,33
108,0,25345,Carl Pettersson,133,32
111,0,23108,Matt Kuchar,132,30
111,0,27936,Martin Laird,132,21
111,0,24781,Hunter Mahan,132,18
114,0,25364,Paul Casey,131,13
114,0,12782,Tim Herron,131,39
114,0,23548,Bill Lunde,131,23
114,0,23621,Rory Sabbatini,131,0
114,0,24502,Adam Scott,131,39
119,0,23541,Ben Crane,130,40
119,0,01797,Rocco Mediate,130,17
119,0,27302,Garth Mulroy,130,35
122,0,22046,Geoff Ogilvy,129,54
123,0,12510,Chad Campbell,128,6
123,0,32200,Roberto Castro,128,27
123,0,20850,Daniel Chopra,128,72
126,0,23542,Tommy Biershenk,127,86
126,0,20436,Garrett Willis,127,85
128,0,24358,Robert Garrigus,126,30
128,0,23320,Ryan Palmer,126,78
130,0,34174,John Huh,125,26
130,0,25457,Alexandre Rocha,125,9
130,0,27064,Jhonattan Vegas,125,0
133,0,20472,Alex Cejka,124,5
133,0,24604,Hunter Haas,124,5
133,0,22792,Peter Hanson,124,4
133,0,27556,Ted Potter Jr.,124,44
137,0,01116,Michael Bradley,123,61
137,0,01928,Corey Pavin,123,0
139,0,34021,Bud Cauley,122,1
139,0,24490,George McNeill,122,56
139,0,10213,Dicky Pride,122,6
142,0,20848,Ángel Cabrera,120,4
142,0,27141,J.B. Holmes,120,55
142,0,27120,Troy Matteson,120,15
145,0,23718,Nathan Green,119,2
145,0,22348,Nick O'Hern,119,26
145,0,26476,Chez Reavie,119,7
148,0,29518,Brendan Steele,118,31
148,0,33419,Cameron Tringale,118,5
150,0,06643,Paul Goydos,117,48
150,0,26758,David Hearn,117,26
150,0,06567,Vijay Singh,117,6
150,0,27649,Brandt Snedeker,117,102
154,0,24461,Thomas Aiken,116,12
154,0,29833,Yoshinori Fujimoto,116,116
156,0,08075,Jerry Kelly,115,86
156,0,06373,José María Olazábal,115,0
156,0,02246,Duffy Waldorf,115,9
159,0,29910,Blake Adams,114,10
159,0,01978,Fran Quinn,114,5
159,0,22913,John Rollins,114,15
162,0,35139,Richard Lee,113,12
163,0,35450,Patrick Cantlay,112,20
163,0,21805,Harrison Frazar,112,0
163,0,26951,Johnson Wagner,112,39
166,0,23204,Gary Christian,111,8
166,0,20574,Mathew Goggin,111,2
166,0,21961,Charles Howell III,111,18
166,0,22582,Kyle Thompson,111,2
170,0,27060,John Mallinger,110,18
170,0,28237,Rory McIlroy,110,97
170,0,21949,Joe Ogilvie,110,10
173,0,32102,Rickie Fowler,109,5
174,0,19824,Craig Barlow,108,33
175,0,21731,Freddie Jacobson,106,28
175,0,06332,Neal Lancaster,106,3
175,0,26539,Robert Rock,106,1
178,0,25274,Steven Bowditch,105,2
178,0,29479,Scott Brown,105,18
178,0,22892,Jason Gore,105,105
178,0,29476,Kyle Reifers,105,47
178,0,25804,Bubba Watson,105,105
183,0,20623,Gavin Coles,104,10
183,0,24940,Edward Loar,104,41
185,0,23135,Tim Clark,103,3
185,0,34261,Scott Langley,103,81
185,0,25562,Andres Romero,103,18
185,0,23788,D.J. Trahan,103,9
189,0,21350,Ryuji Imada,102,67
189,0,26331,Charl Schwartzel,102,53
189,0,27330,Josh Teater,102,1
192,0,25686,Jason Dufner,101,2
192,0,35539,Luke Guthrie,101,52
194,0,06036,Scott Dunlap,100,14
194,0,22548,Patrick Sheehan,100,0
196,0,32366,Kevin Chappell,99,32
196,0,26289,Boo Weekley,99,67
198,0,25369,Jamie Donaldson,98,4
198,0,36690,Hunter Hamrick,98,13
198,0,25240,D.A. Points,98,21
201,0,12716,Charley Hoffman,97,13
201,0,26300,Matt Jones,97,3
201,0,30110,Kyle Stanley,97,0
201,0,10423,Mike Weir,97,2
205,0,25900,Lucas Glover,96,9
206,0,22405,Justin Rose,95,21
207,0,26500,Alejandro Cañizares,94,94
207,0,01226,Fred Couples,94,51
207,0,24512,Simon Dyson,94,2
207,0,29420,Billy Horschel,94,75
207,0,24511,Thongchai Jaidee,94,19
207,0,01766,Billy Mayfair,94,0
207,0,33968,Thorbjørn Olesen,94,29
214,0,08725,Tom Gillis,93,23
215,0,33120,Mark Anderson,92,12
215,0,29461,Jamie Lovemark,92,53
215,0,01948,Tim Petrovic,92,2
215,0,21528,Henrik Stenson,92,11
219,0,22378,Trevor Immelman,90,46
219,0,27408,Martin Kaymer,90,35
219,0,08793,Tiger Woods,90,42
222,0,01161,Mark Calcavecchia,89,89
222,0,19881,Robert Damron,89,89
222,0,01619,Skip Kendall,89,89
222,0,10860,Justin Leonard,89,9
222,0,28158,Steve Marino,89,18
222,0,06595,Kevin Sutherland,89,47
228,0,29926,Danny Lee,87,40
228,0,12660,Jesper Parnevik,87,0
230,0,28308,Troy Kelly,86,14
231,0,19958,Miguel Angel Jiménez,85,5
231,0,26881,Jarrod Lyle,85,0
231,0,23322,Brett Wetterich,85,85
234,0,10505,Shane Bertsch,84,9
235,0,20229,Stewart Cink,83,27
235,0,27436,Graham DeLaet,83,2
235,0,27933,John Merrick,83,71
238,0,28087,Kris Blanks,82,15
239,0,07867,Woody Austin,81,68
239,0,10585,Scott McCarron,81,8
241,0,24846,Ricky Barnes,80,1
242,0,23614,Rich Beem,79,0
242,0,28093,Miguel Angel Carballo,79,27
242,0,19904,Paul Lawrie,79,45
242,0,01945,Kenny Perry,79,21
246,0,32334,Charlie Beljan,78,35
247,0,26499,Rafa Cabrera Bello,77,41
247,0,06621,Joe Durant,77,23
247,0,06515,Shaun Micheel,77,31
250,0,01381,Fred Funk,76,76
250,0,20157,Retief Goosen,76,75
250,0,01577,Lee Janzen,76,23
250,0,35879,Kelly Kraft,76,19
250,0,26287,Roland Thatcher,76,11
255,0,21959,Ted Purdy,75,53
255,0,20686,Jeev Milkha Singh,75,4
255,0,08375,Paul Stankowski,75,13
255,0,02239,Scott Verplank,75,1
259,0,25720,Chad Collins,74,3
259,0,20859,Anders Hansen,74,36
