RANK,MOVEMENT,PLAYER_ID,PLAYER,MONEY
1,0,01633,Tom Kite,$9159418
2,0,01876,Greg Norman,$7937869
3,0,01226,Fred Couples,$6889149
4,0,01042,Paul Azinger,$6774728
5,0,02256,Tom Watson,$6751328
6,0,01968,Nick Price,$6726418
7,0,02146,Payne Stewart,$6523260
8,0,02159,Curtis Strange,$6433442
9,0,01235,Ben Crenshaw,$6107759
10,0,02242,Lanny Wadkins,$5931370
11,0,01928,Corey Pavin,$5835444
12,0,01559,Hale Irwin,$5654063
13,0,02133,Craig Stadler,$5606436
14,0,01072,Chip Beck,$5585763
15,0,01690,Bruce Lietzke,$5440868
16,0,01869,Jack Nicklaus,$5372176
17,0,01887,Mark O'Meara,$5212337
18,0,01355,Raymond Floyd,$5129013
19,0,01378,David Frost,$5100514
20,0,01161,Mark Calcavecchia,$5023163
21,0,02321,Fuzzy Zoeller,$4748065
22,0,01837,Gil Morgan,$4735868
23,0,01527,Scott Hoch,$4673254
24,0,01457,Jay Haas,$4604562
25,0,01706,Davis Love III,$4511891
26,0,01783,Mark McCumber,$4423778
27,0,01823,Larry Mize,$4294710
28,0,01219,John Cook,$4274977
29,0,01682,Wayne Levi,$4191292
30,0,02099,Scott Simpson,$3973157
31,0,02170,Hal Sutton,$3931853
32,0,01725,John Mahaffey,$3671400
33,0,01926,Steve Pate,$3571833
34,0,01385,Jim Gallagher Jr.,$3526698
35,0,02213,Lee Trevino,$3478449
36,0,01569,Peter Jacobsen,$3472507
37,0,01306,David Edwards,$3420417
38,0,02101,Joey Sindelar,$3362503
39,0,02100,Tim Simpson,$3348787
40,0,02104,Jeff Sluman,$3296749
41,0,01864,Larry Nelson,$3273248
42,0,01313,Steve Elkington,$3271135
43,0,01068,Andy Bean,$3243075
44,0,01444,Ken Green,$3174225
45,0,02010,Loren Roberts,$3131398
46,0,01975,Tom Purtzer,$3130116
47,0,01553,John Huston,$3113443
48,0,02267,D.A. Weibring,$3095307
49,0,01329,Brad Faxon,$3065652
50,0,01996,Mike Reid,$3029011
51,0,02223,Bob Tway,$3028191
52,0,01132,Mark Brooks,$2933316
53,0,01361,Dan Forsman,$2845611
54,0,01418,Bill Glasson,$2818132
55,0,01846,Jodie Mudd,$2763755
56,0,01815,Johnny Miller,$2746424
57,0,01958,Dan Pohl,$2742851
58,0,02049,Gene Sauers,$2690997
59,0,01960,Don Pooley,$2584319
60,0,01443,Hubert Green,$2580463
61,0,01723,Andrew Magee,$2575955
62,0,01549,Mike Hulbert,$2566972
63,0,01577,Lee Janzen,$2531430
64,0,02225,Howard Twitty,$2524478
65,0,01203,Russ Cochran,$2523319
66,0,01414,Bob Gilder,$2497111
67,0,01331,Rick Fehr,$2472430
68,0,01771,Blaine McCallister,$2439597
69,0,01475,Donnie Hammond,$2426578
70,0,02190,Doug Tewell,$2378598
71,0,01935,Calvin Peete,$2302363
