RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL HOLES
1,0,01096,Phil Blackmar,4.53,725,160
2,0,01226,Fred Couples,4.56,602,132
2,0,01876,Greg Norman,4.56,438,96
4,0,01846,Jodie Mudd,4.58,476,104
5,0,02159,Curtis Strange,4.59,638,139
6,0,01690,Bruce Lietzke,4.60,437,95
6,0,01723,Andrew Magee,4.60,630,137
6,0,02146,Payne Stewart,4.60,764,166
9,0,01143,Brad Bryant,4.61,820,178
9,0,06332,Neal Lancaster,4.61,788,171
11,0,01203,Russ Cochran,4.63,774,167
11,0,01313,Steve Elkington,4.63,699,151
11,0,01329,Brad Faxon,4.63,657,142
11,0,01418,Bill Glasson,4.63,657,142
11,0,01527,Scott Hoch,4.63,740,160
11,0,01783,Mark McCumber,4.63,639,138
11,0,02049,Gene Sauers,4.63,760,164
11,0,02099,Scott Simpson,4.63,653,141
19,0,01098,Jay Don Blake,4.64,664,143
19,0,01249,John Daly,4.64,566,122
19,0,01677,Tom Lehman,4.64,775,167
19,0,01890,Brett Ogle,4.64,441,95
19,0,02225,Howard Twitty,4.64,701,151
24,0,01132,Mark Brooks,4.65,758,163
24,0,01569,Peter Jacobsen,4.65,604,130
24,0,01648,Billy Kratzert,4.65,377,81
27,0,01157,Tom Byrum,4.66,582,125
27,0,01361,Dan Forsman,4.66,694,149
27,0,01385,Jim Gallagher Jr.,4.66,764,164
27,0,06575,Dudley Hart,4.66,713,153
27,0,01975,Tom Purtzer,4.66,461,99
27,0,02033,Dave Rummells,4.66,643,138
27,0,02131,Mike Springer,4.66,652,140
34,0,01093,Ronnie Black,4.67,729,156
34,0,01331,Rick Fehr,4.67,804,172
34,0,01706,Davis Love III,4.67,808,173
34,0,01920,Craig Parry,4.67,560,120
38,0,01219,John Cook,4.68,683,146
38,0,01288,Ed Dougherty,4.68,904,193
38,0,01378,David Frost,4.68,585,125
38,0,01607,Brian Kamm,4.68,665,142
42,0,06006,JC Anderson,4.69,638,136
42,0,01200,Keith Clearwater,4.69,901,192
42,0,01707,Steve Lowery,4.69,882,188
42,0,01771,Blaine McCallister,4.69,717,153
42,0,01938,David Peoples,4.69,676,144
42,0,02242,Lanny Wadkins,4.69,581,124
48,0,01235,Ben Crenshaw,4.70,555,118
48,0,01475,Donnie Hammond,4.70,719,153
48,0,01577,Lee Janzen,4.70,785,167
48,0,01682,Wayne Levi,4.70,606,129
