RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOT DIST (FT),TOT EAGLES PUTTS MADE.,LONGEST MADE (FT),SHORTEST MADE (FT)
1,0,20160,Charlie Wi,35' 8",71.333,2,55,17
2,0,10885,Robert Allenby,33' 11",67.750,2,35,32
3,0,32640,Troy Merritt,32' 10",131.167,4,75,5
3,0,27064,Jhonattan Vegas,32' 10",131.250,4,69,12
5,0,21949,Joe Ogilvie,31' 9",126.917,4,52,4
6,0,33413,Ben Martin,31' 2",156.000,5,83,6
6,0,01766,Billy Mayfair,31' 2",155.833,5,67,10
8,0,24663,Y.E. Yang,31' 1",31.083,1,31,31
9,0,26668,Marc Turnesa,30' 6",61.000,2,46,15
10,0,23497,Tag Ridings,28' 9",172.667,6,58,18
11,0,31193,Jim Renner,28' 5",56.750,2,35,22
12,0,24358,Robert Garrigus,27' 3",163.417,6,57,2
13,0,20229,Stewart Cink,27' 1",81.167,3,59,10
14,0,08537,J.P. Hayes,27' 0",81.000,3,48,12
15,0,10505,Shane Bertsch,26' 11",53.833,2,30,24
16,0,23638,Brendon de Jonge,26' 2",130.833,5,66,4
17,0,06621,Joe Durant,26' 0",26.000,1,26,26
18,0,20848,Ángel Cabrera,25' 11",155.500,6,103,2
19,0,23718,Nathan Green,25' 10",103.333,4,53,6
19,0,31323,Gary Woodland,25' 10",155.000,6,39,9
21,0,24604,Hunter Haas,25' 7",76.750,3,53,4
22,0,30110,Kyle Stanley,25' 2",125.917,5,40,11
23,0,08075,Jerry Kelly,24' 11",49.750,2,27,22
24,0,25686,Jason Dufner,24' 10",49.667,2,43,7
25,0,27120,Troy Matteson,24' 5",73.250,3,37,2
26,0,21753,Brian Davis,24' 4",72.917,3,40,16
27,0,21209,Sergio Garcia,23' 6",117.500,5,44,13
28,0,08725,Tom Gillis,23' 3",46.417,2,33,13
28,0,30946,Alex Prugh,23' 3",92.833,4,57,6
30,0,27933,John Merrick,23' 2",92.667,4,38,7
30,0,01810,Phil Mickelson,23' 2",92.667,4,38,5
32,0,10809,Jim Furyk,23' 1",46.167,2,32,14
33,0,27939,Matt McQuillan,22' 10",68.500,3,46,10
34,0,24357,K.J. Choi,22' 8",68.000,3,29,19
35,0,30711,Colt Knost,22' 7",22.583,1,23,23
36,0,24140,Sean O'Hair,22' 6",134.917,6,59,8
37,0,10585,Scott McCarron,22' 0",131.833,6,44,3
38,0,12716,Charley Hoffman,21' 11",65.750,3,37,5
39,0,22405,Justin Rose,21' 7",64.667,3,32,7
40,0,06573,Brandt Jobe,21' 6",43.000,2,31,12
41,0,20645,John Senden,21' 3",169.750,8,69,9
42,0,24361,Pat Perez,20' 2",60.583,3,25,13
43,0,24781,Hunter Mahan,20' 1",120.417,6,37,4
44,0,21731,Freddie Jacobson,19' 11",19.917,1,20,20
44,0,01706,Davis Love III,19' 11",39.750,2,35,5
44,0,27095,Nick Watney,19' 11",139.583,7,25,10
47,0,25804,Bubba Watson,19' 10",258.250,13,54,3
48,0,25274,Steven Bowditch,19' 9",98.583,5,41,8
49,0,22621,Ben Curtis,19' 8",19.667,1,20,20
49,0,12602,Dean Wilson,19' 8",19.667,1,20,20
51,0,23800,Bryce Molder,19' 6",19.500,1,20,20
52,0,06251,Chris DiMarco,19' 5",19.417,1,19,19
52,0,25240,D.A. Points,19' 5",136.000,7,68,4
54,0,33141,Keegan Bradley,19' 4",96.833,5,28,13
55,0,25345,Carl Pettersson,19' 3",115.250,6,44,7
56,0,22378,Trevor Immelman,19' 2",57.417,3,35,9
56,0,27974,Sung Kang,19' 2",153.500,8,57,4
58,0,21407,Arjun Atwal,18' 11",18.917,1,19,19
59,0,30925,Dustin Johnson,18' 8",93.500,5,28,8
59,0,24502,Adam Scott,18' 8",37.250,2,31,7
61,0,27936,Martin Laird,18' 3",127.583,7,47,4
61,0,27649,Brandt Snedeker,18' 3",91.250,5,37,3
63,0,29718,Anthony Kim,17' 11",89.500,5,35,1
63,0,25562,Andres Romero,17' 11",107.667,6,36,5
63,0,26679,Kevin Stadler,17' 11",53.667,3,29,7
66,0,25900,Lucas Glover,17' 5",139.333,8,40,4
67,0,24507,Jason Bohn,17' 4",86.500,5,37,1
67,0,06515,Shaun Micheel,17' 4",34.667,2,26,8
67,0,27214,Kevin Streelman,17' 4",86.500,5,32,6
70,0,26289,Boo Weekley,17' 1",68.250,4,28,6
71,0,28089,Jason Day,16' 10",67.250,4,36,9
71,0,20766,Padraig Harrington,16' 10",33.667,2,18,15
71,0,22913,John Rollins,16' 10",151.333,9,49,2
74,0,23983,Luke Donald,16' 8",33.333,2,25,9
75,0,35087,Bio Kim,16' 7",16.583,1,17,17
76,0,32698,Bobby Gates,16' 6",131.917,8,48,5
77,0,11123,Chris Couch,16' 5",65.667,4,35,8
78,0,19846,Brian Gay,16' 3",16.250,1,16,16
79,0,29420,Billy Horschel,16' 2",64.667,4,44,7"
80,0,29518,Brendan Steele,16' 0",96.167,6,27,5
81,0,29221,Webb Simpson,15' 11",158.917,10,43,5
81,0,27330,Josh Teater,15' 11",111.417,7,33,2
83,0,25444,Justin Hicks,15' 10",31.667,2,23,9
84,0,33419,Cameron Tringale,15' 9",78.833,5,27,7
85,0,24490,George McNeill,15' 7",31.083,2,25,6
86,0,23108,Matt Kuchar,15' 6",77.500,5,33,11"
87,0,26300,Matt Jones,15' 4",46.083,3,18,11
88,0,23325,Vaughn Taylor,15' 3",76.250,5,24,4
89,0,20498,Briny Baird,15' 2",15.167,1,15,15
90,0,01797,Rocco Mediate,15' 1",30.083,2,21,9
91,0,29478,Kevin Kisner,14' 10",59.250,4,20,5
91,0,28475,Jeff Overton,14' 10",88.750,6,42,3"
93,0,24925,Jonathan Byrd,14' 9",73.833,5,21,5
94,0,23623,Bo Van Pelt,14' 8",87.833,6,37,3
95,0,25396,Kevin Na,14' 5",57.500,4,21,10
96,0,25818,Scott Piercy,14' 0",84.000,6,33,4
97,0,27797,Derek Lamely,13' 11",69.583,5,31,2
98,0,30750,Tommy Gainey,13' 10",69.083,5,27,1
98,0,27963,Chris Stroud,13' 10",69.250,5,31,3
100,0,20070,Matt Bettencourt,13' 8",81.750,6,21,8
100,0,24924,Bill Haas,13' 8",40.917,3,34,2
100,0,26476,Chez Reavie,13' 8",41.083,3,34,3
103,0,23548,Bill Lunde,13' 7",40.667,3,19,8
104,0,22348,Nick O'Hern,13' 6",40.583,3,23,7
105,0,22371,Aaron Baddeley,13' 4",53.333,4,25,4
105,0,24980,Scott Gutschewski,13' 4",26.667,2,18,9
107,0,26596,Ryan Moore,13' 1",26.083,2,19,7
107,0,26287,Roland Thatcher,13' 1",52.250,4,36,3
109,0,28679,Fabián Gómez,13' 0",52.000,4,32,4
