RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL PUTTS,TOTAL ROUNDS
135,0,40058,Zac Blair,29.33,792,27
135,0,51349,Nico Echavarria,29.33,880,30
135,0,30692,Scott Stallings,29.33,792,27
135,0,48887,Matt Wallace,29.33,792,27
139,0,29725,Tony Finau,29.35,675,23
139,0,49766,Hank Lebioda,29.35,675,23
139,0,31323,Gary Woodland,29.35,675,23
139,0,45242,Kevin Yu,29.35,675,23
143,0,46046,Scottie Scheffler,29.36,646,22
143,0,48867,Matti Schmid,29.36,822,28
145,0,51070,Vincent Norrman,29.37,793,27
146,0,19803,Ryan Armour,29.38,940,32
146,0,32448,James Hahn,29.38,764,26
148,0,47347,Adam Schenk,29.39,1058,36
148,0,27214,Kevin Streelman,29.39,911,31
148,0,58967,Trevor Werbylo,29.39,823,28
151,0,47988,Nick Hardy,29.40,1029,35
151,0,27095,Nick Watney,29.40,882,30
153,0,24140,Sean O'Hair,29.42,559,19
154,0,52375,Doug Ghim,29.43,883,30
155,0,35310,Lanto Griffin,29.44,530,18
156,0,59018,Ryan Gerard,29.45,589,20
156,0,35617,Martin Trainer,29.45,648,22
158,0,51997,Andrew Novak,29.46,825,28
159,0,32366,Kevin Chappell,29.47,560,19
159,0,25900,Lucas Glover,29.47,884,30
161,0,34255,Joseph Bramlett,29.48,737,25
161,0,45609,Tyler Duncan,29.48,973,33
163,0,29221,Webb Simpson,29.53,561,19
164,0,39324,J.J. Spaun,29.55,857,29
165,0,22056,Cameron Percy,29.57,621,21
166,0,53165,Doc Redman,29.59,858,29
167,0,27129,Luke List,29.60,888,30
168,0,31577,Tano Goya,29.64,830,28
168,0,36801,Mark Hubbard,29.64,1067,36
170,0,28420,Ryan Brehm,29.67,979,33
171,0,49298,Kramer Hickok,29.69,950,32
171,0,36326,David Lipsky,29.69,950,32
171,0,32333,Kevin Tway,29.69,1069,36
174,0,26476,Chez Reavie,29.70,891,30
174,0,52411,Kyle Westmoreland,29.70,891,30
176,0,36871,Matt NeSmith,29.71,921,31
177,0,32662,Michael Gligic,29.76,863,29
177,0,27554,Scott Harrington,29.76,863,29
179,0,55708,Hayden Buckley,29.78,804,27
179,0,51491,Brandon Matthews,29.78,685,23
181,0,51950,Max McGreevy,29.80,1043,35
182,0,12716,Charley Hoffman,29.86,866,29
183,0,29908,C.T. Pan,29.88,508,17
184,0,27936,Martin Laird,29.90,897,30
185,0,25686,Jason Dufner,29.91,957,32
186,0,30163,Henrik Norlander,29.97,899,30
187,0,56762,Will Gordon,30.00,1020,34
188,0,52372,Cameron Champ,30.07,842,28
189,0,51414,Brent Grant,30.10,903,30
190,0,39335,Kevin Roy,30.17,875,29
191,0,36724,Augusto Núñez,30.20,906,30
192,0,31557,Jim Herman,30.23,786,26
193,0,33122,Russell Knox,30.29,1060,35
