RANK,MOVEMENT,PLAYER_ID,PLAYER,%,PAR OR BETTER,MISSED GIR
1,0,40098,Matt Fitzpatrick,69.62,291,418
2,0,23108,Matt Kuchar,69.20,319,461
3,0,33204,Shane Lowry,67.46,226,335
4,0,45522,Christiaan Bezuidenhout,66.05,323,489
5,0,39971,Sungjae Im,66.02,305,462
6,0,34256,Andrew Putnam,65.72,372,566
7,0,47993,Denny McCarthy,65.54,409,624
8,0,35450,Patrick Cantlay,65.43,246,376
9,0,24925,Jonathan Byrd,65.42,227,347
10,0,49771,J.T. Poston,64.90,342,527
11,0,33448,Justin Thomas,64.67,280,433
12,0,27349,Alex Noren,64.56,255,395
13,0,30911,Tommy Fleetwood,64.45,223,346
14,0,30927,Brendon Todd,64.44,337,523
15,0,27214,Kevin Streelman,64.41,342,531
16,0,35532,Tom Hoge,64.26,374,582
17,0,35449,Adam Long,64.23,334,520
17,0,32839,Hideki Matsuyama,64.23,264,411
19,0,36801,Mark Hubbard,63.92,248,388
20,0,39546,Keith Mitchell,63.67,319,501
21,0,23325,Vaughn Taylor,63.64,203,319
22,0,29725,Tony Finau,63.60,283,445
23,0,24924,Bill Haas,63.46,363,572
24,0,27936,Martin Laird,63.34,235,371
25,0,29535,Brice Garnett,63.08,287,455
26,0,51634,Sahith Theegala,63.05,430,682
27,0,28252,Seamus Power,62.95,277,440
28,0,27644,Brian Harman,62.89,339,539
28,0,30926,Chris Kirk,62.89,322,512
30,0,28237,Rory McIlroy,62.77,204,325
31,0,49964,Aaron Wise,62.63,300,479
32,0,29420,Billy Horschel,62.59,251,401
33,0,57366,Cameron Young,62.55,324,518
34,0,45609,Tyler Duncan,62.47,298,477
35,0,32150,Michael Thompson,62.43,339,543
36,0,46435,Austin Cook,62.19,278,447
37,0,51997,Andrew Novak,62.13,297,478
38,0,32640,Troy Merritt,62.06,373,601
39,0,48081,Xander Schauffele,62.04,237,382
40,0,34046,Jordan Spieth,61.98,269,434
41,0,45486,Joaquin Niemann,61.90,286,462
41,0,24361,Pat Perez,61.90,247,399
43,0,30692,Scott Stallings,61.87,370,598
44,0,31560,Brian Stuard,61.85,347,561
45,0,47529,Mito Pereira,61.81,301,487
46,0,33399,Adam Hadwin,61.61,321,521
47,0,37455,Si Woo Kim,61.45,373,607
48,0,34431,Robert Streb,61.35,327,533
49,0,19803,Ryan Armour,61.30,179,292
50,0,36852,Jim Knous,61.24,207,338
50,0,26851,Marc Leishman,61.24,267,436
52,0,24138,Ian Poulter,61.20,183,299
53,0,51890,Greyson Sigg,61.12,316,517
54,0,31323,Gary Woodland,61.05,257,421
55,0,49766,Hank Lebioda,61.01,302,495
56,0,34360,Patrick Reed,60.98,286,469
57,0,52375,Doug Ghim,60.95,309,507
58,0,32448,James Hahn,60.87,266,437
59,0,22056,Cameron Percy,60.84,160,263
60,0,37189,Harold Varner III,60.82,253,416
61,0,51766,Wyndham Clark,60.79,369,607
62,0,39058,Lucas Herbert,60.73,249,410
63,0,46402,Talor Gooch,60.71,238,392
64,0,45526,Abraham Ancer,60.69,210,346
65,0,30944,Jason Kokrak,60.63,231,381
65,0,28775,Nate Lashley,60.63,268,442
67,0,33597,Harry Higgs,60.61,337,556
67,0,32139,Danny Willett,60.61,240,396
69,0,29518,Brendan Steele,60.55,244,403
70,0,40250,Taylor Pendrith,60.53,227,375
71,0,46340,Alex Smalley,60.45,321,531
72,0,26476,Chez Reavie,60.35,309,512
73,0,21961,Charles Howell III,60.28,170,282
73,0,48822,Sebastián Muñoz,60.28,302,501
75,0,46414,Aaron Rai,60.20,301,500
76,0,48084,Wesley Bryan,60.17,207,344
77,0,29908,C.T. Pan,60.12,297,494
78,0,36799,Stephan Jaeger,60.11,336,559
78,0,39324,J.J. Spaun,60.11,339,564
80,0,25493,Nick Taylor,60.07,331,551
81,0,26300,Matt Jones,60.05,227,378
82,0,39977,Max Homa,59.96,301,502
83,0,28089,Jason Day,59.94,217,362
83,0,35891,Cameron Smith,59.94,214,357
85,0,46046,Scottie Scheffler,59.90,251,419
86,0,29974,Branden Grace,59.88,194,324
87,0,32791,K.H. Lee,59.87,361,603
88,0,25818,Scott Piercy,59.85,310,518
89,0,23983,Luke Donald,59.76,251,420
90,0,35506,Mackenzie Hughes,59.74,328,549
90,0,29478,Kevin Kisner,59.74,233,390
92,0,47504,Sam Burns,59.65,269,451
93,0,39953,Chase Seiffert,59.62,186,312
94,0,50525,Collin Morikawa,59.59,202,339
95,0,45157,Cam Davis,59.57,305,512
96,0,34174,John Huh,59.50,263,442
96,0,32757,Patton Kizzire,59.50,332,558
98,0,24980,Scott Gutschewski,59.43,189,318
99,0,35310,Lanto Griffin,59.38,288,485
99,0,46717,Viktor Hovland,59.38,247,416
101,0,36699,Patrick Rodgers,59.34,289,487
102,0,29970,Dylan Frittelli,59.29,351,592
103,0,34610,Matthias Schwab,59.24,234,395
104,0,34563,Chesson Hadley,59.12,295,499
104,0,31420,Anirban Lahiri,59.12,269,455
106,0,23621,Rory Sabbatini,59.10,211,357
107,0,39997,Corey Conners,59.09,260,440
107,0,32662,Michael Gligic,59.09,247,418
109,0,10381,Curtis Thompson,59.06,251,425
110,0,34466,Peter Malnati,58.91,390,662
111,0,49947,Taylor Moore,58.75,282,480
112,0,35461,Beau Hossler,58.70,270,460
113,0,54628,Lee Hodges,58.61,303,517
114,0,47483,Will Zalatoris,58.54,233,398
115,0,48117,Kurt Kitayama,58.47,252,431
116,0,46601,Trey Mullinax,58.45,287,491
117,0,40162,Justin Lower,58.39,247,423
118,0,33141,Keegan Bradley,58.32,284,487
119,0,29221,Webb Simpson,58.24,219,376
120,0,32333,Kevin Tway,58.20,284,488
121,0,51894,Vince Whaley,58.12,322,554
122,0,33122,Russell Knox,58.08,266,458
