RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,AVERAGE CARRY DIST. YARDS,AVERAGE CLUB HEAD SPEED,TOTAL ATTEMPTS,HIGHEST CARRY EFFICIENCY
1,0,01249,John Daly,2.534,301.7,119.058,26,0237902716
2,0,27141,J.B. Holmes,2.520,305.2,121.137,61,0226902699
3,0,23541,Ben Crane,2.515,276.4,109.917,58,0212402798
4,0,30750,Tommy Gainey,2.512,283.6,112.933,70,0224002784
5,0,02206,David Toms,2.511,261.9,104.301,37,0226002718
6,0,23320,Ryan Palmer,2.509,291.3,116.102,59,0222702760
7,0,32102,Rickie Fowler,2.507,289.6,115.522,48,0227702761
8,0,23325,Vaughn Taylor,2.505,271.4,108.337,50,0213602797
9,0,21805,Harrison Frazar,2.504,286.5,114.426,34,0220602893
9,0,27330,Josh Teater,2.504,289.9,115.784,66,0228302774
11,0,30110,Kyle Stanley,2.501,298.6,119.390,44,0225302738
12,0,33141,Keegan Bradley,2.498,291.8,116.803,53,0216102782
12,0,26758,David Hearn,2.498,274.1,109.748,66,0226702789
14,0,30926,Chris Kirk,2.497,281.5,112.695,67,0217102830
14,0,23623,Bo Van Pelt,2.497,284.8,114.039,55,0233402685
16,0,06522,Ernie Els,2.494,282.5,113.266,55,0209902717
16,0,25818,Scott Piercy,2.494,293.3,117.599,58,0201302834
18,0,01724,Jeff Maggert,2.491,264.2,106.073,67,0219702652
19,0,24940,Edward Loar,2.489,291.8,117.208,30,0213802678
20,0,29476,Kyle Reifers,2.488,277.2,111.375,56,0223002820
20,0,30692,Scott Stallings,2.488,295.5,118.778,51,0218302834
22,0,27649,Brandt Snedeker,2.485,275.2,110.726,55,0229202669
23,0,01706,Davis Love III,2.484,286.2,115.227,35,0229602731
23,0,24140,Sean O'Hair,2.484,289.1,116.352,56,0216902775
25,0,30925,Dustin Johnson,2.482,302.8,122.018,37,0210902782
26,0,24781,Hunter Mahan,2.480,277.9,112.038,56,0227102751
26,0,01766,Billy Mayfair,2.480,272.9,110.060,67,0217302802
28,0,27120,Troy Matteson,2.478,288.7,116.537,59,0216502692
28,0,29518,Brendan Steele,2.478,277.7,112.094,56,0222202904
30,0,24494,Erik Compton,2.476,284.5,114.933,46,0201502684
31,0,27302,Garth Mulroy,2.475,284.0,114.743,36,0220302700
32,0,19970,Robert Karlsson,2.474,289.7,117.106,30,0223902671
32,0,27936,Martin Laird,2.474,291.4,117.792,41,0217202813
34,0,27974,Sung Kang,2.473,271.3,109.703,45,0222502731
34,0,26287,Roland Thatcher,2.473,277.3,112.145,31,0207002673
36,0,29420,Billy Horschel,2.472,275.1,111.275,42,0220002715
37,0,26476,Chez Reavie,2.471,271.7,109.954,56,0228302733
37,0,25804,Bubba Watson,2.471,307.7,124.552,41,0214702800
37,0,25892,Steve Wheatcroft,2.471,270.9,109.657,33,0216102727
40,0,23542,Tommy Biershenk,2.470,270.0,109.324,45,0221102639
41,0,26329,Louis Oosthuizen,2.469,288.4,116.821,47,0213402874
42,0,34021,Bud Cauley,2.468,277.3,112.381,79,0219902747
42,0,19846,Brian Gay,2.468,258.2,104.603,71,0213102755
44,0,20070,Matt Bettencourt,2.467,278.6,112.940,36,0223102713
44,0,25457,Alexandre Rocha,2.467,269.5,109.213,37,0219302662
44,0,26679,Kevin Stadler,2.467,280.2,113.582,51,0210202668
47,0,24358,Robert Garrigus,2.466,299.4,121.405,55,0211102754
48,0,28475,Jeff Overton,2.465,276.0,111.997,77,0202602680
48,0,06527,Steve Stricker,2.465,276.5,112.169,44,0223902782
50,0,28237,Rory McIlroy,2.463,296.0,120.193,36,0204502767
51,0,22293,Heath Slocum,2.461,261.0,106.064,63,0210102692
51,0,32150,Michael Thompson,2.461,274.5,111.508,53,0230502743
51,0,27770,Camilo Villegas,2.461,277.9,112.942,57,0204702702
51,0,21878,Mark Wilson,2.461,264.2,107.353,57,0222802787
55,0,01116,Michael Bradley,2.459,281.1,114.315,26,0217002805
55,0,32200,Roberto Castro,2.459,277.2,112.764,61,0213002659
57,0,28089,Jason Day,2.457,292.0,118.853,36,0200502794
57,0,25562,Andres Romero,2.457,283.5,115.394,43,0215602679
57,0,08793,Tiger Woods,2.457,296.7,120.744,32,0223102766
60,0,12782,Tim Herron,2.456,276.8,112.726,65,0218802709
61,0,34174,John Huh,2.455,272.8,111.137,70,0218802757
61,0,01797,Rocco Mediate,2.455,263.7,107.428,49,0226702641
61,0,25834,Daniel Summerhays,2.455,277.7,113.113,49,0217702651
64,0,23621,Rory Sabbatini,2.454,275.2,112.131,58,0220402784
64,0,29221,Webb Simpson,2.454,277.8,113.196,51,0223102620
66,0,24924,Bill Haas,2.453,283.6,115.653,58,0204902763
67,0,21753,Brian Davis,2.452,259.1,105.666,72,0218202699
68,0,10885,Robert Allenby,2.451,273.2,111.468,49,0223802687
68,0,22621,Ben Curtis,2.451,265.2,108.208,49,0225302668
70,0,24024,Zach Johnson,2.450,263.6,107.588,68,0225202647
71,0,22582,Kyle Thompson,2.449,263.4,107.561,29,0218202658
72,0,22046,Geoff Ogilvy,2.448,281.5,114.984,41,0222702596
72,0,06567,Vijay Singh,2.448,278.5,113.785,56,0207302649
74,0,33120,Mark Anderson,2.447,288.2,117.760,36,0214802623
75,0,20574,Mathew Goggin,2.446,276.0,112.855,47,0214002675
75,0,27644,Brian Harman,2.446,271.3,110.909,73,0219902666
75,0,25345,Carl Pettersson,2.446,278.5,113.888,64,0221702631
78,0,21407,Arjun Atwal,2.445,268.1,109.672,54,0222502657
78,0,29289,S.Y. Noh,2.445,289.4,118.391,66,0217102646
80,0,12716,Charley Hoffman,2.444,283.0,115.784,69,0206302682
80,0,22405,Justin Rose,2.444,280.1,114.633,45,0222202676
80,0,33419,Cameron Tringale,2.444,280.6,114.824,62,0215402688
83,0,35139,Richard Lee,2.443,268.0,109.702,44,0214002730
83,0,23800,Bryce Molder,2.443,266.9,109.231,62,0212902822
83,0,27095,Nick Watney,2.443,289.9,118.684,63,0210802741
86,0,26851,Marc Leishman,2.442,282.0,115.449,60,0209802789
87,0,27436,Graham DeLaet,2.441,293.1,120.078,51,0206802706
88,0,06573,Brandt Jobe,2.440,283.0,115.945,32,0207202692
88,0,23548,Bill Lunde,2.440,273.3,112.002,55,0217502609
88,0,10213,Dicky Pride,2.440,266.6,109.262,43,0220202658
91,0,20848,Ángel Cabrera,2.439,290.8,119.251,26,0222102767
91,0,23108,Matt Kuchar,2.439,263.8,108.170,65,0209802694
93,0,27214,Kevin Streelman,2.438,281.2,115.355,64,0213402664
94,0,34099,Harris English,2.437,286.3,117.467,64,0213402719
94,0,27060,John Mallinger,2.437,263.3,108.061,53,0218302673
94,0,20160,Charlie Wi,2.437,271.4,111.356,53,0221602693
97,0,20229,Stewart Cink,2.436,282.0,115.783,34,0216502613
97,0,24138,Ian Poulter,2.436,270.2,110.909,36,0222502621
99,0,08075,Jerry Kelly,2.435,256.8,105.468,67,0215902663
99,0,22913,John Rollins,2.435,276.3,113.481,63,0218602634
101,0,27933,John Merrick,2.434,275.4,113.149,57,0219602639
