RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL CLUB HEAD SPEED,TOTAL ATTEMPTS
1,0,25804,Bubba Watson,124.69,6608.67,53
2,0,31323,Gary Woodland,123.85,5449.44,44
3,0,32334,Charlie Beljan,122.83,4667.39,38
4,0,27064,Jhonattan Vegas,122.47,7960.53,65
5,0,30925,Dustin Johnson,121.62,5351.33,44
6,0,24358,Robert Garrigus,121.37,8010.39,66
7,0,27141,J.B. Holmes,121.33,8978.55,74
8,0,08793,Tiger Woods,120.94,4595.64,38
9,0,21528,Henrik Stenson,120.71,1810.70,15
10,0,28237,Rory McIlroy,120.21,4567.93,38
11,0,27436,Graham DeLaet,120.04,7562.43,63
12,0,32698,Bobby Gates,119.63,7297.31,61
13,0,11123,Chris Couch,119.61,4664.86,39
14,0,30110,Kyle Stanley,119.51,6334.27,53
15,0,24502,Adam Scott,119.30,4772.10,40
16,0,28089,Jason Day,119.16,5123.71,43
17,0,21209,Sergio Garcia,119.13,5241.64,44
18,0,20848,Ángel Cabrera,119.08,3929.72,33
19,0,01249,John Daly,119.07,3572.15,30
20,0,22371,Aaron Baddeley,119.05,5714.56,48
21,0,30692,Scott Stallings,118.96,7851.61,66
22,0,28500,Martin Flores,118.91,7848.01,66
23,0,20691,Greg Owen,118.80,7484.71,63
24,0,27095,Nick Watney,118.69,8783.15,74
25,0,29289,S.Y. Noh,118.35,9467.91,80
26,0,30944,Jason Kokrak,118.21,7328.99,62
27,0,21961,Charles Howell III,118.19,7682.13,65
28,0,22378,Trevor Immelman,118.16,6380.40,54
29,0,33120,Mark Anderson,117.80,5654.24,48
30,0,27936,Martin Laird,117.74,5651.64,48
31,0,25818,Scott Piercy,117.59,8231.36,70
32,0,23409,James Driscoll,117.54,7052.35,60
33,0,24940,Edward Loar,117.51,4465.46,38
34,0,34099,Harris English,117.48,9398.59,80
35,0,25632,Jimmy Walker,117.43,8690.06,74
36,0,32366,Kevin Chappell,117.33,8330.72,71
37,0,20396,Lee Westwood,117.20,5039.43,43
38,0,19970,Robert Karlsson,116.92,4559.93,39
39,0,26331,Charl Schwartzel,116.89,4441.83,38
40,0,33141,Keegan Bradley,116.83,6892.96,59
41,0,20850,Daniel Chopra,116.81,4789.20,41
41,0,01810,Phil Mickelson,116.81,6424.52,55
43,0,26329,Louis Oosthuizen,116.79,5839.75,50
44,0,27120,Troy Matteson,116.52,8156.34,70
45,0,26300,Matt Jones,116.45,4657.97,40
46,0,24140,Sean O'Hair,116.43,8033.76,69
47,0,31558,J.J. Killeen,116.31,8025.13,69
48,0,23320,Ryan Palmer,116.17,7899.46,68
49,0,27797,Derek Lamely,116.12,5922.03,51
50,0,24846,Ricky Barnes,116.05,8471.52,73
51,0,20229,Stewart Cink,115.94,4869.37,42
52,0,20645,John Senden,115.90,7417.50,64
53,0,27330,Josh Teater,115.84,9266.81,80
54,0,12716,Charley Hoffman,115.76,8681.85,75
55,0,06573,Brandt Jobe,115.70,4280.92,37
56,0,24490,George McNeill,115.68,6941.06,60
57,0,23638,Brendon de Jonge,115.66,11334.53,98
58,0,32102,Rickie Fowler,115.64,6823.04,59
58,0,28308,Troy Kelly,115.64,5088.20,44
60,0,24924,Bill Haas,115.55,7048.70,61
61,0,26851,Marc Leishman,115.52,7508.56,65
62,0,27214,Kevin Streelman,115.43,8426.62,73
63,0,25562,Andres Romero,115.42,6117.10,53
64,0,24361,Pat Perez,115.40,6577.97,57
65,0,01706,Davis Love III,115.18,4722.46,41
66,0,24925,Jonathan Byrd,115.14,5526.94,48
67,0,23718,Nathan Green,114.97,5288.76,46
68,0,22046,Geoff Ogilvy,114.96,6093.09,53
69,0,20766,Padraig Harrington,114.92,4366.85,38
70,0,26289,Boo Weekley,114.88,6318.67,55
71,0,27302,Garth Mulroy,114.82,4592.84,40
72,0,33419,Cameron Tringale,114.80,8380.56,73
73,0,23788,D.J. Trahan,114.76,5738.06,50
74,0,22405,Justin Rose,114.63,5731.55,50
75,0,24494,Erik Compton,114.57,6416.08,56
76,0,23903,Stephen Gangluff,114.56,4811.52,42
77,0,21805,Harrison Frazar,114.39,4918.83,43
78,0,28259,Sangmoon Bae,114.12,6504.95,57
79,0,23623,Bo Van Pelt,114.09,7187.75,63
80,0,01116,Michael Bradley,114.05,3991.68,35
81,0,23353,J.J. Henry,114.03,5929.79,52
82,0,08725,Tom Gillis,114.02,7639.18,67
83,0,29926,Danny Lee,113.85,6034.16,53
83,0,25345,Carl Pettersson,113.85,8652.60,76
85,0,06567,Vijay Singh,113.75,8417.83,74
86,0,29910,Blake Adams,113.63,7158.69,63
87,0,26679,Kevin Stadler,113.62,6703.80,59
