RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL DRIVES FOR <= 240,TOTAL DRIVES - OVERALL,RELATIVE TO PAR
1,0,01116,Michael Bradley,13.55,81,598,+0.210
2,0,10423,Mike Weir,10.38,68,655,+0.338
3,0,32150,Michael Thompson,9.86,73,740,+0.082
4,0,27963,Chris Stroud,9.48,103,1087,+0.136
5,0,23800,Bryce Molder,9.21,91,988,+0.055
6,0,10809,Jim Furyk,9.08,81,892,-0.099
7,0,06004,Stephen Ames,9.02,55,610,+0.200
8,0,23983,Luke Donald,8.91,57,640,-0.053
9,0,21878,Mark Wilson,8.71,61,700,-0.082
10,0,01320,Bob Estes,8.56,74,864,+0.041
10,0,27556,Ted Potter Jr.,8.56,66,771,+0.197
12,0,20443,Jin Park,8.51,51,599,+0.196
13,0,25444,Justin Hicks,8.50,78,918,+0.051
13,0,26951,Johnson Wagner,8.50,62,729,+0.210
15,0,32102,Rickie Fowler,8.44,70,829,+0.043
16,0,35139,Richard Lee,8.28,83,1002,+0.096
17,0,26851,Marc Leishman,8.27,74,895,+0.081
18,0,22378,Trevor Immelman,8.23,71,863,+0.225
19,0,27895,Jonas Blixt,8.22,77,937,+0.065
19,0,06573,Brandt Jobe,8.22,61,742,+0.049
21,0,32334,Charlie Beljan,8.05,62,770,+0.065
22,0,34261,Scott Langley,7.97,71,891,+0.169
23,0,20104,Ken Duke,7.93,83,1047,+0.193
24,0,23353,J.J. Henry,7.92,82,1035,-0.024
24,0,10213,Dicky Pride,7.92,65,821,+0.138
26,0,27436,Graham DeLaet,7.89,89,1128,+0.079
27,0,10885,Robert Allenby,7.86,57,725,+0.193
28,0,34174,John Huh,7.80,82,1051,+0.073
29,0,22621,Ben Curtis,7.73,50,647,+0.180
30,0,29740,Brad Fritsch,7.70,73,948,+0.151
31,0,12510,Chad Campbell,7.66,77,1005,+0.039
32,0,31560,Brian Stuard,7.65,67,876,+0.075
33,0,26497,Casey Wittenberg,7.64,65,851,+0.308
