RANK,MOVEMENT,PLAYER_ID,PLAYER,RTP SCORE
1,0,46717,Viktor Hovland,-.186
2,0,28237,Rory McIlroy,-.138
3,0,48153,Matthieu Pavon,-.118
4,0,46046,Scottie Scheffler,-.109
5,0,33653,Thomas Detry,-.105
6,0,46442,Maverick McNealy,-.100
7,0,32640,Troy Merritt,-.093
8,0,39327,Ben Silverman,-.092
8,0,50484,Hayden Springer,-.092
10,0,29725,Tony Finau,-.086
11,0,59095,Chris Gotterup,-.077
12,0,34563,Chesson Hadley,-.076
13,0,46414,Aaron Rai,-.071
13,0,55893,Sam Stevens,-.071
15,0,58168,Davis Thompson,-.060
16,0,40250,Taylor Pendrith,-.058
17,0,33968,Thorbjørn Olesen,-.052
17,0,34046,Jordan Spieth,-.052
19,0,54591,Ben Griffin,-.051
19,0,27349,Alex Noren,-.051
21,0,48084,Wesley Bryan,-.048
22,0,56149,Wilson Furr,-.040
23,0,49947,Taylor Moore,-.038
24,0,47995,Davis Riley,-.037
25,0,39324,J.J. Spaun,-.033
26,0,30163,Henrik Norlander,-.026
27,0,57975,Harry Hall,-.024
27,0,52215,Robert MacIntyre,-.024
29,0,31323,Gary Woodland,-.023
30,0,32367,Jorge Campillo,-.021
31,0,47504,Sam Burns,-.020
32,0,52372,Cameron Champ,-.019
33,0,32366,Kevin Chappell,-.016
34,0,48887,Matt Wallace,-.014
35,0,34255,Joseph Bramlett,-.013
36,0,28089,Jason Day,-.011
37,0,37378,Min Woo Lee,-.010
37,0,48081,Xander Schauffele,-.010
39,0,28420,Ryan Brehm,-.009
40,0,33948,Byeong Hun An,E
40,0,56630,Akshay Bhatia,E
40,0,60004,Jacob Bridgeman,E
40,0,59442,Parker Coody,E
40,0,60767,Blaine Hale Jr.,E
40,0,35506,Mackenzie Hughes,E
40,0,48117,Kurt Kitayama,E
47,0,39977,Max Homa,+.007
48,0,33408,Tyson Alexander,+.008
48,0,59836,Pierceson Coody,+.008
48,0,55789,Taylor Montgomery,+.008
48,0,45242,Kevin Yu,+.008
52,0,51766,Wyndham Clark,+.009
53,0,33486,Roger Sloan,+.011
54,0,34021,Bud Cauley,+.012
55,0,34587,Chan Kim,+.014
55,0,51634,Sahith Theegala,+.014
57,0,51894,Vince Whaley,+.015
58,0,52955,Ludvig Åberg,+.016
58,0,47993,Denny McCarthy,+.016
60,0,51977,Max Greyserman,+.017
60,0,32839,Hideki Matsuyama,+.017
60,0,39546,Keith Mitchell,+.017
60,0,47983,Chad Ramey,+.017
60,0,33448,Justin Thomas,+.017
65,0,40162,Justin Lower,+.018
66,0,32070,Rafael Campos,+.019
66,0,32102,Rickie Fowler,+.019
66,0,55182,Tom Kim,+.019
66,0,29221,Webb Simpson,+.019
70,0,28252,Seamus Power,+.021
71,0,35461,Beau Hossler,+.023
71,0,33204,Shane Lowry,+.023
71,0,36699,Patrick Rodgers,+.023
74,0,47988,Nick Hardy,+.024
75,0,39971,Sungjae Im,+.026
75,0,52513,Carson Young,+.026
77,0,51287,Ryo Hisatsune,+.027
77,0,24024,Zach Johnson,+.027
79,0,38991,Alejandro Tosti,+.028
80,0,50095,Austin Smotherman,+.030
81,0,39975,Michael Kim,+.031
82,0,35450,Patrick Cantlay,+.032
83,0,47663,Kevin Dougherty,+.033
83,0,40006,Erik van Rooyen,+.033
85,0,35532,Tom Hoge,+.035
86,0,57366,Cameron Young,+.036
87,0,52514,Trace Crowe,+.038
88,0,27644,Brian Harman,+.040
89,0,54421,Garrick Higgo,+.041
89,0,29908,C.T. Pan,+.041
91,0,50188,S.H. Kim,+.042
91,0,30927,Brendon Todd,+.042
93,0,25900,Lucas Glover,+.043
94,0,50493,Justin Suh,+.044
95,0,23108,Matt Kuchar,+.048
96,0,35617,Martin Trainer,+.049
97,0,57900,Chandler Phillips,+.050
98,0,34076,Joel Dahmen,+.051
99,0,39997,Corey Conners,+.052
99,0,45157,Cam Davis,+.052
99,0,54576,Patrick Fishburn,+.052
99,0,47420,Jake Knapp,+.052
103,0,33141,Keegan Bradley,+.053
103,0,40115,Adam Svensson,+.053
105,0,47483,Will Zalatoris,+.054
106,0,52375,Doug Ghim,+.055
106,0,51890,Greyson Sigg,+.055
108,0,59866,Nick Dunlap,+.057
109,0,47347,Adam Schenk,+.060
110,0,30911,Tommy Fleetwood,+.061
111,0,40026,Daniel Berger,+.062
112,0,34374,Erik Barnes,+.064
112,0,29420,Billy Horschel,+.064
112,0,25493,Nick Taylor,+.064
112,0,48319,Tom Whitney,+.064
116,0,51696,Rico Hoey,+.065
117,0,27064,Jhonattan Vegas,+.066
118,0,34256,Andrew Putnam,+.067
119,0,51997,Andrew Novak,+.068
119,0,46441,Robby Shelton,+.068
121,0,29936,Ryan Fox,+.069
122,0,32791,K.H. Lee,+.071
123,0,32757,Patton Kizzire,+.073
124,0,22371,Aaron Baddeley,+.074
124,0,31646,Emiliano Grillo,+.074
126,0,37455,Si Woo Kim,+.076
126,0,27936,Martin Laird,+.076
126,0,54783,Dylan Wu,+.076
129,0,34099,Harris English,+.077
129,0,46340,Alex Smalley,+.077
131,0,45609,Tyler Duncan,+.078
132,0,26596,Ryan Moore,+.081
133,0,35310,Lanto Griffin,+.083
133,0,24502,Adam Scott,+.083
135,0,28775,Nate Lashley,+.084
136,0,32333,Kevin Tway,+.087
136,0,55454,Carl Yuan,+.087
138,0,47679,Victor Perez,+.088
139,0,27214,Kevin Streelman,+.091
140,0,59143,Mac Meissner,+.092
141,0,30926,Chris Kirk,+.095
142,0,34098,Russell Henley,+.096
142,0,51070,Vincent Norrman,+.096
144,0,22405,Justin Rose,+.100
144,0,49960,Sepp Straka,+.100
146,0,50525,Collin Morikawa,+.101
146,0,52374,Brandon Wu,+.101
148,0,34466,Peter Malnati,+.103
148,0,48699,Callum Tarren,+.103
150,0,40058,Zac Blair,+.104
151,0,47806,Raul Pereda,+.105
152,0,40098,Matt Fitzpatrick,+.106
153,0,47591,Eric Cole,+.107
153,0,52453,Nicolai Højgaard,+.107
155,0,23320,Ryan Palmer,+.108
155,0,26476,Chez Reavie,+.108
157,0,48867,Matti Schmid,+.109
158,0,36799,Stephan Jaeger,+.110
159,0,52666,Sami Valimaki,+.113
160,0,48119,Ben Taylor,+.115
161,0,37275,Sam Ryder,+.120
162,0,27139,David Skinns,+.122
163,0,27129,Luke List,+.126
164,0,54628,Lee Hodges,+.129
165,0,49771,J.T. Poston,+.133
166,0,50497,Adrien Dumont de Chassart,+.135
167,0,57362,Austin Eckroat,+.136
167,0,36871,Matt NeSmith,+.136
169,0,36801,Mark Hubbard,+.137
170,0,60067,Joe Highsmith,+.138
171,0,46113,Ryan McCormick,+.143
172,0,33399,Adam Hadwin,+.145
173,0,45522,Christiaan Bezuidenhout,+.158
174,0,29535,Brice Garnett,+.159
175,0,37212,Paul Barjon,+.163
176,0,12716,Charley Hoffman,+.164
177,0,27770,Camilo Villegas,+.165
178,0,55708,Hayden Buckley,+.189
179,0,36884,Ben Kohles,+.190
180,0,27649,Brandt Snedeker,+.194
181,0,29478,Kevin Kisner,+.195
182,0,51349,Nico Echavarria,+.196
183,0,36326,David Lipsky,+.218
184,0,27330,Josh Teater,+.222
