RANK,MOVEMENT,PLAYER_ID,PLAYER,NUMBER OF ROUNDS
1,0,01320,Bob Estes,17
2,0,01331,Rick Fehr,16
3,0,01203,Russ Cochran,15
4,0,01527,Scott Hoch,13
4,0,01557,John Inman,13
4,0,01887,Mark O'Meara,13
7,0,02214,Kirk Triplett,12
8,0,01098,Jay Don Blake,11
8,0,01489,Steve Hart,11
8,0,01783,Mark McCumber,11
11,0,06643,Paul Goydos,10
11,0,01607,Brian Kamm,10
13,0,01388,Robert Gamez,9
13,0,01677,Tom Lehman,9
13,0,01755,Dick Mast,9
13,0,02159,Curtis Strange,9
13,0,02267,D.A. Weibring,9
18,0,08537,J.P. Hayes,8
18,0,01723,Andrew Magee,8
18,0,02099,Scott Simpson,8
21,0,01196,Brian Claar,7
21,0,10195,Tim Conley,7
21,0,01495,Morris Hatalsky,7
21,0,01736,Roger Maltbie,7
21,0,01891,David Ogrin,7
26,0,06197,Michael Allen,6
26,0,06204,Jeff Barlow,6
26,0,01329,Brad Faxon,6
26,0,01945,Kenny Perry,6
26,0,01975,Tom Purtzer,6
26,0,02010,Loren Roberts,6
26,0,02201,Jim Thorpe,6
26,0,02223,Bob Tway,6
34,0,01154,Bill Buttner,5
34,0,01890,Brett Ogle,5
34,0,08553,Lee Porter,5
34,0,02049,Gene Sauers,5
34,0,02245,Grant Waite,5
34,0,02322,Richard Zokol,5
40,0,01326,Nick Faldo,4
40,0,01578,Tom Jenkins,4
40,0,01609,Jim Kane,4
40,0,06332,Neal Lancaster,4
40,0,01715,Mark Lye,4
40,0,01849,Bill Murchison,4
40,0,02002,John Riegger,4
40,0,12416,Chris Van Der Velde,4
40,0,06725,Tom Wargo,4
40,0,02298,Jim Woodward,4
40,0,02321,Fuzzy Zoeller,4
51,0,01040,Emlyn Aubrey,3
51,0,06124,Patrick Burke,3
51,0,10909,Rett Crowder,3
51,0,01507,Webb Heintzelman,3
51,0,01553,John Huston,3
51,0,01555,Stu Ingraham,3
51,0,01876,Greg Norman,3
51,0,01971,Dillard Pruitt,3
51,0,02167,Mike Sullivan,3
51,0,02185,Lance Ten Broeck,3
51,0,02190,Doug Tewell,3
62,0,01014,Fulton Allem,2
62,0,06006,JC Anderson,2
62,0,01035,Tommy Armour III,2
62,0,01132,Mark Brooks,2
62,0,01143,Brad Bryant,2
62,0,01218,Jeff Cook,2
62,0,01226,Fred Couples,2
62,0,01241,Scott Curiel,2
62,0,01284,Mike Donald,2
62,0,01346,Ed Fiori,2
62,0,01390,Buddy Gardner,2
62,0,01549,Mike Hulbert,2
62,0,01550,Ed Humenik,2
62,0,01559,Hale Irwin,2
62,0,08075,Jerry Kelly,2
62,0,01619,Skip Kendall,2
62,0,01713,David Lundstrom,2
62,0,01724,Jeff Maggert,2
62,0,01725,John Mahaffey,2
62,0,01823,Larry Mize,2
62,0,01946,Peter Persons,2
62,0,02188,Ed Terasa,2
62,0,02191,Tim Thelen,2
