RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,ATTEMPTS,TOTAL DISTANCE (FEET),RELATIVE TO PAR
1,0,10809,Jim Furyk,28' 3",1029,29040.833,-166.00
1,0,24502,Adam Scott,28' 3",667,18820.667,-79.00
3,0,01945,Kenny Perry,28' 9",813,23354.250,-104.00
4,0,01226,Fred Couples,28' 10",553,15958.750,-43.00
5,0,02010,Loren Roberts,29' 0",698,20256.750,-45.00
6,0,01139,Olin Browne,29' 4",1229,36070.417,-109.00
6,0,12680,Shigeki Maruyama,29' 4",1129,33102.250,-135.00
8,0,01388,Robert Gamez,29' 7",1122,33151.000,-105.00
8,0,08793,Tiger Woods,29' 7",653,19342.667,-120.00
10,0,10885,Robert Allenby,29' 8",987,29310.583,-93.00
10,0,01035,Tommy Armour III,29' 8",1269,37680.750,-90.00
10,0,21209,Sergio Garcia,29' 8",647,19209.833,-76.00
13,0,12510,Chad Campbell,29' 10",1033,30852.083,-98.00
13,0,20472,Alex Cejka,29' 10",980,29266.417,-42.00
13,0,23983,Luke Donald,29' 10",555,16550.000,-63.00
16,0,01418,Bill Glasson,29' 11",606,18138.917,-20.00
16,0,08537,J.P. Hayes,29' 11",726,21730.250,-60.00
18,0,02206,David Toms,30' 0",878,26362.750,-111.00
19,0,19824,Craig Barlow,30' 1",885,26639.250,-46.00
19,0,06251,Chris DiMarco,30' 1",775,23308.083,-72.00
19,0,23725,Brendan Jones,30' 1",904,27226.833,-37.00
22,0,10860,Justin Leonard,30' 3",766,23186.500,-57.00
23,0,20157,Retief Goosen,30' 4",553,16786.667,-57.00
23,0,01724,Jeff Maggert,30' 4",868,26293.583,-49.00
23,0,02214,Kirk Triplett,30' 4",617,18702.083,-33.00
26,0,01553,John Huston,30' 5",1066,32457.917,-69.00
27,0,01320,Bob Estes,30' 7",1120,34287.083,-92.00
27,0,08075,Jerry Kelly,30' 7",1068,32658.083,-96.00
27,0,01797,Rocco Mediate,30' 7",879,26883.583,-63.00
27,0,02101,Joey Sindelar,30' 7",1376,42044.250,-106.00
27,0,22293,Heath Slocum,30' 7",1291,39476.750,-81.00
32,0,23541,Ben Crane,30' 8",829,25455.000,-95.00
32,0,01381,Fred Funk,30' 8",1244,38146.417,-55.00
32,0,20634,Peter Lonard,30' 8",906,27746.250,-48.00
32,0,02104,Jeff Sluman,30' 8",1196,36628.417,-74.00
32,0,22295,Darron Stiles,30' 8",972,29836.167,-67.00
37,0,20229,Stewart Cink,30' 9",951,29230.917,-110.00
38,0,22405,Justin Rose,30' 10",1175,36213.083,-92.00
39,0,06004,Stephen Ames,30' 11",824,25499.583,-71.00
39,0,20766,Padraig Harrington,30' 11",491,15197.583,-50.00
39,0,22046,Geoff Ogilvy,30' 11",960,29688.833,-74.00
39,0,06373,José María Olazábal,30' 11",532,16452.083,-59.00
39,0,23623,Bo Van Pelt,30' 11",1239,38324.583,-119.00
44,0,24507,Jason Bohn,31' 0",1091,33843.833,-106.00
44,0,01161,Mark Calcavecchia,31' 0",1051,32551.417,-72.00
44,0,12823,Carlos Franco,31' 0",868,26909.417,-83.00
44,0,20094,Jonathan Kaye,31' 0",871,26975.167,-84.00
44,0,08993,Franklin Langham,31' 0",987,30608.750,-31.00
44,0,01928,Corey Pavin,31' 0",858,26606.333,-78.00
44,0,20474,Phillip Price,31' 0",883,27388.917,-51.00
44,0,06527,Steve Stricker,31' 0",724,22425.167,-74.00
44,0,02239,Scott Verplank,31' 0",965,29895.750,-104.00
53,0,20098,Stuart Appleby,31' 1",841,26175.667,-63.00
53,0,07867,Woody Austin,31' 1",1182,36766.750,-95.00
53,0,06575,Dudley Hart,31' 1",990,30751.917,-96.00
53,0,20572,Rod Pampling,31' 1",890,27653.167,-85.00
53,0,23325,Vaughn Taylor,31' 1",1216,37842.333,-118.00
53,0,08385,Omar Uresti,31' 1",1073,33360.500,-61.00
59,0,01157,Tom Byrum,31' 2",1098,34226.667,-34.00
59,0,23135,Tim Clark,31' 2",880,27402.750,-75.00
61,0,06573,Brandt Jobe,31' 3",1032,32265.750,-93.00
62,0,06034,Marco Dawson,31' 4",1060,33239.833,-80.00
62,0,20663,Brenden Pappas,31' 4",599,18778.333,-62.00
64,0,20628,Arron Oberholser,31' 5",703,22081.417,-47.00
64,0,23621,Rory Sabbatini,31' 5",761,23878.667,-40.00
64,0,02223,Bob Tway,31' 5",895,28131.417,-95.00
64,0,23322,Brett Wetterich,31' 5",824,25894.833,-53.00
68,0,01024,Billy Andrade,31' 6",999,31489.083,-83.00
68,0,22548,Patrick Sheehan,31' 6",1296,40802.500,-75.00
70,0,20378,Mathias Grönberg,31' 7",721,22772.750,-71.00
70,0,01677,Tom Lehman,31' 7",678,21402.583,-54.00
70,0,24781,Hunter Mahan,31' 7",1229,38855.667,-66.00
73,0,01487,Jeff Hart,31' 8",877,27743.333,+18.00
73,0,01706,Davis Love III,31' 8",712,22540.833,-71.00
73,0,24140,Sean O'Hair,31' 8",1129,35765.667,-90.00
76,0,24357,K.J. Choi,31' 9",739,23458.333,-68.00
76,0,19846,Brian Gay,31' 9",1308,41561.250,-47.00
76,0,23320,Ryan Palmer,31' 9",1045,33153.250,-73.00
76,0,25240,D.A. Points,31' 9",1133,35949.500,-59.00
80,0,08123,Jeff Brehaut,31' 10",911,29036.583,-92.00
80,0,01361,Dan Forsman,31' 10",627,19964.333,-40.00
80,0,21805,Harrison Frazar,31' 10",1242,39550.000,-120.00
80,0,01948,Tim Petrovic,31' 10",1014,32302.833,-80.00
84,0,06197,Michael Allen,31' 11",965,30766.583,-62.00
84,0,06621,Joe Durant,31' 11",981,31310.583,-42.00
84,0,25345,Carl Pettersson,31' 11",1263,40304.917,-105.00
84,0,23788,D.J. Trahan,31' 11",929,29648.417,-62.00
84,0,02246,Duffy Waldorf,31' 11",1019,32516.833,-54.00
84,0,21878,Mark Wilson,31' 11",892,28495.083,-68.00
90,0,20099,Doug Barron,32' 0",887,28353.000,-73.00
90,0,24980,Scott Gutschewski,32' 0",908,29044.917,-63.00
90,0,10117,Bob Heintz,32' 0",794,25396.500,-75.00
90,0,23353,J.J. Henry,32' 0",1162,37144.833,-81.00
90,0,11032,Frank Lickliter II,32' 0",1147,36705.083,-76.00
