RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL 10TH TEE LATE RNDS.
1,0,35450,Patrick Cantlay,67.50,135,2
1,0,36689,Brooks Koepka,67.50,135,2
3,0,46717,Viktor Hovland,68.00,204,3
4,0,26329,Louis Oosthuizen,68.44,616,9
5,0,23320,Ryan Palmer,68.45,753,11
6,0,32757,Patton Kizzire,68.74,1306,19
7,0,39971,Sungjae Im,68.78,1238,18
8,0,29221,Webb Simpson,68.80,344,5
9,0,39997,Corey Conners,68.82,757,11
10,0,37455,Si Woo Kim,68.83,826,12
11,0,47959,Bryson DeChambeau,69.00,138,2
11,0,50525,Collin Morikawa,69.00,345,5
11,0,46970,Jon Rahm,69.00,69,1
11,0,35891,Cameron Smith,69.00,552,8
11,0,34431,Robert Streb,69.00,1173,17
16,0,49964,Aaron Wise,69.15,899,13
17,0,24138,Ian Poulter,69.25,831,12
18,0,45526,Abraham Ancer,69.27,762,11
19,0,39977,Max Homa,69.29,970,14
19,0,20396,Lee Westwood,69.29,485,7
21,0,21209,Sergio Garcia,69.33,416,6
21,0,30944,Jason Kokrak,69.33,624,9
21,0,48081,Xander Schauffele,69.33,208,3
24,0,23621,Rory Sabbatini,69.36,971,14
25,0,47347,Adam Schenk,69.44,1250,18
26,0,22056,Cameron Percy,69.50,695,10
27,0,40026,Daniel Berger,69.60,348,5
28,0,47128,Richy Werenski,69.75,1395,20
29,0,29725,Tony Finau,69.80,698,10
29,0,49766,Hank Lebioda,69.80,1047,15
31,0,30110,Kyle Stanley,69.82,1187,17
32,0,45486,Joaquin Niemann,69.83,838,12
32,0,39953,Chase Seiffert,69.83,838,12
34,0,27214,Kevin Streelman,69.85,1397,20
35,0,52375,Doug Ghim,69.88,1118,16
36,0,46046,Scottie Scheffler,69.92,839,12
37,0,35506,Mackenzie Hughes,69.93,979,14
38,0,29974,Branden Grace,69.94,1119,16
39,0,36699,Patrick Rodgers,69.95,1399,20
40,0,28237,Rory McIlroy,70.00,70,1
40,0,24502,Adam Scott,70.00,210,3
42,0,27129,Luke List,70.05,1331,19
42,0,25818,Scott Piercy,70.05,1331,19
44,0,34098,Russell Henley,70.08,911,13
45,0,29535,Brice Garnett,70.09,1612,23
46,0,27330,Josh Teater,70.11,631,9
47,0,30692,Scott Stallings,70.15,1403,20
48,0,27644,Brian Harman,70.17,842,12
49,0,46402,Talor Gooch,70.18,772,11
49,0,33597,Harry Higgs,70.18,772,11
51,0,20229,Stewart Cink,70.21,983,14
51,0,23788,D.J. Trahan,70.21,983,14
53,0,33399,Adam Hadwin,70.22,1615,23
53,0,28252,Seamus Power,70.22,632,9
53,0,27770,Camilo Villegas,70.22,1264,18
56,0,28420,Ryan Brehm,70.27,773,11
57,0,33404,Chris Baker,70.29,1195,17
58,0,30911,Tommy Fleetwood,70.30,703,10
58,0,12716,Charley Hoffman,70.30,703,10
60,0,49960,Sepp Straka,70.31,1125,16
61,0,25364,Paul Casey,70.33,422,6
61,0,28089,Jason Day,70.33,633,9
61,0,32839,Hideki Matsuyama,70.33,422,6
64,0,35310,Lanto Griffin,70.35,1618,23
65,0,30926,Chris Kirk,70.36,774,11
66,0,27349,Alex Noren,70.38,915,13
67,0,27064,Jhonattan Vegas,70.42,845,12
68,0,40006,Erik van Rooyen,70.44,634,9
69,0,32662,Michael Gligic,70.45,1409,20
70,0,31646,Emiliano Grillo,70.46,916,13
70,0,27649,Brandt Snedeker,70.46,916,13
72,0,26300,Matt Jones,70.47,1198,17
73,0,33490,Bo Hoag,70.50,1269,18
73,0,33204,Shane Lowry,70.50,564,8
73,0,33413,Ben Martin,70.50,987,14
73,0,24361,Pat Perez,70.50,1410,20
77,0,34563,Chesson Hadley,70.54,917,13
78,0,26476,Chez Reavie,70.55,1411,20
79,0,19803,Ryan Armour,70.56,1270,18
79,0,28775,Nate Lashley,70.56,1270,18
81,0,32102,Rickie Fowler,70.57,494,7
81,0,35461,Beau Hossler,70.57,988,14
81,0,48119,Ben Taylor,70.57,988,14
84,0,27942,Rob Oppenheim,70.61,1271,18
85,0,45157,Cam Davis,70.62,918,13
85,0,29908,C.T. Pan,70.62,918,13
87,0,24140,Sean O'Hair,70.64,777,11
88,0,39546,Keith Mitchell,70.65,1201,17
88,0,48822,Sebastián Muñoz,70.65,1413,20
90,0,25900,Lucas Glover,70.67,1272,18
90,0,24024,Zach Johnson,70.67,1272,18
90,0,23108,Matt Kuchar,70.67,636,9
93,0,31420,Anirban Lahiri,70.69,919,13
94,0,52372,Cameron Champ,70.73,778,11
94,0,34174,John Huh,70.73,778,11
96,0,35532,Tom Hoge,70.75,1415,20
97,0,56278,Matthew Wolff,70.78,637,9
98,0,32448,James Hahn,70.79,991,14
99,0,22371,Aaron Baddeley,70.80,708,10
100,0,32816,Satoshi Kodaira,70.84,1346,19
101,0,32333,Kevin Tway,70.86,992,14
102,0,36871,Matthew NeSmith,70.87,1063,15
103,0,33120,Mark Anderson,70.89,638,9
103,0,33141,Keegan Bradley,70.89,1276,18
103,0,34076,Joel Dahmen,70.89,1347,19
106,0,33486,Roger Sloan,70.92,922,13
107,0,46442,Maverick McNealy,70.94,1135,16
107,0,31560,Brian Stuard,70.94,1206,17
109,0,34314,Sebastian Cappelen,71.00,1207,17
109,0,24357,K.J. Choi,71.00,1065,15
109,0,34099,Harris English,71.00,426,6
109,0,29420,Billy Horschel,71.00,710,10
109,0,34360,Patrick Reed,71.00,142,2
109,0,30927,Brendon Todd,71.00,1065,15
109,0,32139,Danny Willett,71.00,710,10
116,0,32640,Troy Merritt,71.04,1634,23
117,0,34255,Joseph Bramlett,71.06,1137,16
117,0,25493,Nick Taylor,71.06,1279,18
119,0,29970,Dylan Frittelli,71.07,1066,15
120,0,49298,Kramer Hickok,71.08,853,12
121,0,26499,Rafa Cabrera Bello,71.11,1280,18
121,0,23623,Bo Van Pelt,71.11,1280,18
123,0,46435,Austin Cook,71.12,1778,25
124,0,40042,Tyler McCumber,71.13,1138,16
125,0,51766,Wyndham Clark,71.14,996,14
125,0,32791,K.H. Lee,71.14,1565,22
127,0,23983,Luke Donald,71.15,925,13
127,0,39324,J.J. Spaun,71.15,1423,20
129,0,27936,Martin Laird,71.17,1281,18
130,0,34466,Peter Malnati,71.19,1139,16
131,0,33410,Andrew Landry,71.20,1068,15
132,0,29478,Kevin Kisner,71.23,926,13
132,0,32254,Xinjun Zhang,71.23,926,13
134,0,23325,Vaughn Taylor,71.25,1140,16
135,0,56762,Will Gordon,71.26,1354,19
136,0,29926,Danny Lee,71.27,1069,15
137,0,48045,Michael Gellerman,71.30,713,10
138,0,32070,Rafael Campos,71.38,928,13
139,0,47483,Will Zalatoris,71.40,357,5
140,0,26331,Charl Schwartzel,71.41,1214,17
141,0,25686,Jason Dufner,71.42,1857,26
141,0,33419,Cameron Tringale,71.42,857,12
143,0,34256,Andrew Putnam,71.45,1572,22
144,0,36801,Mark Hubbard,71.47,1072,15
144,0,37275,Sam Ryder,71.47,1215,17
144,0,32150,Michael Thompson,71.47,1072,15
147,0,47504,Sam Burns,71.50,715,10
147,0,19846,Brian Gay,71.50,1144,16
149,0,33122,Russell Knox,71.54,1717,24
149,0,26851,Marc Leishman,71.54,930,13
151,0,24924,Bill Haas,71.55,787,11
152,0,47993,Denny McCarthy,71.60,1074,15
152,0,51894,Vince Whaley,71.60,1074,15
154,0,35104,Tom Lewis,71.65,1218,17
155,0,01810,Phil Mickelson,71.67,645,9
156,0,27974,Sung Kang,71.68,1577,22
157,0,29268,Bronson Burgoon,71.69,932,13
158,0,45609,Tyler Duncan,71.70,1434,20
158,0,25804,Bubba Watson,71.70,717,10
160,0,25396,Kevin Na,71.77,933,13
160,0,27556,Ted Potter Jr.,71.77,1579,22
162,0,28679,Fabián Gómez,71.78,646,9
163,0,30163,Henrik Norlander,71.83,1293,18
164,0,34213,Grayson Murray,71.90,719,10
165,0,26758,David Hearn,71.93,1007,14
165,0,29518,Brendan Steele,71.93,1007,14
167,0,35658,Kris Ventura,71.94,1223,17
168,0,35617,Martin Trainer,71.96,1655,23
169,0,40098,Matt Fitzpatrick,72.00,576,8
169,0,21961,Charles Howell III,72.00,1008,14
169,0,30925,Dustin Johnson,72.00,72,1
169,0,35230,Nelson Ledesma,72.00,1080,15
169,0,33667,Carlos Ortiz,72.00,648,9
169,0,31323,Gary Woodland,72.00,504,7
175,0,39975,Michael Kim,72.04,1945,27
176,0,46441,Robby Shelton,72.06,1297,18
177,0,29479,Scott Brown,72.13,1082,15
177,0,34264,Hudson Swafford,72.13,1082,15
179,0,32618,Rhein Gibson,72.23,939,13
180,0,27554,Scott Harrington,72.26,1373,19
181,0,27095,Nick Watney,72.31,940,13
182,0,46550,Brandon Hagy,72.33,868,12
183,0,53165,Doc Redman,72.43,1014,14
184,0,48887,Matt Wallace,72.50,435,6
185,0,49771,J.T. Poston,72.52,1523,21
186,0,33948,Byeong Hun An,72.63,1380,19
187,0,37189,Harold Varner III,72.67,872,12
188,0,33448,Justin Thomas,73.00,73,1
189,0,35449,Adam Long,73.10,1462,20
190,0,31557,Jim Herman,73.13,1170,16
191,0,34363,Tyrrell Hatton,73.67,221,3
192,0,25632,Jimmy Walker,73.83,886,12
193,0,34046,Jordan Spieth,73.86,517,7
194,0,27141,J.B. Holmes,74.00,370,5
194,0,22405,Justin Rose,74.00,74,1
196,0,24781,Hunter Mahan,74.08,889,12
