RANK,MOVEMENT,PLAYER_ID,PLAYER,%,POINTS WON,POTENTIAL PTS,# OF WINS,# OF TOP 10'S
1,0,50525,Collin Morikawa,19.83,2171,10950,2,8
2,0,46970,Jon Rahm,19.26,2003,10400,1,12
3,0,47959,Bryson DeChambeau,18.19,1910,10500,2,7
4,0,26329,Louis Oosthuizen,18.05,1877,10400,0,8
5,0,35450,Patrick Cantlay,18.03,2056,11400,2,5
6,0,34046,Jordan Spieth,17.90,2139,11950,1,9
7,0,36689,Brooks Koepka,17.07,1562,9150,1,8
8,0,34099,Harris English,16.71,2039,12200,2,8
9,0,33448,Justin Thomas,16.06,1758,10950,1,5
10,0,48081,Xander Schauffele,15.54,1623,10450,0,7
11,0,30925,Dustin Johnson,15.25,1510,9900,1,7
12,0,46717,Viktor Hovland,15.06,1717,11400,1,6
13,0,45526,Abraham Ancer,14.93,1926,12900,1,7
14,0,47504,Sam Burns,14.22,1721,12100,1,7
15,0,35891,Cameron Smith,13.44,1539,11450,1,7
16,0,40026,Daniel Berger,13.43,1444,10750,1,8
17,0,54421,Garrick Higgo,13.38,515,3850,1,1
18,0,28237,Rory McIlroy,12.91,1291,10000,1,6
19,0,30944,Jason Kokrak,12.59,1631,12950,2,5
20,0,32839,Hideki Matsuyama,12.36,1594,12900,1,3
21,0,20229,Stewart Cink,11.89,1445,12150,2,3
22,0,45486,Joaquin Niemann,11.61,1491,12850,0,5
23,0,34360,Patrick Reed,11.55,1381,11950,1,6
24,0,29420,Billy Horschel,10.81,1292,11950,1,5
25,0,25396,Kevin Na,10.59,1308,12350,1,3
26,0,29725,Tony Finau,10.41,1348,12950,0,7
27,0,46046,Scottie Scheffler,10.17,1409,13850,0,8
28,0,34021,Bud Cauley,9.80,49,500,0
29,0,25364,Paul Casey,9.47,932,9850,0,7
30,0,29478,Kevin Kisner,9.30,1200,12900,1,4
31,0,20396,Lee Westwood,9.23,867,9400,0,2
32,0,26851,Marc Leishman,9.19,1103,12000,1,4
33,0,28252,Seamus Power,9.05,670,7400,1,4
34,0,21209,Sergio Garcia,9.02,1020,11300,1,3
35,0,29221,Webb Simpson,8.89,920,10350,0,6
36,0,39977,Max Homa,8.72,1220,14000,1,5
37,0,39997,Corey Conners,8.69,1212,13950,0,7
38,0,45157,Cam Davis,8.49,1052,12400,1,3
39,0,12716,Charley Hoffman,8.13,1127,13850,0,5
40,0,34098,Russell Henley,7.79,939,12050,0,5
41,0,37455,Si Woo Kim,7.73,1187,15350,1,5
42,0,47483,Will Zalatoris,7.67,1023,13350,0,6
43,-1,27644,Brian Harman,7.65,1052,13750,0,5
43,-1,56278,Matthew Wolff,7.65,772,10100,0,2
45,-1,33419,Cameron Tringale,7.61,986,12950,0,4
46,-1,33667,Carlos Ortiz,7.59,1044,13750,1,3
47,-1,29974,Branden Grace,7.49,955,12750,1,4
48,-1,34363,Tyrrell Hatton,7.47,739,9900,0,4
49,-1,27064,Jhonattan Vegas,7.34,866,11800,0,4
50,-1,25900,Lucas Glover,7.25,1044,14400,1,4
51,-1,23320,Ryan Palmer,7.22,812,11250,0,4
