RANK,MOVEMENT,PLAYER_ID,PLAYER,%,GREENS HIT,# OF HOLES
1,0,12510,Chad Campbell,84.06,406,483
2,0,27436,Graham DeLaet,81.73,559,684
3,0,24502,Adam Scott,81.63,480,588
4,0,28237,Rory McIlroy,81.19,436,537
5,0,25632,Jimmy Walker,81.18,565,696
6,0,34021,Bud Cauley,80.89,364,450
7,0,30925,Dustin Johnson,80.57,369,458
8,0,21961,Charles Howell III,80.13,625,780
9,0,29518,Brendan Steele,80.06,566,707
10,0,29420,Billy Horschel,80.02,677,846
10,0,20645,John Senden,80.02,709,886
12,0,27770,Camilo Villegas,80.00,636,795
13,0,23623,Bo Van Pelt,79.78,580,727
14,0,24924,Bill Haas,79.65,736,924
15,0,29535,Brice Garnett,79.56,576,724
16,0,30852,Ryo Ishikawa,79.50,442,556
17,0,34099,Harris English,79.38,612,771
18,0,28475,Jeff Overton,79.11,481,608
19,0,28500,Martin Flores,79.02,531,672
20,0,23353,J.J. Henry,79.00,617,781
21,0,26679,Kevin Stadler,78.97,631,799
22,0,27064,Jhonattan Vegas,78.94,506,641
23,0,23108,Matt Kuchar,78.80,654,830
24,0,24490,George McNeill,78.69,539,685
24,0,25345,Carl Pettersson,78.69,587,746
26,0,25444,Justin Hicks,78.58,796,1013
27,0,10885,Robert Allenby,78.53,545,694
28,0,27936,Martin Laird,78.42,418,533
29,0,01706,Davis Love III,78.34,463,591
30,0,34563,Chesson Hadley,78.11,521,667
31,0,26289,Boo Weekley,78.06,548,702
32,0,24358,Robert Garrigus,78.02,497,637
33,0,30944,Jason Kokrak,77.93,392,503
34,0,28486,Michael Putnam,77.88,676,868
35,0,34431,Robert Streb,77.87,461,592
36,0,24846,Ricky Barnes,77.86,524,673
37,0,32102,Rickie Fowler,77.81,554,712
38,0,33419,Cameron Tringale,77.73,768,988
39,0,06522,Ernie Els,77.72,457,588
40,0,33122,Russell Knox,77.71,673,866
41,0,22378,Trevor Immelman,77.68,508,654
42,0,29740,Brad Fritsch,77.67,313,403
43,0,24138,Ian Poulter,77.55,373,481
44,0,31323,Gary Woodland,77.52,593,765
45,0,26329,Louis Oosthuizen,77.49,303,391
46,0,32150,Michael Thompson,77.48,499,644
47,0,32366,Kevin Chappell,77.33,672,869
47,0,26758,David Hearn,77.33,706,913
47,0,32333,Kevin Tway,77.33,382,494
50,0,22405,Justin Rose,77.29,439,568
51,0,34264,Hudson Swafford,77.24,492,637
52,0,29289,S.Y. Noh,77.23,546,707
53,0,32334,Charlie Beljan,77.03,456,592
53,0,20157,Retief Goosen,77.03,540,701
55,0,31193,Jim Renner,76.99,358,465
56,0,22913,John Rollins,76.95,514,668
57,0,25274,Steven Bowditch,76.92,550,715
57,0,21528,Henrik Stenson,76.92,400,520
59,0,29221,Webb Simpson,76.91,563,732
60,0,34265,Will Wilcox,76.90,323,420
61,0,24781,Hunter Mahan,76.87,595,774
62,0,34261,Scott Langley,76.86,608,791
63,0,26596,Ryan Moore,76.85,634,825
64,0,26851,Marc Leishman,76.82,497,647
65,0,27933,John Merrick,76.76,611,796
66,0,26951,Johnson Wagner,76.74,396,516
67,0,29478,Kevin Kisner,76.65,558,728
68,0,28307,Matt Every,76.60,514,671
69,0,25900,Lucas Glover,76.57,451,589
70,0,25364,Paul Casey,76.53,362,473
71,0,25572,Graeme McDowell,76.50,459,600
72,0,28089,Jason Day,76.40,301,394
73,0,24140,Sean O'Hair,76.39,440,576
74,0,25804,Bubba Watson,76.38,472,618
75,0,27963,Chris Stroud,76.37,601,787
76,0,10809,Jim Furyk,76.35,623,816
77,0,33413,Ben Martin,76.32,548,718
77,0,34360,Patrick Reed,76.32,535,701
79,0,24024,Zach Johnson,76.29,724,949
79,0,35300,Andrew Loupe,76.29,325,426
81,0,27330,Josh Teater,76.27,572,750
82,0,23320,Ryan Palmer,76.26,530,695
83,0,28780,Nicholas Thompson,76.19,576,756
84,0,27095,Nick Watney,76.15,511,671
85,0,25686,Jason Dufner,76.14,367,482
85,0,27408,Martin Kaymer,76.14,418,549
87,0,29425,Andrew Svoboda,76.09,541,711
88,0,27120,Troy Matteson,76.05,327,430
89,0,12716,Charley Hoffman,75.92,577,760
90,0,23621,Rory Sabbatini,75.91,457,602
91,0,30926,Chris Kirk,75.87,695,916
92,0,20104,Ken Duke,75.82,580,765
92,0,06567,Vijay Singh,75.82,533,703
94,0,24361,Pat Perez,75.78,532,702
95,0,32839,Hideki Matsuyama,75.76,522,689
96,0,24912,Will MacKenzie,75.68,557,736
97,0,26300,Matt Jones,75.66,513,678
98,0,25834,Daniel Summerhays,75.58,684,905
99,0,23800,Bryce Molder,75.54,457,605
100,0,36689,Brooks Koepka,75.51,336,445
101,0,20229,Stewart Cink,75.50,570,755
102,0,29461,Jamie Lovemark,75.44,341,452
103,0,33461,Morgan Hoffmann,75.37,563,747
104,0,28132,Tyrone Van Aswegen,75.30,439,583
105,0,27644,Brian Harman,75.29,710,943
106,0,32640,Troy Merritt,75.19,400,532
107,0,27556,Ted Potter Jr.,75.08,494,658
107,0,30692,Scott Stallings,75.08,446,594
