RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL 10TH TEE LATE RNDS.
1,0,40098,Matt Fitzpatrick,65.00,65,1
2,0,22405,Justin Rose,66.00,132,2
3,0,46046,Scottie Scheffler,66.50,266,4
4,0,28237,Rory McIlroy,67.00,67,1
5,0,52453,Nicolai Hojgaard,67.25,269,4
6,0,32839,Hideki Matsuyama,67.40,337,5
7,0,29725,Tony Finau,67.83,407,6
8,0,35450,Patrick Cantlay,68.00,204,3
9,0,51634,Sahith Theegala,68.25,546,8
10,0,47995,Davis Riley,68.33,615,9
11,0,52955,Ludvig Åberg,68.50,137,2
11,0,46970,Jon Rahm,68.50,137,2
13,0,48081,Xander Schauffele,68.67,206,3
14,0,39324,J.J. Spaun,68.81,1445,21
15,0,40058,Zac Blair,68.83,826,12
16,0,33413,Ben Martin,68.94,1241,18
16,0,51997,Andrew Novak,68.94,1241,18
18,0,32102,Rickie Fowler,69.00,345,5
18,0,34363,Tyrrell Hatton,69.00,207,3
18,0,50525,Collin Morikawa,69.00,69,1
18,0,58168,Davis Thompson,69.00,759,11
22,0,27349,Alex Noren,69.11,622,9
23,0,54591,Ben Griffin,69.17,1245,18
23,0,39975,Michael Kim,69.17,830,12
25,0,33948,Byeong Hun An,69.18,761,11
26,0,50493,Justin Suh,69.20,1038,15
27,0,55893,Sam Stevens,69.21,1315,19
27,0,40115,Adam Svensson,69.21,1938,28
29,0,33597,Harry Higgs,69.22,1246,18
30,0,46340,Alex Smalley,69.26,1316,19
31,0,45242,Kevin Yu,69.32,1317,19
32,0,28089,Jason Day,69.33,208,3
33,0,36799,Stephan Jaeger,69.37,1318,19
34,0,47591,Eric Cole,69.42,833,12
35,0,31323,Gary Woodland,69.43,972,14
36,0,46414,Aaron Rai,69.45,1389,20
37,0,51070,Vincent Norrman,69.50,556,8
38,0,51890,Greyson Sigg,69.53,1321,19
39,0,34099,Harris English,69.55,765,11
40,0,31577,Tano Goya,69.56,1252,18
41,0,40250,Taylor Pendrith,69.57,974,14
42,0,34563,Chesson Hadley,69.58,1322,19
42,0,30927,Brendon Todd,69.58,1322,19
44,0,47993,Denny McCarthy,69.60,696,10
45,0,49298,Kramer Hickok,69.61,1253,18
46,0,39546,Keith Mitchell,69.65,1393,20
47,0,22056,Cameron Percy,69.69,1115,16
48,0,33653,Thomas Detry,69.71,976,14
48,0,49771,J.T. Poston,69.71,1185,17
50,0,12716,Charley Hoffman,69.73,1046,15
51,0,32816,Satoshi Kodaira,69.75,1116,16
51,0,29908,C.T. Pan,69.75,558,8
53,0,54783,Dylan Wu,69.80,1745,25
54,0,51349,Nico Echavarria,69.82,1536,22
55,0,50188,S.H. Kim,69.83,1257,18
55,0,32791,K.H. Lee,69.83,1257,18
57,0,35461,Beau Hossler,69.85,908,13
58,0,19803,Ryan Armour,69.86,1467,21
58,0,31202,William McGirt,69.86,978,14
60,0,37455,Si Woo Kim,69.90,699,10
61,0,34098,Russell Henley,69.91,769,11
62,0,23108,Matt Kuchar,69.92,909,13
63,0,34256,Andrew Putnam,69.94,1119,16
63,0,25493,Nick Taylor,69.94,1119,16
65,0,56762,Will Gordon,69.95,1329,19
65,0,35310,Lanto Griffin,69.95,1469,21
67,0,28775,Nate Lashley,69.96,1609,23
68,0,56630,Akshay Bhatia,70.00,700,10
68,0,33141,Keegan Bradley,70.00,210,3
68,0,51766,Wyndham Clark,70.00,980,14
68,0,52375,Doug Ghim,70.00,1330,19
68,0,49947,Taylor Moore,70.00,770,11
68,0,50095,Austin Smotherman,70.00,1120,16
74,0,46441,Robby Shelton,70.08,1682,24
75,0,34255,Joseph Bramlett,70.10,1402,20
75,0,52411,Kyle Westmoreland,70.10,1402,20
77,0,23320,Ryan Palmer,70.11,1332,19
77,0,37275,Sam Ryder,70.11,1332,19
79,0,32366,Kevin Chappell,70.13,561,8
79,0,57366,Cameron Young,70.13,561,8
81,0,25818,Scott Piercy,70.14,1473,21
81,0,52374,Brandon Wu,70.14,1543,22
83,0,22371,Aaron Baddeley,70.17,842,12
83,0,57975,Harry Hall,70.17,1263,18
83,0,55789,Taylor Montgomery,70.17,421,6
86,0,20229,Stewart Cink,70.18,1544,22
87,0,34409,David Lingmerth,70.19,1123,16
88,0,27129,Luke List,70.20,1404,20
89,0,30926,Chris Kirk,70.22,632,9
90,0,45522,Christiaan Bezuidenhout,70.25,843,12
90,0,55182,Tom Kim,70.25,281,4
92,0,24024,Zach Johnson,70.30,703,10
93,0,27644,Brian Harman,70.31,914,13
94,0,29535,Brice Garnett,70.33,1055,15
94,0,51414,Brent Grant,70.33,1266,18
94,0,39971,Sungjae Im,70.33,422,6
97,0,26596,Ryan Moore,70.41,1197,17
98,0,39058,Lucas Herbert,70.42,1338,19
98,0,36801,Mark Hubbard,70.42,1690,24
98,0,33122,Russell Knox,70.42,2183,31
101,0,46442,Maverick McNealy,70.43,493,7
101,0,48867,Matti Schmid,70.43,986,14
103,0,47347,Adam Schenk,70.44,1127,16
103,0,55454,Carl Yuan,70.44,1127,16
105,0,47079,Harrison Endycott,70.50,1269,18
105,0,25900,Lucas Glover,70.50,1410,20
107,0,39067,MJ Daffue,70.54,1693,24
108,0,32139,Danny Willett,70.55,776,11
109,0,34431,Robert Streb,70.57,1976,28
110,0,52372,Cameron Champ,70.58,1341,19
111,0,49453,Trevor Cone,70.59,1200,17
112,0,31646,Emiliano Grillo,70.63,1342,19
112,0,35532,Tom Hoge,70.63,1130,16
114,0,32333,Kevin Tway,70.64,1554,22
115,0,40162,Justin Lower,70.65,1625,23
116,0,58696,Peter Kuest,70.67,424,6
116,0,48699,Callum Tarren,70.67,848,12
118,0,36326,David Lipsky,70.68,1767,25
118,0,26476,Chez Reavie,70.68,1979,28
120,0,35879,Kelly Kraft,70.69,1131,16
120,0,36699,Patrick Rodgers,70.69,919,13
122,0,32640,Troy Merritt,70.72,1768,25
123,0,45609,Tyler Duncan,70.73,2122,30
124,0,48887,Matt Wallace,70.75,1415,20
125,0,47988,Nick Hardy,70.76,1486,21
125,0,52513,Carson Young,70.76,1769,25
127,0,25686,Jason Dufner,70.77,1840,26
128,0,33399,Adam Hadwin,70.79,991,14
129,0,27936,Martin Laird,70.80,2124,30
129,0,30692,Scott Stallings,70.80,1062,15
131,0,47983,Chad Ramey,70.82,1983,28
132,0,39997,Corey Conners,70.83,850,12
132,0,54628,Lee Hodges,70.83,1275,18
134,0,54421,Garrick Higgo,70.86,1984,28
