RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL 1 PUTTS,TOTAL ROUNDS
1,0,19846,Brian Gay,7.77,831,107
2,0,22371,Aaron Baddeley,7.76,590,76
3,0,20099,Doug Barron,7.71,563,73
4,0,20850,Daniel Chopra,7.64,817,107
5,0,12680,Shigeki Maruyama,7.60,699,92
6,0,23718,Nathan Green,7.58,788,104
7,0,01042,Paul Azinger,7.51,653,87
7,0,01761,Len Mattiace,7.51,443,59
9,0,08537,J.P. Hayes,7.49,412,55
10,0,01887,Mark O'Meara,7.48,374,50
10,0,01941,Tom Pernice Jr.,7.48,778,104
12,0,01329,Brad Faxon,7.46,582,78
13,0,20593,Greg Chalmers,7.45,499,67
14,0,06197,Michael Allen,7.44,625,84
15,0,20608,David Howell,7.42,334,45
15,0,21949,Joe Ogilvie,7.42,675,91
15,0,06527,Steve Stricker,7.42,460,62
18,0,23325,Vaughn Taylor,7.40,651,88
19,0,20229,Stewart Cink,7.39,650,88
19,0,20127,Chris Riley,7.39,606,82
21,0,20572,Rod Pampling,7.38,620,84
22,0,07867,Woody Austin,7.36,787,107
23,0,21805,Harrison Frazar,7.34,668,91
24,0,23497,Tag Ridings,7.33,733,100
25,0,09011,David Duval,7.32,505,69
26,0,25936,Alex Aragon,7.31,446,61
26,0,23541,Ben Crane,7.31,585,80
28,0,01553,John Huston,7.28,524,72
28,0,02239,Scott Verplank,7.28,626,86
30,0,10505,Shane Bertsch,7.27,742,102
31,0,12660,Jesper Parnevik,7.26,610,84
32,0,23135,Tim Clark,7.25,573,79
32,0,23983,Luke Donald,7.25,457,63
32,0,20121,Todd Fischer,7.25,718,99
35,0,06034,Marco Dawson,7.24,630,87
36,0,12760,Danny Ellis,7.23,463,64
37,0,12602,Dean Wilson,7.22,801,111
38,0,06567,Vijay Singh,7.21,721,100
39,0,01249,John Daly,7.20,353,49
39,0,20766,Padraig Harrington,7.20,360,50
39,0,22046,Geoff Ogilvy,7.20,504,70
39,0,25345,Carl Pettersson,7.20,670,93
43,0,06575,Dudley Hart,7.19,597,83
43,0,01810,Phil Mickelson,7.19,496,69
43,0,25240,D.A. Points,7.19,575,80
43,0,10423,Mike Weir,7.19,611,85
47,0,23048,Eric Axley,7.18,639,89
47,0,19881,Robert Damron,7.18,653,91
47,0,21731,Freddie Jacobson,7.18,402,56
47,0,26596,Ryan Moore,7.18,467,65
47,0,23621,Rory Sabbatini,7.18,596,83
47,0,02214,Kirk Triplett,7.18,402,56
53,0,01577,Lee Janzen,7.16,566,79
54,0,20098,Stuart Appleby,7.14,557,78
54,0,07457,Steve Flesch,7.14,821,115
56,0,20382,Stephen Leaney,7.13,599,84
57,0,02206,David Toms,7.12,491,69
58,0,27095,Nick Watney,7.11,675,95
59,0,06004,Stephen Ames,7.10,440,62
59,0,01139,Olin Browne,7.10,738,104
61,0,01035,Tommy Armour III,7.09,461,65
61,0,01219,John Cook,7.09,475,67
61,0,12645,Brent Geiberger,7.09,688,97
61,0,10733,Kent Jones,7.09,716,101
61,0,01948,Tim Petrovic,7.09,645,91
61,0,11011,Mike Sposa,7.09,461,65
67,0,21407,Arjun Atwal,7.08,673,95
67,0,24925,Jonathan Byrd,7.08,467,66
67,0,01161,Mark Calcavecchia,7.08,658,93
67,0,23320,Ryan Palmer,7.08,701,99
71,0,01473,Todd Hamilton,7.07,509,72
71,0,01685,J.L. Lewis,7.07,403,57
71,0,07749,Brett Quigley,7.07,742,105
74,0,23409,James Driscoll,7.06,565,80
74,0,26420,Richard Johnson,7.06,664,94
76,0,22946,Henrik Bjornstad,7.04,669,95
76,0,11032,Frank Lickliter II,7.04,683,97
76,0,20812,Tjaart van der Walt,7.04,401,57
79,0,01666,Bernhard Langer,7.03,506,72
79,0,12755,Vance Veazey,7.03,415,59
