RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DISTANCE (FEET),# OF ATTEMPTS,GIR RANK
1,0,25900,Lucas Glover,32' 7",46443.250,1427,T14
2,0,52955,Ludvig Åberg,33' 4",26905.750,807,3
2,0,34098,Russell Henley,33' 4",43686.083,1309,T29
4,0,33122,Russell Knox,33' 7",50286.833,1498,5
5,0,50525,Collin Morikawa,33' 9",37450.250,1109,7
6,0,19803,Ryan Armour,34' 0",40562.917,1193,43
7,0,26596,Ryan Moore,34' 2",39116.500,1144,32
8,0,46970,Jon Rahm,34' 9",37322.250,1074,T14
9,0,26476,Chez Reavie,34' 10",52719.500,1515,T56
10,0,46717,Viktor Hovland,34' 11",43557.250,1247,69
10,0,30927,Brendon Todd,34' 11",53533.833,1534,129
12,0,35532,Tom Hoge,35' 0",53006.000,1515,93
12,0,46046,Scottie Scheffler,35' 0",46397.417,1325,1
14,0,30926,Chris Kirk,35' 2",47700.333,1357,T111
14,0,22405,Justin Rose,35' 2",33977.167,967,136
16,0,32839,Hideki Matsuyama,35' 3",43760.833,1242,T106
17,0,27644,Brian Harman,35' 4",49696.333,1407,85
18,0,29725,Tony Finau,35' 5",46148.083,1303,T40
18,0,39335,Kevin Roy,35' 5",33538.667,948,59
20,0,40162,Justin Lower,35' 6",50634.917,1426,T115
20,0,39324,J.J. Spaun,35' 6",52655.750,1484,12
22,0,35901,Paul Haley II,35' 7",43875.000,1232,161
22,0,55182,Tom Kim,35' 7",48373.167,1358,T29
22,0,28775,Nate Lashley,35' 7",53436.333,1503,22
22,0,46340,Alex Smalley,35' 7",59109.333,1661,35
26,0,28237,Rory McIlroy,35' 9",37037.667,1036,79
27,0,48084,Wesley Bryan,35' 10",19689.250,549,160
27,0,32816,Satoshi Kodaira,35' 10",27587.083,770,39
27,0,51890,Greyson Sigg,35' 10",56983.250,1592,38
27,0,45242,Kevin Yu,35' 10",30750.917,858,4
31,0,56630,Akshay Bhatia,35' 11",37185.833,1036,11
31,0,40058,Zac Blair,35' 11",40531.167,1128,T119
31,0,47591,Eric Cole,35' 11",69940.167,1946,134
31,0,50095,Austin Smotherman,35' 11",51893.167,1446,121
31,0,52513,Carson Young,35' 11",48216.167,1341,27
36,0,12716,Charley Hoffman,36' 0",37045.500,1028,T62
36,0,30163,Henrik Norlander,36' 0",43606.333,1212,T40
36,0,24140,Sean O'Hair,36' 0",19952.000,554,T115
36,0,22056,Cameron Percy,36' 0",28993.667,806,33
36,0,37275,Sam Ryder,36' 0",56467.833,1568,109
36,0,25493,Nick Taylor,36' 0",48274.833,1340,T145
42,0,35450,Patrick Cantlay,36' 1",39894.167,1106,21
42,0,39997,Corey Conners,36' 1",48364.750,1339,19
42,0,25686,Jason Dufner,36' 1",44142.750,1223,52
42,0,47995,Davis Riley,36' 1",48835.417,1354,132
42,0,49960,Sepp Straka,36' 1",49596.667,1375,66
42,0,50493,Justin Suh,36' 1",62278.083,1727,125
48,0,32640,Troy Merritt,36' 2",45056.250,1247,150
48,0,51997,Andrew Novak,36' 2",44065.167,1217,98
50,0,39067,MJ Daffue,36' 3",47503.417,1311,100
50,0,27974,Sung Kang,36' 3",20027.250,552,96
52,0,34076,Joel Dahmen,36' 4",47445.417,1305,97
52,0,39975,Michael Kim,36' 4",44894.083,1235,70
52,0,36871,Matt NeSmith,36' 4",54601.667,1502,31
52,0,53165,Doc Redman,36' 4",43441.167,1196,20
52,0,27963,Chris Stroud,36' 4",26682.500,735,48
52,0,31323,Gary Woodland,36' 4",48036.750,1322,T74
58,0,33141,Keegan Bradley,36' 6",43608.417,1196,99
58,0,47988,Nick Hardy,36' 6",58105.167,1591,T40
58,0,39971,Sungjae Im,36' 6",55241.917,1514,T119
58,0,37455,Si Woo Kim,36' 6",56118.667,1536,135
62,0,32102,Rickie Fowler,36' 7",53080.917,1451,71
62,0,52375,Doug Ghim,36' 7",48449.917,1325,6
62,0,34563,Chesson Hadley,36' 7",51019.833,1395,37
62,0,34363,Tyrrell Hatton,36' 7",42957.250,1173,124
62,0,36801,Mark Hubbard,36' 7",58219.917,1590,68
62,0,29908,C.T. Pan,36' 7",25486.083,697,13
62,0,46441,Robby Shelton,36' 7",54070.000,1477,148
62,0,55893,Sam Stevens,36' 7",54163.000,1482,92
70,0,55708,Hayden Buckley,36' 8",42283.000,1152,T50
70,0,27214,Kevin Streelman,36' 8",55788.417,1521,114
70,0,40115,Adam Svensson,36' 8",67322.917,1838,T74
70,0,52374,Brandon Wu,36' 8",55627.333,1516,T50
70,0,57366,Cameron Young,36' 8",43596.417,1190,45
75,0,33204,Shane Lowry,36' 9",36729.750,1000,127
76,0,35879,Kelly Kraft,36' 10",47947.833,1302,101
77,0,49766,Hank Lebioda,36' 11",27597.250,748,T87
77,0,23320,Ryan Palmer,36' 11",42893.250,1161,T76
77,0,55454,Carl Yuan,36' 11",45320.333,1228,95
80,0,45522,Christiaan Bezuidenhout,37' 0",52177.750,1411,157
80,0,32757,Patton Kizzire,37' 0",54640.917,1476,T111
80,0,33410,Andrew Landry,37' 0",41234.000,1114,176
83,0,45157,Cam Davis,37' 1",53018.917,1429,80
83,0,37338,Zecheng Dou,37' 1",49993.583,1347,T87
83,0,27936,Martin Laird,37' 1",45032.833,1215,T25
83,0,51070,Vincent Norrman,37' 1",43140.833,1163,44
83,0,48867,Matti Schmid,37' 1",34440.083,929,55
88,0,46435,Austin Cook,37' 2",37078.750,998,154
88,0,33653,Thomas Detry,37' 2",44506.167,1198,151
88,0,31646,Emiliano Grillo,37' 2",58394.500,1570,73
88,0,52453,Nicolai Hojgaard,37' 2",22504.000,605,46
88,0,49771,J.T. Poston,37' 2",56925.833,1532,47
88,0,29221,Webb Simpson,37' 2",35002.333,942,T181
94,0,32366,Kevin Chappell,37' 3",23969.917,643,72
94,0,33399,Adam Hadwin,37' 3",53806.500,1446,86
96,0,24024,Zach Johnson,37' 4",37239.333,998,T138
96,0,23108,Matt Kuchar,37' 4",52588.250,1409,78
96,0,36326,David Lipsky,37' 4",54030.917,1446,90
96,0,40250,Taylor Pendrith,37' 4",53271.583,1426,28
96,0,47983,Chad Ramey,37' 4",59300.667,1588,108
96,0,47347,Adam Schenk,37' 4",65594.667,1757,82
96,0,54783,Dylan Wu,37' 4",52917.583,1416,18
103,0,31557,Jim Herman,37' 5",41255.000,1103,91
103,0,48117,Kurt Kitayama,37' 5",36602.083,979,184
103,0,58696,Peter Kuest,37' 5",26218.667,701,2
106,0,51766,Wyndham Clark,37' 6",57522.000,1533,81
