RANK,MOVEMENT,PLAYER_ID,PLAYER,TOTAL 3 PUTTS INSIDE 5',TOTAL 3 PUTTS
1,0,34264,Hudson Swafford,3,35
1,0,37189,Harold Varner III,3,67
3,0,40058,Zac Blair,2,45
3,0,32839,Hideki Matsuyama,2,37
3,0,25345,Carl Pettersson,2,22
3,0,29221,Webb Simpson,2,49
3,0,26289,Boo Weekley,2,59
8,0,20771,Steven Alker,1,26
8,0,25274,Steven Bowditch,1,24
8,0,29479,Scott Brown,1,35
8,0,26499,Rafa Cabrera Bello,1,25
8,0,20472,Alex Cejka,1,36
8,0,23541,Ben Crane,1,32
8,0,28089,Jason Day,1,31
8,0,25686,Jason Dufner,1,55
8,0,28307,Matt Every,1,38
8,0,28500,Martin Flores,1,32
8,0,32102,Rickie Fowler,1,33
8,0,29974,Branden Grace,1,30
8,0,26758,David Hearn,1,36
8,0,34098,Russell Henley,1,38
8,0,23353,J.J. Henry,1,45
8,0,31557,Jim Herman,1,34
8,0,33461,Morgan Hoffmann,1,48
8,0,29420,Billy Horschel,1,49
8,0,36801,Mark Hubbard,1,29
8,0,30852,Ryo Ishikawa,1,19
8,0,30925,Dustin Johnson,1,29
8,0,27974,Sung Kang,1,47
8,0,30926,Chris Kirk,1,23
8,0,29478,Kevin Kisner,1,37
8,0,36689,Brooks Koepka,1,34
8,0,30944,Jason Kokrak,1,70
8,0,31420,Anirban Lahiri,1,33
8,0,34409,David Lingmerth,1,32
8,0,34466,Peter Malnati,1,34
8,0,01810,Phil Mickelson,1,22
8,0,29289,S.Y. Noh,1,39
8,0,29908,C.T. Pan,1,44
8,0,46970,Jon Rahm,1,46
8,0,34358,Jonathan Randolph,1,28
8,0,23497,Tag Ridings,1,25
8,0,36699,Patrick Rodgers,1,48
8,0,23621,Rory Sabbatini,1,31
8,0,29223,Sam Saunders,1,38
8,0,48081,Xander Schauffele,1,42
8,0,26331,Charl Schwartzel,1,17
8,0,24502,Adam Scott,1,23
8,0,35891,Cameron Smith,1,34
8,0,30692,Scott Stallings,1,42
8,0,27214,Kevin Streelman,1,50
8,0,27963,Chris Stroud,1,29
8,0,23325,Vaughn Taylor,1,38
