RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DISTANCE (FEET),# OF ATTEMPTS,GIR RANK
1,0,34076,Joel Dahmen,33' 5",43683.583,1306,15
2,0,46046,Scottie Scheffler,33' 11",37540.250,1106,3
3,0,25900,Lucas Glover,34' 3",47190.917,1379,T50
4,0,52375,Doug Ghim,34' 5",48624.917,1414,4
4,0,57900,Chandler Phillips,34' 5",46035.250,1337,139
6,0,48117,Kurt Kitayama,34' 6",42969.583,1247,54
7,0,59143,Mac Meissner,34' 7",40266.750,1164,34
7,0,32640,Troy Merritt,34' 7",35735.083,1034,121
9,0,52513,Carson Young,34' 9",46163.083,1327,44
10,0,48084,Wesley Bryan,34' 10",21782.500,626,41
10,0,39546,Keith Mitchell,34' 10",47223.083,1357,T23
12,0,32757,Patton Kizzire,34' 11",33044.750,946,7
12,0,50095,Austin Smotherman,34' 11",23694.083,679,2
14,0,39324,J.J. Spaun,35' 0",45649.333,1304,T16
15,0,34587,Chan Kim,35' 1",44456.750,1268,18
15,0,27214,Kevin Streelman,35' 1",35687.333,1018,76
17,0,35532,Tom Hoge,35' 2",57070.000,1624,T87
18,0,28775,Nate Lashley,35' 3",39128.833,1110,T35
19,0,51890,Greyson Sigg,35' 4",41874.167,1184,11
19,0,39327,Ben Silverman,35' 4",44979.417,1273,29
19,0,50493,Justin Suh,35' 4",38766.417,1097,96
22,0,48319,Tom Whitney,35' 5",31753.417,897,49
23,0,32839,Hideki Matsuyama,35' 6",40612.000,1145,T100
23,0,37275,Sam Ryder,35' 6",37813.250,1064,82
25,0,52955,Ludvig Åberg,35' 7",41841.750,1177,73
25,0,52514,Trace Crowe,35' 7",33664.917,946,103
25,0,51696,Rico Hoey,35' 7",42581.917,1197,T16
25,0,51997,Andrew Novak,35' 7",48954.333,1377,13
25,0,52666,Sami Valimaki,35' 7",36264.667,1018,147
30,0,39975,Michael Kim,35' 8",40008.917,1121,28
30,0,26476,Chez Reavie,35' 8",35554.667,998,T50
32,0,39971,Sungjae Im,35' 9",50428.750,1410,145
33,0,46717,Viktor Hovland,35' 10",33289.833,928,83
34,0,40162,Justin Lower,36' 0",53146.750,1478,43
35,0,29725,Tony Finau,36' 1",45503.667,1262,52
