RANK,MOVEMENT,PLAYER_ID,PLAYER,FREQUENCY,# OF HOLES,# OF EAGLES
1,0,01096,Phil Blackmar,90.0,1800,20
2,0,01777,John McComish,114.5,1260,11
3,0,01706,Davis Love III,117.7,1530,13
4,0,01884,Mac O'Grady,120.5,1566,13
5,0,02321,Fuzzy Zoeller,129.6,1296,10
6,0,01926,Steve Pate,130.5,2088,16
7,0,01876,Greg Norman,134.0,1206,9
7,0,02256,Tom Watson,134.0,1206,9
9,0,01072,Chip Beck,150.5,1656,11
9,0,01418,Bill Glasson,150.5,1656,11
11,0,01522,Lon Hinkle,153.0,1224,8
12,0,01725,John Mahaffey,154.5,1854,12
13,0,02049,Gene Sauers,156.0,1872,12
14,0,01534,John Horne,156.9,1098,7
15,0,01248,Rick Dalpos,163.8,1638,10
16,0,01783,Mark McCumber,168.5,1854,11
17,0,01446,Brad Greer,168.8,1350,8
18,0,02133,Craig Stadler,171.0,1368,8
19,0,01945,Kenny Perry,173.3,1386,8
20,0,01098,Jay Don Blake,174.6,1746,10
21,0,02033,Dave Rummells,180.0,1980,11
21,0,02170,Hal Sutton,180.0,1620,9
23,0,01414,Bob Gilder,181.8,1818,10
24,0,01037,Dewey Arnette,192.0,1152,6
24,0,01093,Ronnie Black,192.0,1728,9
24,0,01958,Dan Pohl,192.0,1728,9
27,0,01355,Raymond Floyd,195.0,1170,6
28,0,01469,Dan Halldorson,195.8,1566,8
29,0,01068,Andy Bean,198.0,990,5
29,0,01306,David Edwards,198.0,1188,6
31,0,01161,Mark Calcavecchia,200.3,1602,8
32,0,01790,Pat McGowan,202.5,1620,8
33,0,01150,George Burns,204.0,1836,9
34,0,01226,Fred Couples,204.8,1638,8
34,0,02246,Duffy Waldorf,204.8,1638,8
36,0,01457,Jay Haas,208.0,1872,9
37,0,01666,Bernhard Langer,208.8,1044,5
38,0,01771,Blaine McCallister,212.0,1908,9
39,0,01042,Paul Azinger,213.8,1710,8
40,0,01436,David Graham,216.0,1080,5
40,0,01569,Peter Jacobsen,216.0,1512,7
40,0,02322,Richard Zokol,216.0,1080,5
43,0,01006,John Adams,218.3,1746,8
43,0,02146,Payne Stewart,218.3,1746,8
45,0,01323,Brad Fabel,219.0,1314,6
46,0,01378,David Frost,220.5,1764,8
47,0,02223,Bob Tway,226.3,1584,7
48,0,02023,Clarence Rose,228.0,2052,9
48,0,02190,Doug Tewell,228.0,1368,6
48,0,02303,Robert Wrenn,228.0,1368,6
51,0,01329,Brad Faxon,234.0,1638,7
51,0,01499,Mark Hayes,234.0,1872,8
51,0,01984,Sam Randolph,234.0,1404,6
54,0,01282,Trevor Dodds,237.0,1422,6
55,0,01526,David Hobby,237.6,1188,5
56,0,01303,Bob Eastwood,239.1,1674,7
56,0,01975,Tom Purtzer,239.1,1674,7
58,0,01060,Dave Barr,241.7,1692,7
58,0,01468,Gary Hallberg,241.7,1692,7
