RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,# OF BIRDIES,TOTAL ROUNDS
1,0,01161,Mark Calcavecchia,3.89,346,89
2,0,02133,Craig Stadler,3.87,294,76
3,0,01235,Ben Crenshaw,3.84,319,83
4,0,01042,Paul Azinger,3.81,362,95
4,0,02242,Lanny Wadkins,3.81,320,84
6,0,02159,Curtis Strange,3.80,372,98
7,0,01958,Dan Pohl,3.79,364,96
8,0,02146,Payne Stewart,3.78,367,97
9,0,02170,Hal Sutton,3.76,338,90
10,0,01666,Bernhard Langer,3.74,217,58
11,0,01633,Tom Kite,3.73,336,90
11,0,02255,Denis Watson,3.73,351,94
13,0,01968,Nick Price,3.71,304,82
14,0,01378,David Frost,3.69,362,98
15,0,01226,Fred Couples,3.68,335,91
16,0,01072,Chip Beck,3.67,338,92
17,0,02241,Bobby Wadkins,3.66,373,102
18,0,01135,Ken Brown,3.65,230,63
19,0,01706,Davis Love III,3.64,309,85
19,0,01876,Greg Norman,3.64,244,67
21,0,02256,Tom Watson,3.61,242,67
22,0,01823,Larry Mize,3.60,288,80
23,0,01682,Wayne Levi,3.59,298,83
24,0,02033,Dave Rummells,3.56,392,110
25,0,01846,Jodie Mudd,3.55,344,97
26,0,01960,Don Pooley,3.54,326,92
27,0,01303,Bob Eastwood,3.53,328,93
27,0,01783,Mark McCumber,3.53,364,103
29,0,01329,Brad Faxon,3.52,320,91
29,0,01527,Scott Hoch,3.52,341,97
29,0,01887,Mark O'Meara,3.52,306,87
32,0,01717,Sandy Lyle,3.51,186,53
33,0,01599,Steve Jones,3.50,322,92
33,0,02321,Fuzzy Zoeller,3.50,252,72
35,0,01156,Curt Byrum,3.47,385,111
35,0,01522,Lon Hinkle,3.47,236,68
37,0,01926,Steve Pate,3.45,400,116
37,0,01945,Kenny Perry,3.45,266,77
37,0,01975,Tom Purtzer,3.45,321,93
37,0,02167,Mike Sullivan,3.45,293,85
41,0,01150,George Burns,3.44,351,102
41,0,01444,Ken Green,3.44,320,93
41,0,01884,Mac O'Grady,3.44,299,87
41,0,02104,Jeff Sluman,3.44,371,108
45,0,02087,Don Shirey Jr.,3.43,288,84
46,0,01200,Keith Clearwater,3.42,404,118
46,0,02100,Tim Simpson,3.42,376,110
48,0,01096,Phil Blackmar,3.41,341,100
49,0,01098,Jay Don Blake,3.39,329,97
49,0,01157,Tom Byrum,3.39,353,104
49,0,01203,Russ Cochran,3.39,373,110
52,0,01162,Rex Caldwell,3.38,213,63
52,0,01361,Dan Forsman,3.38,409,121
52,0,01457,Jay Haas,3.38,351,104
52,0,02007,Larry Rinker,3.38,318,94
52,0,02101,Joey Sindelar,3.38,382,113
57,0,01952,Billy Pierot,3.37,192,57
57,0,02041,Bill Sander,3.37,310,92
57,0,02225,Howard Twitty,3.37,317,94
60,0,01837,Gil Morgan,3.36,168,50
60,0,01984,Sam Randolph,3.36,262,78
60,0,02294,Willie Wood,3.36,326,97
63,0,01468,Gary Hallberg,3.35,315,94
63,0,01943,Chris Perry,3.35,335,100
65,0,01093,Ronnie Black,3.34,321,96
66,0,01495,Morris Hatalsky,3.33,260,78
66,0,01928,Corey Pavin,3.33,280,84
68,0,01355,Raymond Floyd,3.32,216,65
68,0,01864,Larry Nelson,3.32,239,72
70,0,01068,Andy Bean,3.31,182,55
71,0,01060,Dave Barr,3.30,310,94
72,0,01192,T.C. Chen,3.28,174,53
72,0,02090,Tom Sieckmann,3.28,295,90
72,0,02322,Richard Zokol,3.28,197,60
75,0,01418,Bill Glasson,3.27,301,92
75,0,01557,John Inman,3.27,298,91
75,0,02223,Bob Tway,3.27,288,88
78,0,01197,Bobby Clampett,3.26,267,82
78,0,01996,Mike Reid,3.26,323,99
78,0,02099,Scott Simpson,3.26,293,90
81,0,01475,Donnie Hammond,3.24,275,85
81,0,01755,Dick Mast,3.24,321,99
81,0,02160,Ron Streck,3.24,311,96
84,0,01414,Bob Gilder,3.23,326,101
84,0,02049,Gene Sauers,3.23,336,104
86,0,01701,Bob Lohr,3.22,332,103
87,0,01723,Andrew Magee,3.21,302,94
88,0,01282,Trevor Dodds,3.20,253,79
88,0,01306,David Edwards,3.20,211,66
88,0,01390,Buddy Gardner,3.20,346,108
88,0,01736,Roger Maltbie,3.20,269,84
92,0,01039,Perry Arthur,3.19,236,74
92,0,01175,Jim Carter,3.19,313,98
92,0,01219,John Cook,3.19,313,98
92,0,01278,Andy Dillard,3.19,258,81
92,0,01499,Mark Hayes,3.19,332,104
92,0,01569,Peter Jacobsen,3.19,268,84
92,0,01797,Rocco Mediate,3.19,297,93
92,0,01851,Bob Murphy,3.19,249,78
100,0,02239,Scott Verplank,3.18,270,85
101,0,01346,Ed Fiori,3.17,276,87
102,0,01196,Brian Claar,3.16,325,103
102,0,02126,Bruce Soulsby,3.16,272,86
104,0,02267,D.A. Weibring,3.15,274,87
105,0,01690,Bruce Lietzke,3.14,217,69
105,0,01771,Blaine McCallister,3.14,333,106
105,0,02118,J.C. Snead,3.14,273,87
108,0,01331,Rick Fehr,3.13,194,62
108,0,01782,Mike McCullough,3.13,222,71
108,0,02023,Clarence Rose,3.13,357,114
111,0,01201,Lennie Clements,3.12,243,78
111,0,01998,Jack Renner,3.12,278,89
111,0,02279,Mark Wiebe,3.12,359,115
114,0,01284,Mike Donald,3.11,348,112
115,0,02195,Leonard Thompson,3.10,316,102
116,0,01313,Steve Elkington,3.09,312,101
116,0,01446,Brad Greer,3.09,232,75
116,0,01892,Aki Ohmachi,3.09,241,78
116,0,02190,Doug Tewell,3.09,235,76
120,0,01288,Ed Dougherty,3.08,259,84
120,0,01305,Danny Edwards,3.08,237,77
120,0,01469,Dan Halldorson,3.08,268,87
120,0,01549,Mike Hulbert,3.08,351,114
124,0,01214,Frank Conner,3.07,166,54
125,0,01103,Charles Bolling,3.06,312,102
125,0,01641,Gary Koch,3.06,217,71
125,0,01715,Mark Lye,3.06,318,104
125,0,02148,Ray Stewart,3.06,263,86
129,0,01037,Dewey Arnette,3.05,195,64
130,0,01777,John McComish,3.04,213,70
130,0,02244,Fred Wadsworth,3.04,316,104
132,0,01323,Brad Fabel,3.03,221,73
132,0,01654,Gary Krueger,3.03,215,71
132,0,01878,Andy North,3.03,182,60
135,0,01206,Bobby Cole,3.02,293,97
135,0,01248,Rick Dalpos,3.02,275,91
