RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG POINTS,TOTAL POINTS,POINTS LOST,POINTS GAINED
1,0,06522,Ernie Els,4.98,288.93,-212.60,282.83
2,0,20157,Retief Goosen,4.22,244.47,-193.53,210.70
3,0,10885,Robert Allenby,3.76,217.98,-188.10,175.69
4,0,22046,Geoff Ogilvy,3.69,188.11,-200.29,165.90
5,0,24502,Adam Scott,3.67,190.77,-99.15,160.01
6,0,26329,Louis Oosthuizen,3.61,191.38,-100.12,208.84
7,0,23135,Tim Clark,3.58,189.71,-146.78,188.07
8,0,28258,K.T. Kim,3.42,184.76,-48.62,166.03
9,0,27770,Camilo Villegas,3.20,169.81,-188.67,175.56
10,0,30852,Ryo Ishikawa,3.18,184.64,-117.71,138.17
11,0,26331,Charl Schwartzel,3.18,178.08,-127.68,191.00
12,0,28089,Jason Day,3.13,131.60,-52.21,130.23
13,0,26908,Yuta Ikeda,3.02,168.87,-75.08,129.16
14,0,24663,Y.E. Yang,2.97,166.44,-138.09,127.84
15,0,24357,K.J. Choi,2.77,144.11,-93.00,159.48
16,0,21284,Hiroyuki Fujita,2.70,150.97,-80.04,131.10
17,0,20848,Ángel Cabrera,2.45,107.69,-135.37,68.37
18,0,23725,Brendan Jones,2.38,95.24,-59.25,78.03
19,0,20935,Toru Taniguchi,2.27,100.01,-40.99,92.00
20,0,20569,Richard Green,2.25,105.89,-54.36,99.79
21,0,29289,S.Y. Noh,2.09,93.90,-36.89,101.45
22,0,24748,WC Liang,2.07,97.22,-61.74,78.39
23,0,24511,Thongchai Jaidee,2.01,116.60,-114.17,105.47
24,0,20098,Stuart Appleby,1.89,109.45,-68.30,97.22
25,0,26882,Michael Sim,1.82,83.87,-71.63,59.49
26,0,20645,John Senden,1.74,100.75,-83.91,72.09
27,0,23580,Tetsuji Hiratsuka,1.72,100.01,-51.52,95.61
28,0,31115,Michio Matsumura,1.72,87.57,-22.69,80.31
29,0,06567,Vijay Singh,1.63,76.48,-145.57,70.12
30,0,30860,Shunsuke Sonoda,1.61,64.30,-6.37,69.42
31,0,23621,Rory Sabbatini,1.54,87.94,-99.16,77.70
32,0,20213,Katsumasa Miyamoto,1.52,79.19,-33.79,69.25
33,0,26851,Marc Leishman,1.50,87.22,-70.58,70.65
34,0,27119,Koumei Oda,1.50,76.41,-65.47,50.44
35,0,23638,Brendon de Jonge,1.45,84.29,-44.44,96.98
36,0,23797,Brett Rumford,1.39,73.75,-33.70,79.90
37,0,06004,Stephen Ames,1.37,63.10,-82.14,45.06
38,0,26300,Matt Jones,1.33,62.72,-29.94,66.08
39,0,20218,Shingo Katayama,1.32,68.51,-95.17,46.16
40,0,21407,Arjun Atwal,1.31,52.58,-16.79,55.66
41,0,25120,Dohoon Kim,1.28,51.29,-.56,51.85
42,0,20160,Charlie Wi,1.28,71.63,-61.62,69.49
43,0,21134,Takashi Kanemoto,1.26,61.89,-21.47,53.91
44,0,30008,Jbe' Kruger,1.24,55.68,-17.55,64.02
45,0,24461,Thomas Aiken,1.22,69.37,-56.80,64.52
46,0,24083,Marcus Fraser,1.20,64.94,-41.92,68.67
47,0,28259,Sangmoon Bae,1.18,47.13,-35.15,38.31
48,0,20593,Greg Chalmers,1.16,67.18,-50.53,50.00
49,0,21470,Daisuke Maruyama,1.15,63.45,-43.84,43.86
50,0,20669,James Kingston,1.13,57.80,-69.41,35.94
51,0,25398,Ryuichi Oda,1.12,57.25,-36.90,28.41
52,0,22368,Daniel Gaunt,1.10,44.18,-2.39,44.83
53,0,20940,Kenichi Kuboya,1.10,60.58,-61.79,32.95
54,0,22110,Thaworn Wiratchant,1.10,52.69,-35.16,46.89
55,0,12680,Shigeki Maruyama,1.09,62.28,-46.07,39.64
56,0,10423,Mike Weir,1.09,48.06,-114.57,26.75
57,0,20686,Jeev Milkha Singh,1.09,63.25,-123.44,48.75
58,0,22348,Nick O'Hern,1.07,45.03,-55.49,27.45
59,0,25562,Andres Romero,1.05,46.06,-65.47,44.56
60,0,26808,Tadahiro Takayama,1.02,48.05,-15.88,42.65
61,0,27056,Pariya Junhasavasdikul,1.01,40.25,-3.44,40.60
62,0,27064,Jhonattan Vegas,.99,41.45,-9.34,41.33
63,0,28751,Andrew Dodt,.97,44.69,-32.71,52.62
64,0,29942,Mark Tullo,.92,36.78,-8.76,36.90
65,0,01313,Steve Elkington,.91,41.05,-21.11,44.72
66,0,21350,Ryuji Imada,.91,51.06,-55.45,52.45
67,0,27436,Graham DeLaet,.90,40.33,-32.21,39.91
68,0,30978,Kiradech Aphibarnrat,.89,51.70,-21.61,45.07
69,0,21498,Hideto Tanihara,.87,48.85,-46.14,39.55
70,0,22417,Jay Choi,.87,34.86,-1.69,36.56
71,0,28697,Gaganjeet Bhullar,.87,34.76,-32.54,25.48
72,0,29939,Fabrizio Zanotti,.86,44.01,-25.03,35.89
73,0,34707,Siddikur Rahman,.86,34.40,-1.37,35.77
74,0,22034,Yasuharu Imano,.84,33.62,-46.21,7.77
75,0,27687,Masaya Tomida,.80,40.01,-30.52,27.63
76,0,22032,Tomohiro Kondo,.80,39.13,-44.62,15.34
77,0,25336,Alistair Presnell,.78,45.28,-17.76,45.29
78,0,22080,Prayad Marksaeng,.78,45.08,-82.90,33.31
79,0,22115,Mardan Mamat,.77,34.57,-19.35,29.25
80,0,23718,Nathan Green,.75,43.41,-47.14,35.91
81,0,22056,Cameron Percy,.74,37.92,-30.50,21.17
82,0,24034,Kazuhiro Yamashita,.74,34.82,-28.88,17.79
83,0,02076,Peter Senior,.71,28.40,-8.98,27.78
84,0,22951,Azuma Yano,.70,38.23,-57.77,21.34
85,0,22378,Trevor Immelman,.69,27.72,-56.37,30.13
86,0,27929,Shiv Kapur,.69,39.89,-30.11,21.17
87,0,28679,Fabián Gómez,.69,31.55,-25.97,30.24
88,0,22371,Aaron Baddeley,.68,36.52,-51.00,30.06
89,0,20624,David Smail,.67,30.25,-57.64,14.24
90,0,12682,Hirofumi Miyase,.67,32.16,-22.64,18.94
91,0,21339,Keith Horne,.67,29.27,-21.24,29.06
92,0,27784,Wen-Tang Lin,.66,26.34,-47.25,15.28
93,0,22974,Tetsuya Haraguchi,.65,31.91,-16.71,26.30
94,0,27091,Kunihiro Kamii,.65,31.17,-18.54,26.53
95,0,25335,Marcus Both,.65,28.57,-21.86,13.24
96,0,37092,Hyung-Sung Kim,.65,30.49,-18.42,22.02
97,0,25606,Kim Hyung-Tae,.64,26.05,-9.55,25.92
98,0,22400,Hennie Otto,.63,34.80,-35.92,35.80
99,0,20772,Toru Suzuki,.63,30.35,-31.34,11.02
100,0,24080,Scott Strange,.63,30.93,-57.00,4.92
101,0,22036,Mamo Osanai,.62,24.95,-10.19,25.58
102,0,20566,Kaname Yokoo,.62,31.40,-36.25,17.48
103,0,27747,Hiroshi Iwata,.60,30.12,-23.25,26.49
104,0,20485,Udorn Duangdecha,.60,24.02,-9.43,17.89
105,0,20574,Mathew Goggin,.60,34.80,-88.72,21.19
106,0,27979,Daehyun Kim,.60,23.98,-12.95,22.02
107,0,27577,Peter Karmis,.59,23.66,-4.09,24.08
108,0,20773,Taichi Teshima,.59,26.35,-30.06,20.83
109,0,27118,Toshinori Muto,.58,26.87,-40.49,11.52
