RANK,MOVEMENT,PLAYER_ID,PLAYER,POINTS,# OF WINS,# OF TOP 10'S,POINTS BEHIND LEAD
1,0,06522,Ernie Els,1846,2,6,0
2,0,06527,Steve Stricker,1697,2,6,149
3,0,10809,Jim Furyk,1691,2,6,155
4,0,01810,Phil Mickelson,1629,1,5,217
5,0,22405,Justin Rose,1593,2,4,253
6,0,28475,Jeff Overton,1536,0,6,310
7,0,24781,Hunter Mahan,1528,2,3,318
8,0,25804,Bubba Watson,1498,1,4,348
9,0,23108,Matt Kuchar,1437,0,9,409
10,0,23135,Tim Clark,1409,1,6,437
11,0,30925,Dustin Johnson,1362,1,5,484
12,0,23541,Ben Crane,1304,1,5,542
13,0,23623,Bo Van Pelt,1272,0,6,574
14,0,29718,Anthony Kim,1216,1,4,630
15,0,27770,Camilo Villegas,1213,1,6,633
16,0,24024,Zach Johnson,1191,1,2,655
17,0,10885,Robert Allenby,1169,0,4,677
18,0,27141,J.B. Holmes,1153,0,3,693
19,0,32102,Rickie Fowler,1147,0,5,699
20,0,25345,Carl Pettersson,1142,1,4,704
21,0,28237,Rory McIlroy,1101,1,5,745
22,0,23983,Luke Donald,1089,0,5,757
23,0,23320,Ryan Palmer,1071,1,3,775
24,0,20157,Retief Goosen,1068,0,8,778
25,0,23638,Brendon de Jonge,1035,0,6,811
26,0,24924,Bill Haas,1025,1,2,821
27,0,25364,Paul Casey,992,0,5,854
28,0,28089,Jason Day,988,1,3,858
29,0,27095,Nick Watney,984,0,6,862
30,0,20098,Stuart Appleby,957,1,3,889
31,0,24846,Ricky Barnes,947,0,6,899
32,0,24502,Adam Scott,940,1,2,906
33,0,24507,Jason Bohn,926,1,2,920
34,0,24357,K.J. Choi,922,0,2,924
35,0,26596,Ryan Moore,893,0,4,953
36,0,24140,Sean O'Hair,858,0,3,988
37,0,21731,Freddie Jacobson,826,0,3,1020
38,0,23325,Vaughn Taylor,824,0,5,1022
39,0,22046,Geoff Ogilvy,815,1,1,1031
40,0,27649,Brandt Snedeker,813,0,4,1033
41,0,25396,Kevin Na,804,0,3,1042
42,0,02239,Scott Verplank,786,0,3,1060
43,0,21753,Brian Davis,781,0,2,1065
44,0,02206,David Toms,748,0,1,1098
45,0,23800,Bryce Molder,748,0,6,1098
46,0,21961,Charles Howell III,746,0,4,1100
47,0,25900,Lucas Glover,743,0,3,1103
48,0,26851,Marc Leishman,738,0,2,1108
49,0,24138,Ian Poulter,733,1,2,1113
50,0,22293,Heath Slocum,722,0,3,1124
51,0,19846,Brian Gay,714,0,2,1132
52,0,20160,Charlie Wi,690,0,3,1156
53,0,24663,Y.E. Yang,678,0,2,1168
54,0,20229,Stewart Cink,678,0,3,1168
55,0,20766,Padraig Harrington,662,0,5,1184
56,0,26300,Matt Jones,647,0,5,1199
57,0,27466,Spencer Levin,646,0,1,1200
58,0,28158,Steve Marino,636,0,2,1210
59,0,22913,John Rollins,634,0,2,1212
60,0,23621,Rory Sabbatini,618,0,2,1228
61,0,25686,Jason Dufner,617,0,2,1229
62,0,23353,J.J. Henry,598,0,2,1248
63,0,06643,Paul Goydos,597,0,3,1249
64,0,06515,Shaun Micheel,595,0,3,1251
65,0,06567,Vijay Singh,588,0,2,1258
66,0,23788,D.J. Trahan,577,0,5,1269
67,0,26882,Michael Sim,573,0,3,1273
68,0,01313,Steve Elkington,571,0,3,1275
69,0,20593,Greg Chalmers,558,0,2,1288
70,0,10860,Justin Leonard,556,0,1,1290
71,0,01945,Kenny Perry,555,0,1,1291
72,0,25632,Jimmy Walker,554,0,2,1292
73,0,28087,Kris Blanks,554,0,3,1292
74,0,08725,Tom Gillis,554,0,2,1292
75,0,12510,Chad Campbell,551,0,2,1295
76,0,06004,Stephen Ames,548,0,1,1298
77,0,12716,Charley Hoffman,546,0,3,1300
78,0,25240,D.A. Points,544,0,3,1302
79,0,24361,Pat Perez,534,0,3,1312
80,0,01948,Tim Petrovic,532,0,2,1314
81,0,30946,Alex Prugh,526,0,3,1320
82,0,26289,Boo Weekley,526,0,3,1320
83,0,20848,Ángel Cabrera,524,0,2,1322
84,0,20436,Garrett Willis,517,0,1,1329
85,0,29910,Blake Adams,514,0,2,1332
86,0,25720,Chad Collins,512,0,3,1334
87,0,20127,Chris Riley,512,0,3,1334
88,0,27330,Josh Teater,502,0,2,1344
89,0,06595,Kevin Sutherland,499,0,1,1347
90,0,08075,Jerry Kelly,493,0,1,1353
91,0,20472,Alex Cejka,489,0,4,1357
92,0,27797,Derek Lamely,487,1,1,1359
93,0,22371,Aaron Baddeley,481,0,1,1365
94,0,29221,Webb Simpson,478,0,1,1368
95,0,27936,Martin Laird,477,0,2,1369
96,0,01706,Davis Love III,475,0,3,1371
97,0,20070,Matt Bettencourt,472,1,1,1374
98,0,11123,Chris Couch,472,0,2,1374
99,0,20645,John Senden,467,0,1379
100,0,01724,Jeff Maggert,463,0,2,1383
101,0,21209,Sergio Garcia,461,0,1,1385
102,0,27214,Kevin Streelman,460,0,3,1386
103,0,20498,Briny Baird,458,0,1,1388
104,0,21949,Joe Ogilvie,454,0,1,1392
105,0,27933,John Merrick,449,0,1,1397
106,0,23548,Bill Lunde,449,1,3,1397
107,0,21350,Ryuji Imada,445,0,2,1401
108,0,08537,J.P. Hayes,439,0,3,1407
109,0,12602,Dean Wilson,434,0,1,1412
110,0,01928,Corey Pavin,433,0,2,1413
111,0,01320,Bob Estes,432,0,2,1414
112,0,08793,Tiger Woods,431,0,2,1415
113,0,12652,Cameron Beckman,427,1,2,1419
114,0,27120,Troy Matteson,425,0,2,1421
115,0,25562,Andres Romero,418,0,2,1428
116,0,22621,Ben Curtis,416,0,1,1430
117,0,24925,Jonathan Byrd,415,0,2,1431
118,0,26695,Michael Letzig,415,0,1,1431
119,0,23718,Nathan Green,414,0,1,1432
120,0,09011,David Duval,404,0,1,1442
121,0,26679,Kevin Stadler,394,0,4,1452
122,0,07867,Woody Austin,394,0,3,1452
123,0,27436,Graham DeLaet,393,0,1,1453
124,0,24358,Robert Garrigus,382,0,2,1464
125,0,25818,Scott Piercy,380,0,2,1466
126,0,25190,Jeff Quinney,378,0,1,1468
127,0,27963,Chris Stroud,369,0,2,1477
128,0,10423,Mike Weir,360,0,1,1486
129,0,28620,Aron Price,358,0,2,1488
130,0,10585,Scott McCarron,354,0,1,1492
131,0,21878,Mark Wilson,343,0,1,1503
132,0,27060,John Mallinger,342,0,1,1504
133,0,23409,James Driscoll,340,0,1,1506
134,0,26301,James Nitties,338,0,1,1508
135,0,24490,George McNeill,338,0,1,1508
136,0,07749,Brett Quigley,336,0,1,1510
137,0,01941,Tom Pernice Jr.,331,0,1,1515
138,0,32640,Troy Merritt,331,0,1,1515
139,0,26420,Richard Johnson,323,0,2,1523
140,0,28307,Matt Every,322,0,1,1524
141,0,21528,Henrik Stenson,321,0,1,1525
142,0,06621,Joe Durant,321,0,1,1525
143,0,01766,Billy Mayfair,314,0,2,1532
144,0,23673,Michael Connell,314,0,1,1532
145,0,01116,Michael Bradley,306,0,1540
146,0,08375,Paul Stankowski,296,0,2,1550
147,0,06251,Chris DiMarco,286,0,1,1560
148,0,28780,Nicholas Thompson,284,0,1,1562
149,0,10425,Jay Williamson,280,0,1,1566
150,0,01577,Lee Janzen,280,0,1,1566
151,0,20572,Rod Pampling,275,0,1571
152,0,07457,Steve Flesch,272,0,1,1574
153,0,12714,Chris Tidland,271,0,1,1575
154,0,24912,Will MacKenzie,267,0,1579
155,0,20574,Mathew Goggin,267,0,1,1579
156,0,22378,Trevor Immelman,266,0,1580
157,0,20686,Jeev Milkha Singh,253,0,1,1593
158,0,23322,Brett Wetterich,248,0,1598
159,0,22348,Nick O'Hern,247,0,2,1599
160,0,21959,Ted Purdy,244,0,1602
161,0,06197,Michael Allen,243,0,1,1603
162,0,12782,Tim Herron,234,0,1612
