RANK,MOVEMENT,PLAYER_ID,PLAYER,VALUE,TOURN/COURSE,ROUND
1,0,01142,Bart Bryant,60,Texas Open/LaCa,3
1,0,01388,Robert Gamez,60,Bob Hope Chrysl,3
3,0,12510,Chad Campbell,61,Colonial/Coloni,3
3,0,21961,Charles Howell III,61,Booz Allen/TPC,1
3,0,21949,Joe Ogilvie,61,Texas Open/LaCa,3
3,0,21959,Ted Purdy,61,Texas Open/LaCa,1
3,0,23497,Tag Ridings,61,Michelin/TPC Su,4
8,0,21633,Steve Allan,62,Sony Open/Waial,2
8,0,20498,Briny Baird,62,Nissan Open/Riv,2
8,0,20029,Notah Begay III,62,B.C. Open/En-Jo,2
8,0,21646,David Branshaw,62,Bob Hope Chrysl,4
8,0,12388,Michael Clark II,62,FedEx St. Jude/,2
8,0,19972,José Coceres,62,John Deere Clas,1
8,0,08931,Glen Day,62,Booz Allen/TPC,2
8,0,01378,David Frost,62,Michelin/TPC Su,4
8,0,01685,J.L. Lewis,62,FUNAI-Disney/Ma,1
8,0,11032,Frank Lickliter II,62,Sony Open/Waial,2
8,0,24781,Hunter Mahan,62,Texas Open/LaCa,3
8,0,23320,Ryan Palmer,62,FUNAI-Disney/Ma,4
8,0,01928,Corey Pavin,62,Buick Champ/TPC,1
8,0,24502,Adam Scott,62,Booz Allen/TPC,2
8,0,20645,John Senden,62,Bob Hope Chrysl,3
8,0,02104,Jeff Sluman,62,Chrysler-Tampa/,1
8,0,10425,Jay Williamson,62,Michelin/TPC Ca,2
25,0,01024,Billy Andrade,63,Bob Hope Chrysl,4
25,0,21739,Aaron Barber,63,Texas Open/LaCa,2
25,0,24507,Jason Bohn,63,Michelin/TPC Ca,1
25,0,06214,Guy Boros,63,HP Classic/Engl,3
25,0,06809,Bob Burns,63,Bob Hope Chrysl,3
25,0,20472,Alex Cejka,63,Booz Allen/TPC,2
25,0,20229,Stewart Cink,63,WGC-NEC Invit'l,1
25,0,11123,Chris Couch,63,So. Farm Bureau,2
25,0,06621,Joe Durant,63,Chrysler-Tampa/,4
25,0,12760,Danny Ellis,63,Michelin/TPC Su,4
25,0,20121,Todd Fischer,63,Texas Open/LaCa,3
25,0,07457,Steve Flesch,63,Bob Hope Chrysl,3
25,0,12823,Carlos Franco,63,Milwaukee/Brown,2
25,0,21805,Harrison Frazar,63,Bob Hope Chrysl,4
25,0,01418,Bill Glasson,63,Buick Open/Warw,2
25,0,20433,Mark Hensby,63,Bob Hope Chrysl,1
25,0,01619,Skip Kendall,63,Bob Hope Chrysl,1
25,0,23108,Matt Kuchar,63,HP Classic/Engl,2
25,0,01706,Davis Love III,63,Sony Open/Waial,3
25,0,01810,Phil Mickelson,63,Bob Hope Chrysl,2
25,0,22046,Geoff Ogilvy,63,Bob Hope Chrysl,3
25,0,10107,Deane Pappas,63,Michelin/TPC Su,3
25,0,24361,Pat Perez,63,Texas Open/LaCa,3
25,0,01941,Tom Pernice Jr.,63,FedEx St. Jude/,3
25,0,25345,Carl Pettersson,63,Honda Classic/C,1
25,0,02002,John Riegger,63,Bob Hope Chrysl,2
25,0,22405,Justin Rose,63,Bell Canadian/G,4
25,0,06567,Vijay Singh,63,Deutsche Bank/T,2
25,0,23325,Vaughn Taylor,63,John Deere Clas,1
25,0,02206,David Toms,63,FedEx St. Jude/,2
25,0,02214,Kirk Triplett,63,Bob Hope Chrysl,4
25,0,02239,Scott Verplank,63,FBR Open/TPC Sc,1
25,0,21878,Mark Wilson,63,Michelin/TPC Ca,3
58,0,06004,Stephen Ames,64,Western Open/Co,3
58,0,20098,Stuart Appleby,64,Nissan Open/Riv,2
58,0,01035,Tommy Armour III,64,Chrysler-Tampa/,2
58,0,21407,Arjun Atwal,64,FUNAI-Disney/Ma,4
58,0,07867,Woody Austin,64,So. Farm Bureau,2
58,0,01042,Paul Azinger,64,Nissan Open/Riv,2
58,0,22371,Aaron Baddeley,64,Tucson/Tucson N,3
58,0,23614,Rich Beem,64,Booz Allen/TPC,1
58,0,07363,Craig Bowden,64,Sony Open/Waial,2
58,0,01132,Mark Brooks,64,Michelin/TPC Ca,3
58,0,01139,Olin Browne,64,Michelin/Bear's,2
58,0,01157,Tom Byrum,64,Buick Classic/W,2
58,0,20593,Greg Chalmers,64,Michelin/TPC Ca,3
58,0,20850,Daniel Chopra,64,Michelin/TPC Ca,2
58,0,23135,Tim Clark,64,FUNAI-Disney/Ma,3
58,0,23541,Ben Crane,64,Bob Hope Chrysl,2
58,0,01249,John Daly,64,Buick Open/Warw,2
58,0,19881,Robert Damron,64,Bob Hope Chrysl,3
58,0,01261,Jay Delsing,64,Texas Open/LaCa,3
58,0,06251,Chris DiMarco,64,FBR Open/TPC Sc,3
58,0,23983,Luke Donald,64,EDS B. Nelson/T,3
58,0,20104,Ken Duke,64,FUNAI-Disney/Pa,2
58,0,06522,Ernie Els,64,WGC-Am Express/,2
58,0,01320,Bob Estes,64,FedEx St. Jude/,2
58,0,01381,Fred Funk,64,So. Farm Bureau,3
58,0,01408,Kelly Gibson,64,B.C. Open/En-Jo,1
58,0,25900,Lucas Glover,64,So. Farm Bureau,3
58,0,10201,Matt Gogel,64,Western Open/Co,2
58,0,20157,Retief Goosen,64,THE TOUR Champ/,4
58,0,24924,Bill Haas,64,Deutsche Bank/T,2
58,0,01457,Jay Haas,64,Bob Hope Chrysl,3
58,0,23063,Scott Hend,64,FUNAI-Disney/Ma,1
58,0,23353,J.J. Henry,64,Texas Open/LaCa,1
58,0,12782,Tim Herron,64,FedEx St. Jude/,2
58,0,01553,John Huston,64,FUNAI-Disney/Ma,1
58,0,21731,Freddie Jacobson,64,Texas Open/LaCa,3
58,0,06573,Brandt Jobe,64,Bob Hope Chrysl,2
58,0,08633,Per-Ulrik Johansson,64,Bob Hope Chrysl,3
58,0,26420,Richard Johnson,64,Reno-Tahoe Open,4
58,0,10733,Kent Jones,64,Chrysler-Tampa/,1
58,0,20094,Jonathan Kaye,64,Chrysler-Tampa/,1
58,0,08075,Jerry Kelly,64,WGC-NEC Invit'l,3
58,0,22624,Joel Kribel,64,HP Classic/Engl,2
58,0,23552,Hank Kuehne,64,FUNAI-Disney/Pa,2
58,0,01666,Bernhard Langer,64,Bob Hope Chrysl,5
58,0,01677,Tom Lehman,64,Michelin/TPC Ca,1
58,0,10860,Justin Leonard,64,Colonial/Coloni,2
58,0,20634,Peter Lonard,64,EDS B. Nelson/C,1
58,0,01707,Steve Lowery,64,Michelin/Bear's,1
58,0,12680,Shigeki Maruyama,64,Nissan Open/Riv,1
58,0,01766,Billy Mayfair,64,Michelin/Bear's,1
58,0,10585,Scott McCarron,64,Bob Hope Chrysl,2
58,0,06090,Jim McGovern,64,Texas Open/LaCa,1
58,0,08339,Spike McRoy,64,FUNAI-Disney/Ma,4
58,0,06515,Shaun Micheel,64,Nissan Open/Riv,1
58,0,25396,Kevin Na,64,Booz Allen/TPC,3
58,0,01887,Mark O'Meara,64,Bob Hope Chrysl,5
58,0,20572,Rod Pampling,64,So. Farm Bureau,4
58,0,01920,Craig Parry,64,THE PLAYERS/TPC,3
58,0,01938,David Peoples,64,Texas Open/LaCa,2
58,0,10912,Craig Perks,64,Colonial/Coloni,1
58,0,01945,Kenny Perry,64,Bob Hope Chrysl,4
58,0,07749,Brett Quigley,64,Milwaukee/Brown,3
58,0,26476,Chez Reavie,64,Michelin/TPC Su,2
58,0,20127,Chris Riley,64,Bob Hope Chrysl,2
58,0,02010,Loren Roberts,64,Western Open/Co,1
58,0,23621,Rory Sabbatini,64,Tucson/Tucson N,4
58,0,02049,Gene Sauers,64,Ford Champ/Dora,3
58,0,22293,Heath Slocum,64,Texas Open/LaCa,3
58,0,26679,Kevin Stadler,64,Buick Invitatio,1
58,0,06527,Steve Stricker,64,John Deere Clas,3
58,0,20548,Hidemichi Tanaka,64,HP Classic/Engl,2
58,0,02223,Bob Tway,64,Texas Open/LaCa,3
58,0,27770,Camilo Villegas,64,So. Farm Bureau,2
58,0,10423,Mike Weir,64,Nissan Open/Riv,2
58,0,25349,Tim Wilkinson,64,Buick Champ/TPC,4
58,0,12602,Dean Wilson,64,Michelin/Bear's,2
58,0,08793,Tiger Woods,64,THE TOUR Champ/,2
136,0,06197,Michael Allen,65,Sony Open/Waial,3
136,0,10885,Robert Allenby,65,Western Open/Co,1
136,0,07223,Brian Bateman,65,FedEx St. Jude/,2
136,0,07721,Pat Bates,65,Buick Open/Warw,2
136,0,12652,Cameron Beckman,65,FUNAI-Disney/Pa,2
136,0,01116,Michael Bradley,65,Booz Allen/TPC,2
136,0,08123,Jeff Brehaut,65,John Deere Clas,1
136,0,01127,Danny Briggs,65,Michelin/TPC Su,1
136,0,24290,D.J. Brigman,65,Sony Open/Waial,2
136,0,24925,Jonathan Byrd,65,So. Farm Bureau,4
136,0,01161,Mark Calcavecchia,65,FUNAI-Disney/Ma,3
136,0,12394,Tom Carter,65,Chrysler-Tampa/,3
136,0,24357,K.J. Choi,65,84 LUMBER/Nemac,4
136,0,19825,Darren Clarke,65,WGC-Am Express/,3
136,0,01226,Fred Couples,65,Buick Classic/W,2
136,0,25686,Jason Dufner,65,Greensboro/Fore,1
136,0,01374,Robin Freeman,65,Michelin/Bear's,1
136,0,01385,Jim Gallagher Jr.,65,Milwaukee/Brown,2
136,0,21209,Sergio Garcia,65,EDS B. Nelson/T,3
136,0,19846,Brian Gay,65,Michelin/TPC Su,3
136,0,12645,Brent Geiberger,65,So. Farm Bureau,4
136,0,07941,Mike Grob,65,Buick Open/Warw,1
136,0,01473,Todd Hamilton,65,EDS B. Nelson/T,2
136,0,01475,Donnie Hammond,65,Michelin/Bear's,2
136,0,06575,Dudley Hart,65,Michelin/TPC Su,3
136,0,08337,Mike Heinen,65,HP Classic/Engl,2
136,0,08545,Glen Hnatiuk,65,Bob Hope Chrysl,3
136,0,01527,Scott Hoch,65,Milwaukee/Brown,2
136,0,24511,Thongchai Jaidee,65,WGC-NEC Invit'l,4
136,0,01577,Lee Janzen,65,Michelin/TPC Su,4
136,0,19958,Miguel Angel Jiménez,65,PGA Championshi,2
136,0,24024,Zach Johnson,65,Buick Champ/TPC,2
136,0,21893,Brian Kortan,65,Milwaukee/Brown,1
136,0,06332,Neal Lancaster,65,Ford Champ/Dora,4
136,0,20382,Stephen Leaney,65,Buick Invitatio,2
136,0,10565,Ian Leggatt,65,Bob Hope Chrysl,4
136,0,01797,Rocco Mediate,65,Bob Hope Chrysl,3
136,0,26950,John Morgan,65,B.C. Open/En-Jo,1
136,0,20628,Arron Oberholser,65,Booz Allen/TPC,2
136,0,06373,José María Olazábal,65,FUNAI-Disney/Pa,1
136,0,20663,Brenden Pappas,65,Texas Open/LaCa,3
136,0,12660,Jesper Parnevik,65,Michelin/TPC Ca,1
136,0,01926,Steve Pate,65,So. Farm Bureau,2
136,0,01948,Tim Petrovic,65,Buick Champ/TPC,4
136,0,01968,Nick Price,65,Ford Champ/Dora,3
136,0,22913,John Rollins,65,Michelin/Bear's,2
136,0,22548,Patrick Sheehan,65,Texas Open/LaCa,3
136,0,02099,Scott Simpson,65,Texas Open/LaCa,1
136,0,02106,Chris Smith,65,B.C. Open/En-Jo,2
136,0,20580,Andre Stolz,65,Michelin/TPC Su,3
136,0,06595,Kevin Sutherland,65,FBR Open/TPC Sc,2
136,0,23307,Roger Tambellini,65,Milwaukee/Brown,2
136,0,06613,Tommy Tolles,65,B.C. Open/En-Jo,3
136,0,08385,Omar Uresti,65,Michelin/TPC Ca,2
136,0,20812,Tjaart van der Walt,65,Buick Classic/W,2
136,0,23623,Bo Van Pelt,65,Michelin/TPC Su,3
136,0,02246,Duffy Waldorf,65,Michelin/TPC Ca,1
136,0,26498,Matt Weibring,65,Buick Champ/TPC,1
194,0,23613,Rich Barcelo,66,Michelin/TPC Su,2
194,0,19824,Craig Barlow,66,Michelin/TPC Su,1
194,0,24846,Ricky Barnes,66,Tucson/Tucson N,4
194,0,10944,Thomas Bjørn,66,WGC-Am Express/,3
194,0,01143,Brad Bryant,66,Texas Open/LaCa,1
194,0,20848,Ángel Cabrera,66,U.S. Open Champ,1
194,0,25364,Paul Casey,66,Buick Open/Warw,2
194,0,01203,Russ Cochran,66,Ford Champ/Dora,3
194,0,01219,John Cook,66,Milwaukee/Brown,2
194,0,22621,Ben Curtis,66,FUNAI-Disney/Ma,3
194,0,06034,Marco Dawson,66,Bob Hope Chrysl,4
194,0,25816,Kevin Durkin,66,EDS B. Nelson/C,1
194,0,01306,David Edwards,66,B.C. Open/En-Jo,3
194,0,01307,Joel Edwards,66,Texas Open/LaCa,4
194,0,01313,Steve Elkington,66,Tucson/Tucson N,2
194,0,01329,Brad Faxon,66,Booz Allen/TPC,2
194,0,27561,Nick Flanagan,66,Michelin/TPC Ca,1
194,0,01361,Dan Forsman,66,FUNAI-Disney/Ma,3
194,0,10809,Jim Furyk,66,Michelin/TPC Su,4
194,0,06643,Paul Goydos,66,FUNAI-Disney/Ma,3
194,0,01444,Ken Green,66,Milwaukee/Brown,2
194,0,20378,Mathias Grönberg,66,Buick Invitatio,1
194,0,20766,Padraig Harrington,66,WGC-Am Express/,3
194,0,27708,Jason Hartwick,66,Texas Open/LaCa,2
194,0,08537,J.P. Hayes,66,Michelin/Bear's,1
194,0,06617,Brian Henninger,66,Tucson/Tucson N,1
194,0,21007,Gabriel Hjertstedt,66,Texas Open/LaCa,4
194,0,20608,David Howell,66,WGC-Am Express/,3
194,0,01549,Mike Hulbert,66,Michelin/TPC Su,2
194,0,01560,David Ishii,66,Sony Open/Waial,1
194,0,12705,Cliff Kresge,66,MCI Heritage/Ha,4
194,0,20940,Kenichi Kuboya,66,Sony Open/Waial,2
194,0,06016,Brad Lardon,66,So. Farm Bureau,3
194,0,12662,Thomas Levet,66,The Open/Royal,1
194,0,01724,Jeff Maggert,66,Colonial/Coloni,1
194,0,01761,Len Mattiace,66,Michelin/TPC Su,2
194,0,01771,Blaine McCallister,66,Booz Allen/TPC,1
194,0,20676,Patrick Moore,66,Bob Hope Chrysl,4
194,0,12753,David Morland IV,66,John Deere Clas,3
194,0,25237,Kevin Muncrief,66,Texas Open/LaCa,1
194,0,27615,Chris Nallen,66,Buick Champ/TPC,4
194,0,07939,Dan Olsen,66,Tucson/Tucson N,3
194,0,20095,Carl Paulson,66,John Deere Clas,4
194,0,01927,Dennis Paulson,66,HP Classic/Engl,1
194,0,10213,Dicky Pride,66,Michelin/TPC Su,3
194,0,07013,Wes Short Jr.,66,Milwaukee/Brown,1
194,0,02101,Joey Sindelar,66,FUNAI-Disney/Pa,1
194,0,27649,Brandt Snedeker,66,EDS B. Nelson/C,2
194,0,08375,Paul Stankowski,66,THE PLAYERS/TPC,3
194,0,06581,David Sutherland,66,So. Farm Bureau,1
194,0,02170,Hal Sutton,66,HP Classic/Engl,4
194,0,21498,Hideto Tanihara,66,Sony Open/Waial,2
194,0,26287,Roland Thatcher,66,Reno-Tahoe Open,1
194,0,02191,Tim Thelen,66,Texas Open/LaCa,3
194,0,06078,Esteban Toledo,66,Buick Champ/TPC,2
194,0,20436,Garrett Willis,66,Buick Champ/TPC,2
194,0,26497,Casey Wittenberg,66,John Deere Clas,3
251,0,01014,Fulton Allem,67,HP Classic/Engl,2
251,0,20099,Doug Barron,67,FedEx St. Jude/,3
251,0,01078,Jim Benepe,67,Texas Open/LaCa,2
251,0,01096,Phil Blackmar,67,Shell Houston/R,2
251,0,01098,Jay Don Blake,67,So. Farm Bureau,2
251,0,27817,Paul Bradshaw,67,The Open/Royal,2
251,0,20400,Michael Campbell,67,The Open/Royal,1
251,0,08835,Kris Cox,67,Michelin/Bear's,3
251,0,09011,David Duval,67,Michelin/Bear's,1
251,0,23042,Kim Felton,67,The Open/Royal,2
251,0,20939,Keiichiro Fukabori,67,Tucson/Tucson N,2
251,0,27644,Brian Harman,67,Buick Champ/TPC,2
251,0,25732,S.K. Ho,67,WGC-NEC Invit'l,2
251,0,08881,Tripp Isenhour,67,FedEx St. Jude/,2
251,0,01569,Peter Jacobsen,67,Nissan Open/Riv,2
251,0,06315,Pete Jordan,67,Booz Allen/TPC,2
251,0,12389,Barry Lane,67,WGC-NEC Invit'l,1
251,0,01682,Wayne Levi,67,B.C. Open/En-Jo,4
251,0,25034,James McLean,67,HP Classic/Engl,2
251,0,12682,Hirofumi Miyase,67,FedEx St. Jude/,3
251,0,01823,Larry Mize,67,Tucson/Tucson N,4
251,0,20474,Phillip Price,67,AT&T Pebble/Pop,1
251,0,23386,David Roesch,67,Milwaukee/Brown,2
251,0,25045,Mike Ruiz,67,Michelin/TPC Su,1
251,0,02131,Mike Springer,67,Texas Open/LaCa,1
251,0,02133,Craig Stadler,67,B.C. Open/En-Jo,1
251,0,02230,Stan Utley,67,John Deere Clas,3
251,0,02245,Grant Waite,67,Michelin/TPC Su,2
251,0,02257,Brian Watts,67,Tucson/Tucson N,1
251,0,20396,Lee Westwood,67,The Open/Royal,4
251,0,02279,Mark Wiebe,67,Reno-Tahoe Open,1
251,0,02294,Willie Wood,67,Texas Open/LaCa,3
283,0,01175,Jim Carter,68,Milwaukee/Brown,2
283,0,01185,Brandel Chamblee,68,Texas Open/LaCa,1
283,0,10195,Tim Conley,68,B.C. Open/En-Jo,4
283,0,01224,Jeff Coston,68,PGA Championshi,2
283,0,01282,Trevor Dodds,68,B.C. Open/En-Jo,2
283,0,19906,Gary Evans,68,The Open/Royal,1
283,0,20585,Niclas Fasth,68,WGC-NEC Invit'l,2
283,0,01334,Keith Fergus,68,Bob Hope Chrysl,4
283,0,21461,Kenneth Ferrie,68,The Open/Royal,1
283,0,24184,Alastair Forsyth,68,The Open/Royal,1
283,0,20043,Edward Fryatt,68,Michelin/Bear's,1
283,0,21284,Hiroyuki Fujita,68,B.C. Open/En-Jo,3
283,0,20574,Mathew Goggin,68,The Open/Royal,1
283,0,27702,Matt Hendrix,68,B.C. Open/En-Jo,3
283,0,21894,Bobby Kalinowski,68,Sony Open/Waial,2
283,0,01713,David Lundstrom,68,Texas Open/LaCa,1
283,0,08547,John Maginnes,68,Tucson/Tucson N,3
283,0,27146,Adam Meyer,68,Texas Open/LaCa,3
283,0,10831,Greg Meyer,68,Sony Open/Waial,2
283,0,19795,Kelly Mitchum,68,Booz Allen/TPC,4
283,0,26596,Ryan Moore,68,Greensboro/Fore,1
283,0,06140,Sean Murphy,68,Milwaukee/Brown,1
283,0,22348,Nick O'Hern,68,WGC-Am Express/,1
283,0,01891,David Ogrin,68,Texas Open/LaCa,1
283,0,21730,Mårten Olander,68,The Open/Royal,1
283,0,20443,Jin Park,68,EDS B. Nelson/C,1
283,0,27794,Miguel Rivera,68,Buick Open/Warw,1
283,0,02135,Mike Standly,68,Texas Open/LaCa,1
283,0,20471,Sven Struver,68,Ford Champ/Dora,4
283,0,20429,Boyd Summerhays,68,Sony Open/Waial,1
283,0,27806,JJ Wall,68,Texas Open/LaCa,2
283,0,27424,Michelle Wie,68,Sony Open/Waial,2
283,0,25782,Stuart Wilson,68,The Open/Royal,1
283,0,22363,Don Yrene,68,Tucson/Tucson N,1
283,0,21736,Lian-Wei Zhang,68,FedEx St. Jude/,1
318,0,23778,Brad Adamonis,69,Buick Classic/W,1
318,0,22416,Michael Beard,69,Bob Hope Chrysl,3
318,0,23122,Ron Castillo Jr.,69,Sony Open/Waial,1
318,0,21753,Brian Davis,69,PGA Championshi,3
318,0,27438,Geoffrey Dean,69,Bob Hope Chrysl,4
318,0,23688,Scott Drummond,69,WGC-Am Express/,1
318,0,24992,Jamie Elliott,69,EDS B. Nelson/C,1
318,0,01331,Rick Fehr,69,FUNAI-Disney/Pa,1
318,0,25752,Steve Friesen,69,AT&T Pebble/Peb,1
318,0,25741,Nick Gilliam,69,Milwaukee/Brown,2
318,0,23338,David Gossett,69,Honda Classic/C,1
318,0,24980,Scott Gutschewski,69,AT&T Pebble/Peb,3
318,0,19830,Joakim Haeggman,69,The Open/Royal,1
318,0,12716,Charley Hoffman,69,Booz Allen/TPC,1
318,0,22378,Trevor Immelman,69,WGC-NEC Invit'l,4
318,0,06012,Greg Kraft,69,Buick Open/Warw,2
318,0,27466,Spencer Levin,69,U.S. Open Champ,1
318,0,27768,Brock Mackenzie,69,B.C. Open/En-Jo,3
318,0,20445,Casey Martin,69,Tucson/Tucson N,1
318,0,12461,Paul McGinley,69,WGC-NEC Invit'l,3
318,0,22122,Andrew McLardy,69,WGC-NEC Invit'l,3
318,0,23800,Bryce Molder,69,FedEx St. Jude/,3
318,0,08635,Colin Montgomerie,69,WGC-NEC Invit'l,1
318,0,07235,John Morse,69,B.C. Open/En-Jo,3
318,0,01958,Dan Pohl,69,John Deere Clas,1
318,0,22117,Jyoti Randhawa,69,Reno-Tahoe Open,2
318,0,23797,Brett Rumford,69,WGC-NEC Invit'l,4
318,0,02036,Jim Rutledge,69,Bell Canadian/G,4
318,0,27599,David Schnider,69,Buick Invitatio,2
318,0,27399,Richard Scott,69,Bell Canadian/G,2
318,0,02076,Peter Senior,69,WGC-Am Express/,1
318,0,23481,Marcel Siem,69,Deutsche Bank/T,2
