RANK,MOVEMENT,PLAYER_ID,PLAYER,%,# OF SAVES,# OF BUNKERS
1,0,35310,Lanto Griffin,88.89%,8,9
2,0,29420,Billy Horschel,87.50%,7,8
3,0,27974,Sung Kang,80.00%,4,5
3,0,32139,Danny Willett,80.00%,4,5
5,0,47079,Harrison Endycott,75.00%,3,4
6,0,33204,Shane Lowry,72.73%,8,11
7,0,25818,Scott Piercy,71.43%,5,7
8,0,52375,Doug Ghim,66.67%,4,6
8,0,48867,Matti Schmid,66.67%,4,6
10,0,31646,Emiliano Grillo,63.64%,7,11
10,0,33122,Russell Knox,63.64%,7,11
10,0,51950,Max McGreevy,63.64%,7,11
10,0,46441,Robby Shelton,63.64%,7,11
14,0,33408,Tyson Alexander,62.50%,5,8
14,0,31202,William McGirt,62.50%,5,8
16,0,47504,Sam Burns,61.54%,8,13
16,0,20229,Stewart Cink,61.54%,8,13
16,0,30911,Tommy Fleetwood,61.54%,8,13
19,0,22405,Justin Rose,60.00%,3,5
20,0,37455,Si Woo Kim,58.82%,10,17
21,0,34255,Joseph Bramlett,58.33%,7,12
22,0,52453,Nicolai Hojgaard,57.14%,4,7
22,0,36724,Augusto Núñez,57.14%,4,7
24,0,57975,Harry Hall,55.56%,5,9
25,0,28089,Jason Day,54.55%,6,11
25,0,50188,S.H. Kim,54.55%,6,11
27,0,35879,Kelly Kraft,53.85%,7,13
27,0,54783,Dylan Wu,53.85%,7,13
29,0,29535,Brice Garnett,53.33%,8,15
30,0,35461,Beau Hossler,52.17%,12,23
31,0,52955,Ludvig Åberg,50.00%,2,4
31,0,33948,Byeong Hun An,50.00%,8,16
31,0,33653,Thomas Detry,50.00%,5,10
31,0,54591,Ben Griffin,50.00%,7,14
31,0,27644,Brian Harman,50.00%,4,8
31,0,27554,Scott Harrington,50.00%,4,8
31,0,46717,Viktor Hovland,50.00%,3,6
31,0,39975,Michael Kim,50.00%,6,12
31,0,48117,Kurt Kitayama,50.00%,4,8
31,0,40162,Justin Lower,50.00%,7,14
31,0,32839,Hideki Matsuyama,50.00%,6,12
31,0,39546,Keith Mitchell,50.00%,7,14
31,0,26476,Chez Reavie,50.00%,7,14
31,0,34431,Robert Streb,50.00%,7,14
31,0,31560,Brian Stuard,50.00%,8,16
31,0,30927,Brendon Todd,50.00%,6,12
