RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL BALL SPEED,TOTAL ATTEMPTS
1,0,52372,Cameron Champ,189.10,73372.42,388
2,0,37378,Min Woo Lee,187.86,88107.67,469
3,0,28237,Rory McIlroy,185.58,77944.49,420
4,4,51766,Wyndham Clark,184.53,89497.51,485
5,6,59095,Chris Gotterup,184.36,105636.38,573
6,-2,38991,Alejandro Tosti,184.30,111872.65,607
7,-2,31323,Gary Woodland,184.11,101628.53,552
8,-2,47663,Kevin Dougherty,184.09,95359.80,518
9,9,48081,Xander Schauffele,183.25,89610.05,489
10,5,29725,Tony Finau,182.88,116130.95,635
11,6,57366,Cameron Young,182.58,121417.81,665
12,2,47420,Jake Knapp,182.34,122713.35,673
13,-6,27064,Jhonattan Vegas,182.29,93333.29,512
14,-5,52453,Nicolai Højgaard,182.22,71976.94,395
15,-3,51070,Vincent Norrman,182.01,79356.13,436
16,9,40250,Taylor Pendrith,181.55,133623.12,736
17,-7,34255,Joseph Bramlett,181.13,121359.05,670
18,13,59866,Nick Dunlap,180.84,96387.36,533
19,1,33948,Byeong Hun An,180.65,113088.81,626
20,1,29936,Ryan Fox,180.62,109818.98,608
21,-8,48699,Callum Tarren,180.39,103906.92,576
22,-3,37212,Paul Barjon,180.16,72606.38,403
23,5,51977,Max Greyserman,179.93,92841.39,516
24,-1,56149,Wilson Furr,179.91,78980.60,439
25,14,24502,Adam Scott,179.79,103201.45,574
26,-10,54576,Patrick Fishburn,179.60,93752.17,522
27,15,33653,Thomas Detry,179.59,102902.85,573
28,1,28420,Ryan Brehm,179.43,83077.14,463
29,1,59836,Pierceson Coody,179.39,112119.79,625
30,-8,50484,Hayden Springer,179.35,104381.95,582
31,17,47504,Sam Burns,179.31,103280.44,576
32,0,52955,Ludvig Åberg,179.29,103627.04,578
33,-9,51894,Vince Whaley,179.04,102770.39,574
34,20,48117,Kurt Kitayama,178.96,77312.29,432
35,-9,45242,Kevin Yu,178.93,112904.33,631
36,-9,54421,Garrick Higgo,178.86,112859.65,631
37,-2,49947,Taylor Moore,178.62,144862.20,811
38,15,52215,Robert MacIntyre,178.44,102779.33,576
39,-5,39546,Keith Mitchell,178.08,135876.15,763
40,21,33448,Justin Thomas,178.00,83305.96,468
41,-3,48867,Matti Schmid,177.98,93975.76,528
42,2,47347,Adam Schenk,177.95,142535.97,801
43,-7,27129,Luke List,177.85,108841.73,612
44,14,34046,Jordan Spieth,177.81,108105.99,608
45,-4,40006,Erik van Rooyen,177.77,120706.62,679
46,20,47679,Victor Perez,177.74,86382.84,486
47,16,36799,Stephan Jaeger,177.39,131974.97,744
48,-8,27139,David Skinns,177.34,104987.69,592
49,13,39997,Corey Conners,177.28,125693.34,709
50,17,35450,Patrick Cantlay,177.27,96964.92,547
51,1,36699,Patrick Rodgers,177.20,163735.75,924
52,-15,55893,Sam Stevens,177.18,140322.61,792
53,-20,32333,Kevin Tway,177.15,76707.93,433
54,16,39977,Max Homa,177.03,98426.53,556
54,-8,55454,Carl Yuan,177.03,92589.28,523
56,-9,46113,Ryan McCormick,176.88,76768.06,434
57,-6,51696,Rico Hoey,176.74,103924.55,588
58,-13,33408,Tyson Alexander,176.43,105502.16,598
59,-16,35310,Lanto Griffin,176.32,95211.32,540
60,14,46046,Scottie Scheffler,176.29,105773.04,600
61,14,45157,Cam Davis,176.25,104517.52,593
62,16,47483,Will Zalatoris,176.19,86687.71,492
63,8,51634,Sahith Theegala,176.14,139154.16,790
64,-14,58168,Davis Thompson,176.01,127075.87,722
65,-9,60767,Blaine Hale Jr.,175.89,71939.55,409
66,-6,47988,Nick Hardy,175.82,135909.71,773
67,-2,59442,Parker Coody,175.79,83325.04,474
67,-18,50497,Adrien Dumont de Chassart,175.79,104240.98,593
69,-12,50188,S.H. Kim,175.54,143941.54,820
70,-6,46340,Alex Smalley,175.44,93331.74,532
71,-12,46442,Maverick McNealy,175.37,131177.60,748
72,17,48153,Matthieu Pavon,175.25,91655.84,523
73,-5,32070,Rafael Campos,175.11,78450.56,448
74,14,40098,Matt Fitzpatrick,175.04,98549.79,563
75,7,47995,Davis Riley,174.99,117594.05,672
75,-20,35617,Martin Trainer,174.99,70520.51,403
77,16,46717,Viktor Hovland,174.97,87133.30,498
78,25,28089,Jason Day,174.57,93741.46,537
79,19,33141,Keegan Bradley,174.44,107979.72,619
80,-11,60067,Joe Highsmith,174.40,105863.49,607
81,-8,60004,Jacob Bridgeman,174.35,103217.70,592
82,11,56630,Akshay Bhatia,174.23,136944.03,786
83,-4,33968,Thorbjørn Olesen,174.14,59556.72,342
84,3,34099,Harris English,173.96,111510.11,641
85,-9,34374,Erik Barnes,173.94,77577.78,446
86,26,32839,Hideki Matsuyama,173.75,99036.58,570
87,21,33204,Shane Lowry,173.65,106447.98,613
88,3,40115,Adam Svensson,173.63,164603.09,948
89,-8,48119,Ben Taylor,173.60,82980.28,478
90,11,34466,Peter Malnati,173.57,125492.80,723
91,-6,57975,Harry Hall,173.47,112238.14,647
92,-6,34563,Chesson Hadley,173.42,105614.94,609
93,20,28252,Seamus Power,173.38,123618.55,713
94,-22,55789,Taylor Montgomery,173.30,69838.18,403
94,-4,27349,Alex Noren,173.30,84918.82,490
96,-13,50493,Justin Suh,173.29,103625.48,598
97,5,35506,Mackenzie Hughes,173.23,142571.23,823
98,-14,52514,Trace Crowe,173.20,105481.63,609
99,-23,48887,Matt Wallace,173.19,92658.30,535
100,-9,39324,J.J. Spaun,172.94,120191.87,695
101,13,39971,Sungjae Im,172.92,130901.01,757
102,-22,32366,Kevin Chappell,172.86,76924.71,445
103,-3,12716,Charley Hoffman,172.84,96442.03,558
104,15,35532,Tom Hoge,172.66,138817.16,804
105,-1,52666,Sami Valimaki,172.61,88548.39,513
106,-1,46414,Aaron Rai,172.58,129608.83,751
107,20,22405,Justin Rose,172.56,80931.33,469
108,1,33399,Adam Hadwin,172.55,118884.86,689
109,-3,35461,Beau Hossler,172.53,138025.16,800
110,11,29420,Billy Horschel,172.47,114347.35,663
111,-12,36871,Matt NeSmith,172.45,103470.13,600
112,-17,51997,Andrew Novak,172.38,124799.62,724
113,-16,39975,Michael Kim,172.35,111337.18,646
114,2,57362,Austin Eckroat,172.23,126591.07,735
115,19,30911,Tommy Fleetwood,172.13,91743.10,533
116,-6,34587,Chan Kim,172.10,105839.80,615
117,-22,32757,Patton Kizzire,172.01,90647.43,527
118,18,32102,Rickie Fowler,171.96,92342.20,537
119,1,47591,Eric Cole,171.90,155567.70,905
