RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL CLUB HEAD SPEED,TOTAL ATTEMPTS
1,0,52372,Cameron Champ,126.56,24680.07,195
2,0,47663,Kevin Dougherty,125.99,29607.17,235
3,0,31323,Gary Woodland,125.26,31564.37,252
4,0,59095,Chris Gotterup,124.85,32087.10,257
5,0,37378,Min Woo Lee,124.28,28460.12,229
6,0,28237,Rory McIlroy,123.60,28057.02,227
7,0,47420,Jake Knapp,123.32,37488.27,304
8,1,48081,Xander Schauffele,123.05,29654.67,241
9,-1,29725,Tony Finau,122.82,37584.44,306
10,0,51766,Wyndham Clark,122.50,29522.26,241
11,0,38991,Alejandro Tosti,122.29,31551.52,258
12,0,51070,Vincent Norrman,122.14,24306.01,199
13,0,50484,Hayden Springer,122.00,31231.47,256
14,0,57366,Cameron Young,121.93,38407.55,315
15,0,51696,Rico Hoey,121.60,31981.96,263
16,-1,54576,Patrick Fishburn,121.39,26826.16,221
17,0,33653,Thomas Detry,121.23,28972.96,239
18,0,48699,Callum Tarren,120.96,31570.68,261
19,0,56149,Wilson Furr,120.86,24171.38,200
20,0,37212,Paul Barjon,120.79,22830.19,189
21,0,27064,Jhonattan Vegas,120.75,32602.62,270
22,0,34255,Joseph Bramlett,120.68,38256.64,317
23,0,52453,Nicolai Højgaard,120.67,22806.81,189
24,1,59866,Nick Dunlap,120.48,29036.26,241
25,-1,27129,Luke List,120.46,33970.99,282
26,1,40250,Taylor Pendrith,120.34,38870.52,323
27,-1,47347,Adam Schenk,120.25,43047.84,358
28,0,28420,Ryan Brehm,120.13,24986.17,208
29,0,29936,Ryan Fox,120.10,26541.40,221
30,4,48117,Kurt Kitayama,120.04,25088.30,209
31,1,49947,Taylor Moore,119.96,44385.45,370
32,-1,51977,Max Greyserman,119.93,31301.91,261
33,1,36699,Patrick Rodgers,119.89,47718.12,398
34,2,47504,Sam Burns,119.86,33320.38,278
35,-5,32333,Kevin Tway,119.82,25161.39,210
36,-3,59836,Pierceson Coody,119.79,34860.32,291
37,1,27139,David Skinns,119.58,35396.98,296
38,-1,51894,Vince Whaley,119.56,30368.23,254
39,0,54421,Garrick Higgo,119.39,35577.70,298
40,2,52955,Ludvig Åberg,119.34,32459.43,272
41,2,24502,Adam Scott,119.31,34002.53,285
42,-2,39546,Keith Mitchell,119.23,40060.64,336
43,2,46046,Scottie Scheffler,119.21,33616.80,282
44,-3,33948,Byeong Hun An,119.19,34685.12,291
45,-1,45242,Kevin Yu,118.97,32715.90,275
46,3,48153,Matthieu Pavon,118.92,24972.96,210
46,3,47679,Victor Perez,118.92,28660.45,241
48,4,39977,Max Homa,118.88,31145.87,262
49,4,36799,Stephan Jaeger,118.86,33875.15,285
50,-4,55789,Taylor Montgomery,118.77,21971.62,185
51,-4,46113,Ryan McCormick,118.75,24700.69,208
52,-4,40006,Erik van Rooyen,118.70,37865.52,319
53,-2,59442,Parker Coody,118.64,25388.94,214
54,0,48867,Matti Schmid,118.55,31772.12,268
55,0,55893,Sam Stevens,118.37,41428.12,350
56,2,52215,Robert MacIntyre,118.23,31095.59,263
57,-1,46442,Maverick McNealy,118.14,41822.94,354
58,-2,35310,Lanto Griffin,118.05,30457.62,258
59,0,55454,Carl Yuan,117.99,26784.16,227
60,-1,50497,Adrien Dumont de Chassart,117.97,31379.11,266
61,1,35450,Patrick Cantlay,117.96,30316.21,257
62,-1,33408,Tyson Alexander,117.89,32066.84,272
63,1,33448,Justin Thomas,117.79,26974.89,229
