RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,AVERAGE DISTANCE (YARDS),AVERAGE CLUB HEAD SPEED,TOTAL ATTEMPTS,HIGHEST DIST. EFFICIENCY
1,0,48084,Wesley Bryan,2.708,307.488,113.563,166,0197703496
2,0,49960,Sepp Straka,2.693,299.494,111.221,288,0207303655
3,0,45609,Tyler Duncan,2.687,301.608,112.232,246,0196303329
4,0,34021,Bud Cauley,2.684,301.840,112.445,257,0224403214
5,0,34076,Joel Dahmen,2.683,297.859,111.034,315,0170203346
6,0,29908,C.T. Pan,2.679,295.807,110.398,257,0214403362
7,0,33948,Byeong Hun An,2.678,319.141,119.193,291,0183703616
7,0,23108,Matt Kuchar,2.678,289.183,107.974,298,0204703208
7,0,59143,Mac Meissner,2.678,304.742,113.810,280,0199703402
7,0,51890,Greyson Sigg,2.678,296.443,110.678,315,0195903176
11,0,34587,Chan Kim,2.677,305.130,113.995,293,0170703400
12,0,34563,Chesson Hadley,2.676,307.008,114.720,296,0216403326
13,0,52375,Doug Ghim,2.675,300.289,112.237,313,0218803371
13,0,32640,Troy Merritt,2.675,297.117,111.055,290,0200303403
13,0,47806,Raul Pereda,2.675,293.358,109.669,183,0197003139
16,0,50095,Austin Smotherman,2.674,303.161,113.372,176,0209803135
17,0,23320,Ryan Palmer,2.673,300.494,112.432,178,0221003405
18,0,26476,Chez Reavie,2.669,288.296,108.030,286,0218903487
19,0,29535,Brice Garnett,2.668,290.875,109.022,199,0187603417
19,0,27644,Brian Harman,2.668,294.531,110.380,379,0223203637
21,0,27330,Josh Teater,2.664,300.173,112.697,193,0205503191
22,0,35461,Beau Hossler,2.663,304.252,114.245,367,0219803354
22,0,36326,David Lipsky,2.663,294.008,110.407,274,0213803396
22,0,52513,Carson Young,2.663,297.879,111.862,339,0219903276
25,0,33141,Keegan Bradley,2.662,307.051,115.334,315,0216403563
26,0,34098,Russell Henley,2.659,294.258,110.671,300,0219703768
27,0,26596,Ryan Moore,2.658,290.437,109.265,328,0209203246
27,0,46340,Alex Smalley,2.658,309.894,116.600,255,0202203234
29,0,33448,Justin Thomas,2.655,312.458,117.707,233,0187203524
30,0,46717,Viktor Hovland,2.654,307.490,115.861,211,0203503448
31,0,60767,Blaine Hale Jr.,2.653,309.895,116.816,186,0206603227
32,0,48319,Tom Whitney,2.652,300.159,113.162,245,0178403294
33,0,25493,Nick Taylor,2.650,296.300,111.795,345,0212003643
34,0,51287,Ryo Hisatsune,2.648,298.833,112.853,293,0214803115
35,0,24024,Zach Johnson,2.646,286.829,108.405,217,0224903255
35,0,39975,Michael Kim,2.646,305.045,115.306,303,0188703305
37,0,34374,Erik Barnes,2.645,304.898,115.270,210,0210003159
37,0,27770,Camilo Villegas,2.645,294.568,111.360,200,0192003537
39,0,40026,Daniel Berger,2.644,304.289,115.108,277,0223003263
39,0,25900,Lucas Glover,2.644,293.773,111.124,347,0212003521
41,0,57900,Chandler Phillips,2.643,296.874,112.325,334,0002803273
42,0,32757,Patton Kizzire,2.642,304.425,115.220,249,0219703256
43,0,29420,Billy Horschel,2.641,301.624,114.225,302,0154503482
43,0,40162,Justin Lower,2.641,298.859,113.161,365,0214103454
43,0,58168,Davis Thompson,2.641,309.532,117.211,329,0189303800
46,0,32366,Kevin Chappell,2.640,305.580,115.747,202,0209403237
46,0,49771,J.T. Poston,2.640,298.115,112.922,368,0198803596
46,0,27214,Kevin Streelman,2.640,300.493,113.842,278,0206703354
46,0,51634,Sahith Theegala,2.640,309.445,117.232,372,0174203781
50,0,47993,Denny McCarthy,2.639,294.897,111.734,368,0184503521
50,0,48119,Ben Taylor,2.639,304.836,115.514,230,0199003239
52,0,39324,J.J. Spaun,2.638,305.017,115.615,336,0206303192
53,0,45157,Cam Davis,2.637,306.667,116.275,281,0173603769
54,0,32102,Rickie Fowler,2.636,301.334,114.335,268,0173103585
54,0,47988,Nick Hardy,2.636,308.447,117.017,357,0190203458
56,0,51349,Nico Echavarria,2.635,299.705,113.755,320,0213403628
56,0,31646,Emiliano Grillo,2.635,297.131,112.749,337,0216203814
56,0,57975,Harry Hall,2.635,306.550,116.349,291,0197803412
59,0,48117,Kurt Kitayama,2.634,315.205,119.688,219,0196703464
59,0,28775,Nate Lashley,2.634,294.705,111.877,296,0220003262
61,0,29221,Webb Simpson,2.633,299.367,113.680,239,0217903096
62,0,37212,Paul Barjon,2.632,317.981,120.795,189,0210803296
62,0,12716,Charley Hoffman,2.632,303.492,115.289,248,0216903204
62,0,30926,Chris Kirk,2.632,301.806,114.672,322,0201603632
62,0,34046,Jordan Spieth,2.632,308.880,117.375,290,0204803483
66,0,60004,Jacob Bridgeman,2.630,306.605,116.581,275,0210303180
66,0,52514,Trace Crowe,2.630,303.562,115.436,273,0200103181
66,0,39546,Keith Mitchell,2.630,313.586,119.254,335,0201803242
69,0,55893,Sam Stevens,2.629,311.210,118.366,350,0205503377
70,0,30911,Tommy Fleetwood,2.628,302.430,115.098,281,0229403704
70,0,29936,Ryan Fox,2.628,315.620,120.097,221,0180603243
72,0,60067,Joe Highsmith,2.627,307.477,117.046,258,0215103556
73,0,35450,Patrick Cantlay,2.626,309.473,117.846,261,0189003479
73,0,32791,K.H. Lee,2.626,302.996,115.379,302,0209603197
73,0,33486,Roger Sloan,2.626,297.078,113.140,233,0001203239
76,0,32070,Rafael Campos,2.625,306.910,116.925,218,0208703331
76,0,55182,Tom Kim,2.625,299.263,113.990,343,0207103729
76,0,22405,Justin Rose,2.625,300.572,114.517,237,0002003610
79,0,40250,Taylor Pendrith,2.624,315.193,120.139,330,0220403386
79,0,27649,Brandt Snedeker,2.624,284.082,108.243,253,0208503227
79,0,27064,Jhonattan Vegas,2.624,316.863,120.750,270,0197703157
82,0,33399,Adam Hadwin,2.623,301.406,114.908,318,0199203724
82,0,36799,Stephan Jaeger,2.623,311.076,118.578,294,0208103159
84,0,56149,Wilson Furr,2.622,316.874,120.857,200,0201803204
84,0,51997,Andrew Novak,2.622,301.734,115.083,293,0179803301
84,0,47995,Davis Riley,2.622,304.688,116.211,314,0206503520
84,0,55454,Carl Yuan,2.622,309.400,117.992,227,0206403418
88,0,55708,Hayden Buckley,2.621,299.013,114.092,292,0219903252
88,0,57362,Austin Eckroat,2.621,301.714,115.115,343,0192003238
88,0,33204,Shane Lowry,2.621,301.050,114.877,292,0213703281
88,0,47983,Chad Ramey,2.621,297.613,113.544,315,0199603151
88,0,54783,Dylan Wu,2.621,298.708,113.977,320,0197703379
93,0,34255,Joseph Bramlett,2.620,316.349,120.724,312,0216503273
93,0,50525,Collin Morikawa,2.620,300.224,114.609,269,0215003910
93,0,30927,Brendon Todd,2.620,285.085,108.795,407,0202603600
93,0,52666,Sami Valimaki,2.620,301.075,114.921,221,0205003276
93,0,48887,Matt Wallace,2.620,304.318,116.146,229,0195503492
98,0,46113,Ryan McCormick,2.619,311.082,118.786,207,0184303156
99,0,47591,Eric Cole,2.618,300.781,114.880,395,0203103555
99,0,54421,Garrick Higgo,2.618,312.614,119.403,297,0209603303
101,0,51977,Max Greyserman,2.617,313.847,119.931,261,0221903109
101,0,40006,Erik van Rooyen,2.617,310.675,118.701,319,0000603590
103,0,59836,Pierceson Coody,2.616,313.333,119.795,291,0004403206
104,0,32367,Jorge Campillo,2.615,299.134,114.383,180,0216403086
104,0,52374,Brandon Wu,2.615,295.014,112.816,294,0182703205
106,0,39971,Sungjae Im,2.614,300.750,115.062,358,0207603602
106,0,32839,Hideki Matsuyama,2.614,302.149,115.589,283,0208603361
108,0,52955,Ludvig Ãberg,2.613,311.391,119.165,277,0203303506
108,0,48867,Matti Schmid,2.613,309.764,118.553,268,0205303091
110,0,50188,S.H. Kim,2.611,307.442,117.740,369,0193403137
111,0,35532,Tom Hoge,2.610,300.640,115.206,393,0204103420
111,0,39327,Ben Silverman,2.610,294.211,112.727,361,0216203178
111,0,50493,Justin Suh,2.610,302.298,115.824,283,0172003277
114,0,27936,Martin Laird,2.608,295.247,113.212,246,0143203188
114,0,47483,Will Zalatoris,2.608,305.362,117.078,248,0215403192
116,0,46046,Scottie Scheffler,2.607,310.100,118.937,290,0210803511
117,0,35506,Mackenzie Hughes,2.606,301.008,115.507,399,0199803519
117,0,52215,Robert MacIntyre,2.606,307.714,118.084,267,0200803144
117,0,30163,Henrik Norlander,2.606,298.966,114.731,192,0188503136
117,0,38991,Alejandro Tosti,2.606,318.762,122.301,257,0193003248
121,0,28252,Seamus Power,2.605,301.629,115.807,375,0205703643
122,0,56630,Akshay Bhatia,2.604,302.139,116.040,340,0192803435
123,0,47504,Sam Burns,2.603,311.566,119.685,284,0166303544
123,0,24502,Adam Scott,2.603,309.991,119.097,294,0172703275
125,0,28089,Jason Day,2.602,304.979,117.215,264,0209403309
126,0,46441,Robby Shelton,2.600,292.632,112.553,320,0193003266
127,0,28237,Rory McIlroy,2.599,321.262,123.599,227,0199403007
128,0,33408,Tyson Alexander,2.598,306.421,117.932,269,0141503219
128,0,34099,Harris English,2.598,304.033,117.025,326,0205003415
128,0,35617,Martin Trainer,2.598,305.069,117.421,187,0168803142
131,0,54591,Ben Griffin,2.597,297.818,114.682,357,0148103208
131,0,54628,Lee Hodges,2.597,298.277,114.837,358,0189303544
133,0,39997,Corey Conners,2.596,304.293,117.213,355,0211303442
133,0,37455,Si Woo Kim,2.596,296.767,114.315,367,0000603538
135,0,35310,Lanto Griffin,2.594,306.581,118.195,253,0212803019
135,0,32333,Kevin Tway,2.594,311.130,119.951,205,0160603249
137,0,29478,Kevin Kisner,2.593,286.053,110.305,239,0126703236
138,0,45522,Christiaan Bezuidenhout,2.592,291.633,112.525,332,0146603337
138,0,33968,ThorbjÃ¸rn Olesen,2.592,302.841,116.829,163,0204103072
140,0,51766,Wyndham Clark,2.590,316.908,122.371,249,0151103442
141,0,50497,Adrien Dumont de Chassart,2.588,305.333,117.985,263,0004603090
142,0,45242,Kevin Yu,2.587,307.963,119.060,272,0206803158
143,0,54576,Patrick Fishburn,2.583,314.071,121.597,215,0202803180
143,0,36699,Patrick Rodgers,2.583,309.101,119.688,407,0196903403
145,0,36884,Ben Kohles,2.581,291.242,112.860,323,0210203166
146,0,39977,Max Homa,2.578,305.786,118.614,269,0165403592
146,0,51894,Vince Whaley,2.578,308.330,119.606,251,0212403071
148,0,40115,Adam Svensson,2.577,298.980,116.006,429,0214003433
149,0,40098,Matt Fitzpatrick,2.576,300.998,116.850,262,0176803426
149,0,52453,Nicolai HÃ¸jgaard,2.576,310.887,120.671,189,0214803274
151,0,48699,Callum Tarren,2.575,311.644,121.041,256,0190703146
152,0,51696,Rico Hoey,2.574,313.059,121.604,263,0222603336
152,0,51070,Vincent Norrman,2.574,314.419,122.141,199,0168203418
154,0,46442,Maverick McNealy,2.573,304.070,118.190,351,0186303246
155,0,59866,Nick Dunlap,2.572,309.301,120.242,249,0219003386
155,0,34466,Peter Malnati,2.572,299.389,116.411,343,0192903179
155,0,57366,Cameron Young,2.572,313.124,121.739,321,0196903329
158,0,22371,Aaron Baddeley,2.571,287.497,111.842,276,0194203182
158,0,37378,Min Woo Lee,2.571,319.472,124.280,229,0180503097
158,0,50484,Hayden Springer,2.571,313.788,122.068,254,0211703044
161,0,40058,Zac Blair,2.570,283.973,110.504,361,0182803231
161,0,36801,Mark Hubbard,2.570,296.906,115.513,394,0208103252
161,0,47679,Victor Perez,2.570,304.937,118.657,247,0175803117
164,0,52372,Cameron Champ,2.569,325.345,126.642,194,0218303073
165,0,36871,Matt NeSmith,2.568,300.626,117.063,284,0194503180
165,0,37275,Sam Ryder,2.568,296.623,115.509,298,0187503193
167,0,59442,Parker Coody,2.567,304.552,118.640,214,0190103009
167,0,49947,Taylor Moore,2.567,307.725,119.859,371,0141403441
169,0,27349,Alex Noren,2.566,298.242,116.218,213,0205503234
170,0,27129,Luke List,2.564,308.917,120.480,280,0002903323
171,0,46414,Aaron Rai,2.556,295.488,115.585,356,0206703413
172,0,28420,Ryan Brehm,2.553,306.666,120.126,208,0004403060
173,0,27139,David Skinns,2.552,305.236,119.584,296,0173402995
174,0,47663,Kevin Dougherty,2.551,321.435,125.988,235,0210803119
174,0,34256,Andrew Putnam,2.551,283.646,111.196,351,0119003663
176,0,29725,Tony Finau,2.550,312.826,122.676,312,0211803468
177,0,33653,Thomas Detry,2.549,308.659,121.074,242,0205403268
178,0,59095,Chris Gotterup,2.542,316.716,124.590,261,0170103038
179,0,48153,Matthieu Pavon,2.541,301.558,118.655,216,0196503501
180,0,31323,Gary Woodland,2.530,316.837,125.255,252,0210803082
181,0,48081,Xander Schauffele,2.528,311.389,123.152,249,0205303310
182,0,47420,Jake Knapp,2.513,309.434,123.132,309,0203403067
183,0,47347,Adam Schenk,2.507,301.318,120.184,360,0036303528
184,0,55789,Taylor Montgomery,2.479,294.503,118.818,181,0001203130
