RANK,MOVEMENT,PLAYER_ID,PLAYER,MONEY,TOTAL
1,0,29974,Branden Grace,$1471160,1761660
2,0,36699,Patrick Rodgers,$1038291,1038291
3,0,35891,Cameron Smith,$976297,976297
4,0,46435,Austin Cook,$537648,537648
5,0,31420,Anirban Lahiri,$490003,712795
6,0,32139,Danny Willett,$408435,1265935
7,0,31646,Emiliano Grillo,$348407,348407
8,0,28937,George Coetzee,$338872,532696
9,0,28300,Joost Luiten,$235074,503398
10,0,30978,Kiradech Aphibarnrat,$229250,229250
11,0,24039,Prom Meesawat,$189000,189000
11,0,26435,Angelo Que,$189000,189000
13,0,35314,Andy Sullivan,$179325,242825
14,0,29484,Peter Uihlein,$165333,165333
15,0,25841,Marc Warren,$163922,461089
16,0,22540,Anthony Wall,$162107,162107
17,0,46501,Ollie Schniederjans,$160107,160107
18,0,29454,Bernd Wiesberger,$155149,365316
19,0,24461,Thomas Aiken,$153350,236350
20,0,29461,Jamie Lovemark,$146138,146138
21,0,26499,Rafa Cabrera Bello,$129450,129450
22,0,33120,Mark Anderson,$129215,129215
23,0,23481,Marcel Siem,$120950,298750
24,0,24083,Marcus Fraser,$119760,119760
25,0,29256,James Morrison,$113238,113238
26,0,31559,Garrett Osborn,$100000,100000
27,0,27747,Hiroshi Iwata,$97667,479334
28,0,36836,Cory Whitsett,$78544,78544
29,0,34579,Alexander Levy,$77658,282376
30,0,46550,Brandon Hagy,$77111,77111
31,0,34363,Tyrrell Hatton,$74600,74600
32,0,20376,Stephen Gallacher,$67790,281550
33,0,29908,C.T. Pan,$65056,65056
34,0,30911,Tommy Fleetwood,$64126,465251
34,0,45534,Jimmy Gunn,$64126,64126
36,0,33948,Byeong Hun An,$63450,109200
37,0,32876,Martin Piller,$47250,47250
38,0,24511,Thongchai Jaidee,$46955,255455
39,0,29891,Scott Arnold,$43480,43480
39,0,19904,Paul Lawrie,$43480,43480
41,0,28092,D.H. Lee,$38985,38985
42,0,36326,David Lipsky,$38264,170014
43,0,29740,Brad Fritsch,$37090,37090
44,0,33592,Andy Pope,$34524,34524
45,0,39954,Cody Gribble,$34229,34229
46,0,36685,Cameron Wilson,$33300,33300
47,0,37092,Hyung-Sung Kim,$33280,76530
48,0,23540,Jason Allred,$32683,32683
49,0,34296,Wes Homan,$31789,31789
50,0,33110,Michael Smith,$31099,31099
51,0,29936,Ryan Fox,$29227,29227
51,0,20608,David Howell,$29227,29227
51,0,34709,Eddie Pepperell,$29227,29227
54,0,40115,Adam Svensson,$28669,28669
55,0,27899,Rikard Karlberg,$27300,27300
56,0,34259,Mark Silvers,$27272,27272
57,0,10944,Thomas Bjørn,$25750,124500
58,0,23125,Brad Elder,$25358,25358
59,0,08635,Colin Montgomerie,$23822,23822
60,0,19825,Darren Clarke,$23800,23800
61,0,27896,Ross Fisher,$23331,106331
61,0,29531,Richie Ramsay,$23331,23331
63,0,23797,Brett Rumford,$22551,22551
64,0,24956,Mikko Ilonen,$22500,276500
65,0,28723,John Parry,$22067,22067
66,0,35260,Kelvin Day,$21236,21236
67,0,25234,Jason Knutzon,$21000,62000
68,0,35732,Wes Roach,$20495,20495
69,0,39324,J.J. Spaun,$20300,20300
70,0,31997,Steve Lewton,$19180,19180
71,0,29939,Fabrizio Zanotti,$18736,18736
72,0,34314,Sebastian Cappelen,$18475,18475
73,0,23366,Brian Gaffney,$17900,17900
74,0,27119,Koumei Oda,$17700,116200
75,0,27072,Alvaro Quiros,$17651,17651
76,0,22764,Michael Block,$14960,14960
77,0,24980,Scott Gutschewski,$14697,14697
78,0,25457,Alexandre Rocha,$14528,14528
79,0,23699,Danny Chia,$14420,14420
79,0,32105,Nicholas Fung,$14420,14420
81,0,32333,Kevin Tway,$14322,14322
82,0,26434,Antonio Lascuna,$13790,55415
83,0,30237,Cory Renfrew,$13734,13734
84,0,22806,Doug LaBelle II,$13650,13650
85,0,32354,Seuk-hyun Baek,$13160,13160
86,0,12195,Tom Johnson,$12967,12967
87,0,32757,Patton Kizzire,$12544,12544
88,0,34305,Daniel Miernicki,$12348,12348
89,0,27711,Jay Woodson,$12261,12261
90,0,45854,Thomas Birdsey,$12090,12090
91,0,24748,WC Liang,$11760,102185
92,0,39537,Chris Naegel,$11336,11336
93,0,37076,Marcelo Rozo,$9628,9628
94,0,39384,Alex Kang,$7613,7613
95,0,46440,Smylie Kaufman,$7210,7210
96,0,47128,Richy Werenski,$6825,6825
97,0,19970,Robert Karlsson,$6690,6690
98,0,34306,John Chin,$6262,6262
99,0,32741,Michael McCabe,$6014,6014
100,0,46507,Bobby Wyatt,$6000,6000
101,0,23409,James Driscoll,$5820,5820
