RANK,MOVEMENT,PLAYER_ID,PLAYER,%,PAR 5 BIRDIES OR BETTER,PAR 5 HOLES
1,0,01927,Dennis Paulson,49.82,141,283
2,0,01553,John Huston,49.13,141,287
3,0,02133,Craig Stadler,48.98,120,245
4,0,01810,Phil Mickelson,48.33,101,209
5,0,01388,Robert Gamez,47.57,127,267
6,0,06567,Vijay Singh,46.09,112,243
7,0,01706,Davis Love III,46.01,150,326
8,0,01418,Bill Glasson,45.08,119,264
9,0,06214,Guy Boros,45.02,149,331
10,0,01201,Lennie Clements,44.70,135,302
11,0,01690,Bruce Lietzke,44.66,92,206
12,0,02246,Duffy Waldorf,44.14,128,290
13,0,02131,Mike Springer,44.13,124,281
14,0,02049,Gene Sauers,43.77,123,281
14,0,06527,Steve Stricker,43.77,144,329
16,0,01468,Gary Hallberg,43.54,118,271
17,0,06251,Chris DiMarco,43.41,135,311
18,0,01837,Gil Morgan,43.40,92,212
19,0,01876,Greg Norman,43.28,87,201
20,0,01550,Ed Humenik,43.21,140,324
21,0,01098,Jay Don Blake,43.18,133,308
22,0,06791,Mark Wurtz,42.91,124,289
23,0,02135,Mike Standly,42.43,143,337
24,0,01682,Wayne Levi,41.84,123,294
25,0,01156,Curt Byrum,41.69,123,295
26,0,01475,Donnie Hammond,41.67,120,288
27,0,01723,Andrew Magee,41.53,125,301
28,0,06657,Steve Rintoul,41.40,118,285
29,0,06609,Rob Boldt,41.29,83,201
30,0,06617,Brian Henninger,41.26,92,223
31,0,01329,Brad Faxon,40.92,124,303
31,0,01887,Mark O'Meara,40.92,133,325
33,0,02256,Tom Watson,40.86,76,186
34,0,01320,Bob Estes,40.68,131,322
35,0,01724,Jeff Maggert,40.67,122,300
36,0,02218,Ted Tryba,40.66,159,391
37,0,01783,Mark McCumber,40.65,100,246
38,0,01938,David Peoples,40.63,128,315
39,0,12660,Jesper Parnevik,40.50,81,200
40,0,06577,John Wilson,40.39,124,307
41,0,01374,Robin Freeman,40.25,130,323
42,0,01968,Nick Price,40.21,76,189
43,0,08337,Mike Heinen,40.07,111,277
44,0,06332,Neal Lancaster,40.00,130,325
44,0,01677,Tom Lehman,40.00,108,270
46,0,08931,Glen Day,39.94,133,333
46,0,01261,Jay Delsing,39.94,123,308
46,0,02214,Kirk Triplett,39.94,123,308
49,0,01457,Jay Haas,39.89,140,351
50,0,01569,Peter Jacobsen,39.84,98,246
51,0,01408,Kelly Gibson,39.82,133,334
52,0,01926,Steve Pate,39.76,130,327
53,0,01945,Kenny Perry,39.75,128,322
54,0,02303,Robert Wrenn,39.57,74,187
55,0,06062,Charles Raulerson,39.35,85,216
56,0,02167,Mike Sullivan,39.30,101,257
57,0,12661,Todd Barranger,39.24,93,237
57,0,01093,Ronnie Black,39.24,113,288
59,0,01161,Mark Calcavecchia,39.10,113,289
60,0,01890,Brett Ogle,39.00,78,200
61,0,01920,Craig Parry,38.94,81,208
62,0,02067,Ted Schulz,38.87,110,283
