RANK,MOVEMENT,PLAYER_ID,PLAYER,%,PAR 3 BIRDIES OR BETTER,PAR 3 HOLES
1,0,02010,Loren Roberts,17.89,56,313
2,0,01677,Tom Lehman,17.79,58,326
3,0,01690,Bruce Lietzke,17.77,43,242
4,0,06589,Jeff Woodland,17.70,60,339
5,0,01905,Joe Ozaki,17.62,43,244
6,0,01559,Hale Irwin,17.51,52,297
7,0,01306,David Edwards,17.37,58,334
8,0,01143,Brad Bryant,17.16,76,443
9,0,02099,Scott Simpson,17.02,48,282
10,0,01435,Wayne Grady,16.96,38,224
11,0,01810,Phil Mickelson,16.79,44,262
12,0,01945,Kenny Perry,16.58,66,398
13,0,01707,Steve Lowery,16.49,63,382
14,0,01072,Chip Beck,16.29,57,350
15,0,01607,Brian Kamm,16.23,62,382
16,0,01129,Bill Britton,16.13,45,279
17,0,01320,Bob Estes,16.06,62,386
18,0,02190,Doug Tewell,15.99,55,344
19,0,01132,Mark Brooks,15.97,73,457
20,0,01418,Bill Glasson,15.96,49,307
21,0,01098,Jay Don Blake,15.82,56,354
22,0,06012,Greg Kraft,15.71,55,350
23,0,01569,Peter Jacobsen,15.64,43,275
24,0,01374,Robin Freeman,15.63,58,371
25,0,01060,Dave Barr,15.57,59,379
26,0,01261,Jay Delsing,15.56,56,360
27,0,01024,Billy Andrade,15.54,55,354
28,0,08337,Mike Heinen,15.48,50,323
29,0,01920,Craig Parry,15.20,38,250
30,0,01282,Trevor Dodds,15.17,49,323
30,0,06332,Neal Lancaster,15.17,59,389
32,0,01783,Mark McCumber,15.13,46,304
33,0,01235,Ben Crenshaw,15.07,52,345
34,0,02007,Larry Rinker,15.00,45,300
35,0,02321,Fuzzy Zoeller,14.92,44,295
36,0,01385,Jim Gallagher Jr.,14.84,50,337
37,0,02224,Greg Twiggs,14.83,39,263
38,0,01388,Robert Gamez,14.80,45,304
39,0,01161,Mark Calcavecchia,14.71,50,340
39,0,01266,Clark Dennis,14.71,59,401
41,0,01457,Jay Haas,14.70,61,415
42,0,01475,Donnie Hammond,14.67,49,334
43,0,01876,Greg Norman,14.62,37,253
44,0,01823,Larry Mize,14.57,44,302
45,0,06197,Michael Allen,14.54,58,399
46,0,02223,Bob Tway,14.51,47,324
47,0,08931,Glen Day,14.47,56,387
48,0,01724,Jeff Maggert,14.41,51,354
49,0,01971,Dillard Pruitt,14.36,52,362
50,0,01468,Gary Hallberg,14.33,45,314
50,0,02131,Mike Springer,14.33,49,342
52,0,01201,Lennie Clements,14.29,49,343
52,0,01381,Fred Funk,14.29,61,427
52,0,02206,David Toms,14.29,53,371
55,0,01928,Corey Pavin,14.23,39,274
55,0,06567,Vijay Singh,14.23,38,267
57,0,01706,Davis Love III,14.17,52,367
58,0,01527,Scott Hoch,14.14,54,382
59,0,12663,Phil Tataurangi,14.13,38,269
60,0,06577,John Wilson,14.12,49,347
61,0,01331,Rick Fehr,14.10,44,312
62,0,02170,Hal Sutton,14.03,55,392
63,0,01996,Mike Reid,13.97,38,272
64,0,06617,Brian Henninger,13.93,39,280
64,0,01723,Andrew Magee,13.93,50,359
66,0,01824,Yoshinori Mizumaki,13.82,34,246
67,0,07569,Mark Carnevale,13.75,48,349
67,0,02167,Mike Sullivan,13.75,40,291
69,0,02241,Bobby Wadkins,13.72,38,277
70,0,01444,Ken Green,13.71,48,350
71,0,06058,John Flannery,13.70,53,387
72,0,01577,Lee Janzen,13.69,49,358
73,0,01093,Ronnie Black,13.64,45,330
74,0,02095,Larry Silveira,13.56,43,317
75,0,02104,Jeff Sluman,13.53,51,377
76,0,01185,Brandel Chamblee,13.43,47,350
77,0,06128,Steve Lamontagne,13.40,43,321
78,0,06016,Brad Lardon,13.33,30,225
79,0,02100,Tim Simpson,13.17,49,372
80,0,02218,Ted Tryba,13.15,58,441
81,0,02239,Scott Verplank,13.13,34,259
82,0,12660,Jesper Parnevik,13.10,30,229
83,0,02214,Kirk Triplett,13.08,48,367
84,0,08375,Paul Stankowski,13.02,41,315
85,0,01307,Joel Edwards,13.01,45,346
86,0,01975,Tom Purtzer,13.00,36,277
87,0,06591,Rocky Walcher,12.98,34,262
88,0,02242,Lanny Wadkins,12.96,35,270
89,0,10809,Jim Furyk,12.89,50,388
90,0,01926,Steve Pate,12.86,49,381
91,0,06034,Marco Dawson,12.82,45,351
92,0,02159,Curtis Strange,12.76,43,337
93,0,01116,Michael Bradley,12.74,46,361
93,0,01495,Morris Hatalsky,12.74,40,314
95,0,02146,Payne Stewart,12.70,39,307
96,0,01549,Mike Hulbert,12.65,53,419
96,0,01557,John Inman,12.65,52,411
98,0,02201,Jim Thorpe,12.62,39,309
99,0,06020,Steve Brodie,12.61,44,349
