RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:OTT,MEASURED ROUNDS
1,0,24502,Adam Scott,.955,48.704,51
2,0,25804,Bubba Watson,.807,58.081,72
3,0,08793,Tiger Woods,.803,29.709,37
4,0,23322,Brett Wetterich,.801,58.506,73
5,0,27141,J.B. Holmes,.758,47.763,63
6,0,06621,Joe Durant,.750,71.990,96
7,0,01945,Kenny Perry,.742,44.520,60
8,0,23349,Charles Warren,.740,59.955,81
9,0,25900,Lucas Glover,.724,62.298,86
10,0,20691,Greg Owen,.636,39.417,62
11,0,27770,Camilo Villegas,.629,51.589,82
12,0,01810,Phil Mickelson,.569,26.737,47
13,0,02106,Chris Smith,.556,32.819,59
14,0,22378,Trevor Immelman,.544,39.740,73
15,0,24925,Jonathan Byrd,.543,29.319,54
15,0,01226,Fred Couples,.543,17.368,32
17,0,11123,Chris Couch,.533,35.684,67
18,0,10885,Robert Allenby,.524,31.456,60
18,0,20645,John Senden,.524,41.431,79
20,0,12716,Charley Hoffman,.516,45.931,89
21,0,28780,Nicholas Thompson,.497,38.749,78
22,0,20094,Jonathan Kaye,.478,41.098,86
23,0,10809,Jim Furyk,.475,32.322,68
24,0,28475,Jeff Overton,.466,40.501,87
25,0,20574,Mathew Goggin,.457,26.530,58
26,0,24138,Ian Poulter,.456,19.145,42
27,0,20378,Mathias Grönberg,.449,35.464,79
28,0,06567,Vijay Singh,.447,37.571,84
29,0,01706,Davis Love III,.446,25.396,57
30,0,23623,Bo Van Pelt,.437,39.339,90
31,0,24024,Zach Johnson,.418,32.178,77
32,0,27095,Nick Watney,.385,33.127,86
33,0,21209,Sergio Garcia,.383,14.953,39
34,0,21805,Harrison Frazar,.379,28.393,75
35,0,23614,Rich Beem,.353,22.952,65
36,0,27943,Matt Hansen,.352,20.405,58
37,0,06522,Ernie Els,.344,16.176,47
38,0,24358,Robert Garrigus,.334,24.679,74
39,0,24980,Scott Gutschewski,.333,14.984,45
39,0,22293,Heath Slocum,.333,27.988,84
41,0,20098,Stuart Appleby,.330,21.124,64
42,0,23320,Ryan Palmer,.318,26.041,82
43,0,26596,Ryan Moore,.313,18.153,58
44,0,01677,Tom Lehman,.306,14.398,47
45,0,01313,Steve Elkington,.302,13.891,46
46,0,01142,Bart Bryant,.299,21.213,71
47,0,24781,Hunter Mahan,.295,26.252,89
48,0,02206,David Toms,.293,18.195,62
49,0,21753,Brian Davis,.291,23.575,81
50,0,23788,D.J. Trahan,.269,20.460,76
51,0,22913,John Rollins,.264,20.037,76
52,0,24507,Jason Bohn,.262,23.340,89
52,0,21961,Charles Howell III,.262,20.683,79
54,0,12660,Jesper Parnevik,.259,18.879,73
55,0,23621,Rory Sabbatini,.258,16.499,64
56,0,20105,Jeff Gove,.255,20.660,81
57,0,24357,K.J. Choi,.253,19.969,79
58,0,01707,Steve Lowery,.247,20.494,83
59,0,22946,Henrik Bjornstad,.246,21.884,89
60,0,02246,Duffy Waldorf,.242,19.808,82
61,0,20498,Briny Baird,.235,16.474,70
62,0,24140,Sean O'Hair,.234,17.820,76
63,0,20766,Padraig Harrington,.233,8.835,38
64,0,26360,Bubba Dickerson,.231,19.867,86
65,0,20157,Retief Goosen,.229,10.526,46
65,0,24912,Will MacKenzie,.229,17.178,75
67,0,23353,J.J. Henry,.223,17.133,77
68,0,21646,David Branshaw,.210,18.249,87
69,0,06595,Kevin Sutherland,.203,17.625,87
70,0,06573,Brandt Jobe,.200,13.975,70
71,0,01249,John Daly,.196,8.018,41
72,0,01035,Tommy Armour III,.195,10.354,53
73,0,01766,Billy Mayfair,.192,14.755,77
74,0,22892,Jason Gore,.191,13.757,72
75,0,20608,David Howell,.185,5.553,30
76,0,23307,Roger Tambellini,.163,8.663,53
77,0,01381,Fred Funk,.159,13.552,85
78,0,12662,Thomas Levet,.157,7.537,48
79,0,10423,Mike Weir,.142,8.941,63
80,0,11032,Frank Lickliter II,.140,11.939,85
81,0,22046,Geoff Ogilvy,.137,7.103,52
82,0,27120,Troy Matteson,.135,11.896,88
83,0,23048,Eric Axley,.131,10.359,79
83,0,08385,Omar Uresti,.131,6.705,51
85,0,21959,Ted Purdy,.119,9.558,80
86,0,12782,Tim Herron,.115,7.124,62
86,0,25345,Carl Pettersson,.115,8.617,75
