RANK,MOVEMENT,PLAYER_ID,PLAYER,%,# OF 1 PUTTS,# OF HOLES
1,0,34046,Jordan Spieth,47.22,221,468
2,0,10860,Justin Leonard,46.46,184,396
3,0,24138,Ian Poulter,45.83,132,288
4,0,22371,Aaron Baddeley,45.65,189,414
5,0,28307,Matt Every,45.33,204,450
6,0,26956,Bronson La'Cassie,45.10,138,306
7,0,10423,Mike Weir,44.93,186,414
8,0,27141,J.B. Holmes,44.91,194,432
9,0,24502,Adam Scott,44.77,137,306
10,0,25349,Tim Wilkinson,44.68,193,432
11,0,29740,Brad Fritsch,44.44,128,288
12,0,27770,Camilo Villegas,44.25,223,504
13,0,27649,Brandt Snedeker,43.98,190,432
14,0,24494,Erik Compton,43.83,213,486
15,0,30927,Brendon Todd,43.68,228,522
16,0,20593,Greg Chalmers,43.56,196,450
17,0,29479,Scott Brown,43.52,235,540
18,0,30926,Chris Kirk,43.42,211,486
19,0,28237,Rory McIlroy,43.40,125,288
20,0,32839,Hideki Matsuyama,43.39,164,378
20,0,01810,Phil Mickelson,43.39,164,378
22,0,30925,Dustin Johnson,43.33,117,270
23,0,28089,Jason Day,43.16,101,234
24,0,32102,Rickie Fowler,43.11,194,450
25,0,25191,Gonzalo Fernandez-Castaño,43.06,186,432
26,0,20098,Stuart Appleby,42.95,201,468
27,0,21753,Brian Davis,42.86,216,504
28,0,35539,Luke Guthrie,42.74,200,468
29,0,25562,Andres Romero,42.59,184,432
30,0,32150,Michael Thompson,42.42,168,396
31,0,23108,Matt Kuchar,42.27,175,414
32,0,25804,Bubba Watson,42.11,144,342
33,0,23800,Bryce Molder,42.03,174,414
33,0,23320,Ryan Palmer,42.03,174,414
35,0,25364,Paul Casey,42.01,121,288
36,0,35139,Richard Lee,42.00,189,450
37,0,23135,Tim Clark,41.90,181,432
38,0,26331,Charl Schwartzel,41.83,128,306
39,0,23541,Ben Crane,41.67,180,432
39,0,23983,Luke Donald,41.67,120,288
41,0,27963,Chris Stroud,41.56,187,450
42,0,30750,Tommy Gainey,41.55,172,414
43,0,21209,Sergio Garcia,41.48,112,270
