RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL 10TH TEE EARLY RDS.
1,0,36689,Brooks Koepka,67.00,804,12
1,0,33204,Shane Lowry,67.00,67,1
3,0,30925,Dustin Johnson,67.33,1010,15
4,0,47959,Bryson DeChambeau,67.88,1086,16
5,0,29478,Kevin Kisner,68.29,956,14
6,0,40009,Dominic Bozzelli,68.40,1026,15
6,0,28089,Jason Day,68.40,1026,15
8,0,33448,Justin Thomas,68.47,1164,17
9,0,25240,D.A. Points,68.50,411,6
10,0,29221,Webb Simpson,68.67,1442,21
11,0,21528,Henrik Stenson,68.75,825,12
12,0,22405,Justin Rose,68.77,894,13
13,0,26300,Matt Jones,68.79,963,14
14,0,24024,Zach Johnson,68.83,1239,18
15,0,26951,Johnson Wagner,68.84,1308,19
16,0,25493,Nick Taylor,69.05,1381,20
17,0,25364,Paul Casey,69.09,760,11
18,0,46970,Jon Rahm,69.11,622,9
19,0,33410,Andrew Landry,69.12,1175,17
20,0,28252,Seamus Power,69.13,1037,15
21,0,34363,Tyrrell Hatton,69.14,484,7
22,0,29725,Tony Finau,69.16,1314,19
23,0,27349,Alex Noren,69.19,1107,16
24,0,32102,Rickie Fowler,69.25,1108,16
25,0,40026,Daniel Berger,69.31,901,13
26,0,29535,Brice Garnett,69.32,1317,19
27,0,32640,Troy Merritt,69.42,833,12
28,0,22056,Cameron Percy,69.43,486,7
29,0,29420,Billy Horschel,69.44,1250,18
29,0,30110,Kyle Stanley,69.44,625,9
31,0,31323,Gary Woodland,69.46,903,13
32,0,48081,Xander Schauffele,69.53,1043,15
33,0,23320,Ryan Palmer,69.55,765,11
34,0,46435,Austin Cook,69.60,1392,20
34,0,08793,Tiger Woods,69.60,1044,15
36,0,24361,Pat Perez,69.62,905,13
36,0,23621,Rory Sabbatini,69.62,1462,21
38,0,29974,Branden Grace,69.64,975,14
38,0,31202,William McGirt,69.64,766,11
40,0,35461,Beau Hossler,69.67,1045,15
40,0,26596,Ryan Moore,69.67,627,9
42,0,29908,C.T. Pan,69.68,1533,22
43,0,21961,Charles Howell III,69.69,1115,16
43,0,46501,Ollie Schniederjans,69.69,1115,16
43,0,29518,Brendan Steele,69.69,906,13
46,0,26329,Louis Oosthuizen,69.70,697,10
47,0,25804,Bubba Watson,69.72,1255,18
48,0,35532,Tom Hoge,69.73,1046,15
49,0,26476,Chez Reavie,69.74,1325,19
50,0,32366,Kevin Chappell,69.75,1116,16
50,0,26851,Marc Leishman,69.75,1116,16
52,0,34046,Jordan Spieth,69.76,1186,17
