RANK,MOVEMENT,PLAYER_ID,PLAYER,TOTAL 3 PUTTS INSIDE 5',TOTAL 3 PUTTS
1,0,27141,J.B. Holmes,3,31
2,0,12716,Charley Hoffman,2,22
2,0,32816,Satoshi Kodaira,2,39
2,0,30944,Jason Kokrak,2,40
2,0,31420,Anirban Lahiri,2,28
2,0,47993,Denny McCarthy,2,23
7,0,19803,Ryan Armour,1,42
7,0,28259,Sangmoon Bae,1,33
7,0,29268,Bronson Burgoon,1,29
7,0,25364,Paul Casey,1,24
7,0,34021,Bud Cauley,1,34
7,0,46523,Joey Garber,1,24
7,0,25900,Lucas Glover,1,40
7,0,24924,Bill Haas,1,25
7,0,34098,Russell Henley,1,37
7,0,39977,Max Homa,1,25
7,0,39971,Sungjae Im,1,52
7,0,24024,Zach Johnson,1,24
7,0,47990,Kyle Jones,1,27
7,0,27974,Sung Kang,1,51
7,0,29478,Kevin Kisner,1,24
7,0,36852,Jim Knous,1,25
7,0,33122,Russell Knox,1,36
7,0,23108,Matt Kuchar,1,35
7,0,27936,Martin Laird,1,43
7,0,27129,Luke List,1,33
7,0,35449,Adam Long,1,36
7,0,28237,Rory McIlroy,1,17
7,0,32640,Troy Merritt,1,24
7,0,46601,Trey Mullinax,1,38
7,0,45486,Joaquin Niemann,1,32
7,0,23320,Ryan Palmer,1,31
7,0,24361,Pat Perez,1,18
7,0,30946,Alex Prugh,1,29
7,0,26476,Chez Reavie,1,30
7,0,34360,Patrick Reed,1,26
7,0,47856,Seth Reeves,1,38
7,0,23621,Rory Sabbatini,1,38
7,0,48081,Xander Schauffele,1,20
7,0,30786,Brady Schnell,1,17
7,0,34046,Jordan Spieth,1,28
7,0,21528,Henrik Stenson,1,18
7,0,49960,Sepp Straka,1,35
7,0,40115,Adam Svensson,1,39
7,0,27330,Josh Teater,1,23
7,0,32150,Michael Thompson,1,32
7,0,32139,Danny Willett,1,28
7,0,31323,Gary Woodland,1,38
7,0,37340,Chase Wright,1,26
