RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG RTP,TOTAL HOLES,TOTAL RTP
1,0,26882,Michael Sim,+.172,134,+23.00
2,0,20157,Retief Goosen,+.218,147,+32.00
3,0,23983,Luke Donald,+.228,145,+33.00
4,0,25720,Chad Collins,+.251,199,+50.00
5,0,21961,Charles Howell III,+.258,194,+50.00
5,0,22405,Justin Rose,+.258,190,+49.00
7,0,21878,Mark Wilson,+.261,188,+49.00
8,0,10423,Mike Weir,+.263,114,+30.00
9,0,27649,Brandt Snedeker,+.266,214,+57.00
10,0,24361,Pat Perez,+.270,200,+54.00
11,0,06515,Shaun Micheel,+.271,133,+36.00
12,0,25396,Kevin Na,+.272,206,+56.00
13,0,20593,Greg Chalmers,+.273,231,+63.00
14,0,10809,Jim Furyk,+.275,160,+44.00
15,0,23409,James Driscoll,+.276,163,+45.00
16,0,25345,Carl Pettersson,+.280,200,+56.00
17,0,28089,Jason Day,+.281,167,+47.00
18,0,20127,Chris Riley,+.282,163,+46.00
19,0,22621,Ben Curtis,+.287,157,+45.00
19,0,19846,Brian Gay,+.287,230,+66.00
21,0,20766,Padraig Harrington,+.289,121,+35.00
22,0,25686,Jason Dufner,+.290,186,+54.00
22,0,21731,Freddie Jacobson,+.290,186,+54.00
22,0,24138,Ian Poulter,+.290,93,+27.00
25,0,23108,Matt Kuchar,+.291,165,+48.00
25,0,33419,Cameron Tringale,+.291,103,+30.00
25,0,02239,Scott Verplank,+.291,158,+46.00
25,0,20160,Charlie Wi,+.291,234,+68.00
29,0,24846,Ricky Barnes,+.293,215,+63.00
29,0,01116,Michael Bradley,+.293,164,+48.00
29,0,12602,Dean Wilson,+.293,116,+34.00
32,0,02206,David Toms,+.295,166,+49.00
33,0,24925,Jonathan Byrd,+.301,173,+52.00
34,0,20098,Stuart Appleby,+.302,258,+78.00
34,0,23623,Bo Van Pelt,+.302,212,+64.00
36,0,23800,Bryce Molder,+.303,165,+50.00
37,0,01313,Steve Elkington,+.304,171,+52.00
38,0,20645,John Senden,+.305,174,+53.00
39,0,25562,Andres Romero,+.306,180,+55.00
40,0,27060,John Mallinger,+.307,150,+46.00
40,0,06527,Steve Stricker,+.307,137,+42.00
40,0,06595,Kevin Sutherland,+.307,176,+54.00
43,0,21350,Ryuji Imada,+.308,211,+65.00
43,0,01810,Phil Mickelson,+.308,169,+52.00
45,0,22913,John Rollins,+.309,181,+56.00
46,0,20498,Briny Baird,+.310,197,+61.00
46,0,06522,Ernie Els,+.310,129,+40.00
48,0,23718,Nathan Green,+.311,209,+65.00
49,0,20229,Stewart Cink,+.312,154,+48.00
50,0,12652,Cameron Beckman,+.314,137,+43.00
50,0,23548,Bill Lunde,+.314,169,+53.00
52,0,22371,Aaron Baddeley,+.317,205,+65.00
52,0,01945,Kenny Perry,+.317,126,+40.00
54,0,22056,Cameron Percy,+.320,128,+41.00
55,0,23353,J.J. Henry,+.322,174,+56.00
55,0,20572,Rod Pampling,+.322,214,+69.00
55,0,27770,Camilo Villegas,+.322,149,+48.00
58,0,25632,Jimmy Walker,+.323,192,+62.00
59,0,26300,Matt Jones,+.324,219,+71.00
60,0,23541,Ben Crane,+.327,162,+53.00
61,0,27141,J.B. Holmes,+.328,259,+85.00
62,0,20686,Jeev Milkha Singh,+.329,140,+46.00
63,0,28237,Rory McIlroy,+.330,100,+33.00
64,0,20378,Mathias Grönberg,+.333,114,+38.00
64,0,10860,Justin Leonard,+.333,159,+53.00
64,0,28475,Jeff Overton,+.333,168,+56.00
64,0,12714,Chris Tidland,+.333,174,+58.00
68,0,10585,Scott McCarron,+.335,230,+77.00
68,0,22293,Heath Slocum,+.335,182,+61.00
70,0,24357,K.J. Choi,+.336,149,+50.00
70,0,01941,Tom Pernice Jr.,+.336,149,+50.00
72,0,12782,Tim Herron,+.338,160,+54.00
72,0,26695,Michael Letzig,+.338,210,+71.00
74,0,29285,Brent Delahoussaye,+.339,112,+38.00
74,0,32102,Rickie Fowler,+.339,177,+60.00
76,0,06004,Stephen Ames,+.340,150,+51.00
76,0,22378,Trevor Immelman,+.340,106,+36.00
76,0,01948,Tim Petrovic,+.340,244,+83.00
79,0,20070,Matt Bettencourt,+.341,217,+74.00
79,0,24140,Sean O'Hair,+.341,170,+58.00
79,0,29221,Webb Simpson,+.341,226,+77.00
82,0,23325,Vaughn Taylor,+.342,199,+68.00
83,0,12716,Charley Hoffman,+.343,207,+71.00
84,0,22046,Geoff Ogilvy,+.344,128,+44.00
84,0,08385,Omar Uresti,+.344,160,+55.00
86,0,20663,Brenden Pappas,+.345,148,+51.00
87,0,20848,Ángel Cabrera,+.346,127,+44.00
88,0,12510,Chad Campbell,+.347,196,+68.00
88,0,24912,Will MacKenzie,+.347,150,+52.00
90,0,24781,Hunter Mahan,+.348,178,+62.00
91,0,01577,Lee Janzen,+.350,177,+62.00
92,0,30946,Alex Prugh,+.352,176,+62.00
93,0,27797,Derek Lamely,+.353,184,+65.00
93,0,10425,Jay Williamson,+.353,156,+55.00
95,0,08725,Tom Gillis,+.354,243,+86.00
96,0,23621,Rory Sabbatini,+.355,169,+60.00
97,0,29910,Blake Adams,+.356,191,+68.00
