RANK,MOVEMENT,PLAYER_ID,PLAYER,POINTS,WGC POINTS
1,0,28339,Victor Dubuisson,662,361
2,0,36689,Brooks Koepka,589,0
3,0,25369,Jamie Donaldson,568,396
4,0,25198,Francesco Molinari,551,148
5,0,23540,Jason Allred,316,0
6,0,10944,Thomas Bjørn,302,158
7,0,33199,Matteo Manassero,280,103
8,0,19970,Robert Karlsson,270,0
9,0,19958,Miguel Angel Jiménez,261,111
10,0,24459,Richard Sterne,252,215
11,0,20376,Stephen Gallacher,244,149
12,0,24511,Thongchai Jaidee,220,160
13,0,30978,Kiradech Aphibarnrat,217,40
14,0,28937,George Coetzee,204,121
15,0,28300,Joost Luiten,188,99
16,0,29974,Branden Grace,182,128
17,0,24956,Mikko Ilonen,158,73
18,0,39977,Max Homa,136,0
19,0,23063,Scott Hend,126,97
20,0,27060,John Mallinger,124,0
21,0,23814,Edoardo Molinari,117,0
22,0,33204,Shane Lowry,102,0
23,0,27929,Shiv Kapur,100,0
24,0,22000,Chris Wood,96,29
25,0,33448,Justin Thomas,95,0
26,0,36699,Patrick Rodgers,85,0
27,0,25841,Marc Warren,82,0
28,0,20608,David Howell,78,19
29,0,29454,Bernd Wiesberger,76,23
30,0,26525,Grégory Bourdy,68,46
31,0,32139,Danny Willett,65,0
32,0,23481,Marcel Siem,65,0
33,0,21498,Hideto Tanihara,64,0
34,0,32878,Jin Jeong,63,63
35,0,29939,Fabrizio Zanotti,63,43
36,0,24748,WC Liang,58,58
37,0,27119,Koumei Oda,57,0
37,0,37365,Brady Watt,57,0
39,0,46435,Austin Cook,56,0
40,0,29484,Peter Uihlein,56,56
41,0,29720,Andres Gonzales,53,0
42,0,30911,Tommy Fleetwood,53,53
43,0,34579,Alexander Levy,52,12
43,0,27171,Jay McLuen,52,0
43,0,27072,Alvaro Quiros,52,0
46,0,39954,Cody Gribble,50,0
47,0,24457,Jaco Van Zyl,46,46
48,0,28697,Gaganjeet Bhullar,45,7
49,0,37092,Hyung-Sung Kim,44,35
50,0,34707,Siddikur Rahman,44,0
51,0,33948,Byeong Hun An,43,0
52,0,40026,Daniel Berger,40,0
53,0,39974,Steven Ihm,40,0
54,0,20721,Darren Fichardt,39,39
55,0,34262,Jon Curran,38,0
56,0,35582,Kristoffer Broberg,38,0
57,0,32262,Mark Brown,35,35
57,0,32753,Wenyi Huang,35,35
59,0,31420,Anirban Lahiri,34,0
60,0,29670,Pablo Larrazabal,30,30
61,0,37351,Oliver Goss,29,0
62,0,33803,Lucas Bjerregaard,29,0
62,0,40058,Zac Blair,29,0
62,0,35296,Haotong Li,29,29
62,0,27302,Garth Mulroy,29,0
66,0,26499,Rafa Cabrera Bello,29,0
67,0,22080,Prayad Marksaeng,26,0
67,0,45294,Kevin Penner,26,0
69,0,29223,Sam Saunders,24,0
70,0,32070,Rafael Campos,22,0
70,0,31646,Emiliano Grillo,22,0
70,0,27139,David Skinns,22,0
73,0,31121,Berry Henson,22,0
74,0,26949,Josh Broadaway,20,0
75,0,30736,Oscar Fraustro,20,0
76,0,21284,Hiroyuki Fujita,19,19
76,0,29930,Mike Hendry,19,19
76,0,32815,Masahiro Kawamura,19,19
79,0,37459,Ryan Sullivan,15,0
80,0,34076,Joel Dahmen,14,0
80,0,33399,Adam Hadwin,14,0
80,0,37278,Nicholas Lindheim,14,0
80,0,01978,Fran Quinn,14,0
84,0,46584,Kevin Lucas,13,0
85,0,31416,Derek Fathauer,12,0
86,0,27816,Jamie McLeary,11,0
86,0,25351,Chris Rodgers,11,0
88,0,35459,Chris Williams,9,0
89,0,32105,Nicholas Fung,8,0
90,0,32496,Clayton Rask,7,0
91,0,46507,Bobby Wyatt,7,0
92,0,29253,Jeff Curl,6,0
92,0,28114,Dawie van der Walt,6,6
94,0,23797,Brett Rumford,6,6
95,0,10387,Chris Thompson,6,0
96,0,33667,Carlos Ortiz,5,0
96,0,35957,Daniel Popovic,5,5
98,0,20935,Toru Taniguchi,4,0
99,0,29476,Kyle Reifers,4,0
100,0,21470,Daisuke Maruyama,3,3
101,0,33870,Ashun Wu,3,3
102,0,36801,Mark Hubbard,2,0
103,0,32354,Seuk-hyun Baek,2,1
104,0,26341,Wade Ormsby,2,0
105,0,30798,Yoshitaka Takeya,2,2
106,0,08635,Colin Montgomerie,1,0
107,0,26595,Derek Tolan,1,0
108,0,37189,Harold Varner III,1,0
109,0,24461,Thomas Aiken,1,0
109,0,32618,Rhein Gibson,1,0
109,0,31577,Tano Goya,1,1
112,0,20832,Raphael Jacquelin,1,1
113,0,26360,Bubba Dickerson,1,0
113,0,27118,Toshinori Muto,1,0
115,0,28719,Mu Hu,1,1
116,0,23706,Rashid Ismail,1,0
117,0,28072,Mingjie Huang,1,1
118,0,32582,Eric Dugas,1,0
119,0,22764,Michael Block,1,0
