RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:ARG,MEASURED ROUNDS
1,0,10860,Justin Leonard,.571,35.431,62
2,0,06522,Ernie Els,.529,33.299,63
3,0,34021,Bud Cauley,.467,21.479,46
4,0,10423,Mike Weir,.443,23.460,53
5,0,26331,Charl Schwartzel,.421,22.721,54
6,0,10809,Jim Furyk,.408,26.941,66
7,0,28089,Jason Day,.402,13.255,33
8,0,21753,Brian Davis,.399,32.282,81
9,0,25396,Kevin Na,.397,30.945,78
10,0,34360,Patrick Reed,.393,29.101,74
11,0,20160,Charlie Wi,.383,24.866,65
12,0,23108,Matt Kuchar,.380,28.882,76
13,0,32200,Roberto Castro,.365,21.541,59
14,0,22405,Justin Rose,.360,18.737,52
15,0,25349,Tim Wilkinson,.354,25.112,71
16,0,23983,Luke Donald,.351,15.447,44
17,0,20098,Stuart Appleby,.345,29.017,84
18,0,25274,Steven Bowditch,.307,23.908,78
19,0,30927,Brendon Todd,.289,26.266,91
20,0,21209,Sergio Garcia,.286,11.421,40
21,0,27141,J.B. Holmes,.283,21.825,77
22,0,27963,Chris Stroud,.278,20.038,72
23,0,19846,Brian Gay,.276,17.379,63
24,0,23800,Bryce Molder,.275,17.606,64
24,0,29221,Webb Simpson,.275,20.315,74
26,0,25720,Chad Collins,.273,16.640,61
27,0,20157,Retief Goosen,.269,20.955,78
28,0,01810,Phil Mickelson,.266,13.319,50
29,0,24924,Bill Haas,.265,21.755,82
30,0,34261,Scott Langley,.262,20.714,79
31,0,06567,Vijay Singh,.261,19.824,76
32,0,34046,Jordan Spieth,.260,20.575,79
33,0,24357,K.J. Choi,.251,16.834,67
34,0,29289,S.Y. Noh,.248,18.571,75
35,0,25191,Gonzalo Fernandez-Castaño,.240,16.591,69
36,0,33419,Cameron Tringale,.230,22.567,98
37,0,35539,Luke Guthrie,.228,17.303,76
38,0,27895,Jonas Blixt,.221,9.509,43
39,0,24663,Y.E. Yang,.220,13.421,61
40,0,27649,Brandt Snedeker,.217,14.352,66
41,0,33122,Russell Knox,.215,17.832,83
42,0,21961,Charles Howell III,.201,19.139,95
43,0,32839,Hideki Matsuyama,.198,12.657,64
44,0,25686,Jason Dufner,.192,8.073,42
45,0,29461,Jamie Lovemark,.181,8.530,47
45,0,28132,Tyrone Van Aswegen,.181,11.765,65
47,0,22378,Trevor Immelman,.176,11.800,67
48,0,30926,Chris Kirk,.169,14.498,86
49,0,24502,Adam Scott,.166,9.286,56
50,0,08075,Jerry Kelly,.160,10.528,66
51,0,24925,Jonathan Byrd,.159,10.305,65
52,0,26300,Matt Jones,.157,9.430,60
53,0,20593,Greg Chalmers,.151,10.990,73
54,0,26956,Bronson La'Cassie,.145,5.210,36
55,0,33461,Morgan Hoffmann,.125,11.226,90
55,0,27064,Jhonattan Vegas,.125,8.015,64
57,0,25562,Andres Romero,.124,8.893,72
57,0,20396,Lee Westwood,.124,5.335,43
59,0,29222,Billy Hurley III,.123,8.842,72
60,0,27644,Brian Harman,.121,12.202,101
61,0,02206,David Toms,.120,6.468,54
62,0,34431,Robert Streb,.117,7.474,64
63,0,25804,Bubba Watson,.111,6.205,56
64,0,26758,David Hearn,.108,8.831,82
65,0,27466,Spencer Levin,.107,5.325,50
66,0,28092,D.H. Lee,.103,4.651,45
67,0,26289,Boo Weekley,.099,5.552,56
68,0,30852,Ryo Ishikawa,.095,5.869,62
69,0,23135,Tim Clark,.094,5.848,62
70,0,24024,Zach Johnson,.093,7.836,84
71,0,31323,Gary Woodland,.087,6.353,73
72,0,33418,Shawn Stefani,.086,4.925,57
73,0,21878,Mark Wilson,.079,4.498,57
74,0,23320,Ryan Palmer,.078,5.198,67
75,0,21731,Freddie Jacobson,.068,5.541,81
76,0,24912,Will MacKenzie,.067,4.908,73
77,0,27770,Camilo Villegas,.061,5.114,84
78,0,29740,Brad Fritsch,.060,2.354,39
79,0,32366,Kevin Chappell,.058,5.014,87
80,0,22621,Ben Curtis,.057,3.649,64
81,0,26851,Marc Leishman,.056,3.854,69
82,0,24490,George McNeill,.053,3.703,70
83,0,22371,Aaron Baddeley,.051,3.011,59
84,0,25632,Jimmy Walker,.048,3.475,73
85,0,34099,Harris English,.047,3.470,74
85,0,28475,Jeff Overton,.047,3.085,66
87,0,26596,Ryan Moore,.041,2.570,62
87,0,22293,Heath Slocum,.041,2.541,62
89,0,24507,Jason Bohn,.038,2.761,73
90,0,34174,John Huh,.033,2.337,70
91,0,24138,Ian Poulter,.028,1.157,41
92,0,24140,Sean O'Hair,.026,1.708,67
93,0,28237,Rory McIlroy,.022,1.063,48
94,0,35139,Richard Lee,.021,1.291,61
95,0,23541,Ben Crane,.017,1.328,78
96,0,24846,Ricky Barnes,.015,1.206,78
96,0,33413,Ben Martin,.015,.915,63
98,0,20498,Briny Baird,.013,.573,45
99,0,12510,Chad Campbell,.011,.518,46
100,0,27436,Graham DeLaet,.007,.426,64
101,0,25345,Carl Pettersson,.006,.547,85
102,0,25834,Daniel Summerhays,.005,.427,88
103,0,27936,Martin Laird,.004,.246,55
104,0,32102,Rickie Fowler,.003,.183,62
105,0,29535,Brice Garnett,-.002,-.189,78
106,0,29479,Scott Brown,-.005,-.381,83
107,0,20104,Ken Duke,-.006,-.392,66
108,0,26679,Kevin Stadler,-.012,-.807,65
109,0,30925,Dustin Johnson,-.015,-.606,41
110,0,25240,D.A. Points,-.021,-1.153,55
111,0,20645,John Senden,-.023,-1.898,81
112,0,25364,Paul Casey,-.024,-1.061,44
113,0,12716,Charley Hoffman,-.026,-1.982,76
114,0,28500,Martin Flores,-.029,-1.939,68
115,0,28307,Matt Every,-.031,-2.014,65
116,0,31202,William McGirt,-.035,-2.943,84
117,0,24361,Pat Perez,-.039,-2.924,75
118,0,22046,Geoff Ogilvy,-.050,-3.653,73
119,0,25572,Graeme McDowell,-.055,-2.546,46
120,0,32150,Michael Thompson,-.060,-3.618,60
121,0,29518,Brendan Steele,-.062,-4.326,70
122,0,28486,Michael Putnam,-.063,-5.717,91
123,0,21528,Henrik Stenson,-.064,-2.418,38
123,0,29425,Andrew Svoboda,-.064,-4.239,66
125,0,23638,Brendon de Jonge,-.071,-6.574,92
126,0,27330,Josh Teater,-.072,-5.422,75
127,0,30944,Jason Kokrak,-.074,-4.538,61
128,0,28259,Sangmoon Bae,-.081,-5.287,65
129,0,23623,Bo Van Pelt,-.085,-5.662,67
130,0,29420,Billy Horschel,-.087,-6.035,69
131,0,34563,Chesson Hadley,-.102,-7.273,71
131,0,32448,James Hahn,-.102,-7.424,73
131,0,32333,Kevin Tway,-.102,-4.811,47
134,0,27556,Ted Potter Jr.,-.104,-6.243,60
135,0,23353,J.J. Henry,-.105,-8.180,78
136,0,29478,Kevin Kisner,-.116,-8.119,70
137,0,31560,Brian Stuard,-.119,-8.775,74
138,0,24358,Robert Garrigus,-.136,-9.960,73
139,0,34265,Will Wilcox,-.138,-5.502,40
140,0,34409,David Lingmerth,-.142,-9.530,67
141,0,23409,James Driscoll,-.151,-8.767,58
142,0,26951,Johnson Wagner,-.152,-8.814,58
143,0,24781,Hunter Mahan,-.153,-10.991,72
144,0,01724,Jeff Maggert,-.161,-7.079,44
145,0,27214,Kevin Streelman,-.162,-9.692,60
146,0,32640,Troy Merritt,-.171,-9.426,55
147,0,33141,Keegan Bradley,-.190,-12.711,67
148,0,20229,Stewart Cink,-.192,-13.829,72
149,0,22913,John Rollins,-.193,-12.912,67
150,0,35300,Andrew Loupe,-.196,-9.804,50
151,0,23621,Rory Sabbatini,-.201,-13.057,65
152,0,07867,Woody Austin,-.210,-11.955,57
153,0,36689,Brooks Koepka,-.226,-9.483,42
154,0,27120,Troy Matteson,-.233,-11.441,49
155,0,10885,Robert Allenby,-.234,-16.381,70
156,0,24494,Erik Compton,-.235,-17.635,75
157,0,31193,Jim Renner,-.248,-12.918,52
158,0,27095,Nick Watney,-.258,-14.463,56
159,0,25900,Lucas Glover,-.265,-12.465,47
160,0,34098,Russell Henley,-.272,-20.407,75
160,0,29926,Danny Lee,-.272,-18.801,69
162,0,30692,Scott Stallings,-.283,-17.824,63
163,0,01706,Davis Love III,-.285,-17.945,63
164,0,27408,Martin Kaymer,-.294,-14.117,48
165,0,35732,Wes Roach,-.298,-14.920,50
166,0,27933,John Merrick,-.329,-23.695,72
167,0,26329,Louis Oosthuizen,-.367,-10.995,30
168,0,28780,Nicholas Thompson,-.371,-25.964,70
169,0,37273,Derek Ernst,-.415,-26.170,63
170,0,20848,Ángel Cabrera,-.434,-26.490,61
171,0,34264,Hudson Swafford,-.436,-25.271,58
172,0,32334,Charlie Beljan,-.453,-30.357,67
173,0,30110,Kyle Stanley,-.511,-36.811,72
174,0,31557,Jim Herman,-.551,-26.455,48
175,0,35541,John Peterson,-.614,-33.795,55
176,0,25444,Justin Hicks,-.631,-56.764,90
177,0,30750,Tommy Gainey,-.740,-44.405,60
