RANK,MOVEMENT,PLAYER_ID,PLAYER,%,# BIRDIES/EAGLES,# HOLES
1,0,08793,Tiger Woods,24.59,332,1350
2,0,09011,David Duval,24.21,305,1260
3,0,01810,Phil Mickelson,22.81,312,1368
4,0,01943,Chris Perry,22.31,482,2160
5,0,01706,Davis Love III,22.07,294,1332
6,0,11032,Frank Lickliter II,22.06,413,1872
7,0,10585,Scott McCarron,21.91,347,1584
8,0,02170,Hal Sutton,21.83,338,1548
9,0,01619,Skip Kendall,21.80,412,1890
10,0,12823,Carlos Franco,21.64,261,1206
11,0,02206,David Toms,21.57,400,1854
12,0,06567,Vijay Singh,21.55,384,1782
13,0,01035,Tommy Armour III,21.53,341,1584
14,0,06004,Stephen Ames,21.52,213,990
15,0,01724,Jeff Maggert,21.51,302,1404
16,0,01927,Dennis Paulson,21.32,380,1782
17,0,02146,Payne Stewart,21.18,244,1152
18,0,23621,Rory Sabbatini,21.01,295,1404
19,0,01329,Brad Faxon,20.90,237,1134
20,0,10423,Mike Weir,20.85,364,1746
21,0,01226,Fred Couples,20.83,210,1008
22,0,01261,Jay Delsing,20.76,284,1368
23,0,20094,Jonathan Kaye,20.63,401,1944
24,0,12660,Jesper Parnevik,20.61,230,1116
25,0,01577,Lee Janzen,20.58,300,1458
26,0,01381,Fred Funk,20.56,433,2106
27,0,07867,Woody Austin,20.50,358,1746
28,0,06527,Steve Stricker,20.48,247,1206
29,0,10860,Justin Leonard,20.44,368,1800
30,0,02246,Duffy Waldorf,20.41,316,1548
31,0,02010,Loren Roberts,20.35,326,1602
32,0,20029,Notah Begay III,20.33,355,1746
33,0,20229,Stewart Cink,20.31,329,1620
34,0,06599,John Elliott,20.25,288,1422
34,0,06617,Brian Henninger,20.25,350,1728
36,0,02214,Kirk Triplett,20.22,313,1548
36,0,02218,Ted Tryba,20.22,393,1944
38,0,20098,Stuart Appleby,20.20,320,1584
39,0,01161,Mark Calcavecchia,20.19,338,1674
40,0,20593,Greg Chalmers,20.18,385,1908
41,0,21007,Gabriel Hjertstedt,20.08,347,1728
42,0,01040,Emlyn Aubrey,20.04,184,918
42,0,06522,Ernie Els,20.04,202,1008
42,0,01797,Rocco Mediate,20.04,285,1422
45,0,01320,Bob Estes,19.98,374,1872
45,0,01553,John Huston,19.98,259,1296
47,0,12782,Tim Herron,19.93,330,1656
48,0,01527,Scott Hoch,19.92,355,1782
49,0,08931,Glen Day,19.90,326,1638
50,0,06575,Dudley Hart,19.84,300,1512
51,0,19881,Robert Damron,19.78,388,1962
51,0,07457,Steve Flesch,19.78,349,1764
51,0,08547,John Maginnes,19.78,324,1638
54,0,08075,Jerry Kelly,19.75,384,1944
55,0,02133,Craig Stadler,19.56,176,900
56,0,08993,Franklin Langham,19.53,348,1782
57,0,01723,Andrew Magee,19.51,288,1476
58,0,01569,Peter Jacobsen,19.48,256,1314
59,0,06036,Scott Dunlap,19.44,287,1476
59,0,01926,Steve Pate,19.44,322,1656
59,0,01945,Kenny Perry,19.44,287,1476
59,0,02223,Bob Tway,19.44,315,1620
63,0,12645,Brent Geiberger,19.42,360,1854
64,0,01887,Mark O'Meara,19.40,199,1026
65,0,01098,Jay Don Blake,19.38,321,1656
65,0,21949,Joe Ogilvie,19.38,321,1656
65,0,20127,Chris Riley,19.38,293,1512
65,0,02257,Brian Watts,19.38,279,1440
69,0,01093,Ronnie Black,19.35,195,1008
70,0,20099,Doug Barron,19.29,309,1602
71,0,19824,Craig Barlow,19.28,295,1530
72,0,08385,Omar Uresti,19.26,357,1854
73,0,01418,Bill Glasson,19.23,263,1368
74,0,10649,Tom Scherrer,19.18,321,1674
75,0,10885,Robert Allenby,19.11,289,1512
76,0,10809,Jim Furyk,19.08,316,1656
76,0,01707,Steve Lowery,19.08,340,1782
78,0,06643,Paul Goydos,19.06,326,1710
79,0,06613,Tommy Tolles,19.05,264,1386
80,0,06595,Kevin Sutherland,19.04,329,1728
81,0,01042,Paul Azinger,19.03,250,1314
82,0,08045,Perry Moss,19.01,243,1278
83,0,01549,Mike Hulbert,18.98,345,1818
83,0,20213,Katsumasa Miyamoto,18.98,205,1080
83,0,11011,Mike Sposa,18.98,304,1602
86,0,01968,Nick Price,18.97,198,1044
87,0,01249,John Daly,18.96,215,1134
88,0,08537,J.P. Hayes,18.95,307,1620
88,0,02104,Jeff Sluman,18.95,365,1926
90,0,12652,Cameron Beckman,18.93,276,1458
91,0,21805,Harrison Frazar,18.92,327,1728
92,0,01361,Dan Forsman,18.90,313,1656
93,0,01203,Russ Cochran,18.88,282,1494
94,0,10962,Bradley Hughes,18.87,326,1728
95,0,01766,Billy Mayfair,18.86,275,1458
96,0,08375,Paul Stankowski,18.83,261,1386
97,0,01323,Brad Fabel,18.81,298,1584
97,0,01823,Larry Mize,18.81,237,1260
99,0,02245,Grant Waite,18.79,328,1746
100,0,02239,Scott Verplank,18.76,287,1530
101,0,23614,Rich Beem,18.75,216,1152
102,0,01024,Billy Andrade,18.73,290,1548
102,0,01096,Phil Blackmar,18.73,300,1602
104,0,01116,Michael Bradley,18.62,248,1332
105,0,23349,Charles Warren,18.60,231,1242
106,0,06014,Eric Booker,18.58,301,1620
107,0,01457,Jay Haas,18.49,253,1368
108,0,06012,Greg Kraft,18.48,316,1710
108,0,01941,Tom Pernice Jr.,18.48,296,1602
110,0,01928,Corey Pavin,18.47,266,1440
111,0,01185,Brandel Chamblee,18.42,252,1368
112,0,10213,Dicky Pride,18.39,278,1512
113,0,01677,Tom Lehman,18.38,258,1404
114,0,06332,Neal Lancaster,18.36,304,1656
114,0,01685,J.L. Lewis,18.36,314,1710
116,0,01313,Steve Elkington,18.35,218,1188
117,0,01175,Jim Carter,18.34,317,1728
118,0,01533,P.H. Horgan III,18.31,323,1764
119,0,11123,Chris Couch,18.29,237,1296
120,0,02008,Lee Rinker,18.25,299,1638
121,0,06251,Chris DiMarco,18.24,325,1782
121,0,07749,Brett Quigley,18.24,197,1080
123,0,02106,Chris Smith,18.23,256,1404
123,0,07753,Kevin Wentworth,18.23,233,1278
125,0,01072,Chip Beck,18.17,242,1332
126,0,06044,Scott Gump,18.16,304,1674
127,0,01331,Rick Fehr,18.15,232,1278
127,0,06581,David Sutherland,18.15,294,1620
129,0,01132,Mark Brooks,18.14,356,1962
130,0,01157,Tom Byrum,18.10,290,1602
131,0,10425,Jay Williamson,18.09,267,1476
132,0,06062,Charles Raulerson,18.08,332,1836
133,0,07763,Doug Dunakey,18.07,283,1566
134,0,01748,Doug Martin,18.06,312,1728
135,0,01378,David Frost,18.00,256,1422
136,0,02101,Joey Sindelar,17.90,232,1296
137,0,10569,Mike Brisky,17.82,247,1386
138,0,20498,Briny Baird,17.81,250,1404
138,0,01191,Barry Cheesman,17.81,311,1746
140,0,01385,Jim Gallagher Jr.,17.75,262,1476
141,0,06140,Sean Murphy,17.74,265,1494
142,0,06621,Joe Durant,17.72,252,1422
142,0,01374,Robin Freeman,17.72,252,1422
144,0,01388,Robert Gamez,17.70,188,1062
145,0,10107,Deane Pappas,17.68,261,1476
146,0,01920,Craig Parry,17.62,203,1152
147,0,06809,Bob Burns,17.60,282,1602
148,0,01510,Nolan Henke,17.54,262,1494
149,0,01282,Trevor Dodds,17.47,305,1746
150,0,01891,David Ogrin,17.45,179,1026
151,0,01771,Blaine McCallister,17.43,295,1692
152,0,01761,Len Mattiace,17.38,291,1674
153,0,01599,Steve Jones,17.37,172,990
153,0,12663,Phil Tataurangi,17.37,222,1278
155,0,02007,Larry Rinker,17.36,275,1584
156,0,07101,Dave Stockton Jr.,17.35,278,1602
157,0,01063,Ben Bates,17.28,308,1782
157,0,06315,Pete Jordan,17.28,280,1620
157,0,23623,Bo Van Pelt,17.28,227,1314
160,0,07781,Ty Armstrong,17.24,239,1386
161,0,01127,Danny Briggs,17.18,235,1368
162,0,19846,Brian Gay,17.07,212,1242
163,0,02131,Mike Springer,17.05,267,1566
164,0,01996,Mike Reid,17.04,230,1350
165,0,01376,Bob Friend,16.96,348,2052
165,0,02279,Mark Wiebe,16.96,232,1368
167,0,08123,Jeff Brehaut,16.88,234,1386
168,0,06078,Esteban Toledo,16.87,325,1926
169,0,01633,Tom Kite,16.67,174,1044
170,0,06064,Jeff Gallagher,16.61,275,1656
171,0,08553,Lee Porter,16.60,263,1584
172,0,01219,John Cook,16.46,240,1458
173,0,01014,Fulton Allem,16.45,225,1368
174,0,01604,Steve Jurgensen,16.36,162,990
175,0,02099,Scott Simpson,16.28,167,1026
175,0,02242,Lanny Wadkins,16.28,167,1026
177,0,02267,D.A. Weibring,16.25,155,954
178,0,01905,Joe Ozaki,16.21,143,882
179,0,10457,Frank Nobilo,16.19,236,1458
180,0,01139,Olin Browne,16.18,233,1440
181,0,06655,Geoffrey Sisk,16.10,229,1422
182,0,20124,Alan Bratton,15.97,207,1296
183,0,02023,Clarence Rose,15.86,137,864
184,0,02321,Fuzzy Zoeller,15.84,154,972
185,0,21959,Ted Purdy,15.71,181,1152
186,0,01266,Clark Dennis,15.67,251,1602
187,0,10963,Jimmy Green,15.63,211,1350
188,0,10733,Kent Jones,15.42,186,1206
189,0,02294,Willie Wood,14.58,189,1296
190,0,01975,Tom Purtzer,14.53,136,936
191,0,01705,Tim Loustalot,14.31,170,1188
192,0,22292,David Seawell,13.83,127,918
