RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DISTANCE (FEET),TOTAL STROKES
1,0,27556,Ted Potter Jr.,22' 6",12889.000,572
2,0,35541,John Peterson,22' 7",10856.250,480
3,0,10885,Robert Allenby,22' 8",13497.833,596
3,0,24357,K.J. Choi,22' 8",13640.250,602
3,0,29222,Billy Hurley III,22' 8",15912.917,701
6,0,27644,Brian Harman,22' 9",19051.667,836
7,0,25444,Justin Hicks,22' 11",20665.250,901
8,0,33418,Shawn Stefani,23' 0",11538.083,502
9,0,24507,Jason Bohn,23' 3",15055.417,648
9,0,25345,Carl Pettersson,23' 3",15920.583,684
11,0,26758,David Hearn,23' 4",17805.583,764
11,0,22046,Geoff Ogilvy,23' 4",13543.667,580
11,0,28780,Nicholas Thompson,23' 4",15188.417,650
11,0,33419,Cameron Tringale,23' 4",20247.500,868
15,0,24846,Ricky Barnes,23' 5",13538.667,578
15,0,32200,Roberto Castro,23' 5",11913.000,509
15,0,29478,Kevin Kisner,23' 5",13939.667,596
15,0,01724,Jeff Maggert,23' 5",9308.333,398
19,0,21753,Brian Davis,23' 6",17521.333,746
19,0,29425,Andrew Svoboda,23' 6",13991.667,596
21,0,27408,Martin Kaymer,23' 7",9357.333,397
21,0,34409,David Lingmerth,23' 7",12914.917,547
23,0,27330,Josh Teater,23' 8",14769.250,624
24,0,22913,John Rollins,23' 9",12947.333,546
25,0,30852,Ryo Ishikawa,23' 10",10215.583,428
25,0,24781,Hunter Mahan,23' 10",15226.583,639
25,0,21878,Mark Wilson,23' 10",12401.000,521
28,0,20157,Retief Goosen,23' 11",14187.750,594
28,0,33122,Russell Knox,23' 11",18227.000,763
28,0,27466,Spencer Levin,23' 11",10308.000,431
28,0,33413,Ben Martin,23' 11",13411.167,561
28,0,25349,Tim Wilkinson,23' 11",13676.167,571
33,0,25364,Paul Casey,24' 0",8745.000,365
33,0,33461,Morgan Hoffmann,24' 0",15684.083,653
33,0,27120,Troy Matteson,24' 0",8704.083,363
33,0,25396,Kevin Na,24' 0",16464.167,687
33,0,24663,Y.E. Yang,24' 0",12939.500,540
38,0,32366,Kevin Chappell,24' 1",18690.750,775
38,0,23638,Brendon de Jonge,24' 1",20387.583,848
38,0,24924,Bill Haas,24' 1",16819.333,699
38,0,25834,Daniel Summerhays,24' 1",19272.000,799
38,0,30927,Brendon Todd,24' 1",19404.667,805
38,0,27770,Camilo Villegas,24' 1",16450.167,682
