RANK,MOVEMENT,PLAYER_ID,PLAYER,POINTS PER EVENT,TOTAL POINTS
1,0,33448,Justin Thomas,163.869,2458.033
2,0,29221,Webb Simpson,156.500,1877.996
3,0,34363,Tyrrell Hatton,128.169,1025.354
4,0,08793,Tiger Woods,120.887,604.433
5,0,47959,Bryson DeChambeau,118.331,1656.633
6,0,28237,Rory McIlroy,110.571,1326.855
7,0,46970,Jon Rahm,107.896,1294.748
8,0,50525,Collin Morikawa,105.666,1901.996
9,0,30925,Dustin Johnson,97.324,1070.567
10,0,40026,Daniel Berger,96.192,1346.693
11,0,24502,Adam Scott,90.711,725.684
12,0,48081,Xander Schauffele,83.896,1258.434
13,0,34360,Patrick Reed,83.880,1425.967
14,0,35450,Patrick Cantlay,74.468,744.679
15,0,26851,Marc Leishman,72.408,1086.127
16,0,39971,Sungjae Im,71.018,1633.417
17,0,45526,Abraham Ancer,64.640,1098.887
18,0,32839,Hideki Matsuyama,60.560,1029.515
19,0,30927,Brendon Todd,59.804,1315.679
20,0,25396,Kevin Na,57.561,1036.100
21,0,52372,Cameron Champ,55.952,951.190
22,0,29725,Tony Finau,53.357,907.065
23,0,23320,Ryan Palmer,52.388,838.212
24,0,34099,Harris English,51.017,867.282
25,0,35891,Cameron Smith,50.465,807.435
26,0,46717,Viktor Hovland,49.521,841.853
27,0,31323,Gary Woodland,49.397,740.961
28,0,35310,Lanto Griffin,48.299,1159.186
29,0,29420,Billy Horschel,46.992,892.845
30,0,47128,Richy Werenski,46.835,702.522
31,0,40098,Matt Fitzpatrick,46.311,602.048
32,0,48822,Sebastián Muñoz,45.422,1044.696
33,0,46046,Scottie Scheffler,45.002,900.047
34,0,25493,Nick Taylor,45.000,720.005
35,0,45486,Joaquin Niemann,43.907,878.143
36,0,33399,Adam Hadwin,43.606,654.091
37,0,28089,Jason Day,43.541,653.117
38,0,27214,Kevin Streelman,43.282,908.919
39,0,25364,Paul Casey,42.963,558.525
40,0,35449,Adam Long,39.665,912.295
41,0,29478,Kevin Kisner,39.465,710.377
42,0,56278,Matthew Wolff,38.913,739.354
43,0,33948,Byeong Hun An,38.246,764.918
44,0,30911,Tommy Fleetwood,38.048,380.484
45,0,29518,Brendan Steele,37.167,669.009
46,0,34076,Joel Dahmen,35.988,719.768
47,0,32150,Michael Thompson,35.951,647.109
48,0,23108,Matt Kuchar,35.887,502.422
49,0,33410,Andrew Landry,32.936,625.779
50,0,24138,Ian Poulter,32.707,392.489
51,0,35532,Tom Hoge,32.558,716.283
52,0,01810,Phil Mickelson,32.522,487.825
53,0,26329,Louis Oosthuizen,32.217,354.384
54,0,45609,Tyler Duncan,32.013,736.289
55,0,36801,Mark Hubbard,31.879,701.344
56,0,33667,Carlos Ortiz,31.521,630.421
57,0,35506,Mackenzie Hughes,31.399,596.583
58,0,31557,Jim Herman,30.588,581.163
59,0,29926,Danny Lee,29.406,588.112
60,0,32102,Rickie Fowler,29.274,380.556
61,0,27349,Alex Noren,28.548,428.227
62,0,36689,Brooks Koepka,27.681,359.858
63,0,39977,Max Homa,27.662,525.571
64,0,29970,Dylan Frittelli,27.437,603.608
65,0,21961,Charles Howell III,27.310,491.582
66,0,25804,Bubba Watson,27.162,488.913
67,0,39997,Corey Conners,26.732,534.635
68,0,22405,Justin Rose,26.103,313.233
69,0,35104,Tom Lewis,25.586,281.448
70,0,46442,Maverick McNealy,24.892,522.730
71,0,24361,Pat Perez,24.746,420.684
72,0,49771,J.T. Poston,24.591,516.421
73,0,27974,Sung Kang,24.361,511.574
74,0,27644,Brian Harman,24.007,480.140
75,0,26596,Ryan Moore,23.995,359.930
76,0,27649,Brandt Snedeker,23.872,358.076
77,0,33204,Shane Lowry,23.565,282.783
78,0,48084,Wesley Bryan,23.471,93.883
79,0,34021,Bud Cauley,23.341,443.473
80,0,08075,Jerry Kelly,23.275,46.550
81,0,23325,Vaughn Taylor,23.249,441.739
82,0,46402,Talor Gooch,23.090,507.971
83,0,27141,J.B. Holmes,22.875,183.000
84,0,33419,Cameron Tringale,22.392,380.671
85,0,53165,Doc Redman,22.348,513.998
86,0,47993,Denny McCarthy,22.237,489.216
87,0,34046,Jordan Spieth,22.148,354.368
88,0,26331,Charl Schwartzel,22.140,265.680
89,0,30163,Henrik Norlander,21.975,483.448
90,0,37189,Harold Varner III,21.752,456.789
91,0,30944,Jason Kokrak,20.909,376.356
92,0,28775,Nate Lashley,20.777,394.758
93,0,25572,Graeme McDowell,20.355,305.323
94,0,33597,Harry Higgs,20.217,464.996
95,0,21209,Sergio Garcia,20.106,241.277
96,0,32640,Troy Merritt,19.949,418.925
97,0,24024,Zach Johnson,19.834,337.175
98,0,32254,Xinjun Zhang,19.757,474.166
99,0,45157,Cam Davis,19.662,373.579
100,0,34098,Russell Henley,19.532,351.573
101,0,26476,Chez Reavie,19.434,408.124
102,0,49960,Sepp Straka,19.408,465.791
103,0,47504,Sam Burns,19.152,344.740
104,0,46441,Robby Shelton,18.942,416.720
105,0,48887,Matt Wallace,18.758,243.856
106,0,19803,Ryan Armour,18.314,366.284
107,0,31560,Brian Stuard,18.232,437.576
108,0,37455,Si Woo Kim,17.764,408.583
109,0,26300,Matt Jones,17.639,388.061
110,0,27554,Scott Harrington,17.605,369.700
111,0,31646,Emiliano Grillo,16.948,372.851
112,0,36871,Matthew NeSmith,16.905,371.918
113,0,36699,Patrick Rodgers,16.582,431.122
114,0,39546,Keith Mitchell,16.391,327.829
115,0,29535,Brice Garnett,16.361,294.495
116,0,12716,Charley Hoffman,16.356,310.772
117,0,33141,Keegan Bradley,16.264,309.016
118,0,25818,Scott Piercy,16.182,291.283
119,0,26499,Rafa Cabrera Bello,16.101,257.613
120,0,32139,Danny Willett,15.573,202.452
121,0,30692,Scott Stallings,15.562,295.677
122,0,29479,Scott Brown,15.383,323.044
123,0,23621,Rory Sabbatini,15.327,291.212
124,0,28252,Seamus Power,15.238,167.623
125,0,25900,Lucas Glover,15.145,302.908
126,0,27095,Nick Watney,14.869,252.771
127,0,20229,Stewart Cink,14.791,207.069
128,0,40058,Zac Blair,14.713,323.689
129,0,19846,Brian Gay,14.671,322.767
130,0,37275,Sam Ryder,14.553,349.271
131,0,27330,Josh Teater,14.462,216.925
132,0,28679,Fabián Gómez,14.406,273.709
133,0,27129,Luke List,14.149,297.122
134,0,39953,Chase Seiffert,14.108,253.942
135,0,25198,Francesco Molinari,14.023,84.138
136,0,21528,Henrik Stenson,13.827,69.134
137,0,27064,Jhonattan Vegas,13.825,235.033
138,0,26289,Boo Weekley,13.801,69.006
139,0,35461,Beau Hossler,13.638,286.391
140,0,34264,Hudson Swafford,13.522,135.223
141,0,30978,Kiradech Aphibarnrat,13.494,94.456
142,0,29268,Bronson Burgoon,13.438,255.313
143,0,33490,Bo Hoag,13.360,280.566
144,0,47347,Adam Schenk,13.196,303.503
145,0,32791,K.H. Lee,13.017,312.405
146,0,34563,Chesson Hadley,12.576,238.951
147,0,51766,Wyndham Clark,12.551,276.122
148,0,34255,Joseph Bramlett,12.386,222.939
149,0,30110,Kyle Stanley,12.303,246.050
150,0,33122,Russell Knox,12.243,269.335
151,0,22056,Cameron Percy,12.219,207.719
152,0,34256,Andrew Putnam,11.521,184.338
153,0,49766,Hank Lebioda,11.511,230.228
154,0,25349,Tim Wilkinson,11.420,182.725
155,0,34466,Peter Malnati,11.338,238.106
156,0,27942,Rob Oppenheim,11.257,236.403
157,0,33413,Ben Martin,10.926,142.038
158,0,34431,Robert Streb,10.875,206.617
159,0,24490,George McNeill,10.798,118.778
160,0,32448,James Hahn,10.779,129.350
161,0,11123,Chris Couch,10.578,10.578
162,0,33418,Shawn Stefani,9.829,98.288
163,0,35658,Kris Ventura,9.802,156.838
164,0,46550,Brandon Hagy,9.796,166.539
165,0,49964,Aaron Wise,9.736,175.250
166,0,29484,Peter Uihlein,9.696,135.747
167,0,23788,D.J. Trahan,9.693,164.774
168,0,33120,Mark Anderson,9.601,153.612
169,0,22371,Aaron Baddeley,8.979,152.638
170,0,27936,Martin Laird,8.859,106.305
171,0,35732,Wes Roach,8.755,122.567
172,0,25345,Carl Pettersson,8.750,17.500
172,0,33449,Zack Sucher,8.750,113.756
174,0,40009,Dominic Bozzelli,8.653,112.491
175,0,27556,Ted Potter Jr.,8.568,162.800
176,0,29974,Branden Grace,8.523,136.367
177,0,33404,Chris Baker,8.311,141.292
178,0,10809,Jim Furyk,8.292,107.796
179,0,34314,Sebastian Cappelen,8.214,156.059
180,0,46435,Austin Cook,8.115,162.308
181,0,23983,Luke Donald,8.063,88.689
182,0,12510,Chad Campbell,8.056,72.500
183,0,26758,David Hearn,7.988,151.764
184,0,29289,S.Y. Noh,7.692,61.533
185,0,32200,Roberto Castro,7.674,76.739
186,0,40042,Tyler McCumber,7.527,150.548
187,0,32662,Michael Gligic,7.358,132.450
188,0,06527,Steve Stricker,7.300,73.000
189,0,25686,Jason Dufner,7.258,137.906
190,0,49298,Kramer Hickok,7.255,130.588
191,0,30926,Chris Kirk,7.234,79.571
192,0,34213,Grayson Murray,7.126,99.770
193,0,51894,Vince Whaley,7.044,105.655
194,0,24846,Ricky Barnes,7.008,77.086
195,0,25632,Jimmy Walker,6.993,111.883
196,0,20472,Alex Cejka,6.864,61.774
197,0,23541,Ben Crane,6.834,41.006
198,0,32757,Patton Kizzire,6.797,129.150
199,0,24357,K.J. Choi,6.722,60.500
200,0,32070,Rafael Campos,6.666,59.994
201,0,27963,Chris Stroud,6.650,119.706
202,0,33486,Roger Sloan,6.571,131.425
203,0,52375,Doug Ghim,6.400,102.400
204,0,24925,Jonathan Byrd,6.099,67.086
205,0,33461,Morgan Hoffmann,5.900,23.600
206,0,29908,C.T. Pan,5.899,112.075
207,0,32366,Kevin Chappell,5.785,75.205
208,0,32333,Kevin Tway,5.766,109.556
209,0,34174,John Huh,5.744,45.950
210,0,32618,Rhein Gibson,5.451,87.213
211,0,39324,J.J. Spaun,5.104,102.089
212,0,28307,Matt Every,4.950,94.055
213,0,29461,Jamie Lovemark,4.795,52.750
214,0,30750,Tommy Gainey,4.520,22.600
215,0,28420,Ryan Brehm,4.438,75.451
216,0,06522,Ernie Els,4.375,8.750
217,0,48045,Michael Gellerman,4.082,61.223
218,0,24924,Bill Haas,3.924,58.856
219,0,27933,John Merrick,3.832,26.822
220,0,20572,Rod Pampling,3.772,15.089
221,0,24140,Sean O'Hair,3.750,7.500
222,0,48119,Ben Taylor,3.158,53.694
223,0,31202,William McGirt,3.125,3.125
224,0,28259,Sangmoon Bae,2.842,25.574
225,0,21407,Arjun Atwal,2.702,32.420
226,0,10213,Dicky Pride,2.613,2.613
227,0,01666,Bernhard Langer,2.600,5.200
228,0,32816,Satoshi Kodaira,2.345,25.800
229,0,31420,Anirban Lahiri,2.048,26.630
230,0,26951,Johnson Wagner,1.988,19.878
231,0,23614,Rich Beem,1.900,5.700
232,0,35230,Nelson Ledesma,1.608,27.336
233,0,34409,David Lingmerth,1.585,15.848
234,0,27436,Graham DeLaet,1.520,7.600
235,0,35617,Martin Trainer,1.488,31.250
236,0,24358,Robert Garrigus,1.335,12.013
237,0,37273,Derek Ernst,1.320,7.918
238,0,12823,Carlos Franco,1.182,2.364
239,0,01706,Davis Love III,1.028,10.275
240,0,33803,Lucas Bjerregaard,.975,9.750
241,0,12782,Tim Herron,.969,5.813
242,0,21753,Brian Davis,.913,2.738
243,0,20850,Daniel Chopra,.899,5.391
244,0,23353,J.J. Henry,.814,7.325
245,0,23623,Bo Van Pelt,.807,14.525
246,0,21959,Ted Purdy,.794,3.174
247,0,08385,Omar Uresti,.788,2.364
248,0,32982,Vince Covello,.778,7.780
249,0,20645,John Senden,.684,8.889
250,0,06567,Vijay Singh,.513,4.100
251,0,23638,Brendon de Jonge,.415,2.489
252,0,20593,Greg Chalmers,.400,3.600
253,0,24449,Parker McLachlin,.356,2.489
254,0,39975,Michael Kim,.202,3.033
