RANK,MOVEMENT,PLAYER_ID,PLAYER,POINTS,# OF WINS,# OF TOP 10'S,POINTS BEHIND LEAD
1,0,30925,Dustin Johnson,-21,3,7,0
2,12,48081,Xander Schauffele,-18,0,7,0
2,1,33448,Justin Thomas,-18,3,10,0
4,-2,46970,Jon Rahm,-17,2,8,0
5,12,46046,Scottie Scheffler,-14,0,7,0
6,-1,50525,Collin Morikawa,-13,2,7,0
7,12,34363,Tyrrell Hatton,-12,1,6,0
8,4,28237,Rory McIlroy,-11,1,7,0
8,7,48822,Sebastián Muñoz,-11,1,5,0
8,5,34360,Patrick Reed,-11,1,8,0
11,-2,39971,Sungjae Im,-10,1,7,0
12,-5,34099,Harris English,-9,0,6,0
12,-8,29221,Webb Simpson,-9,2,8,0
14,14,35506,Mackenzie Hughes,-8,0,4,0
15,-9,40026,Daniel Berger,-7,1,7,0
15,-5,32839,Hideki Matsuyama,-7,0,5,0
17,3,29725,Tony Finau,-6,0,7,0
18,4,45526,Abraham Ancer,-5,0,4,0
18,-2,35310,Lanto Griffin,-5,1,4,0
20,7,46717,Viktor Hovland,-4,1,3,0
20,-9,30927,Brendon Todd,-4,2,4,0
22,-14,47959,Bryson DeChambeau,-3,1,9,0
23,-2,29478,Kevin Kisner,-1,0,4,0
24,5,52372,Cameron Champ,E,1,2,0
24,-1,23320,Ryan Palmer,E,0,5,0
24,2,35891,Cameron Smith,E,1,2,0
27,-3,25396,Kevin Na,+1,1,4,0
27,-9,45486,Joaquin Niemann,+1,1,4,0
29,-4,26851,Marc Leishman,+2,1,3,0
30,0,29420,Billy Horschel,+4,0,6,0
31,0,35449,Adam Long,950,0,3,0
32,0,27214,Kevin Streelman,944,0,4,0
33,0,33948,Byeong Hun An,943,0,5,0
34,0,35450,Patrick Cantlay,922,0,3,0
35,0,56278,Matthew Wolff,921,0,2,0
36,0,40098,Matt Fitzpatrick,887,0,5,0
37,0,27644,Brian Harman,860,0,1,0
38,0,34076,Joel Dahmen,843,0,5,0
39,0,47128,Richy Werenski,836,1,3,0
40,0,45609,Tyler Duncan,834,1,1,0
41,0,24502,Adam Scott,832,1,1,0
42,0,30944,Jason Kokrak,827,0,3,0
43,0,31323,Gary Woodland,801,0,6,0
44,0,36801,Mark Hubbard,792,0,3,0
45,0,29926,Danny Lee,777,0,3,0
46,0,25804,Bubba Watson,768,0,3,0
47,0,29518,Brendan Steele,761,0,3,0
48,0,25493,Nick Taylor,741,1,2,0
49,0,25364,Paul Casey,730,0,1,0
50,0,35532,Tom Hoge,728,0,3,0
51,0,33667,Carlos Ortiz,721,0,3,0
52,0,27349,Alex Noren,706,0,4,0
53,0,39997,Corey Conners,695,0,1,0
54,0,33399,Adam Hadwin,692,0,3,0
55,0,33597,Harry Higgs,684,0,2,0
56,0,34098,Russell Henley,682,0,4,0
57,0,28089,Jason Day,666,0,5,0
58,0,29970,Dylan Frittelli,664,0,3,0
59,0,32150,Michael Thompson,662,1,2,0
60,0,46402,Talor Gooch,648,0,2,0
61,0,33410,Andrew Landry,647,1,1,0
62,0,23108,Matt Kuchar,646,0,1,0
63,0,08793,Tiger Woods,641,1,2,0
64,0,31557,Jim Herman,619,1,1,0
65,0,26329,Louis Oosthuizen,611,0,2,0
66,0,46441,Robby Shelton,597,0,3,0
67,0,49771,J.T. Poston,576,0,2,0
68,0,46442,Maverick McNealy,575,0,3,0
69,0,21961,Charles Howell III,551,0,3,0
70,0,39977,Max Homa,540,0,4,0
71,0,53165,Doc Redman,514,0,1,0
72,0,27974,Sung Kang,512,0,2,0
73,0,47993,Denny McCarthy,511,0,4,0
74,0,32640,Troy Merritt,489,0,2,0
75,0,01810,Phil Mickelson,488,0,2,0
76,0,30163,Henrik Norlander,483,0,3,0
77,0,12716,Charley Hoffman,476,0,2,0
78,0,32254,Xinjun Zhang,474,0,3,0
79,0,49960,Sepp Straka,466,0,3,0
80,0,37189,Harold Varner III,457,0,1,0
81,0,37455,Si Woo Kim,454,0,1,0
82,0,33419,Cameron Tringale,450,0,1,0
83,0,34021,Bud Cauley,443,0,2,0
84,0,45157,Cam Davis,443,0,2,0
85,0,23325,Vaughn Taylor,442,0,2,0
86,0,36699,Patrick Rodgers,440,0,1,0
87,0,31560,Brian Stuard,438,0,2,0
88,0,24138,Ian Poulter,437,0,1,0
89,0,26476,Chez Reavie,429,0,2,0
90,0,24361,Pat Perez,421,0,2,0
91,0,22405,Justin Rose,413,0,2,0
92,0,30911,Tommy Fleetwood,412,0,1,0
93,0,31646,Emiliano Grillo,405,0,3,0
94,0,32102,Rickie Fowler,402,0,2,0
95,0,26300,Matt Jones,398,0,2,0
96,0,28775,Nate Lashley,395,0,2,0
97,0,32791,K.H. Lee,382,0,1,0
98,0,27554,Scott Harrington,381,0,1,0
99,0,33141,Keegan Bradley,379,0,0
100,0,36871,Matthew NeSmith,372,0,1,0
101,0,19803,Ryan Armour,366,0,3,0
102,0,25818,Scott Piercy,361,0,1,0
103,0,26596,Ryan Moore,360,0,2,0
104,0,36689,Brooks Koepka,360,0,2,0
105,0,24024,Zach Johnson,358,0,1,0
106,0,27649,Brandt Snedeker,358,0,1,0
107,0,34046,Jordan Spieth,354,0,3,0
108,0,37275,Sam Ryder,349,0,2,0
109,0,47347,Adam Schenk,349,0,0
110,0,51766,Wyndham Clark,346,0,1,0
111,0,47504,Sam Burns,345,0,1,0
112,0,39546,Keith Mitchell,342,0,1,0
113,0,40058,Zac Blair,324,0,1,0
114,0,29479,Scott Brown,323,0,1,0
115,0,19846,Brian Gay,323,0,2,0
116,0,35461,Beau Hossler,308,0,1,0
117,0,25572,Graeme McDowell,305,0,1,0
118,0,25900,Lucas Glover,303,0,1,0
119,0,27129,Luke List,297,0,1,0
120,0,30692,Scott Stallings,296,0,2,0
121,0,29535,Brice Garnett,294,0,0
122,0,23621,Rory Sabbatini,291,0,0
123,0,33204,Shane Lowry,283,0,1,0
124,0,35104,Tom Lewis,281,0,1,0
125,0,33490,Bo Hoag,281,0,1,0
126,0,28679,Fabián Gómez,274,0,2,0
