RANK,MOVEMENT,PLAYER_ID,PLAYER,% TIMES IMPROVED,# OF TIMES IMPROVED
1,0,10885,Robert Allenby,100.0,1
1,0,35545,Blayne Barber,100.0,2
1,0,25720,Chad Collins,100.0,1
1,0,34262,Jon Curran,100.0,1
1,0,21753,Brian Davis,100.0,4
1,0,25369,Jamie Donaldson,100.0,3
1,0,30736,Oscar Fraustro,100.0,1
1,0,10809,Jim Furyk,100.0,2
1,0,29535,Brice Garnett,100.0,2
1,0,25900,Lucas Glover,100.0,2
1,0,34098,Russell Henley,100.0,3
1,0,27936,Martin Laird,100.0,1
1,0,34409,David Lingmerth,100.0,2
1,0,01706,Davis Love III,100.0,1
1,0,25345,Carl Pettersson,100.0,2
1,0,29476,Kyle Reifers,100.0,2
1,0,30692,Scott Stallings,100.0,3
1,0,21528,Henrik Stenson,100.0,1
1,0,28132,Tyrone Van Aswegen,100.0,1
1,0,23623,Bo Van Pelt,100.0,1
1,0,20396,Lee Westwood,100.0,2
1,0,34265,Will Wilcox,100.0,1
23,0,34431,Robert Streb,87.5,7
24,0,36689,Brooks Koepka,85.7,6
24,0,27649,Brandt Snedeker,85.7,6
26,0,28089,Jason Day,80.0,4
26,0,32102,Rickie Fowler,80.0,4
26,0,21961,Charles Howell III,80.0,4
26,0,24024,Zach Johnson,80.0,4
26,0,29478,Kevin Kisner,80.0,4
26,0,32839,Hideki Matsuyama,80.0,8
26,0,24140,Sean O'Hair,80.0,4
33,0,29926,Danny Lee,75.0,6
33,0,01810,Phil Mickelson,75.0,3
33,0,23320,Ryan Palmer,75.0,3
33,0,25834,Daniel Summerhays,75.0,3
33,0,31323,Gary Woodland,75.0,3
38,0,40026,Daniel Berger,66.7,4
38,0,23983,Luke Donald,66.7,2
38,0,31416,Derek Fathauer,66.7,2
38,0,30711,Colt Knost,66.7,4
38,0,23621,Rory Sabbatini,66.7,4
38,0,28780,Nicholas Thompson,66.7,2
38,0,25632,Jimmy Walker,66.7,2
38,0,26289,Boo Weekley,66.7,2
38,0,25892,Steve Wheatcroft,66.7,2
47,0,29725,Tony Finau,60.0,6
47,0,30944,Jason Kokrak,60.0,3
47,0,33413,Ben Martin,60.0,3
47,0,26596,Ryan Moore,60.0,3
47,0,20645,John Senden,60.0,3
52,0,25274,Steven Bowditch,57.1,4
52,0,30925,Dustin Johnson,57.1,4
52,0,23108,Matt Kuchar,57.1,4
52,0,24490,George McNeill,57.1,4
52,0,25396,Kevin Na,57.1,4
52,0,34046,Jordan Spieth,57.1,4
52,0,34264,Hudson Swafford,57.1,4
59,0,32334,Charlie Beljan,50.0,1
59,0,40058,Zac Blair,50.0,2
59,0,24507,Jason Bohn,50.0,2
59,0,29479,Scott Brown,50.0,1
59,0,25686,Jason Dufner,50.0,3
59,0,34099,Harris English,50.0,4
59,0,22892,Jason Gore,50.0,1
59,0,33399,Adam Hadwin,50.0,2
59,0,32448,James Hahn,50.0,2
59,0,26758,David Hearn,50.0,1
59,0,12716,Charley Hoffman,50.0,4
59,0,24781,Hunter Mahan,50.0,3
59,0,32640,Troy Merritt,50.0,1
59,0,29289,S.Y. Noh,50.0,2
59,0,22046,Geoff Ogilvy,50.0,1
59,0,26329,Louis Oosthuizen,50.0,2
59,0,33667,Carlos Ortiz,50.0,2
59,0,26476,Chez Reavie,50.0,1
59,0,25562,Andres Romero,50.0,2
59,0,24502,Adam Scott,50.0,2
59,0,29221,Webb Simpson,50.0,1
59,0,06567,Vijay Singh,50.0,1
59,0,33418,Shawn Stefani,50.0,3
59,0,27963,Chris Stroud,50.0,2
59,0,31560,Brian Stuard,50.0,2
59,0,29425,Andrew Svoboda,50.0,1
59,0,32150,Michael Thompson,50.0,2
59,0,02206,David Toms,50.0,1
87,0,33448,Justin Thomas,42.9,3
88,0,34563,Chesson Hadley,40.0,2
88,0,23353,J.J. Henry,40.0,2
88,0,08075,Jerry Kelly,40.0,2
88,0,26331,Charl Schwartzel,40.0,2
92,0,22371,Aaron Baddeley,33.3,1
92,0,28259,Sangmoon Bae,33.3,1
92,0,24846,Ricky Barnes,33.3,1
92,0,20472,Alex Cejka,33.3,1
92,0,32366,Kevin Chappell,33.3,1
92,0,24494,Erik Compton,33.3,1
92,0,37273,Derek Ernst,33.3,1
92,0,21209,Sergio Garcia,33.3,1
92,0,27644,Brian Harman,33.3,1
92,0,31557,Jim Herman,33.3,1
92,0,27141,J.B. Holmes,33.3,1
92,0,34174,John Huh,33.3,1
92,0,23800,Bryce Molder,33.3,2
92,0,22056,Cameron Percy,33.3,1
92,0,35451,Scott Pinckney,33.3,1
92,0,34360,Patrick Reed,33.3,3
92,0,22405,Justin Rose,33.3,1
92,0,29518,Brendan Steele,33.3,2
92,0,33419,Cameron Tringale,33.3,2
92,0,25804,Bubba Watson,33.3,1
112,0,31202,William McGirt,28.6,2
113,0,24925,Jonathan Byrd,25.0,1
113,0,24357,K.J. Choi,25.0,1
113,0,35539,Luke Guthrie,25.0,1
113,0,26300,Matt Jones,25.0,1
113,0,33122,Russell Knox,25.0,1
113,0,28486,Michael Putnam,25.0,1
113,0,27770,Camilo Villegas,25.0,1
120,0,33141,Keegan Bradley,20.0,1
120,0,25364,Paul Casey,20.0,1
120,0,27436,Graham DeLaet,20.0,1
120,0,24924,Bill Haas,20.0,1
120,0,29420,Billy Horschel,20.0,1
120,0,30852,Ryo Ishikawa,20.0,1
120,0,20691,Greg Owen,20.0,1
