RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL 10TH TEE EARLY RDS.
1,0,35891,Cameron Smith,67.67,609,9
2,0,34098,Russell Henley,67.71,948,14
3,0,31420,Anirban Lahiri,67.82,746,11
4,0,29725,Tony Finau,68.50,685,10
5,0,27936,Martin Laird,68.54,891,13
6,0,32102,Rickie Fowler,68.63,1098,16
7,0,21961,Charles Howell III,68.80,688,10
8,0,27649,Brandt Snedeker,68.92,827,12
9,0,25364,Paul Casey,68.94,1172,17
10,0,33141,Keegan Bradley,68.95,1517,22
11,0,29221,Webb Simpson,69.00,897,13
11,0,30110,Kyle Stanley,69.00,1173,17
13,0,25686,Jason Dufner,69.10,691,10
14,0,24924,Bill Haas,69.21,969,14
15,0,34046,Jordan Spieth,69.24,1177,17
16,0,22405,Justin Rose,69.31,901,13
16,0,29223,Sam Saunders,69.31,901,13
18,0,23621,Rory Sabbatini,69.38,902,13
19,0,34174,John Huh,69.39,1249,18
20,0,27129,Luke List,69.40,1041,15
21,0,29720,Andres Gonzales,69.43,972,14
21,0,24361,Pat Perez,69.43,972,14
23,0,25191,Gonzalo Fernandez-Castaño,69.44,1111,16
24,0,25198,Francesco Molinari,69.50,695,10
24,0,34264,Hudson Swafford,69.50,834,12
26,0,20229,Stewart Cink,69.53,1043,15
26,0,27974,Sung Kang,69.53,1182,17
28,0,26851,Marc Leishman,69.54,904,13
29,0,27958,Ryan Blaum,69.55,1391,20
30,0,33461,Morgan Hoffmann,69.58,1322,19
31,0,48084,Wesley Bryan,69.62,1462,21
31,0,25818,Scott Piercy,69.62,905,13
31,0,34431,Robert Streb,69.62,1462,21
34,0,27770,Camilo Villegas,69.63,1323,19
35,0,48822,Sebastián Muñoz,69.64,766,11
36,0,12510,Chad Campbell,69.68,1324,19
37,0,37454,Whee Kim,69.71,1185,17
38,0,34021,Bud Cauley,69.72,1255,18
38,0,25632,Jimmy Walker,69.72,1255,18
40,0,27963,Chris Stroud,69.73,1046,15
41,0,27644,Brian Harman,69.75,1116,16
41,0,29518,Brendan Steele,69.75,837,12
41,0,23325,Vaughn Taylor,69.75,1116,16
44,0,26476,Chez Reavie,69.77,907,13
44,0,25834,Daniel Summerhays,69.77,1535,22
46,0,31323,Gary Woodland,69.85,908,13
47,0,34409,David Lingmerth,69.91,769,11
48,0,24358,Robert Garrigus,69.94,1189,17
49,0,28252,Seamus Power,69.95,1329,19
50,0,46443,Brian Campbell,70.00,770,11
50,0,21209,Sergio Garcia,70.00,840,12
50,0,25900,Lucas Glover,70.00,1120,16
50,0,29478,Kevin Kisner,70.00,1190,17
50,0,36689,Brooks Koepka,70.00,1260,18
50,0,26329,Louis Oosthuizen,70.00,840,12
56,0,37189,Harold Varner III,70.05,1541,22
57,0,33448,Justin Thomas,70.06,1191,17
58,0,28500,Martin Flores,70.11,1332,19
58,0,01810,Phil Mickelson,70.11,1332,19
60,0,31646,Emiliano Grillo,70.13,1052,15
60,0,28237,Rory McIlroy,70.13,561,8
60,0,32640,Troy Merritt,70.13,1122,16
60,0,24138,Ian Poulter,70.13,1052,15
64,0,29974,Branden Grace,70.17,842,12
65,0,29926,Danny Lee,70.18,772,11
66,0,33399,Adam Hadwin,70.20,1053,15
67,0,26300,Matt Jones,70.25,1124,16
67,0,39975,Michael Kim,70.25,1405,20
67,0,46970,Jon Rahm,70.25,1405,20
70,0,47959,Bryson DeChambeau,70.26,1335,19
71,0,24024,Zach Johnson,70.27,1054,15
71,0,34358,Jonathan Randolph,70.27,1054,15
71,0,34360,Patrick Reed,70.27,1546,22
71,0,48081,Xander Schauffele,70.27,1054,15
75,0,32333,Kevin Tway,70.28,1265,18
76,0,26596,Ryan Moore,70.30,703,10
77,0,32150,Michael Thompson,70.31,1125,16
78,0,27895,Jonas Blixt,70.33,844,12
78,0,39954,Cody Gribble,70.33,1055,15
78,0,35532,Tom Hoge,70.33,633,9
78,0,29908,C.T. Pan,70.33,1266,18
78,0,25493,Nick Taylor,70.33,1477,21
83,0,20104,Ken Duke,70.35,1829,26
84,0,32366,Kevin Chappell,70.36,774,11
84,0,49771,J.T. Poston,70.36,985,14
86,0,30925,Dustin Johnson,70.41,1197,17
87,0,40026,Daniel Berger,70.44,1268,18
88,0,46601,Trey Mullinax,70.45,1550,22
89,0,40058,Zac Blair,70.46,1691,24
90,0,27064,Jhonattan Vegas,70.50,1269,18
91,0,27436,Graham DeLaet,70.53,1058,15
91,0,22046,Geoff Ogilvy,70.53,1199,17
93,0,46440,Smylie Kaufman,70.54,917,13
93,0,25240,D.A. Points,70.54,917,13
95,0,31416,Derek Fathauer,70.57,1482,21
95,0,33418,Shawn Stefani,70.57,988,14
97,0,23108,Matt Kuchar,70.58,1341,19
97,0,46732,Rick Lamb,70.58,847,12
99,0,35506,Mackenzie Hughes,70.59,1200,17
100,0,27466,Spencer Levin,70.61,1624,23
101,0,22986,Søren Kjeldsen,70.64,777,11
102,0,35450,Patrick Cantlay,70.67,424,6
103,0,29222,Billy Hurley III,70.71,990,14
103,0,30944,Jason Kokrak,70.71,990,14
103,0,22056,Cameron Percy,70.71,1485,21
103,0,27095,Nick Watney,70.71,990,14
103,0,26289,Boo Weekley,70.71,990,14
108,0,31557,Jim Herman,70.73,778,11
109,0,24507,Jason Bohn,70.77,1557,22
110,0,24357,K.J. Choi,70.79,991,14
110,0,19846,Brian Gay,70.79,991,14
112,0,39324,J.J. Spaun,70.81,1133,16
112,0,28132,Tyrone Van Aswegen,70.81,1487,21
114,0,29461,Jamie Lovemark,70.83,1700,24
115,0,23497,Tag Ridings,70.85,921,13
116,0,23983,Luke Donald,70.89,638,9
116,0,29289,S.Y. Noh,70.89,1985,28
118,0,26758,David Hearn,70.91,1560,22
119,0,10809,Jim Furyk,70.93,1064,15
120,0,40009,Dominic Bozzelli,70.94,1206,17
120,0,28420,Ryan Brehm,70.94,1277,18
120,0,34213,Grayson Murray,70.94,1135,16
120,0,47128,Richy Werenski,70.94,1206,17
120,0,25349,Tim Wilkinson,70.94,1135,16
125,0,29479,Scott Brown,70.96,1703,24
126,0,33948,Byeong Hun An,71.00,994,14
126,0,20157,Retief Goosen,71.00,426,6
126,0,46550,Brandon Hagy,71.00,1065,15
126,0,29420,Billy Horschel,71.00,1136,16
126,0,32839,Hideki Matsuyama,71.00,1136,16
131,0,34466,Peter Malnati,71.05,1492,21
132,0,23541,Ben Crane,71.06,1279,18
132,0,25396,Kevin Na,71.06,1279,18
132,0,29485,Brett Stegmaier,71.06,1279,18
132,0,27214,Kevin Streelman,71.06,1137,16
136,0,30191,Julián Etulain,71.07,995,14
136,0,30692,Scott Stallings,71.07,1066,15
138,0,34099,Harris English,71.08,853,12
138,0,31202,William McGirt,71.08,924,13
138,0,31560,Brian Stuard,71.08,853,12
141,0,25804,Bubba Watson,71.11,1280,18
142,0,33120,Mark Anderson,71.20,1068,15
143,0,28679,Fabián Gómez,71.21,997,14
144,0,23320,Ryan Palmer,71.25,1140,16
145,0,29476,Kyle Reifers,71.30,1640,23
146,0,28089,Jason Day,71.31,1141,16
147,0,24846,Ricky Barnes,71.32,1355,19
148,0,25720,Chad Collins,71.33,1070,15
148,0,12716,Charley Hoffman,71.33,1284,18
148,0,33122,Russell Knox,71.33,856,12
151,0,30926,Chris Kirk,71.36,999,14
151,0,24502,Adam Scott,71.36,999,14
153,0,25572,Graeme McDowell,71.42,857,12
154,0,32200,Roberto Castro,71.43,1000,14
155,0,20771,Steven Alker,71.47,1358,19
156,0,24140,Sean O'Hair,71.50,1287,18
157,0,33419,Cameron Tringale,71.55,1431,20
158,0,24781,Hunter Mahan,71.57,1002,14
159,0,27141,J.B. Holmes,71.58,859,12
160,0,35879,Kelly Kraft,71.63,1146,16
161,0,23800,Bryce Molder,71.69,1147,16
162,0,32757,Patton Kizzire,71.70,717,10
163,0,46501,Ollie Schniederjans,71.71,1004,14
164,0,29740,Brad Fritsch,71.75,861,12
165,0,20593,Greg Chalmers,71.78,646,9
165,0,23353,J.J. Henry,71.78,1292,18
167,0,37455,Si Woo Kim,71.88,1150,16
168,0,32448,James Hahn,72.00,936,13
168,0,36801,Mark Hubbard,72.00,1584,22
168,0,26331,Charl Schwartzel,72.00,648,9
171,0,20472,Alex Cejka,72.06,1225,17
172,0,25892,Steve Wheatcroft,72.07,1081,15
173,0,28093,Miguel Angel Carballo,72.13,1082,15
173,0,25345,Carl Pettersson,72.13,1154,16
175,0,06522,Ernie Els,72.25,1156,16
176,0,30852,Ryo Ishikawa,72.27,1084,15
176,0,26951,Johnson Wagner,72.27,795,11
178,0,33204,Shane Lowry,72.33,217,3
179,0,19803,Ryan Armour,72.39,1303,18
180,0,35545,Blayne Barber,72.41,1231,17
181,0,22371,Aaron Baddeley,72.50,725,10
181,0,37278,Nicholas Lindheim,72.50,1015,14
183,0,20572,Rod Pampling,72.54,943,13
184,0,33413,Ben Martin,72.60,726,10
185,0,36699,Patrick Rodgers,72.73,1091,15
186,0,26499,Rafa Cabrera Bello,72.89,656,9
187,0,35300,Andrew Loupe,73.20,732,10
188,0,35110,Brett Drewitt,73.25,586,8
189,0,28307,Matt Every,73.77,959,13
190,0,25274,Steven Bowditch,74.17,445,6
