RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DISTANCE,TOTAL DRIVES
1,0,27129,Luke List,306.3,37365,122
2,0,30925,Dustin Johnson,305.8,42809,140
3,0,23452,Nicolas Colsaerts,305.7,28736,94
4,0,31323,Gary Woodland,303.8,54376,179
5,0,25804,Bubba Watson,303.7,44030,145
6,0,30944,Jason Kokrak,303.2,47298,156
7,0,24358,Robert Garrigus,302.4,39315,130
8,0,28237,Rory McIlroy,302.2,33240,110
9,0,33869,Eric Meierdierks,301.9,27773,92
10,0,23320,Ryan Palmer,301.5,47329,157
11,0,33141,Keegan Bradley,300.6,52302,174
12,0,28500,Martin Flores,300.4,49874,166
13,0,25274,Steven Bowditch,300.2,39029,130
14,0,24140,Sean O'Hair,299.7,33561,112
15,0,23497,Tag Ridings,299.6,38944,130
16,0,28089,Jason Day,299.3,47589,159
17,0,31557,Jim Herman,299.2,32913,110
18,0,29289,S.Y. Noh,298.8,40045,134
19,0,27436,Graham DeLaet,298.6,55832,187
20,0,25632,Jimmy Walker,298.5,50147,168
21,0,25818,Scott Piercy,298.2,44430,149
22,0,30110,Kyle Stanley,298.1,42332,142
23,0,24502,Adam Scott,297.8,35733,120
24,0,34431,Robert Streb,297.7,42270,142
25,0,33418,Shawn Stefani,297.2,37452,126
26,0,29740,Brad Fritsch,297.0,45743,154
27,0,22405,Justin Rose,296.6,35301,119
28,0,32698,Bobby Gates,296.2,26654,90
29,0,26331,Charl Schwartzel,296.1,40271,136
30,0,30692,Scott Stallings,295.7,46720,158
31,0,22913,John Rollins,295.6,43152,146
32,0,32334,Charlie Beljan,295.4,36630,124
32,0,33461,Morgan Hoffmann,295.4,37807,128
34,0,22792,Peter Hanson,295.3,25099,85
35,0,34099,Harris English,295.2,56092,190
36,0,30163,Henrik Norlander,295.0,40114,136
37,0,21961,Charles Howell III,294.8,50109,170
38,0,27503,Steve LeBrun,294.1,36471,124
38,0,27120,Troy Matteson,294.1,38818,132
40,0,20848,Ángel Cabrera,294.0,42922,146
40,0,12716,Charley Hoffman,294.0,49394,168
42,0,29420,Billy Horschel,293.8,56406,192
43,0,25900,Lucas Glover,293.7,38183,130
43,0,27330,Josh Teater,293.7,48173,164
45,0,22056,Cameron Percy,293.6,38751,132
46,0,27936,Martin Laird,293.4,39903,136
46,0,23788,D.J. Trahan,293.4,26992,92
48,0,32448,James Hahn,293.3,43407,148
49,0,08793,Tiger Woods,293.2,35187,120
50,0,25562,Andres Romero,293.1,34588,118
50,0,23621,Rory Sabbatini,293.1,48064,164
52,0,32366,Kevin Chappell,292.9,46861,160
53,0,20691,Greg Owen,292.8,41575,142
54,0,24494,Erik Compton,292.7,43318,148
55,0,28475,Jeff Overton,292.4,45618,156
56,0,26300,Matt Jones,292.3,48223,165
57,0,06573,Brandt Jobe,292.1,33887,116
58,0,34360,Patrick Reed,292.0,48472,166
59,0,27770,Camilo Villegas,291.8,43763,150
60,0,28780,Nicholas Thompson,291.6,57738,198
61,0,37273,Derek Ernst,291.5,33813,116
62,0,30852,Ryo Ishikawa,291.3,40206,138
63,0,27095,Nick Watney,291.2,50093,172
64,0,30750,Tommy Gainey,291.0,48888,168
64,0,21209,Sergio Garcia,291.0,36666,126
66,0,21528,Henrik Stenson,290.9,37239,128
66,0,26289,Boo Weekley,290.9,58180,200
68,0,29518,Brendan Steele,290.7,47680,164
69,0,20396,Lee Westwood,290.3,39775,137
70,0,25345,Carl Pettersson,290.2,46429,160
71,0,24361,Pat Perez,290.1,40037,138
71,0,29425,Andrew Svoboda,290.1,25532,88
73,0,20229,Stewart Cink,290.0,41178,142
73,0,24781,Hunter Mahan,290.0,49004,169
75,0,26679,Kevin Stadler,289.8,45781,158
75,0,23325,Vaughn Taylor,289.8,26663,92
77,0,06522,Ernie Els,289.6,35916,124
78,0,29479,Scott Brown,289.5,37635,130
78,0,28679,Fabián Gómez,289.5,37637,130
80,0,24846,Ricky Barnes,289.4,40510,140
80,0,34046,Jordan Spieth,289.4,47466,164
82,0,20645,John Senden,289.3,45127,156
83,0,34098,Russell Henley,289.0,45082,156
83,0,30926,Chris Kirk,289.0,51441,178
85,0,12510,Chad Campbell,288.9,43914,152
86,0,22371,Aaron Baddeley,288.5,38086,132
87,0,24399,Scott Gardiner,288.4,34037,118
87,0,27408,Martin Kaymer,288.4,33457,116
89,0,20766,Padraig Harrington,288.3,28253,98
90,0,24924,Bill Haas,288.2,48412,168
91,0,28307,Matt Every,288.1,51278,178
91,0,06567,Vijay Singh,288.1,35154,122
93,0,01810,Phil Mickelson,287.9,44907,156
94,0,34021,Bud Cauley,287.5,36225,126
94,0,27644,Brian Harman,287.5,48873,170
94,0,27214,Kevin Streelman,287.5,49445,172
97,0,21731,Freddie Jacobson,287.3,34471,120
98,0,19970,Robert Karlsson,287.2,29865,104
98,0,33419,Cameron Tringale,287.2,45950,160
100,0,23409,James Driscoll,287.1,41348,144
101,0,24663,Y.E. Yang,286.7,31828,111
102,0,26851,Marc Leishman,286.6,43846,153
103,0,32102,Rickie Fowler,286.4,42106,147
104,0,23638,Brendon de Jonge,286.3,62976,220
104,0,08725,Tom Gillis,286.3,37217,130
106,0,24490,George McNeill,286.0,38893,136
107,0,25686,Jason Dufner,285.9,44026,154
107,0,23623,Bo Van Pelt,285.9,39743,139
109,0,34409,David Lingmerth,285.8,38875,136
110,0,25834,Daniel Summerhays,285.7,47421,166
111,0,29221,Webb Simpson,285.4,49937,175
112,0,28259,Sangmoon Bae,285.3,47365,166
112,0,01116,Michael Bradley,285.3,29670,104
114,0,22046,Geoff Ogilvy,285.1,32496,114
115,0,01320,Bob Estes,285.0,37624,132
116,0,10885,Robert Allenby,284.9,31910,112
116,0,28455,Will Claxton,284.9,35893,126
116,0,23108,Matt Kuchar,284.9,49573,174
119,0,20098,Stuart Appleby,284.7,47834,168
119,0,23353,J.J. Henry,284.7,45843,161
121,0,25336,Alistair Presnell,284.6,32446,114
122,0,27933,John Merrick,284.3,44918,158
123,0,27895,Jonas Blixt,283.7,42837,151
124,0,12782,Tim Herron,283.6,25523,90
124,0,22378,Trevor Immelman,283.6,39143,138
124,0,06527,Steve Stricker,283.6,26658,94
127,0,35539,Luke Guthrie,283.5,46490,164
128,0,26476,Chez Reavie,282.8,40721,144
129,0,20572,Rod Pampling,282.6,23736,84
130,0,32200,Roberto Castro,282.3,54478,193
130,0,26596,Ryan Moore,282.3,40093,142
132,0,20160,Charlie Wi,282.1,40061,142
133,0,34174,John Huh,282.0,48792,173
134,0,31202,William McGirt,281.8,42266,150
134,0,31560,Brian Stuard,281.8,41704,148
136,0,24138,Ian Poulter,281.7,29859,106
137,0,27649,Brandt Snedeker,281.3,44440,158
138,0,25240,D.A. Points,281.1,48905,174
139,0,23541,Ben Crane,281.0,32592,116
140,0,28092,D.H. Lee,280.9,36522,130
141,0,06004,Stephen Ames,280.7,27511,98
142,0,22961,David Mathis,280.6,37598,134
143,0,26497,Casey Wittenberg,280.5,39275,140
144,0,27556,Ted Potter Jr.,280.3,34194,122
145,0,22806,Doug LaBelle II,280.1,39215,140
146,0,25444,Justin Hicks,280.0,42003,150
147,0,26758,David Hearn,279.7,49231,176
148,0,32150,Michael Thompson,279.4,36878,132
149,0,24227,Justin Bolli,279.1,30706,110
149,0,35139,Richard Lee,279.1,42975,154
151,0,36884,Ben Kohles,279.0,39615,142
152,0,34261,Scott Langley,278.9,41834,150
153,0,21753,Brian Davis,278.8,50734,182
153,0,24024,Zach Johnson,278.8,46275,166
155,0,26951,Johnson Wagner,278.6,33436,120
156,0,24357,K.J. Choi,278.3,46748,168
157,0,23983,Luke Donald,278.1,32262,116
158,0,21878,Mark Wilson,278.0,28911,104
159,0,21099,David Lynn,277.9,38077,137
160,0,01724,Jeff Maggert,277.6,34980,126
161,0,25572,Graeme McDowell,277.5,26916,97
162,0,02206,David Toms,277.4,24133,87
163,0,28135,Aaron Watkins,277.1,24388,88
164,0,27963,Chris Stroud,277.0,48753,176
165,0,20593,Greg Chalmers,276.8,40414,146
166,0,24507,Jason Bohn,276.3,38680,140
166,0,10860,Justin Leonard,276.3,47520,172
168,0,28310,Lee Williams,275.6,33068,120
169,0,10809,Jim Furyk,275.3,42952,156
170,0,20104,Ken Duke,275.1,47871,174
170,0,19846,Brian Gay,275.1,43193,157
170,0,22295,Darron Stiles,275.1,26964,98
173,0,22621,Ben Curtis,274.9,31333,114
174,0,10213,Dicky Pride,274.8,36825,134
175,0,23135,Tim Clark,273.9,33143,121
176,0,23800,Bryce Molder,273.8,43801,160
177,0,08075,Jerry Kelly,273.2,40984,150
177,0,20443,Jin Park,273.2,27321,100
179,0,30711,Colt Knost,271.7,35317,130
180,0,10423,Mike Weir,270.5,31380,116
