RANK,MOVEMENT,PLAYER_ID,PLAYER,DISTANCE,TOURNAMENT,ROUND,HOLE,COURSE
1,0,01810,Phil Mickelson,450,WGC-Cadillac,1,17,008
2,0,30110,Kyle Stanley,428,Hyundai T of C,2,7,656
3,0,24138,Ian Poulter,426,Hyundai T of C,1,12,656
4,0,27436,Graham DeLaet,420,Shell Houston,4,8,729
5,0,32334,Charlie Beljan,418,Hyundai T of C,2,12,656
6,0,25345,Carl Pettersson,416,Hyundai T of C,1,7,656
7,0,20229,Stewart Cink,415,Shell Houston,4,8,729
8,0,31323,Gary Woodland,411,Tampa Bay,1,10,665
9,0,30925,Dustin Johnson,410,Hyundai T of C,2,12,656
10,0,25818,Scott Piercy,409,Hyundai T of C,2,12,656
11,0,22621,Ben Curtis,407,Hyundai T of C,2,7,656
13,0,25686,Jason Dufner,405,Hyundai T of C,2,7,656
15,0,32102,Rickie Fowler,403,Hyundai T of C,2,7,656
16,0,26851,Marc Leishman,402,Hyundai T of C,1,12,656
17,0,26596,Ryan Moore,400,Hyundai T of C,2,7,656
17,0,27556,Ted Potter Jr.,400,Hyundai T of C,3,7,656
20,0,30692,Scott Stallings,399,Hyundai T of C,1,12,656
22,0,29221,Webb Simpson,398,Hyundai T of C,2,7,656
23,0,30750,Tommy Gainey,397,Hyundai T of C,3,12,656
24,0,24490,George McNeill,396,Hyundai T of C,3,17,656
24,0,26951,Johnson Wagner,396,Hyundai T of C,2,7,656
24,0,25804,Bubba Watson,396,Hyundai T of C,2,12,656
31,0,24924,Bill Haas,394,Hyundai T of C,2,7,656
34,0,21878,Mark Wilson,393,Hyundai T of C,2,7,656
37,0,24781,Hunter Mahan,392,Hyundai T of C,2,12,656
43,0,23452,Nicolas Colsaerts,390,WGC-Bridgestone,2,16,036
44,0,33141,Keegan Bradley,389,HP Byron Nelson,4,1,019
49,0,23481,Marcel Siem,387,HP Byron Nelson,4,3,019
49,0,27649,Brandt Snedeker,387,Hyundai T of C,2,12,656
52,0,27770,Camilo Villegas,386,RBC Heritage,4,3,012
52,0,25632,Jimmy Walker,386,HP Byron Nelson,4,1,019
52,0,26289,Boo Weekley,386,Wyndham Champ,1,11,752
60,0,27895,Jonas Blixt,385,Hyundai T of C,3,7,656
60,0,29454,Bernd Wiesberger,385,The Open,2,2,542
69,0,28500,Martin Flores,383,HP Byron Nelson,2,1,019
77,0,20848,Ángel Cabrera,381,HP Byron Nelson,4,1,019
83,0,08793,Tiger Woods,379,WGC-Bridgestone,2,16,036
87,0,28938,Justin Harding,378,The Open,1,1,542
87,0,21528,Henrik Stenson,378,WGC-Bridgestone,2,16,036
90,0,34174,John Huh,377,Hyundai T of C,2,12,656
90,0,35612,John Hurley,377,Phoenix Open,2,5,510
