RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL 1ST TEE LATE ROUNDS
1,0,35450,Patrick Cantlay,68.63,2951,43
2,0,33448,Justin Thomas,68.98,3173,46
3,0,48081,Xander Schauffele,69.00,2760,40
4,0,29725,Tony Finau,69.15,2351,34
5,0,35891,Cameron Smith,69.20,2422,35
6,0,46046,Scottie Scheffler,69.23,3046,44
7,0,22056,Cameron Percy,69.27,762,11
8,0,28237,Rory McIlroy,69.28,2702,39
9,0,40098,Matt Fitzpatrick,69.30,2772,40
10,0,32839,Hideki Matsuyama,69.31,2495,36
11,0,19803,Ryan Armour,69.33,832,12
11,0,26300,Matt Jones,69.33,1040,15
13,0,39971,Sungjae Im,69.39,3053,44
14,0,39546,Keith Mitchell,69.46,1806,26
15,0,33204,Shane Lowry,69.47,2084,30
16,0,46435,Austin Cook,69.53,1043,15
16,0,28252,Seamus Power,69.53,2086,30
18,0,29478,Kevin Kisner,69.54,1947,28
19,0,34098,Russell Henley,69.59,2227,32
19,0,33667,Carlos Ortiz,69.59,1183,17
21,0,46402,Talor Gooch,69.61,2158,31
21,0,36801,Mark Hubbard,69.61,1253,18
23,0,27214,Kevin Streelman,69.63,1671,24
24,0,46601,Trey Mullinax,69.65,1602,23
25,0,34563,Chesson Hadley,69.67,1463,21
25,0,34174,John Huh,69.67,1463,21
27,0,27349,Alex Noren,69.72,1743,25
28,0,35449,Adam Long,69.73,1534,22
29,0,29420,Billy Horschel,69.74,2162,31
29,0,47993,Denny McCarthy,69.74,2441,35
29,0,48887,Matt Wallace,69.74,1325,19
32,0,49947,Taylor Moore,69.77,1814,26
32,0,45486,Joaquin Niemann,69.77,3000,43
34,0,30927,Brendon Todd,69.78,1256,18
35,0,23983,Luke Donald,69.79,977,14
35,0,30926,Chris Kirk,69.79,1954,28
37,0,45157,Cam Davis,69.80,1745,25
37,0,32662,Michael Gligic,69.80,1396,20
39,0,46970,Jon Rahm,69.84,2654,38
40,0,39977,Max Homa,69.87,2725,39
41,0,37189,Harold Varner III,69.92,2587,37
42,0,23108,Matt Kuchar,69.97,2099,30
