RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL 10TH TEE LATE RNDS.
1,0,50525,Collin Morikawa,66.00,66,1
2,0,48081,Xander Schauffele,66.50,133,2
3,0,22405,Justin Rose,67.40,337,5
4,0,32839,Hideki Matsuyama,67.50,135,2
5,0,45526,Abraham Ancer,68.00,204,3
5,0,46717,Viktor Hovland,68.00,68,1
5,0,46970,Jon Rahm,68.00,272,4
8,0,39971,Sungjae Im,68.11,613,9
9,0,35450,Patrick Cantlay,68.25,273,4
10,0,35461,Beau Hossler,68.40,684,10
11,0,34610,Matthias Schwab,68.53,1028,15
12,0,28089,Jason Day,68.63,549,8
13,0,34256,Andrew Putnam,68.73,756,11
14,0,37189,Harold Varner III,68.75,275,4
15,0,40250,Taylor Pendrith,68.86,964,14
16,0,36801,Mark Hubbard,68.87,1033,15
17,0,39324,J.J. Spaun,68.88,1171,17
18,0,40162,Justin Lower,68.92,896,13
19,0,29420,Billy Horschel,69.00,138,2
19,0,32816,Satoshi Kodaira,69.00,483,7
19,0,28237,Rory McIlroy,69.00,207,3
19,0,36871,Matthew NeSmith,69.00,1104,16
19,0,45486,Joaquin Niemann,69.00,276,4
19,0,34360,Patrick Reed,69.00,345,5
19,0,29221,Webb Simpson,69.00,276,4
26,0,46046,Scottie Scheffler,69.11,622,9
27,0,25198,Francesco Molinari,69.13,553,8
28,0,57366,Cameron Young,69.17,415,6
29,0,51766,Wyndham Clark,69.21,969,14
30,0,33597,Harry Higgs,69.27,762,11
30,0,49964,Aaron Wise,69.27,762,11
32,0,51894,Vince Whaley,69.35,1179,17
33,0,36799,Stephan Jaeger,69.38,1110,16
34,0,27064,Jhonattan Vegas,69.40,694,10
35,0,32640,Troy Merritt,69.43,972,14
36,0,46414,Aaron Rai,69.44,1111,16
37,0,48699,Callum Tarren,69.45,764,11
38,0,34098,Russell Henley,69.50,556,8
39,0,25818,Scott Piercy,69.62,905,13
40,0,30911,Tommy Fleetwood,69.67,418,6
40,0,23621,Rory Sabbatini,69.67,627,9
42,0,24924,Bill Haas,69.75,1116,16
43,0,29535,Brice Garnett,69.76,1186,17
43,0,36326,David Lipsky,69.76,1186,17
45,0,39546,Keith Mitchell,69.77,907,13
46,0,46402,Talor Gooch,69.78,628,9
46,0,29518,Brendan Steele,69.78,628,9
48,0,45157,Cam Davis,69.81,1117,16
49,0,27770,Camilo Villegas,69.88,559,8
50,0,47993,Denny McCarthy,69.89,1328,19
51,0,39997,Corey Conners,69.91,769,11
52,0,31420,Anirban Lahiri,69.92,909,13
52,0,51634,Sahith Theegala,69.92,909,13
54,0,27644,Brian Harman,69.93,979,14
55,0,34264,Hudson Swafford,69.94,1119,16
56,0,32791,K.H. Lee,69.95,1329,19
