RANK,MOVEMENT,PLAYER_ID,PLAYER,MONEY,TOTAL
1,0,20766,Padraig Harrington,$1882276,2334276
2,0,20396,Lee Westwood,$526899,767899
3,0,25364,Paul Casey,$517939,704272
4,0,24924,Bill Haas,$315259,315259
5,0,27770,Camilo Villegas,$237984,237984
6,0,20848,Ángel Cabrera,$237839,599339
7,0,12461,Paul McGinley,$215101,310476
8,0,24138,Ian Poulter,$176318,401318
9,0,20474,Phillip Price,$150749,223749
10,0,21753,Brian Davis,$110250,145250
11,0,22378,Trevor Immelman,$109560,300560
12,0,12389,Barry Lane,$105802,206802
13,0,19830,Joakim Haeggman,$105316,145566
14,0,08635,Colin Montgomerie,$96479,245979
15,0,20400,Michael Campbell,$86006,152506
16,0,26497,Casey Wittenberg,$85670,85670
17,0,24846,Ricky Barnes,$85520,85520
18,0,24389,Jean-Francois Remesy,$76857,112607
19,0,20939,Keiichiro Fukabori,$73063,73063
20,0,19906,Gary Evans,$71346,71346
21,0,19958,Miguel Angel Jiménez,$66367,238367
22,0,22117,Jyoti Randhawa,$60665,60665
23,0,23165,Takashi Kamiyama,$54305,54305
24,0,27649,Brandt Snedeker,$54215,54215
25,0,26679,Kevin Stadler,$49541,49541
26,0,23386,David Roesch,$48024,48024
27,0,02020,Eduardo Romero,$43750,78750
28,0,21498,Hideto Tanihara,$41729,41729
29,0,01326,Nick Faldo,$40460,40460
30,0,23042,Kim Felton,$35111,35111
30,0,23580,Tetsuji Hiratsuka,$35111,35111
32,0,22348,Nick O'Hern,$34250,88875
32,0,02166,Chip Sullivan,$34250,34250
34,0,07707,Mike Small,$33360,33360
35,0,19904,Paul Lawrie,$32663,32663
36,0,06655,Geoffrey Sisk,$30672,30672
37,0,25349,Tim Wilkinson,$29820,29820
38,0,21461,Kenneth Ferrie,$27714,27714
38,0,19983,Andy Oldcorn,$27714,27714
40,0,20099,Doug Barron,$23291,23291
41,0,06315,Pete Jordan,$23280,23280
42,0,19795,Kelly Mitchum,$22432,22432
43,0,27817,Paul Bradshaw,$22404,22404
43,0,24184,Alastair Forsyth,$22404,22404
43,0,25522,Sean Whiffin,$22404,22404
46,0,27708,Jason Hartwick,$21306,21306
46,0,02191,Tim Thelen,$21306,21306
48,0,25816,Kevin Durkin,$21197,21197
49,0,20473,Ignacio Garrido,$19756,19756
49,0,20832,Raphael Jacquelin,$19756,19756
51,0,20669,James Kingston,$19101,19101
52,0,25752,Steve Friesen,$18550,18550
53,0,08191,Paul Broadhurst,$18539,18539
53,0,20823,Gary Emerson,$18539,18539
55,0,20608,David Howell,$18500,468500
56,0,08993,Franklin Langham,$18450,18450
57,0,22379,Mark Foster,$18071,18071
58,0,21730,Mårten Olander,$17696,17696
59,0,21727,Martin Erlandsson,$17322,17322
59,0,22585,Paul Wesselingh,$17322,17322
61,0,20598,Christian Cévaër,$16760,16760
62,0,20445,Casey Martin,$15858,15858
63,0,25732,S.K. Ho,$13200,109200
64,0,20218,Shingo Katayama,$12650,78650
65,0,23688,Scott Drummond,$12350,87100
66,0,21736,Lian-Wei Zhang,$12072,42572
67,0,01086,Roy Biancalana,$11900,11900
68,0,02036,Jim Rutledge,$11898,11898
69,0,01224,Jeff Coston,$11800,11800
70,0,22122,Andrew McLardy,$11526,79026
71,0,24940,Edward Loar,$11400,11400
72,0,12716,Charley Hoffman,$11296,11296
73,0,24494,Erik Compton,$11050,11050
73,0,20471,Sven Struver,$11050,11050
75,0,20940,Kenichi Kuboya,$10944,10944
76,0,23800,Bryce Molder,$10716,10716
77,0,01560,David Ishii,$10464,10464
78,0,27615,Chris Nallen,$10366,10366
79,0,27963,Chris Stroud,$10350,10350
80,0,20721,Darren Fichardt,$10133,44383
81,0,24980,Scott Gutschewski,$9858,9858
82,0,12755,Vance Veazey,$9776,9776
83,0,23778,Brad Adamonis,$9713,9713
84,0,21894,Bobby Kalinowski,$9648,9648
85,0,26498,Matt Weibring,$9324,9324
86,0,21581,Dirk Ayers,$8550,8550
87,0,26476,Chez Reavie,$7840,7840
88,0,27146,Adam Meyer,$7490,7490
89,0,21284,Hiroyuki Fujita,$7388,7388
89,0,27768,Brock Mackenzie,$7388,7388
91,0,27702,Matt Hendrix,$6750,6750
92,0,25741,Nick Gilliam,$6510,6510
93,0,22363,Don Yrene,$6480,6480
94,0,10195,Tim Conley,$6420,6420
95,0,27561,Nick Flanagan,$6180,6180
