RANK,MOVEMENT,PLAYER_ID,PLAYER,%,OFFICIAL MONEY WON,POTENTIAL MONEY
1,0,06567,Vijay Singh,38.44,10905166,28370272
2,0,06522,Ernie Els,33.63,5787225,17210272
3,0,08793,Tiger Woods,26.63,5365472,20147272
4,0,01810,Phil Mickelson,25.99,5784822,22261272
5,0,20157,Retief Goosen,23.21,3885572,16742272
6,0,24502,Adam Scott,21.62,3724984,17231272
7,0,20766,Padraig Harrington,17.18,2334276,13588272
8,0,21209,Sergio Garcia,16.74,3239215,19348272
9,0,20229,Stewart Cink,16.25,4450270,27394272
10,0,20608,David Howell,12.75,468500,3673272
11,0,06004,Stephen Ames,12.65,3303205,26122272
12,0,01706,Davis Love III,12.51,3075092,24584272
13,0,10423,Mike Weir,12.33,2761536,22403272
14,0,19825,Darren Clarke,11.65,2009818,17249272
15,0,20098,Stuart Appleby,11.61,2949234,25394272
15,0,01473,Todd Hamilton,11.61,3063778,26392272
17,0,01249,John Daly,11.28,2359506,20926272
18,0,06251,Chris DiMarco,11.16,2971842,26638272
19,0,20433,Mark Hensby,10.48,2718765,25944000
20,0,02239,Scott Verplank,9.98,2365592,23695272
21,0,23621,Rory Sabbatini,9.80,2500397,25526272
22,0,02206,David Toms,9.68,2357530,24361272
23,0,01457,Jay Haas,8.92,2071626,23236272
23,0,08075,Jerry Kelly,8.92,2496221,27970272
25,0,12680,Shigeki Maruyama,8.78,2301692,26204272
26,0,24357,K.J. Choi,8.64,2077775,24037272
27,0,24024,Zach Johnson,8.62,2417684,28048272
28,0,01226,Fred Couples,8.46,1396108,16495000
29,0,01945,Kenny Perry,8.45,1952043,23096272
30,0,01724,Jeff Maggert,8.33,1527883,18333000
31,0,10944,Thomas Bjørn,8.20,1050803,12811272
32,0,07457,Steve Flesch,8.18,2461787,30101272
33,0,12510,Chad Campbell,8.07,2264984,28076272
34,0,01920,Craig Parry,8.06,1308585,16228272
35,0,01677,Tom Lehman,7.92,1343276,16954272
36,0,23983,Luke Donald,7.91,1646267,20821272
37,0,12823,Carlos Franco,7.84,1955394,24927000
37,0,01381,Fred Funk,7.84,2103730,26844000
39,0,01527,Scott Hoch,7.67,1239360,16156000
40,0,20848,Ángel Cabrera,7.38,599338,8124000
41,0,20572,Rod Pampling,7.24,1737725,23986272
42,0,02214,Kirk Triplett,7.07,1566425,22141000
43,0,12660,Jesper Parnevik,6.99,1550134,22161000
44,0,20094,Jonathan Kaye,6.82,1695332,24872272
45,0,12782,Tim Herron,6.78,1727576,25465272
46,0,12662,Thomas Levet,6.74,404304,5998272
47,0,21805,Harrison Frazar,6.70,1446763,21582000
48,0,20396,Lee Westwood,6.63,767899,11590272
49,0,01666,Bernhard Langer,6.49,943589,14529000
50,0,20628,Arron Oberholser,6.44,1355433,21033000
51,0,02246,Duffy Waldorf,6.30,1487911,23628000
52,0,25034,James McLean,6.24,57324,918000
53,0,10860,Justin Leonard,6.14,1531022,24953272
54,0,22405,Justin Rose,6.06,1236764,20397000
55,0,07867,Woody Austin,5.92,1495980,25281000
56,0,10885,Robert Allenby,5.90,1513536,25666272
57,0,21961,Charles Howell III,5.88,1703484,28987272
58,0,23320,Ryan Palmer,5.87,1592344,27117000
59,0,23623,Bo Van Pelt,5.81,1553824,26746272
60,0,20472,Alex Cejka,5.72,1313483,22950000
61,0,25364,Paul Casey,5.65,704272,12454272
61,0,21959,Ted Purdy,5.65,1636876,28971000
63,0,20127,Chris Riley,5.57,1292731,23227272
63,0,02101,Joey Sindelar,5.57,1536880,27588000
65,0,12389,Barry Lane,5.52,206801,3748272
66,0,23325,Vaughn Taylor,5.43,1176433,21681000
67,0,25345,Carl Pettersson,5.41,1367961,25270272
68,0,21731,Freddie Jacobson,5.37,1259048,23425272
68,0,22046,Geoff Ogilvy,5.37,1236909,23040000
70,0,12461,Paul McGinley,5.33,310475,5827272
70,0,01941,Tom Pernice Jr.,5.33,1475273,27702000
72,0,01142,Bart Bryant,5.31,962167,18117000
73,0,19906,Gary Evans,5.29,71346,1348272
74,0,21949,Joe Ogilvie,5.27,1443362,27378000
75,0,01682,Wayne Levi,5.22,28162,540000
76,0,01968,Nick Price,5.20,796086,15304272
77,0,02010,Loren Roberts,5.15,998677,19380000
78,0,11032,Frank Lickliter II,5.14,1259233,24494272
79,0,10809,Jim Furyk,5.05,691675,13700272
80,0,20580,Andre Stolz,4.94,808373,16365000
81,0,01320,Bob Estes,4.88,1046064,21448272
81,0,12645,Brent Geiberger,4.88,1259779,25830000
83,0,20382,Stephen Leaney,4.84,1166559,24118272
84,0,23797,Brett Rumford,4.83,58000,1200000
85,0,01707,Steve Lowery,4.76,1191245,25018272
86,0,24925,Jonathan Byrd,4.69,1133164,24156000
87,0,19972,José Coceres,4.63,779196,16839000
87,0,01553,John Huston,4.63,874279,18881272
89,0,23135,Tim Clark,4.58,1108189,24202272
90,0,01619,Skip Kendall,4.56,1206438,26440272
91,0,07223,Brian Bateman,4.53,919254,20313000
92,0,01928,Corey Pavin,4.48,881938,19665000
93,0,23497,Tag Ridings,4.42,623262,14094000
94,0,22548,Patrick Sheehan,4.38,1234344,28152000
95,0,23541,Ben Crane,4.35,1036957,23848000
96,0,06621,Joe Durant,4.21,952547,22617000
97,0,20498,Briny Baird,4.20,1156517,27516000
98,0,06575,Dudley Hart,4.18,854638,20430000
99,0,26950,John Morgan,4.16,487032,11718000
100,0,01948,Tim Petrovic,4.11,1193354,29034000
101,0,24138,Ian Poulter,4.04,401318,9928272
101,0,22293,Heath Slocum,4.04,1066836,26406000
103,0,23165,Takashi Kamiyama,4.03,54305,1348272
104,0,24924,Bill Haas,3.98,315259,7929000
105,0,25349,Tim Wilkinson,3.94,29820,756000
106,0,02104,Jeff Sluman,3.93,1007635,25635000
107,0,06197,Michael Allen,3.91,882872,22581000
107,0,06595,Kevin Sutherland,3.91,928759,23778000
109,0,01157,Tom Byrum,3.90,873139,22365000
110,0,01927,Dennis Paulson,3.88,677034,17460000
111,0,19881,Robert Damron,3.84,933388,24327000
112,0,22348,Nick O'Hern,3.82,88875,2325000
113,0,02223,Bob Tway,3.78,966552,25538272
114,0,10201,Matt Gogel,3.75,817117,21798000
115,0,01329,Brad Faxon,3.72,1016898,27340272
115,0,06515,Shaun Micheel,3.72,949918,25553272
117,0,01577,Lee Janzen,3.69,837481,22689000
