RANK,MOVEMENT,PLAYER_ID,PLAYER,TOTAL MONEY,OFFICIAL MONEY,WGC MONEY ONLY
1,0,20766,Padraig Harrington,$2107276,188227600,22500000
2,0,20396,Lee Westwood,$767899,52689920,24100000
3,0,20848,Ángel Cabrera,$599339,23783857,36150000
4,0,25364,Paul Casey,$552939,51793906,3500000
5,0,20608,David Howell,$468500,1850000,45000000
6,0,24138,Ian Poulter,$401318,17631829,22500000
7,0,24924,Bill Haas,$315259,31525900
8,0,12461,Paul McGinley,$310476,21510052,9537500
9,0,22378,Trevor Immelman,$300560,10955998,19100000
10,0,08635,Colin Montgomerie,$245979,9647863,14950000
11,0,19958,Miguel Angel Jiménez,$238367,6636683,17200000
12,0,27770,Camilo Villegas,$237984,23798400
13,0,20474,Phillip Price,$223749,15074900,7300000
14,0,12389,Barry Lane,$206802,10580190,10100000
15,0,20400,Michael Campbell,$152506,8600606,6650000
16,0,19830,Joakim Haeggman,$145566,10531620,4025000
17,0,21753,Brian Davis,$145250,11025000,3500000
18,0,24389,Jean-Francois Remesy,$112607,7685715,3575000
19,0,25732,S.K. Ho,$109200,1320000,9600000
20,0,24511,Thongchai Jaidee,$95500,0,9550000
21,0,22348,Nick O'Hern,$88875,3425000,5462500
22,0,23688,Scott Drummond,$87100,1235000,7475000
23,0,26497,Casey Wittenberg,$85670,8567000
24,0,24846,Ricky Barnes,$85520,8551955
25,0,22122,Andrew McLardy,$79026,1152600,6750000
26,0,02020,Eduardo Romero,$78750,4375000,3500000
27,0,20218,Shingo Katayama,$78650,1265000,6600000
28,0,20939,Keiichiro Fukabori,$73063,7306320
29,0,19906,Gary Evans,$71346,7134606
30,0,02076,Peter Senior,$69750,0,6975000
31,0,22117,Jyoti Randhawa,$60665,6066540
32,0,23797,Brett Rumford,$58000,0,5800000
33,0,20569,Richard Green,$54625,0,5462500
34,0,23165,Takashi Kamiyama,$54305,5430540
35,0,27649,Brandt Snedeker,$54215,5421500
36,0,26679,Kevin Stadler,$49541,4954100
37,0,23386,David Roesch,$48024,4802400
38,0,20721,Darren Fichardt,$44383,1013250,3425000
39,0,21736,Lian-Wei Zhang,$42572,1207229,3050000
40,0,25572,Graeme McDowell,$42000,0,4200000
41,0,21498,Hideto Tanihara,$41729,4172900
42,0,01326,Nick Faldo,$40460,4046000
43,0,20764,Desvonde Botes,$40250,0,4025000
44,0,22075,Ricardo Gonzalez,$38000,0,3800000
45,0,23042,Kim Felton,$35111,3511125
45,0,23580,Tetsuji Hiratsuka,$35111,3511125
47,0,10821,Toshi Izawa,$35000,0,3500000
48,0,02166,Chip Sullivan,$34250,3425000
49,0,07707,Mike Small,$33360,3336000
50,0,19904,Paul Lawrie,$32663,3266300
51,0,24663,Y.E. Yang,$32500,0,3250000
52,0,06655,Geoffrey Sisk,$30672,3067200
53,0,25349,Tim Wilkinson,$29820,2982000
54,0,21461,Kenneth Ferrie,$27714,2771448
54,0,19983,Andy Oldcorn,$27714,2771448
56,0,20763,Pierre Fulke,$26500,0,2650000
57,0,20099,Doug Barron,$23291,2329111
58,0,06315,Pete Jordan,$23280,2328000
59,0,19795,Kelly Mitchum,$22432,2243200
60,0,27817,Paul Bradshaw,$22404,2240433
60,0,24184,Alastair Forsyth,$22404,2240433
60,0,25522,Sean Whiffin,$22404,2240433
63,0,27708,Jason Hartwick,$21306,2130625
63,0,02191,Tim Thelen,$21306,2130625
65,0,25816,Kevin Durkin,$21197,2119700
66,0,20473,Ignacio Garrido,$19756,1975593
66,0,20832,Raphael Jacquelin,$19756,1975593
68,0,20669,James Kingston,$19101,1910052
69,0,25752,Steve Friesen,$18550,1855000
70,0,08191,Paul Broadhurst,$18539,1853874
70,0,20823,Gary Emerson,$18539,1853874
72,0,08993,Franklin Langham,$18450,1845000
73,0,22379,Mark Foster,$18071,1807059
74,0,21730,Mårten Olander,$17696,1769607
75,0,21727,Martin Erlandsson,$17322,1732155
75,0,22585,Paul Wesselingh,$17322,1732155
77,0,20598,Christian Cévaër,$16760,1675977
78,0,20445,Casey Martin,$15858,1585800
79,0,01086,Roy Biancalana,$11900,1190000
80,0,02036,Jim Rutledge,$11898,1189800
81,0,01224,Jeff Coston,$11800,1180000
82,0,24940,Edward Loar,$11400,1140000
83,0,12716,Charley Hoffman,$11296,1129600
84,0,24494,Erik Compton,$11050,1105000
84,0,20471,Sven Struver,$11050,1105000
86,0,20940,Kenichi Kuboya,$10944,1094400
87,0,23800,Bryce Molder,$10716,1071600
88,0,01560,David Ishii,$10464,1046400
89,0,27615,Chris Nallen,$10366,1036560
90,0,27963,Chris Stroud,$10350,1035000
91,0,24980,Scott Gutschewski,$9858,985800
92,0,12755,Vance Veazey,$9776,977600
93,0,23778,Brad Adamonis,$9713,971250
94,0,21894,Bobby Kalinowski,$9648,964800
95,0,26498,Matt Weibring,$9324,932400
96,0,21581,Dirk Ayers,$8550,855000
97,0,26476,Chez Reavie,$7840,784000
98,0,27146,Adam Meyer,$7490,749000
99,0,21284,Hiroyuki Fujita,$7388,738750
99,0,27768,Brock Mackenzie,$7388,738750
101,0,27702,Matt Hendrix,$6750,675000
102,0,25741,Nick Gilliam,$6510,651000
103,0,22363,Don Yrene,$6480,648000
104,0,10195,Tim Conley,$6420,642000
105,0,27561,Nick Flanagan,$6180,618000
