RANK,MOVEMENT,PLAYER_ID,PLAYER,VALUE,ATTEMPTS(<= 5'),TOT MADE (>=20'),TOT MADE (<= 5')
1,0,20593,Greg Chalmers,102.63,949,39,935
2,0,06004,Stephen Ames,101.62,617,27,600
3,0,34261,Scott Langley,101.18,935,38,908
4,0,21099,David Lynn,101.15,785,24,770
4,0,25572,Graeme McDowell,101.15,522,19,509
6,0,23800,Bryce Molder,101.10,1001,37,975
7,0,23108,Matt Kuchar,101.02,981,32,959
7,0,28135,Aaron Watkins,101.02,491,16,480
9,0,29425,Andrew Svoboda,100.98,508,15,498
10,0,28475,Jeff Overton,100.97,1032,35,1007
11,0,22792,Peter Hanson,100.88,453,16,441
12,0,06527,Steve Stricker,100.81,493,18,479
13,0,22371,Aaron Baddeley,100.71,850,31,825
14,0,21731,Freddie Jacobson,100.63,638,20,622
15,0,21209,Sergio Garcia,100.59,677,26,655
16,0,23409,James Driscoll,100.57,871,31,845
17,0,27963,Chris Stroud,100.54,1108,34,1080
18,0,29518,Brendan Steele,100.53,1127,32,1101
18,0,26951,Johnson Wagner,100.53,748,25,727
20,0,24024,Zach Johnson,100.52,956,36,925
21,0,23320,Ryan Palmer,100.51,976,31,950
22,0,27649,Brandt Snedeker,100.49,811,32,783
23,0,20443,Jin Park,100.48,630,19,614
24,0,27095,Nick Watney,100.47,1055,36,1024
25,0,34099,Harris English,100.44,1148,40,1113
25,0,01320,Bob Estes,100.44,903,29,878
27,0,21961,Charles Howell III,100.43,1155,38,1122
28,0,24781,Hunter Mahan,100.41,972,27,949
29,0,06573,Brandt Jobe,100.39,761,21,743
30,0,01810,Phil Mickelson,100.38,794,27,770
30,0,34360,Patrick Reed,100.38,1050,32,1022
32,0,27408,Martin Kaymer,100.34,596,20,578
33,0,34098,Russell Henley,100.33,910,38,875
34,0,27895,Jonas Blixt,100.31,971,30,944
35,0,33141,Keegan Bradley,100.29,1034,31,1006
36,0,31323,Gary Woodland,100.26,1165,34,1134
37,0,36884,Ben Kohles,100.23,862,25,839
38,0,20098,Stuart Appleby,100.18,1134,38,1098
38,0,30926,Chris Kirk,100.18,1111,34,1079
40,0,28237,Rory McIlroy,100.17,591,21,571
41,0,32102,Rickie Fowler,100.12,819,30,790
41,0,23497,Tag Ridings,100.12,858,28,831
43,0,27436,Graham DeLaet,100.08,1177,40,1138
44,0,20104,Ken Duke,100.00,1083,36,1047
44,0,25345,Carl Pettersson,100.00,907,31,876
44,0,32150,Michael Thompson,100.00,765,22,743
47,0,24924,Bill Haas,99.90,981,33,947
48,0,22806,Doug LaBelle II,99.88,812,29,782
49,0,26331,Charl Schwartzel,99.86,736,29,706
50,0,12782,Tim Herron,99.84,638,21,616
51,0,35139,Richard Lee,99.80,1007,28,977
51,0,27214,Kevin Streelman,99.80,977,30,945
53,0,10809,Jim Furyk,99.79,939,26,911
54,0,20848,Ángel Cabrera,99.76,832,30,800
54,0,30711,Colt Knost,99.76,832,30,800
56,0,33461,Morgan Hoffmann,99.73,739,27,710
57,0,10860,Justin Leonard,99.72,1090,25,1062
58,0,06522,Ernie Els,99.71,694,15,677
59,0,26476,Chez Reavie,99.69,959,32,924
60,0,08793,Tiger Woods,99.67,613,18,593
61,0,28089,Jason Day,99.66,891,28,860
62,0,24138,Ian Poulter,99.65,567,12,553
63,0,23623,Bo Van Pelt,99.62,783,21,759
64,0,28307,Matt Every,99.56,1141,33,1103
65,0,28500,Martin Flores,99.55,1106,33,1068
66,0,23983,Luke Donald,99.53,638,15,620
66,0,31557,Jim Herman,99.53,636,18,615
68,0,29479,Scott Brown,99.51,811,18,789
69,0,27933,John Merrick,99.50,992,31,956
70,0,30925,Dustin Johnson,99.46,743,21,718
71,0,37273,Derek Ernst,99.44,714,23,687
71,0,34431,Robert Streb,99.44,898,22,871
73,0,29420,Billy Horschel,99.39,1149,32,1110
74,0,23638,Brendon de Jonge,99.35,1388,27,1352
75,0,25818,Scott Piercy,99.33,902,28,868
76,0,22913,John Rollins,99.30,1001,32,962
76,0,26679,Kevin Stadler,99.30,1005,31,967
78,0,32200,Roberto Castro,99.29,1266,33,1224
79,0,32448,James Hahn,99.27,965,23,935
80,0,22621,Ben Curtis,99.26,675,18,652
81,0,23541,Ben Crane,99.24,786,21,759
81,0,08075,Jerry Kelly,99.24,917,25,885
83,0,12716,Charley Hoffman,99.23,1037,26,1003
84,0,25834,Daniel Summerhays,99.20,1119,29,1081
84,0,26497,Casey Wittenberg,99.20,878,24,847
86,0,23135,Tim Clark,99.19,620,18,597
86,0,21878,Mark Wilson,99.19,739,20,713
88,0,29740,Brad Fritsch,99.18,971,26,937
88,0,23353,J.J. Henry,99.18,1097,27,1061
90,0,28092,D.H. Lee,99.17,843,27,809
91,0,21753,Brian Davis,99.14,1162,27,1125
92,0,34409,David Lingmerth,99.13,807,22,778
93,0,26300,Matt Jones,99.12,1023,26,988
93,0,31202,William McGirt,99.12,1025,30,986
93,0,28780,Nicholas Thompson,99.12,1256,44,1201
96,0,24227,Justin Bolli,99.10,670,14,650
97,0,27330,Josh Teater,99.09,881,22,851
98,0,21528,Henrik Stenson,99.07,642,19,617
99,0,12510,Chad Campbell,99.06,1059,30,1019
99,0,10213,Dicky Pride,99.06,850,18,824
101,0,30750,Tommy Gainey,99.05,1056,29,1017
102,0,24494,Erik Compton,99.04,934,29,896
103,0,31560,Brian Stuard,99.02,921,22,890
104,0,25632,Jimmy Walker,98.96,1056,28,1017
105,0,24399,Scott Gardiner,98.95,760,24,728
106,0,27644,Brian Harman,98.91,1102,27,1063
107,0,19970,Robert Karlsson,98.90,546,13,527
107,0,22056,Cameron Percy,98.90,815,16,790
109,0,24507,Jason Bohn,98.82,934,24,899
110,0,19846,Brian Gay,98.81,1009,20,977
111,0,34046,Jordan Spieth,98.75,957,35,910
112,0,25444,Justin Hicks,98.74,949,26,911
113,0,26758,David Hearn,98.72,1017,28,976
114,0,02206,David Toms,98.68,455,10,439
115,0,23452,Nicolas Colsaerts,98.67,526,12,507
116,0,27503,Steve LeBrun,98.66,748,17,721
117,0,20766,Padraig Harrington,98.63,511,17,487
117,0,20160,Charlie Wi,98.63,948,27,908
119,0,28259,Sangmoon Bae,98.61,1007,43,950
120,0,24502,Adam Scott,98.60,644,13,622
121,0,32698,Bobby Gates,98.58,562,10,544
121,0,30944,Jason Kokrak,98.58,1059,31,1013
121,0,27556,Ted Potter Jr.,98.58,777,29,737
124,0,20645,John Senden,98.56,902,21,868
125,0,27936,Martin Laird,98.55,759,22,726
126,0,25562,Andres Romero,98.53,746,20,715
126,0,33419,Cameron Tringale,98.53,1088,31,1041
128,0,24140,Sean O'Hair,98.52,744,18,715
129,0,30163,Henrik Norlander,98.50,866,25,828
129,0,25336,Alistair Presnell,98.50,666,19,637
131,0,28679,Fabián Gómez,98.49,797,15,770
132,0,25804,Bubba Watson,98.48,854,15,826
133,0,23788,D.J. Trahan,98.43,573,23,541
134,0,28310,Lee Williams,98.42,759,19,728
135,0,22295,Darron Stiles,98.39,620,16,594
135,0,26289,Boo Weekley,98.39,1244,38,1186
137,0,23621,Rory Sabbatini,98.35,1029,27,985
138,0,24490,George McNeill,98.26,922,24,882
139,0,24357,K.J. Choi,98.23,905,21,868
140,0,24358,Robert Garrigus,98.22,729,14,702
141,0,34021,Bud Cauley,98.18,826,17,794
142,0,08725,Tom Gillis,98.17,874,23,835
143,0,24361,Pat Perez,98.10,945,25,902
144,0,23325,Vaughn Taylor,98.09,575,7,557
145,0,27770,Camilo Villegas,98.07,934,24,892
146,0,32366,Kevin Chappell,98.06,979,19,941
147,0,33418,Shawn Stefani,98.05,717,12,691
148,0,22405,Justin Rose,98.04,664,12,639
149,0,27120,Troy Matteson,98.03,863,20,826
150,0,25274,Steven Bowditch,98.02,859,24,818
151,0,01116,Michael Bradley,98.00,649,18,618
152,0,30692,Scott Stallings,97.96,933,20,894
153,0,29289,S.Y. Noh,97.93,920,22,879
153,0,20572,Rod Pampling,97.93,531,5,515
155,0,26596,Ryan Moore,97.85,839,22,799
156,0,01724,Jeff Maggert,97.74,842,25,798
157,0,06567,Vijay Singh,97.69,735,14,704
158,0,24663,Y.E. Yang,97.67,601,13,574
159,0,29221,Webb Simpson,97.63,1011,25,962
159,0,10423,Mike Weir,97.63,675,13,646
161,0,22961,David Mathis,97.56,902,21,859
162,0,27129,Luke List,97.54,773,18,736
163,0,10885,Robert Allenby,97.51,764,19,726
164,0,20691,Greg Owen,97.48,991,19,947
165,0,22046,Geoff Ogilvy,97.46,630,21,593
166,0,28455,Will Claxton,97.44,858,15,821
167,0,34174,John Huh,97.32,1081,24,1028
168,0,33869,Eric Meierdierks,97.28,551,9,527
169,0,20229,Stewart Cink,97.24,833,22,788
170,0,25240,D.A. Points,97.16,986,26,932
171,0,26851,Marc Leishman,97.07,955,24,903
172,0,25686,Jason Dufner,97.05,880,19,835
173,0,22378,Trevor Immelman,97.01,938,18,892
174,0,35539,Luke Guthrie,96.99,963,36,898
175,0,20396,Lee Westwood,96.90,774,18,732
176,0,32334,Charlie Beljan,96.83,819,19,774
176,0,30852,Ryo Ishikawa,96.83,819,21,772
178,0,24846,Ricky Barnes,96.30,1000,20,943
179,0,30110,Kyle Stanley,96.28,888,22,833
180,0,25900,Lucas Glover,95.42,807,17,753
