RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL HIT,TOTAL ATTEMPTS,RTP SCORE
1,0,54576,Patrick Fishburn,78.08%,787,1008,-246.00
2,0,46046,Scottie Scheffler,77.60%,866,1116,-343.00
3,0,52375,Doug Ghim,77.50%,1102,1422,-348.00
4,0,50095,Austin Smotherman,76.75%,525,684,-163.00
5,0,35310,Lanto Griffin,76.72%,801,1044,-259.00
6,0,39546,Keith Mitchell,76.32%,1044,1368,-383.00
7,0,27064,Jhonattan Vegas,76.23%,837,1098,-270.00
8,0,32757,Patton Kizzire,76.10%,726,954,-242.00
9,0,46414,Aaron Rai,76.07%,1027,1350,-318.00
10,0,45242,Kevin Yu,75.76%,900,1188,-270.00
11,0,30163,Henrik Norlander,75.74%,668,882,-219.00
12,0,39997,Corey Conners,75.71%,1063,1404,-362.00
13,0,47988,Nick Hardy,75.66%,1035,1368,-330.00
14,0,34587,Chan Kim,75.20%,961,1278,-299.00
15,0,51696,Rico Hoey,74.96%,904,1206,-315.00
16,0,29725,Tony Finau,74.88%,957,1278,-343.00
17,0,40026,Daniel Berger,74.70%,806,1079,-257.00
18,0,39324,J.J. Spaun,74.66%,981,1314,-330.00
19,0,34076,Joel Dahmen,74.51%,979,1314,-277.00
20,0,48117,Kurt Kitayama,74.44%,938,1260,-321.00
21,0,34255,Joseph Bramlett,74.31%,963,1296,-305.00
22,1,34021,Bud Cauley,74.29%,682,918,-193.00
23,-1,51997,Andrew Novak,74.10%,1027,1386,-345.00
24,-1,48081,Xander Schauffele,74.07%,920,1242,-342.00
25,0,36871,Matt NeSmith,74.01%,826,1116,-221.00
26,0,59143,Mac Meissner,73.85%,864,1170,-284.00
27,2,29535,Brice Garnett,73.51%,569,774,-166.00
28,2,40006,Erik van Rooyen,73.49%,926,1260,-327.00
29,-1,39975,Michael Kim,73.46%,833,1134,-277.00
30,1,47663,Kevin Dougherty,73.44%,661,900,-205.00
31,4,48887,Matt Wallace,73.37%,766,1044,-241.00
32,-5,52513,Carson Young,73.35%,977,1332,-316.00
33,0,54591,Ben Griffin,73.30%,1200,1637,-398.00
34,0,51634,Sahith Theegala,73.27%,1121,1530,-391.00
35,1,55893,Sam Stevens,73.19%,1054,1440,-344.00
36,1,46340,Alex Smalley,73.16%,777,1062,-244.00
37,-5,52955,Ludvig Åberg,73.15%,869,1188,-317.00
38,0,28775,Nate Lashley,73.12%,816,1116,-238.00
39,0,51287,Ryo Hisatsune,73.02%,920,1260,-274.00
40,0,25900,Lucas Glover,72.94%,1011,1386,-339.00
41,1,36699,Patrick Rodgers,72.91%,1168,1602,-376.00
42,-1,51890,Greyson Sigg,72.81%,865,1188,-212.00
43,2,35461,Beau Hossler,72.71%,1034,1422,-354.00
43,0,58168,Davis Thompson,72.71%,1047,1440,-347.00
45,-2,60067,Joe Highsmith,72.67%,758,1043,-264.00
46,0,33948,Byeong Hun An,72.64%,863,1188,-305.00
47,0,60004,Jacob Bridgeman,72.59%,784,1080,-281.00
48,0,48867,Matti Schmid,72.57%,823,1134,-284.00
49,3,46442,Maverick McNealy,72.29%,1028,1422,-364.00
50,0,54628,Lee Hodges,72.16%,1117,1548,-324.00
50,-1,40162,Justin Lower,72.16%,1078,1494,-332.00
52,2,28237,Rory McIlroy,72.13%,805,1116,-304.00
53,-2,32333,Kevin Tway,72.10%,584,810,-178.00
54,4,36884,Ben Kohles,72.07%,947,1314,-262.00
