RANK,MOVEMENT,PLAYER_ID,PLAYER,%,GREENS HIT,# HOLES,RELATIVE/PAR
1,0,54576,Patrick Fishburn,74.21%,935,1260,-0.28
2,0,50095,Austin Smotherman,73.17%,698,954,-0.26
3,0,46046,Scottie Scheffler,73.16%,935,1278,-0.37
4,0,52375,Doug Ghim,72.65%,1190,1638,-0.28
5,0,35310,Lanto Griffin,72.53%,940,1296,-0.28
6,0,27064,Jhonattan Vegas,72.30%,937,1296,-0.31
7,0,32757,Patton Kizzire,71.95%,803,1116,-0.30
8,0,30163,Henrik Norlander,71.72%,852,1188,-0.29
9,0,46414,Aaron Rai,71.58%,1108,1548,-0.28
10,0,45242,Kevin Yu,71.54%,940,1314,-0.27
11,0,51890,Greyson Sigg,71.49%,978,1368,-0.22
12,0,40026,Daniel Berger,71.20%,974,1368,-0.29
13,0,51997,Andrew Novak,71.15%,1063,1494,-0.31
14,0,29535,Brice Garnett,71.06%,614,864,-0.27
15,0,34076,Joel Dahmen,71.04%,1138,1602,-0.26
16,0,51696,Rico Hoey,70.90%,1072,1512,-0.31
16,0,39324,J.J. Spaun,70.90%,1021,1440,-0.30
18,0,34587,Chan Kim,70.69%,1018,1440,-0.29
19,0,46340,Alex Smalley,70.65%,941,1332,-0.29
20,0,36871,Matt NeSmith,70.60%,915,1296,-0.23
21,0,34021,Bud Cauley,70.58%,686,972,-0.25
22,0,47988,Nick Hardy,70.50%,1104,1566,-0.28
23,0,51287,Ryo Hisatsune,70.44%,1065,1512,-0.28
23,0,39546,Keith Mitchell,70.44%,1027,1458,-0.31
25,0,60067,Joe Highsmith,70.32%,886,1260,-0.32
26,0,39997,Corey Conners,70.31%,1101,1566,-0.30
27,0,32333,Kevin Tway,70.28%,759,1080,-0.29
28,0,39975,Michael Kim,70.16%,1023,1458,-0.32
29,0,39327,Ben Silverman,70.09%,984,1404,-0.28
30,0,51349,Nico Echavarria,70.08%,1110,1584,-0.32
31,0,55893,Sam Stevens,70.01%,1235,1764,-0.29
32,0,36884,Ben Kohles,70.00%,1071,1530,-0.26
33,0,27139,David Skinns,69.99%,1033,1476,-0.26
34,0,59143,Mac Meissner,69.98%,907,1296,-0.30
35,0,28775,Nate Lashley,69.97%,932,1332,-0.25
35,0,48081,Xander Schauffele,69.97%,995,1422,-0.33
37,0,34255,Joseph Bramlett,69.91%,1057,1512,-0.28
38,0,36699,Patrick Rodgers,69.83%,1257,1800,-0.29
38,0,40006,Erik van Rooyen,69.83%,993,1422,-0.32
40,0,54591,Ben Griffin,69.79%,1407,2016,-0.30
41,0,48084,Wesley Bryan,69.78%,628,900,-0.34
42,0,48867,Matti Schmid,69.73%,979,1404,-0.31
43,0,40162,Justin Lower,69.59%,1215,1746,-0.30
44,0,52513,Carson Young,69.57%,1077,1548,-0.30
45,0,35461,Beau Hossler,69.54%,1064,1530,-0.31
