RANK,MOVEMENT,PLAYER_ID,PLAYER,% MAKES BOGEY,BOGEYS,HOLES PLAYED
1,0,28237,Rory McIlroy,12.42,152,1224
2,0,29221,Webb Simpson,12.54,176,1404
3,0,35450,Patrick Cantlay,12.58,163,1296
4,0,30911,Tommy Fleetwood,12.76,147,1152
4,0,21961,Charles Howell III,12.76,209,1638
6,0,23108,Matt Kuchar,13.13,189,1440
7,0,25818,Scott Piercy,13.24,205,1548
8,0,10809,Jim Furyk,13.40,164,1224
9,0,25900,Lucas Glover,13.46,218,1620
10,0,23325,Vaughn Taylor,13.49,221,1638
11,0,36689,Brooks Koepka,13.51,180,1332
12,0,48081,Xander Schauffele,13.66,182,1332
13,0,26300,Matt Jones,13.69,207,1512
14,0,39971,Sungjae Im,13.70,291,2124
14,0,32839,Hideki Matsuyama,13.70,217,1584
16,0,33448,Justin Thomas,13.73,178,1296
17,0,34021,Bud Cauley,13.75,203,1476
18,0,35732,Wes Roach,13.84,157,1134
19,0,47993,Denny McCarthy,13.92,203,1458
20,0,33419,Cameron Tringale,13.93,163,1170
21,0,25364,Paul Casey,14.00,189,1350
22,0,22371,Aaron Baddeley,14.04,139,990
22,0,23621,Rory Sabbatini,14.04,235,1674
24,0,46970,Jon Rahm,14.05,172,1224
25,0,34360,Patrick Reed,14.08,223,1584
26,0,37275,Sam Ryder,14.12,183,1296
27,0,28775,Nate Lashley,14.13,173,1224
28,0,29725,Tony Finau,14.15,214,1512
29,0,27330,Josh Teater,14.18,171,1206
30,0,33122,Russell Knox,14.20,184,1296
30,0,26851,Marc Leishman,14.20,184,1296
32,0,32102,Rickie Fowler,14.25,195,1368
32,0,33418,Shawn Stefani,14.25,195,1368
34,0,32200,Roberto Castro,14.27,185,1296
35,0,51766,Wyndham Clark,14.31,219,1530
35,0,29420,Billy Horschel,14.31,237,1656
37,0,28089,Jason Day,14.32,165,1152
38,0,29478,Kevin Kisner,14.34,222,1548
39,0,26951,Johnson Wagner,14.37,150,1044
40,0,27936,Martin Laird,14.38,207,1440
41,0,46402,Talor Gooch,14.40,140,972
42,0,29535,Brice Garnett,14.44,221,1530
42,0,47347,Adam Schenk,14.44,260,1800
44,0,29970,Dylan Frittelli,14.47,211,1458
45,0,19803,Ryan Armour,14.49,240,1656
46,0,27649,Brandt Snedeker,14.53,259,1782
47,0,27214,Kevin Streelman,14.54,212,1458
48,0,32640,Troy Merritt,14.57,160,1098
49,0,34099,Harris English,14.59,239,1638
50,0,39997,Corey Conners,14.60,226,1548
51,0,30944,Jason Kokrak,14.63,237,1620
52,0,45486,Joaquin Niemann,14.64,253,1728
53,0,32333,Kevin Tway,14.65,211,1440
54,0,21528,Henrik Stenson,14.67,132,900
55,0,34098,Russell Henley,14.76,186,1260
56,0,45526,Abraham Ancer,14.77,234,1584
57,0,36799,Stephan Jaeger,14.79,189,1278
58,0,31560,Brian Stuard,14.83,251,1692
59,0,49771,J.T. Poston,14.87,257,1728
59,0,22405,Justin Rose,14.87,166,1116
59,0,25493,Nick Taylor,14.87,249,1674
62,0,47959,Bryson DeChambeau,14.89,193,1296
63,0,39324,J.J. Spaun,14.91,220,1476
63,0,37189,Harold Varner III,14.91,220,1476
65,0,40009,Dominic Bozzelli,14.93,180,1206
66,0,24925,Jonathan Byrd,14.97,132,882
66,0,37455,Si Woo Kim,14.97,221,1476
66,0,33667,Carlos Ortiz,14.97,221,1476
69,0,34466,Peter Malnati,14.99,224,1494
69,0,27095,Nick Watney,14.99,224,1494
71,0,30925,Dustin Johnson,15.00,189,1260
72,0,32150,Michael Thompson,15.02,192,1278
73,0,29908,C.T. Pan,15.04,222,1476
74,0,33948,Byeong Hun An,15.08,209,1386
74,0,06522,Ernie Els,15.08,133,882
76,0,26596,Ryan Moore,15.09,201,1332
77,0,25572,Graeme McDowell,15.10,193,1278
78,0,40026,Daniel Berger,15.15,180,1188
79,0,24502,Adam Scott,15.21,167,1098
80,0,45157,Cam Davis,15.28,198,1296
80,0,26329,Louis Oosthuizen,15.28,176,1152
82,0,46523,Joey Garber,15.30,157,1026
82,0,24924,Bill Haas,15.30,190,1242
84,0,23320,Ryan Palmer,15.32,182,1188
85,0,26476,Chez Reavie,15.34,254,1656
86,0,48822,Sebastián Muñoz,15.35,221,1440
86,0,34431,Robert Streb,15.35,199,1296
88,0,35376,Roberto Díaz,15.38,180,1170
89,0,28679,Fabián Gómez,15.41,172,1116
90,0,40115,Adam Svensson,15.42,186,1206
91,0,25198,Francesco Molinari,15.43,150,972
92,0,47128,Richy Werenski,15.46,231,1494
93,0,31323,Gary Woodland,15.48,234,1512
94,0,29479,Scott Brown,15.51,229,1476
95,0,49303,Anders Albertson,15.54,179,1152
95,0,33410,Andrew Landry,15.54,207,1332
97,0,34256,Andrew Putnam,15.57,213,1368
98,0,23353,J.J. Henry,15.60,146,936
99,0,24138,Ian Poulter,15.61,163,1044
100,0,27895,Jonas Blixt,15.64,214,1368
