RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG DTP,TOTAL DISTANCE (FEET),# OF SHOTS,SCRAMBLING RANK
1,0,24138,Ian Poulter,6' 0",1943.500,324,4
2,0,01320,Bob Estes,6' 1",2867.333,471,28
2,0,26679,Kevin Stadler,6' 1",2075.750,339,33
4,0,01132,Mark Brooks,6' 2",1746.917,284,10
4,0,06527,Steve Stricker,6' 2",2545.167,412,2
6,0,06251,Chris DiMarco,6' 4",3738.917,592,15
6,0,10809,Jim Furyk,6' 4",2683.667,423,8
6,0,19846,Brian Gay,6' 4",3498.500,552,7
6,0,20766,Padraig Harrington,6' 4",2354.000,371,11
6,0,20572,Rod Pampling,6' 4",2778.000,439,74
6,0,10423,Mike Weir,6' 4",2923.583,461,14
12,0,23135,Tim Clark,6' 5",2320.667,362,19
13,0,12510,Chad Campbell,6' 6",2912.250,447,67
13,0,24024,Zach Johnson,6' 6",3179.000,492,31
13,0,08075,Jerry Kelly,6' 6",3518.417,541,45
13,0,01810,Phil Mickelson,6' 6",2351.333,364,109
13,0,01941,Tom Pernice Jr.,6' 6",3507.167,538,12
13,0,25632,Jimmy Walker,6' 6",3044.667,469,27
13,0,08793,Tiger Woods,6' 6",2081.083,322,1
20,0,10885,Robert Allenby,6' 7",2403.250,364,56
20,0,20498,Briny Baird,6' 7",2827.417,428,126
20,0,23541,Ben Crane,6' 7",3615.583,548,32
20,0,10860,Justin Leonard,6' 7",3089.750,471,63
20,0,23800,Bryce Molder,6' 7",2080.000,317,37
20,0,01928,Corey Pavin,6' 7",2386.667,362,80
20,0,20127,Chris Riley,6' 7",2989.000,456,9
20,0,22405,Justin Rose,6' 7",2617.583,400,87
20,0,22295,Darron Stiles,6' 7",1888.917,287,133
20,0,10425,Jay Williamson,6' 7",2219.417,337,86
30,0,23108,Matt Kuchar,6' 8",3320.833,500,3
31,0,20098,Stuart Appleby,6' 9",3095.333,457,160
31,0,21731,Freddie Jacobson,6' 9",3624.333,538,51
31,0,26300,Matt Jones,6' 9",2000.917,297,22
34,0,20472,Alex Cejka,6' 10",3240.500,476,108
34,0,21753,Brian Davis,6' 10",4430.333,651,95
34,0,23983,Luke Donald,6' 10",2876.417,421,20
34,0,25686,Jason Dufner,6' 10",3604.667,527,52
34,0,06522,Ernie Els,6' 10",2657.417,390,59
34,0,22348,Nick O'Hern,6' 10",3641.833,535,70
34,0,06567,Vijay Singh,6' 10",2513.917,366,147
34,0,08845,Scott Sterling,6' 10",1645.667,242,44
34,0,02214,Kirk Triplett,6' 10",2603.333,380,24
34,0,26498,Matt Weibring,6' 10",2484.917,363,42
34,0,12602,Dean Wilson,6' 10",3090.417,453,119
34,0,21878,Mark Wilson,6' 10",4036.833,591,21
46,0,23778,Brad Adamonis,6' 11",2982.333,433,36
46,0,24357,K.J. Choi,6' 11",2297.417,331,141
46,0,07457,Steve Flesch,6' 11",2825.833,407,50
46,0,22892,Jason Gore,6' 11",2971.583,428,127
46,0,23718,Nathan Green,6' 11",4682.917,673,40
46,0,12716,Charley Hoffman,6' 11",4359.333,628,79
46,0,01577,Lee Janzen,6' 11",2952.167,427,66
46,0,26695,Michael Letzig,6' 11",4336.500,630,29
46,0,27060,John Mallinger,6' 11",3419.500,495,104
46,0,24449,Parker McLachlin,6' 11",3629.500,527,98
46,0,25396,Kevin Na,6' 11",3885.750,561,6
46,0,22046,Geoff Ogilvy,6' 11",2895.417,417,62
46,0,28475,Jeff Overton,6' 11",4126.000,597,95
46,0,07749,Brett Quigley,6' 11",3451.917,498,76
46,0,22548,Patrick Sheehan,6' 11",1645.333,238,23
61,0,20593,Greg Chalmers,7' 0",3500.167,499,55
61,0,01226,Fred Couples,7' 0",1904.750,271,175
61,0,20104,Ken Duke,7' 0",3658.833,523,53
61,0,21961,Charles Howell III,7' 0",4041.083,575,118
61,0,29718,Anthony Kim,7' 0",3151.917,452,124
61,0,01677,Tom Lehman,7' 0",1341.500,191,150
61,0,02206,David Toms,7' 0",3515.917,500,47
61,0,27770,Camilo Villegas,7' 0",2658.083,379,129
69,0,12652,Cameron Beckman,7' 1",3498.333,496,77
69,0,24507,Jason Bohn,7' 1",3492.333,493,163
69,0,20848,Ángel Cabrera,7' 1",2071.583,292,117
69,0,08931,Glen Day,7' 1",2873.833,407,43
69,0,20157,Retief Goosen,7' 1",2960.333,418,64
69,0,26881,Jarrod Lyle,7' 1",2454.833,345,65
69,0,01766,Billy Mayfair,7' 1",3274.917,463,169
69,0,01948,Tim Petrovic,7' 1",4351.833,614,5
69,0,26476,Chez Reavie,7' 1",3261.500,463,71
69,0,29221,Webb Simpson,7' 1",4443.417,631,17
69,0,27649,Brandt Snedeker,7' 1",3054.417,429,25
