RANK,MOVEMENT,PLAYER_ID,PLAYER,%,PAR OR BETTER,MISSED GIR
1,0,20628,Arron Oberholser,67.28,327,486
2,0,20127,Chris Riley,65.65,409,623
3,0,06567,Vijay Singh,64.86,360,555
4,0,01928,Corey Pavin,63.90,377,590
5,0,01938,David Peoples,63.74,334,524
6,0,10809,Jim Furyk,63.33,342,540
7,0,06573,Brandt Jobe,63.31,283,447
8,0,20229,Stewart Cink,63.26,396,626
9,0,02104,Jeff Sluman,63.25,370,585
10,0,01361,Dan Forsman,63.10,313,496
11,0,07721,Pat Bates,62.70,385,614
12,0,06527,Steve Stricker,62.62,253,404
13,0,10423,Mike Weir,62.47,288,461
14,0,01378,David Frost,62.45,326,522
14,0,02214,Kirk Triplett,62.45,311,498
16,0,06643,Paul Goydos,62.15,330,531
17,0,10425,Jay Williamson,62.09,362,583
18,0,01968,Nick Price,62.04,255,411
19,0,07749,Brett Quigley,61.87,331,535
19,0,22548,Patrick Sheehan,61.87,383,619
21,0,01457,Jay Haas,61.84,329,532
22,0,19881,Robert Damron,61.83,392,634
23,0,01945,Kenny Perry,61.78,333,539
24,0,20098,Stuart Appleby,61.70,327,530
25,0,02010,Loren Roberts,61.63,347,563
26,0,12782,Tim Herron,61.58,375,609
27,0,01619,Skip Kendall,61.57,407,661
28,0,08075,Jerry Kelly,61.46,362,589
28,0,01941,Tom Pernice Jr.,61.46,405,659
30,0,11011,Mike Sposa,61.31,263,429
31,0,20572,Rod Pampling,61.28,307,501
32,0,06332,Neal Lancaster,61.11,385,630
33,0,06004,Stephen Ames,61.10,311,509
34,0,01161,Mark Calcavecchia,61.03,332,544
35,0,01948,Tim Petrovic,60.97,389,638
36,0,08633,Per-Ulrik Johansson,60.95,359,589
37,0,22046,Geoff Ogilvy,60.89,316,519
38,0,10860,Justin Leonard,60.81,287,472
39,0,20548,Hidemichi Tanaka,60.78,389,640
40,0,01329,Brad Faxon,60.76,384,632
41,0,01157,Tom Byrum,60.75,387,637
42,0,01381,Fred Funk,60.65,390,643
43,0,21806,Paul Gow,60.62,234,386
43,0,20436,Garrett Willis,60.62,374,617
45,0,02239,Scott Verplank,60.57,341,563
46,0,01723,Andrew Magee,60.55,307,507
47,0,10213,Dicky Pride,60.53,273,451
48,0,12645,Brent Geiberger,60.49,196,324
49,0,10201,Matt Gogel,60.47,286,473
50,0,07457,Steve Flesch,60.44,388,642
51,0,20771,Steven Alker,60.41,351,581
51,0,02002,John Riegger,60.41,177,293
53,0,02206,David Toms,60.39,282,467
54,0,01024,Billy Andrade,60.31,386,640
55,0,06522,Ernie Els,60.29,205,340
56,0,08931,Glen Day,60.28,349,579
57,0,08793,Tiger Woods,60.16,231,384
58,0,12680,Shigeki Maruyama,60.15,323,537
59,0,19846,Brian Gay,60.00,393,655
60,0,20573,Scott Laycock,59.91,269,449
61,0,08123,Jeff Brehaut,59.90,351,586
61,0,06575,Dudley Hart,59.90,251,419
63,0,22371,Aaron Baddeley,59.87,285,476
64,0,06595,Kevin Sutherland,59.85,322,538
65,0,26420,Richard Johnson,59.79,342,572
66,0,23541,Ben Crane,59.76,355,594
67,0,20099,Doug Barron,59.73,350,586
68,0,21961,Charles Howell III,59.70,397,665
69,0,20645,John Senden,59.69,342,573
70,0,23036,Chris Anderson,59.61,369,619
71,0,01706,Davis Love III,59.59,264,443
72,0,01475,Donnie Hammond,59.58,339,569
73,0,20498,Briny Baird,59.52,325,546
74,0,10885,Robert Allenby,59.50,263,442
75,0,01766,Billy Mayfair,59.46,377,634
76,0,20623,Gavin Coles,59.33,283,477
77,0,06078,Esteban Toledo,59.29,386,651
78,0,10107,Deane Pappas,59.24,298,503
79,0,01761,Len Mattiace,59.22,382,645
80,0,10585,Scott McCarron,59.21,315,532
81,0,01175,Jim Carter,59.08,361,611
82,0,01320,Bob Estes,59.00,318,539
82,0,12705,Cliff Kresge,59.00,364,617
84,0,20029,Notah Begay III,58.88,348,591
85,0,01388,Robert Gamez,58.85,399,678
86,0,02223,Bob Tway,58.75,272,463
87,0,20094,Jonathan Kaye,58.64,302,515
88,0,12652,Cameron Beckman,58.61,286,488
89,0,21633,Steve Allan,58.59,191,326
90,0,08545,Glen Hnatiuk,58.52,316,540
91,0,12602,Dean Wilson,58.49,310,530
92,0,23353,J.J. Henry,58.26,314,539
93,0,24925,Jonathan Byrd,58.12,383,659
94,0,06251,Chris DiMarco,58.08,320,551
95,0,01139,Olin Browne,58.07,385,663
96,0,23108,Matt Kuchar,58.06,227,391
97,0,20121,Todd Fischer,58.05,364,627
97,0,20157,Retief Goosen,58.05,202,348
99,0,20095,Carl Paulson,58.01,355,612
100,0,12823,Carlos Franco,58.00,319,550
101,0,07867,Woody Austin,57.83,347,600
102,0,06617,Brian Henninger,57.82,218,377
103,0,02170,Hal Sutton,57.78,260,450
104,0,21805,Harrison Frazar,57.75,287,497
105,0,23135,Tim Clark,57.73,280,485
106,0,23338,David Gossett,57.72,299,518
106,0,24361,Pat Perez,57.72,355,615
108,0,24357,K.J. Choi,57.53,359,624
109,0,22295,Darron Stiles,57.46,312,543
110,0,20472,Alex Cejka,57.43,313,545
110,0,02101,Joey Sindelar,57.43,290,505
112,0,01666,Bernhard Langer,57.37,249,434
